SUA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
2000,877,4969,32654,129385,73768,12218,2883,18456,275218,81,1796,5338,1623,219,34,17,1020,10133,5,30,261,583,150,31,13,124,1207,86,1829,5603,2212,372,68,34,1150,11336,28,629,866,235,50,9,14,285,2117,10,24,54,39,17,9,0,19,170,0,19,34,26,4,0,0,14,94,5,14,6,7,3,0,0,5,43,0,27,22,19,16,0,0,17,101,45,712,982,320,90,20,17,346,2521,470,1313,826,420,174,37,39,1096,4368,48,148,162,187,77,30,41,122,814,1529,8962,40225,132518,74478,12372,3007,21169,294263
2001,12,39,401,3482,3483,439,100,300,8248,0,70,338,205,16,0,0,46,673,0,6,29,76,7,0,0,13,132,0,78,369,283,21,0,0,53,806,0,37,6,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,54,20,0,0,0,0,5,82,4,22,6,3,3,0,0,16,60,0,3,0,0,4,0,0,0,10,19,196,797,3765,3518,440,102,384,9209
2002,6,46,629,2938,1565,181,50,296,5702,0,128,427,119,9,0,0,64,747,0,0,13,18,4,0,0,6,30,0,128,435,138,7,0,0,68,778,0,16,50,8,5,0,0,17,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,8,5,0,0,17,92,0,20,6,4,5,0,0,12,42,0,0,7,3,5,0,0,4,13,17,202,1127,3084,1575,181,50,395,6632
2003,46,287,3998,19087,12228,1399,210,1523,38771,6,772,2258,1409,268,17,6,388,5131,8,44,193,222,67,5,0,48,594,15,818,2446,1636,335,29,12,435,5725,5,287,517,195,6,0,4,94,1115,0,18,48,18,8,0,0,4,87,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,16,12,314,567,217,13,3,4,104,1225,5,23,24,27,7,0,0,40,130,3,16,12,17,22,4,4,13,90,76,1454,7044,20973,12608,1436,225,2115,45939
2004,30,364,4332,18547,11195,1309,207,1641,37624,12,445,1727,540,49,5,0,295,3076,0,42,155,216,39,0,0,26,481,12,486,1881,756,81,11,0,326,3552,9,90,219,68,5,0,0,56,446,0,3,3,9,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,13,9,101,225,76,10,3,0,59,482,17,29,30,21,7,0,0,34,143,8,13,20,20,20,3,0,10,90,79,987,6492,19419,11312,1325,213,2068,41895
2005,19,135,1059,2167,969,96,26,219,4698,0,81,106,23,0,0,0,22,235,0,0,3,4,4,0,0,0,15,0,81,109,33,4,0,0,22,250,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,11,0,10,5,4,0,0,0,6,33,0,3,0,0,0,0,0,0,8,20,232,1184,2212,973,103,26,248,4993
2006,6,41,461,2608,1200,137,28,193,4674,8,123,276,107,5,0,0,68,587,0,0,6,3,6,0,0,0,13,4,123,282,108,10,0,0,65,594,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,13,33,5,6,3,0,0,9,64,0,0,0,8,0,0,0,0,8,22,200,746,2733,1207,139,31,271,5355
2007,13,60,786,3672,2609,312,57,388,7901,3,144,665,166,10,4,3,117,1110,0,0,7,20,0,0,0,3,34,3,144,675,186,11,4,3,119,1143,0,6,8,4,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,7,27,8,60,79,27,3,0,0,18,206,5,0,7,10,7,6,0,6,33,35,279,1549,3900,2632,312,63,540,9315
2008,103,770,9661,47664,31398,4236,757,3894,98490,43,1715,4874,1866,318,28,10,728,9579,11,169,764,1116,239,20,7,149,2473,52,1886,5638,2977,562,46,16,878,12054,23,533,1021,349,18,0,4,140,2084,5,63,123,16,0,0,0,23,226,4,86,199,30,0,0,0,30,354,0,20,67,48,6,0,4,6,151,0,10,8,4,0,0,0,3,29,35,716,1415,447,28,0,3,207,2843,49,212,236,94,40,4,6,159,799,17,26,40,43,22,4,10,17,172,252,3605,16991,51225,32053,4296,790,5148,114363
2009,16,62,291,2484,3291,674,123,263,7207,0,47,197,184,21,3,0,12,466,0,0,10,15,0,0,0,0,29,0,45,206,206,23,3,0,12,497,0,5,3,13,0,0,0,0,16,0,0,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,9,0,5,9,26,7,0,0,0,42,0,12,6,0,0,0,0,4,30,0,0,0,0,0,0,0,0,4,15,131,507,2715,3320,676,126,286,7772
2010,7,55,648,3494,1794,175,27,279,6487,0,78,217,46,0,0,5,36,387,0,0,0,8,0,0,0,0,6,0,78,221,45,3,0,5,41,388,0,82,245,33,3,0,5,42,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,245,33,3,0,5,42,404,3,18,11,0,0,0,0,14,54,0,0,0,6,0,0,0,7,10,15,229,1120,3580,1798,175,38,377,7340
2011,1256,6986,89514,537716,436368,82043,13645,48342,1215872,365,11140,79947,54664,10691,1065,249,8816,166933,235,3590,35914,64568,19831,2294,358,5777,132559,599,14727,115864,119228,30520,3358,600,14592,299493,987,19238,47073,16382,1882,200,127,6139,92042,884,16132,30577,4747,283,48,36,3562,56274,1053,20636,35844,5017,251,28,34,4014,66870,1350,24653,41016,7379,253,24,41,6531,81245,22,282,295,170,116,50,22,193,1154,4293,80935,154808,33694,2789,352,259,20444,297584,237,1874,2208,914,217,52,20,1484,7006,94,398,518,455,243,42,35,382,2177,6479,104921,362908,692009,470147,85858,14566,85244,1822129
2012,28,187,1692,9288,4806,617,130,1321,18062,9,164,825,490,20,4,0,207,1724,0,0,25,42,7,0,0,7,81,9,167,851,539,30,4,0,213,1807,8,214,726,127,4,0,3,204,1276,0,6,19,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,8,222,746,127,4,0,3,206,1305,71,173,70,25,11,0,0,127,475,5,15,18,20,4,0,0,27,92,115,757,3377,9996,4850,622,134,1889,21742
2013,5,90,961,4488,1787,263,55,555,8222,14,256,493,80,9,0,0,136,996,0,18,8,4,6,0,0,6,36,16,276,503,83,9,0,0,141,1035,0,96,145,4,0,0,0,28,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,95,145,4,0,0,0,32,276,6,16,3,0,0,0,0,42,69,0,4,0,4,0,0,0,0,10,32,473,1614,4582,1801,271,60,771,9597
2014,8,37,460,2448,986,127,26,213,4313,0,76,231,40,7,0,0,39,398,0,3,30,4,0,0,0,3,43,0,80,261,46,6,0,0,42,446,0,11,28,11,0,0,0,8,56,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,12,0,0,0,8,61,7,16,14,6,5,0,0,10,57,0,0,0,0,0,0,0,0,7,17,148,769,2515,997,130,23,278,4877
2015,13,38,494,2624,1819,217,32,234,5478,0,40,240,69,3,0,0,22,383,4,49,27,19,0,0,0,14,109,9,90,263,88,3,0,0,41,494,0,85,212,64,0,0,0,29,402,0,0,20,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,233,72,0,0,0,30,426,6,23,13,0,0,0,0,10,58,0,4,3,8,0,0,0,0,13,29,245,1012,2795,1824,217,40,315,6477
2016,23,109,1633,8956,5315,630,108,1160,17926,5,366,1318,201,41,6,4,274,2226,0,9,36,38,17,0,0,16,113,5,381,1360,235,62,6,4,292,2335,0,32,14,3,0,0,0,10,56,0,5,8,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,38,14,3,0,0,0,17,81,29,120,271,20,9,0,0,220,676,4,13,7,7,8,0,0,8,42,57,657,3288,9222,5383,633,115,1691,21058
2017,6,22,302,2086,1022,108,35,212,3792,0,55,248,51,7,0,0,40,399,0,3,0,0,0,0,0,0,6,0,56,253,52,7,0,0,40,409,3,125,166,25,0,0,0,46,371,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,125,174,25,0,0,0,48,376,14,26,5,9,4,0,0,10,69,0,4,0,5,0,0,0,0,10,26,232,734,2174,1025,110,35,313,4655
2018,22,107,1404,8353,4196,483,82,962,15608,11,150,464,122,5,0,0,88,844,0,5,58,34,0,0,0,8,111,11,162,519,156,5,0,0,98,956,18,313,924,121,3,0,0,180,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,4,18,315,925,121,3,0,0,180,1563,12,34,52,6,3,0,0,21,131,7,11,6,7,12,0,0,0,37,69,629,2907,8632,4225,485,89,1271,18299
2019,14,48,687,3838,2051,210,43,364,7248,8,192,635,103,10,0,0,230,1168,0,21,31,14,0,3,0,9,74,4,212,665,120,7,3,0,238,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,3,17,3,5,4,0,0,15,46,0,0,6,4,0,0,0,0,9,23,281,1360,3964,2060,218,46,613,8563
2020,13,94,1075,6190,5881,737,130,699,14823,0,39,486,176,17,3,0,49,766,0,21,9,6,0,0,0,10,52,0,61,491,190,17,5,0,59,821,0,57,378,123,3,5,0,52,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,61,377,123,3,0,0,52,623,11,77,198,7,0,0,0,49,344,0,0,3,9,5,0,0,4,20,29,293,2142,6514,5907,742,131,865,16624
2021,12,98,1340,6251,3393,552,91,534,12273,16,146,906,150,20,0,0,83,1321,0,22,173,125,20,0,0,21,366,15,176,1077,274,35,0,0,102,1685,5,130,377,49,10,0,0,46,623,0,35,9,5,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,164,391,59,6,0,0,46,677,13,33,53,28,11,4,0,63,202,0,3,5,0,7,0,0,4,20,53,465,2869,6618,3463,555,90,749,14856
3000,2502,9291,33575,108557,70556,13135,4204,22227,264051,100,997,4504,1959,464,84,36,1224,9376,10,254,1323,913,172,17,16,370,3079,108,1251,5829,2869,632,103,55,1597,12459,63,984,2715,715,122,14,13,868,5499,10,43,132,33,12,0,0,22,248,0,8,21,16,3,0,0,9,61,0,0,0,3,0,0,0,3,14,3,35,38,25,13,10,4,72,203,80,1072,2900,793,147,26,20,976,6017,4352,6330,1118,1011,614,87,118,3518,17151,936,1549,431,530,281,94,123,752,4682,7975,19482,43852,113766,72232,13449,4526,29070,304352
3001,18,82,197,1115,1244,184,46,223,3110,7,31,23,61,13,3,0,18,161,11,28,176,157,14,0,0,45,424,18,61,194,216,28,3,0,69,583,4,48,395,163,18,8,0,78,715,9,28,158,77,3,0,0,44,321,0,7,56,3,0,0,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,89,618,247,17,7,0,130,1120,139,200,73,79,37,4,8,28,572,75,117,54,39,24,3,0,35,345,249,548,1136,1695,1346,195,63,491,5723
3002,840,4998,34511,241591,274747,66297,14460,23387,660826,251,4015,14209,11230,1367,81,40,2723,33914,195,3221,17167,45007,4792,245,95,4805,75523,440,7233,31379,56234,6156,325,139,7530,109436,659,9778,17265,6347,706,122,95,2948,37929,431,4536,24423,4935,260,36,50,1961,36628,478,6375,18151,5590,289,29,19,2103,33043,427,10038,15848,4407,272,14,16,2041,33066,34,406,727,244,125,78,44,309,1971,2033,31133,76420,21526,1653,284,223,9362,142636,498,1772,835,218,101,21,10,1409,4873,134,434,389,340,191,40,37,278,1844,3953,45571,143533,319916,282849,66970,14865,41959,919618
3003,50,189,2262,11997,7612,1152,259,970,24494,17,229,1342,423,21,5,0,176,2220,9,144,141,141,3,3,0,74,512,23,372,1481,572,23,9,7,246,2727,16,388,1191,379,31,3,3,190,2199,0,0,6,19,0,0,0,0,28,0,4,77,76,0,0,0,18,173,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,18,391,1271,475,31,5,3,209,2404,259,498,113,52,29,7,0,154,1109,35,36,15,17,6,0,0,20,140,390,1493,5146,13113,7697,1167,266,1593,30873
3004,79,362,2202,17210,16168,2755,647,2148,41568,28,423,1904,528,52,0,0,374,3308,40,411,2019,394,35,12,12,331,3250,67,841,3922,923,87,11,12,704,6557,155,1035,3123,516,34,14,9,773,5652,31,588,1966,665,16,0,5,432,3705,14,97,548,238,3,0,0,148,1055,4,66,207,155,8,0,4,67,516,0,3,3,10,6,0,0,13,35,202,1798,5846,1583,68,13,16,1435,10970,297,388,85,67,22,9,7,276,1139,38,113,186,55,22,5,15,91,508,675,3509,12239,19839,16363,2788,695,4648,60742
3005,9,38,110,1312,1950,307,61,239,4026,0,20,130,150,14,3,0,28,352,3,9,88,84,14,3,0,33,238,3,32,222,234,31,8,0,61,593,7,50,205,132,5,0,3,44,451,0,0,4,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,213,132,5,0,3,50,462,35,43,0,10,6,0,0,83,174,21,50,4,7,3,0,0,10,106,78,213,552,1693,1993,312,65,450,5358
3006,13,82,509,6067,6292,839,132,632,14564,5,80,210,161,52,16,4,41,559,9,22,306,333,23,0,0,77,769,14,99,515,491,75,14,5,120,1330,5,112,679,277,14,4,0,113,1198,13,24,115,26,3,0,0,13,202,0,7,176,50,6,0,0,28,258,0,4,87,5,0,0,0,16,106,0,0,0,0,0,0,0,0,4,17,145,1053,357,18,4,3,171,1771,63,166,43,13,7,0,0,163,452,11,19,13,6,3,0,0,10,56,114,517,2139,6934,6398,851,140,1090,18184
3007,274,1212,7334,47659,69829,14760,3516,6451,151041,87,861,8716,9607,805,52,32,1321,21483,64,1004,7265,21609,3245,234,60,2123,35595,153,1861,15982,31216,4052,286,88,3440,57073,202,1862,5959,1909,253,31,27,1125,11366,74,2698,10925,2258,148,18,9,1374,17507,92,2112,6402,2003,139,8,10,946,11711,292,3684,9813,3134,189,14,3,2316,19455,10,81,118,55,42,26,12,71,415,670,10437,33221,9359,765,102,62,5833,60444,419,1273,719,124,50,4,23,735,3350,61,226,272,200,98,6,11,126,998,1572,15016,57527,88560,74795,15156,3699,16585,272913
3008,10,84,692,3702,2705,380,61,361,7996,8,93,307,119,18,0,0,52,596,9,26,118,54,0,0,0,20,230,14,120,420,177,21,0,3,73,827,6,75,101,29,3,0,0,22,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,75,106,29,3,0,0,24,241,6,4,10,4,7,0,5,46,84,5,21,0,4,4,0,0,0,40,45,314,1227,3912,2740,384,69,503,9199
3009,68,219,1808,7879,7874,951,224,873,19893,13,113,919,574,40,0,0,166,1823,18,165,512,496,31,0,0,120,1349,28,279,1434,1072,69,0,0,292,3171,0,20,173,43,5,0,0,40,279,0,21,99,31,0,0,0,13,172,4,30,185,105,0,0,0,28,356,0,0,4,8,0,0,0,0,10,0,0,3,3,0,0,0,4,20,10,74,465,185,14,0,0,86,833,231,399,117,63,32,3,0,104,947,70,116,56,21,27,3,0,27,327,407,1092,3880,9219,8014,959,228,1380,25169
3010,7,32,250,1571,1369,189,22,213,3663,0,22,117,31,7,0,0,26,196,0,0,10,0,0,0,0,0,8,0,22,121,31,7,0,0,28,211,0,36,231,55,8,0,0,44,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,231,55,8,0,0,44,376,9,23,0,8,0,0,0,6,39,5,3,0,5,5,0,0,4,14,26,113,611,1659,1392,191,26,289,4303
3011,42,210,1656,11151,9871,1430,212,1376,25942,13,248,1461,652,43,0,6,334,2758,15,237,509,396,45,9,3,191,1403,25,486,1970,1049,95,10,10,528,4160,12,229,631,226,14,4,0,147,1260,0,0,23,9,0,0,0,6,42,0,26,15,75,0,0,0,16,137,0,33,49,120,18,0,0,113,326,0,0,4,8,0,0,0,10,18,15,284,720,433,36,4,0,292,1787,127,316,62,38,17,4,7,275,842,37,66,23,23,8,0,0,44,207,246,1363,4430,12690,10025,1440,220,2516,32937
3012,32,125,1653,4753,2314,436,91,449,9856,6,203,278,62,5,0,0,92,653,0,30,68,23,0,0,0,20,143,6,233,351,83,5,0,0,112,794,12,69,248,36,0,0,0,60,421,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,74,249,39,3,0,0,56,433,30,84,13,10,8,0,0,67,213,4,15,5,13,0,0,0,4,48,86,531,2267,4891,2333,438,99,700,11342
3013,13,63,349,2833,1202,212,50,339,5064,9,235,503,138,18,0,0,91,992,0,25,63,44,4,0,0,17,149,9,252,562,183,20,0,0,109,1136,0,64,147,30,3,0,0,32,284,0,0,19,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,164,27,3,0,0,32,308,130,216,38,26,21,3,0,293,741,11,27,10,13,3,0,3,12,86,170,630,1135,3086,1254,218,57,795,7341
3014,50,345,2689,11378,8615,1490,342,1313,26215,8,74,888,405,37,0,0,158,1574,10,156,225,126,19,3,0,92,630,14,234,1110,532,55,4,0,250,2198,13,205,692,208,28,5,5,174,1330,0,0,16,7,0,0,0,4,24,0,0,8,8,0,0,0,0,26,0,17,62,36,0,0,0,8,116,0,5,3,11,0,0,0,10,36,13,227,780,278,28,5,7,198,1534,71,123,24,17,11,0,0,95,337,24,41,15,21,11,3,5,19,141,170,969,4618,12216,8716,1502,351,1874,30428
3015,309,1415,7177,40446,45275,8473,1849,4115,109058,47,447,5164,3712,211,16,12,654,10259,39,482,3407,4947,607,42,11,595,10138,89,932,8572,8658,813,65,28,1240,20395,107,1063,3473,1761,152,16,11,613,7205,23,296,2126,1048,46,8,6,252,3806,24,594,3170,1976,140,4,0,544,6451,24,183,1051,781,34,0,0,169,2234,16,115,130,48,33,19,6,73,449,195,2251,9954,5615,407,55,23,1648,20139,481,850,280,109,62,5,3,455,2242,103,209,119,137,45,13,12,99,739,1180,5654,26102,54967,46598,8605,1918,7557,152583
3016,51,336,2871,18364,17291,3154,616,1518,44193,23,656,3417,2107,102,18,8,443,6770,13,200,863,576,53,8,7,131,1835,35,855,4271,2678,160,17,10,576,8605,10,187,1499,467,35,4,0,123,2325,12,9,41,0,0,0,0,5,66,0,0,36,8,0,0,0,0,50,0,0,14,13,12,0,0,58,102,3,8,5,0,3,0,0,4,23,23,207,1596,489,54,6,4,191,2560,40,95,21,13,13,4,0,152,343,10,15,16,22,17,8,0,23,107,155,1509,8782,21568,17532,3187,632,2445,55815
3017,64,361,2783,23058,21406,3190,728,2639,54232,61,503,3055,696,123,6,4,499,4954,16,418,1857,629,54,4,19,369,3378,77,922,4918,1327,178,14,23,870,8335,28,390,946,325,25,9,7,235,1974,0,163,1059,203,4,3,0,133,1571,11,77,592,399,11,0,0,92,1186,3,99,274,229,4,0,0,121,743,0,3,9,4,5,0,0,6,28,46,737,2878,1167,47,13,9,594,5497,196,316,76,45,24,3,5,110,775,52,117,34,35,16,0,11,58,321,439,2460,10690,25632,21668,3222,774,4272,69161
3018,8,50,551,2408,1850,308,69,312,5553,0,56,382,127,10,0,0,63,642,0,0,21,12,0,5,0,0,49,0,55,406,144,13,6,0,71,695,0,12,75,13,0,0,0,26,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,75,13,0,0,0,26,132,8,16,3,4,0,3,0,13,50,0,6,5,12,5,0,0,4,28,15,139,1032,2578,1867,320,71,434,6460
3019,21,83,473,2224,2921,412,68,302,6500,5,81,168,111,3,0,0,75,439,11,20,42,47,10,0,0,12,138,13,101,209,156,7,0,0,89,582,3,88,217,101,8,0,0,41,457,0,0,54,25,0,0,0,9,90,0,16,78,23,0,0,0,22,141,3,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,10,119,356,148,4,0,4,70,703,90,134,12,15,9,0,0,185,454,21,39,3,17,0,0,0,7,88,153,474,1057,2559,2953,414,68,654,8327
4000,475,2406,12935,50874,26659,4056,870,6351,104620,21,651,2004,1253,155,29,8,400,4525,0,8,35,96,33,12,4,15,193,22,657,2035,1350,188,37,9,417,4715,13,226,460,84,12,4,0,116,912,0,25,20,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,11,0,0,0,8,31,14,257,491,97,13,6,0,136,1005,482,1000,391,311,108,32,12,740,3082,157,318,129,163,75,17,26,163,1048,1144,4635,15981,52794,27039,4145,926,7803,114465
4001,354,2753,32598,230552,106892,17692,3172,11299,405301,191,5328,30910,24014,2382,253,80,3753,66916,31,910,7318,13204,1979,237,36,981,24702,225,6248,38227,37217,4359,485,123,4736,91619,180,5455,20449,3330,178,30,25,1746,31393,61,614,3129,522,24,0,5,316,4665,77,1127,3672,742,38,8,0,313,5970,73,1187,2015,485,10,4,0,268,4043,5,70,84,66,29,14,5,95,378,393,8453,29347,5145,283,56,38,2741,46445,222,581,403,222,71,13,9,527,2039,79,253,312,392,153,21,26,176,1423,1271,18290,100886,273528,111752,18268,3360,19477,546833
4002,23,78,931,5430,2506,310,53,351,9676,3,89,650,657,38,6,4,208,1653,0,0,18,28,0,0,0,3,43,3,93,667,676,41,6,4,210,1696,8,139,605,157,7,0,5,62,976,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,139,619,157,7,0,5,67,996,0,3,7,6,3,0,0,18,45,11,11,10,8,3,0,0,42,84,44,323,2231,6279,2559,315,62,683,12500
