CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED123,0,0,0,0,21,80,147,73,6,12,8,6,5,0,3,366,0,0,0,3,11,57,210,119,13,10,15,30,8,4,4,481,0,0,18,21,12,24,33,19,5,0,0,0,0,0,4,146,6,16,16,24,110,168,509,267,79,42,50,63,9,8,52,1412,5,16,209,86,27,56,9,5,3,0,0,0,0,0,9,429,10,24,54,42,120,81,96,83,11,0,9,6,5,0,13,545,0,6,9,66,281,328,255,177,41,20,42,27,16,0,41,1308,153,145,123,58,50,35,23,17,0,6,0,0,8,3,12,630,4,65,175,39,22,12,10,23,4,9,0,0,0,0,15,375,0,0,4,14,30,48,25,21,0,0,3,4,6,0,5,160,3,4,67,114,181,483,2526,1499,273,226,251,282,92,36,88,6131,0,4,8,24,51,88,99,58,7,8,9,5,5,3,8,372,0,0,7,26,50,57,80,136
CED124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,4,0,0,0,0,0,31,4,4,26,37,39,30,40,20,4,9,0,10,4,3,7,233,0,10,13,6,25,12,57,42,4,3,8,10,0,0,7,206,0,17,29,18,4,0,4,5,0,0,0,0,0,0,3,70,8,13,14,7,5,3,8,8,5,0,3,3,4,0,3,78,4,5,4,7,14,10,9,13,0,5,0,0,0,0,4,79,104,174,91,52,52,31,41,19,3,3,4,9,0,0,29,609,0,15,34,7,0,0,0,0,0,0,0,0,0,0,13,66,7,4,3,7,18,12,3,14,0,0,5,0,0,0,0,66,15,5,16,23,11,7,79,75,18,23,29,54,24,3,15,397,3,11,7,0,12,14,11,19,6,3,5,0,0,0,5,100,0,0,3,0,6,0,9,3
CED125,0,0,0,0,43,116,115,75,13,6,12,7,3,6,13,410,0,0,0,9,78,651,2073,842,145,99,92,91,48,21,56,4200,0,0,6,13,11,27,49,24,3,3,6,3,0,0,0,143,4,15,24,36,237,308,577,323,63,63,53,94,27,0,46,1874,0,22,233,74,34,107,18,4,11,0,0,0,0,0,16,530,20,21,59,40,141,153,212,188,48,14,16,24,10,5,15,955,0,0,15,106,782,819,770,318,55,59,54,54,31,4,63,3138,64,120,78,47,42,39,53,13,0,8,3,3,6,0,11,477,0,35,147,52,26,20,14,30,0,0,0,0,0,0,8,338,0,4,0,23,78,82,47,31,6,14,5,6,8,7,4,316,0,9,52,101,197,607,2829,1710,277,267,283,310,110,17,91,6865,0,6,0,31,93,199,245,87,22,14,13,27,18,3,8,762,0,0,0,24,67,36,104,108
CED126,0,0,0,4,17,3,3,0,0,0,0,0,0,0,3,29,0,0,0,0,0,7,22,12,0,0,0,0,0,0,0,56,0,12,50,77,98,99,155,87,15,13,13,20,5,8,9,653,11,28,34,26,343,385,613,320,95,56,91,123,54,0,46,2215,3,64,192,80,25,110,8,5,0,0,0,0,0,4,16,491,9,31,93,22,18,15,11,7,0,0,0,0,0,0,5,213,3,3,20,26,54,30,21,7,0,0,3,3,0,0,6,181,86,115,113,86,116,113,259,122,15,21,22,24,15,10,24,1150,6,35,61,12,4,0,6,7,0,0,0,0,0,0,3,140,12,14,25,81,125,103,52,45,13,12,12,20,8,3,5,525,10,11,55,36,80,108,321,206,81,63,109,92,29,0,25,1220,7,19,11,23,45,87,66,40,7,4,9,13,10,0,17,367,0,3,33,82,111,57,105,54
CED127,0,0,0,0,3,16,3,0,0,0,0,0,0,0,0,25,0,0,5,5,0,5,5,10,0,4,3,6,0,0,0,36,5,6,31,41,42,49,52,34,3,6,6,4,0,4,9,281,8,20,13,23,58,118,154,74,32,20,26,12,8,0,6,564,0,9,89,17,15,18,5,3,0,0,0,0,3,0,4,165,4,29,23,12,3,0,0,9,0,0,0,0,0,0,6,83,6,4,18,32,49,39,17,12,0,0,6,5,4,0,0,186,118,174,124,85,88,55,79,39,0,8,3,0,3,0,28,803,8,37,54,21,7,4,4,0,0,3,0,0,0,0,8,141,4,3,19,20,33,23,16,7,0,0,0,0,0,0,0,132,8,10,54,57,38,62,126,217,83,62,73,70,20,0,15,895,9,12,11,9,19,20,37,14,4,5,0,3,4,0,3,148,0,0,5,12,27,18,19,15
CED128,0,0,0,0,61,368,1017,787,127,146,142,109,61,27,30,2893,0,0,0,5,4,38,104,52,13,11,13,11,0,0,3,250,0,0,4,12,11,15,24,8,3,0,3,0,3,0,4,89,3,32,50,61,523,581,1096,433,94,137,90,84,17,7,77,3268,7,65,440,156,59,89,20,10,0,0,0,0,0,0,19,854,8,20,84,62,131,124,158,94,10,16,7,3,0,0,13,728,0,0,3,72,522,424,374,81,21,28,41,33,10,0,46,1676,74,78,52,19,25,28,32,7,0,0,9,0,0,0,17,350,4,81,237,80,13,21,13,6,3,0,0,0,0,0,22,474,0,4,4,41,147,126,37,26,4,7,10,6,3,0,12,425,3,7,67,100,224,375,1281,532,165,184,218,271,64,13,48,3559,0,4,3,34,92,106,138,43,14,6,8,16,3,3,14,475,0,0,14,53,147,194,395,596
CED129,0,0,3,12,137,249,124,30,4,0,3,3,4,0,3,572,0,0,0,12,42,184,258,88,15,17,16,11,11,6,6,667,0,5,10,29,36,51,78,36,16,19,8,18,10,7,0,325,20,47,45,68,1000,1726,5098,2329,441,409,331,473,163,25,177,12341,0,27,219,64,35,51,8,4,0,3,0,0,0,0,9,426,14,26,97,65,165,123,130,139,71,69,60,51,38,16,17,1091,0,3,19,75,392,309,180,45,9,10,12,17,8,0,13,1093,85,92,53,55,49,48,56,25,6,5,3,11,9,5,17,519,0,63,157,40,10,5,8,16,0,0,0,0,0,0,14,318,4,8,38,147,552,823,265,125,32,43,31,36,40,16,20,2174,11,7,126,211,634,1954,4678,2341,713,663,592,559,262,85,140,12974,0,13,17,70,156,346,339,83,25,21,33,16,12,4,23,1161,0,0,8,47,275,502,808,1006
CED130,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,40,13,27,27,8,4,0,0,136,0,3,11,30,17,16,40,22,4,11,12,12,6,0,4,189,3,3,3,7,27,41,106,78,30,53,85,105,26,4,21,599,0,3,6,3,0,4,5,0,0,0,0,0,0,0,0,28,0,3,3,3,0,0,8,9,3,0,0,16,0,3,5,60,0,3,0,8,17,12,14,37,4,6,9,11,75,58,3,254,35,87,39,39,36,27,32,32,0,10,4,6,5,0,7,355,0,7,14,0,0,0,0,9,0,0,0,0,3,0,4,35,0,0,3,7,18,9,12,6,0,0,0,4,0,5,0,78,8,4,17,16,8,22,204,193,73,74,125,160,42,8,17,966,3,8,5,5,5,12,18,15,0,0,5,20,14,0,8,123,0,0,0,0,3,3,8,25
CED131,0,0,0,0,0,4,12,168,21,28,5,33,7,11,3,292,0,0,0,0,4,18,44,56,16,64,33,30,11,0,0,282,4,3,32,28,37,51,105,63,8,12,11,19,8,0,3,390,6,5,12,22,56,95,363,240,67,144,107,140,31,10,40,1340,0,15,96,17,7,15,17,0,0,4,4,0,0,0,6,185,0,13,15,9,7,8,18,6,0,6,11,4,0,8,3,116,0,0,7,16,38,17,28,9,3,0,0,6,0,0,5,137,153,105,31,23,36,30,81,37,3,17,9,5,7,0,23,572,15,105,139,33,16,11,0,0,0,0,0,0,0,6,10,334,0,5,0,36,49,27,38,28,28,30,14,18,6,0,7,287,3,9,19,33,34,71,408,491,128,110,154,140,69,14,37,1735,0,6,6,9,12,24,63,35,20,28,22,21,17,4,5,271,0,0,0,3,9,3,41,75
CED132,0,0,3,10,16,16,12,3,3,0,0,0,0,0,4,56,0,0,0,5,20,42,51,24,14,5,5,12,10,0,4,187,4,16,28,79,73,98,141,99,22,29,40,29,16,7,6,691,29,66,85,139,1155,1725,3124,1827,479,383,391,507,224,39,161,10338,0,60,172,51,26,25,12,7,0,0,0,0,0,0,6,376,11,34,129,46,40,9,14,32,5,13,10,4,0,0,18,363,3,16,35,50,89,66,36,25,0,6,6,3,0,0,11,336,76,55,57,50,61,61,153,97,16,20,20,25,11,11,18,738,14,96,159,32,9,10,7,12,4,4,0,0,3,0,10,363,0,34,102,352,1102,913,387,242,77,94,59,101,134,67,41,3720,14,19,72,104,246,401,796,844,330,382,411,467,200,70,66,4420,9,10,22,62,119,213,238,154,31,41,40,43,37,5,14,1024,0,0,31,74,265,172,256,313
CED133,0,0,0,0,0,0,0,21,0,0,0,10,0,0,0,36,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,26,5,4,29,37,51,32,65,25,11,13,9,9,5,0,9,306,5,5,0,9,17,18,64,51,16,17,13,36,0,0,29,273,4,7,15,0,3,3,0,3,0,0,0,0,0,0,0,35,7,14,10,5,4,4,7,4,5,0,5,6,5,3,4,69,3,7,10,11,15,10,6,13,4,0,7,9,0,0,3,94,59,137,85,44,110,64,93,37,3,4,4,3,7,0,14,669,6,14,12,5,0,0,0,3,0,0,5,0,0,0,0,45,0,0,8,7,9,12,8,6,3,3,12,0,0,0,9,94,7,18,64,57,91,75,365,227,77,64,76,113,41,7,37,1310,0,10,7,4,0,15,25,17,5,5,4,4,15,0,7,120,0,0,0,3,4,0,7,11
CED134,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,44,46,26,11,10,11,0,0,0,161,0,0,3,18,11,13,31,12,0,0,3,6,3,0,0,105,0,0,4,13,34,39,81,67,11,18,17,24,15,10,7,336,0,8,16,6,0,0,0,0,0,0,0,0,0,0,0,34,0,5,4,0,0,3,5,5,0,0,0,4,6,0,0,34,0,0,3,9,24,11,51,28,7,18,9,15,4,13,7,195,28,74,39,26,28,16,32,13,0,4,0,4,0,3,13,286,0,9,24,4,3,3,0,0,0,0,0,0,0,0,3,50,0,3,3,15,11,10,10,10,0,0,0,0,6,0,0,64,0,0,12,9,10,21,261,303,98,113,118,112,57,27,23,1159,0,0,5,3,3,8,18,14,0,5,11,25,9,0,3,114,0,0,0,0,7,0,0,7
CED135,0,0,0,3,103,437,669,549,97,97,79,105,41,17,37,2234,0,0,0,8,33,185,413,290,75,69,76,76,35,5,13,1275,0,0,9,9,24,28,29,21,11,9,14,18,12,0,3,194,7,39,62,129,1794,2731,5455,2540,560,614,488,520,154,39,273,15409,0,23,116,40,32,54,16,10,0,3,0,3,0,0,4,310,9,15,61,32,75,58,76,59,18,30,49,24,14,0,18,552,0,0,17,84,383,336,274,125,22,24,41,50,23,0,22,1405,30,52,28,15,30,34,35,19,3,6,9,4,4,0,7,281,8,98,256,57,14,9,4,6,0,0,0,0,0,0,4,461,0,7,28,153,616,813,404,195,44,26,44,24,32,7,37,2437,8,7,39,105,321,1151,6119,6589,2973,3661,4566,5021,1862,520,457,33389,0,0,6,52,155,258,270,96,53,20,34,39,12,0,12,1008,0,0,9,46,143,345,492,1107
CED136,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,0,0,0,0,0,6,32,30,5,3,6,6,0,0,0,83,0,0,14,25,29,32,50,41,11,0,5,0,0,0,5,214,3,8,10,9,40,41,123,55,25,32,23,28,0,0,16,411,3,19,66,16,5,7,0,0,0,0,0,0,4,0,6,130,5,13,14,8,0,4,19,5,0,0,0,0,0,0,0,75,4,3,10,23,18,36,21,22,4,9,5,3,0,0,0,159,177,188,73,29,54,20,34,18,3,0,3,0,5,0,29,623,0,27,27,9,4,3,4,3,0,0,0,0,0,0,4,94,0,0,8,16,24,17,15,10,6,0,3,3,3,4,4,126,6,5,20,18,13,43,328,283,56,52,56,71,26,11,16,1015,5,3,3,0,3,20,33,19,7,0,5,8,0,0,4,125,0,0,0,6,0,0,5,14
CED137,0,0,0,0,17,43,35,50,6,4,0,6,0,0,8,177,0,0,0,0,11,59,155,109,31,30,39,22,17,0,3,476,0,0,8,30,35,36,61,47,11,13,14,21,3,0,8,298,25,132,147,253,2211,3323,7233,4681,1222,1399,1173,1270,415,58,495,24041,3,58,256,66,17,36,13,0,0,0,3,3,0,0,23,477,15,50,132,107,147,57,75,76,29,20,18,22,13,6,19,780,7,10,14,72,170,133,87,38,9,8,10,8,0,0,28,594,74,61,44,27,54,35,84,43,4,8,4,6,6,6,13,475,17,275,570,87,23,13,15,21,7,0,3,0,0,4,37,1074,4,23,83,368,796,824,449,352,115,105,100,101,95,25,45,3485,0,0,69,221,376,731,1608,1653,833,839,1150,1283,432,142,157,9486,3,5,13,71,139,290,407,241,97,70,76,86,45,8,32,1577,0,0,3,17,111,82,203,363
CED138,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,7,7,40,74,68,79,141,100,16,25,18,26,20,0,8,639,7,12,8,8,27,18,80,48,15,12,12,14,7,0,6,279,6,11,22,4,6,6,0,0,0,0,0,0,0,0,0,53,5,8,14,5,0,0,3,3,0,0,0,4,0,0,0,45,0,17,15,23,25,16,30,3,0,4,10,0,0,0,6,150,78,179,84,69,150,129,169,67,27,25,23,36,17,0,37,1084,0,14,20,8,0,0,7,4,0,0,0,0,0,0,5,59,5,3,15,11,28,14,11,9,0,3,0,5,3,3,4,117,17,11,44,33,48,27,191,175,45,27,38,58,21,13,28,770,0,15,9,9,13,25,35,30,4,9,6,9,11,0,8,191,0,0,3,3,18,6,7,10
CED139,0,0,0,0,0,6,13,22,4,13,0,0,0,0,0,54,0,0,0,0,0,4,24,61,10,7,3,7,0,0,4,121,0,0,5,18,8,19,29,18,0,4,10,6,0,0,3,120,0,0,9,7,27,45,131,93,62,70,78,151,18,6,11,708,0,3,16,3,6,3,4,0,0,0,0,0,0,0,4,46,0,3,7,0,6,13,47,45,0,0,5,3,3,0,7,145,0,3,3,9,19,31,16,14,6,8,3,28,41,84,11,278,58,91,39,17,19,14,16,11,0,0,10,3,0,0,9,293,0,14,25,8,3,0,0,3,0,0,0,0,0,0,8,63,0,0,4,12,22,9,13,9,0,6,0,4,3,0,0,88,0,3,4,4,5,31,306,433,118,116,102,83,44,20,26,1297,0,3,0,0,4,12,18,11,4,6,5,7,0,0,0,79,0,0,0,0,4,12,5,40
CED140,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,3,9,19,3,11,9,5,3,0,3,68,0,8,39,42,43,66,113,39,9,11,10,15,9,0,8,401,9,35,21,13,122,179,378,215,55,36,29,42,17,0,20,1174,3,36,66,12,5,17,0,6,0,0,3,0,0,0,7,147,14,35,51,19,13,6,17,37,5,14,9,16,3,0,9,251,4,5,15,30,51,48,21,7,3,0,11,5,6,0,8,199,78,123,70,51,63,55,124,42,4,8,0,3,3,0,12,646,10,58,60,17,3,4,8,4,0,0,0,3,0,0,3,174,3,9,12,32,59,31,26,17,10,0,0,7,5,0,8,223,10,13,28,49,48,64,290,293,74,99,79,76,29,4,18,1169,8,10,14,17,22,34,69,44,5,0,11,23,8,0,4,262,0,0,3,7,16,16,38,29
CED141,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,3,8,15,6,0,4,0,0,0,0,0,32,0,0,17,25,31,29,69,45,4,5,6,3,0,0,5,243,3,12,8,21,47,44,128,74,25,29,7,13,6,0,10,422,0,18,40,22,3,14,0,0,0,0,0,0,0,0,9,101,4,12,19,5,6,6,9,6,3,0,3,0,0,0,0,75,0,0,7,13,21,15,16,8,0,0,6,0,4,0,3,98,194,183,60,28,41,20,42,29,9,9,4,4,4,0,21,645,3,26,46,11,0,4,0,4,0,0,0,0,0,0,7,108,0,0,7,16,27,24,15,4,3,3,0,0,0,0,8,110,6,4,25,38,31,53,183,83,26,26,32,22,10,4,3,545,5,3,5,9,19,18,43,19,3,6,12,13,9,0,5,154,0,0,0,0,5,0,15,16
CED142,0,0,0,0,4,16,9,8,0,0,0,9,0,34,0,85,0,0,0,3,23,56,72,50,26,23,34,38,21,5,9,355,0,0,31,67,71,103,209,207,50,44,88,127,76,28,15,1114,12,35,47,123,842,1602,3445,3344,1195,1453,1418,1806,762,100,368,16560,0,10,64,18,20,44,16,19,0,3,3,0,0,0,4,211,8,9,51,23,30,17,31,25,3,7,9,15,4,4,8,248,0,6,8,69,130,82,65,36,3,4,3,11,10,6,16,454,36,51,45,71,79,121,245,170,55,60,56,89,44,11,24,1153,9,130,303,55,18,24,16,36,5,6,10,8,4,0,27,642,0,15,54,186,457,468,344,317,108,128,92,127,126,59,48,2525,5,3,42,56,121,281,556,561,262,363,476,720,279,103,82,3922,0,3,14,72,155,581,874,1406,434,487,545,771,238,18,152,5755,0,0,9,19,97,79,180,228
CED143,0,0,0,3,0,5,7,5,0,0,0,0,0,0,0,32,0,0,0,0,4,10,27,9,0,4,3,3,0,0,0,57,0,9,48,88,99,137,261,130,38,22,46,35,36,6,14,962,15,26,25,43,393,523,721,399,95,92,78,118,57,9,33,2624,6,32,121,29,27,50,9,18,5,3,4,0,0,0,5,302,9,37,65,24,11,6,13,8,5,4,0,0,0,6,9,199,0,17,26,33,44,34,26,8,0,4,0,9,0,0,3,202,51,85,64,61,114,112,290,157,33,42,50,70,24,4,19,1183,14,62,97,27,12,0,9,6,0,0,0,0,0,0,11,241,4,11,36,99,213,183,122,99,21,23,22,43,24,18,13,939,8,7,55,47,119,118,257,169,59,66,62,84,16,15,20,1108,5,15,10,33,52,60,59,23,9,3,8,10,11,0,7,308,0,0,17,54,111,53,68,61
CED144,0,0,0,0,17,34,36,14,0,12,3,0,0,0,0,115,0,0,0,13,121,642,2302,1261,265,306,315,308,124,69,99,5823,0,0,8,15,15,21,23,13,3,0,0,3,11,0,3,113,18,42,64,218,1986,2384,3346,1646,316,762,431,406,77,18,454,12175,0,41,149,35,12,24,5,0,0,3,0,0,0,0,22,289,7,31,163,119,178,172,215,118,43,41,32,38,13,9,35,1207,0,4,15,150,400,307,173,64,13,25,29,33,17,0,26,1257,38,29,32,24,33,14,31,17,4,0,0,4,0,0,14,243,17,522,1768,506,123,66,43,168,35,23,12,6,4,0,244,3538,3,7,27,211,411,340,162,90,29,24,20,27,14,4,37,1394,0,3,38,82,182,367,1167,746,278,419,624,611,133,27,91,4767,0,0,14,142,373,472,714,293,60,80,102,111,36,7,53,2460,0,0,3,3,23,35,46,59
CED145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,9,18,11,8,0,0,3,4,0,0,53,3,16,46,66,58,87,137,155,37,41,50,56,24,5,14,784,42,65,29,42,275,342,532,313,76,76,81,80,67,5,61,2077,3,23,31,19,17,20,6,10,0,0,0,0,0,0,9,139,13,92,80,19,29,17,5,3,0,0,0,0,0,0,15,278,0,7,11,26,60,29,17,10,3,0,5,6,0,0,6,182,119,69,86,53,78,112,201,132,46,21,41,67,24,0,43,1095,26,143,163,31,13,14,9,16,5,0,6,0,3,0,24,460,11,9,39,97,186,160,114,126,19,25,41,27,46,24,14,931,16,20,107,70,77,106,90,93,20,23,31,37,5,0,32,743,3,11,17,46,67,73,66,27,14,16,14,17,8,3,11,398,0,3,10,14,107,43,66,37
CED146,0,0,0,0,34,76,129,17,3,4,4,0,0,0,4,277,0,0,0,0,66,464,1178,424,86,52,59,50,25,24,16,2456,0,0,6,3,15,28,32,5,6,0,7,3,3,0,0,120,11,10,24,82,493,510,822,315,68,63,57,51,15,5,53,2576,4,50,318,153,62,352,123,5,0,5,4,4,0,0,19,1101,10,22,68,77,145,207,226,198,42,12,28,12,12,0,29,1084,0,0,12,170,1684,1856,1634,426,91,86,83,56,29,6,123,6253,67,59,37,31,23,47,45,14,0,0,4,0,5,0,9,348,0,56,271,93,44,35,19,32,7,4,0,0,0,0,24,584,0,4,7,32,127,111,59,19,9,3,0,5,9,0,13,398,0,0,26,58,250,902,2284,1026,186,182,182,189,52,12,78,5426,0,7,5,54,133,236,284,82,23,15,20,18,9,4,15,888,0,0,12,43,186,128,205,132
CED147,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,24,15,0,3,0,0,0,3,0,59,0,6,33,33,31,24,51,25,5,4,7,8,4,0,4,244,5,5,5,12,46,45,137,90,23,12,21,28,9,0,8,453,0,64,166,39,10,45,13,0,0,0,0,0,0,0,3,342,5,18,22,16,12,8,25,37,0,4,7,12,0,0,10,171,0,0,8,21,30,26,18,16,11,10,21,10,0,0,3,178,116,408,191,69,70,33,39,18,7,0,0,0,4,0,34,1001,3,53,119,44,7,10,5,15,0,0,0,0,0,0,10,266,0,0,7,20,25,21,23,14,5,10,5,0,5,0,0,142,13,7,43,29,20,49,259,313,51,53,70,58,28,0,14,1002,4,5,4,3,7,24,39,16,6,12,5,11,4,0,0,126,0,0,0,3,12,27,19,24
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,0,0,0,0,32,98,87,17,0,4,0,6,0,0,3,252,0,0,6,0,3,30,30,13,3,5,3,0,0,0,0,101,0,4,3,23,33,24,40,16,9,0,3,6,0,0,0,156,5,12,20,51,451,681,3516,1996,378,383,305,456,98,23,78,8447,0,22,108,47,22,33,3,0,0,0,0,0,0,0,9,244,10,32,97,59,91,79,89,54,0,8,12,7,9,0,10,544,0,0,0,19,94,50,66,19,11,4,4,4,0,0,7,290,105,336,180,90,93,38,64,31,10,0,7,9,3,0,81,1038,5,94,306,99,26,7,8,27,0,5,0,3,0,0,12,600,5,0,16,84,333,445,430,158,35,45,16,35,30,6,16,1658,13,3,114,163,341,670,1956,991,196,191,195,215,68,26,44,5187,3,10,6,37,66,197,244,63,22,17,17,13,13,0,3,706,0,0,0,11,55,96,241,341
CED202,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,21,0,0,0,4,5,3,41,33,0,3,0,0,3,0,0,100,0,0,26,28,25,33,54,17,6,7,6,3,0,0,0,203,0,0,8,3,22,30,270,164,32,40,45,80,23,0,12,741,0,52,77,23,8,9,0,0,0,0,0,0,0,0,9,186,8,9,8,0,0,6,24,4,3,0,4,0,0,0,0,63,3,0,0,3,14,11,14,12,0,0,5,6,0,0,4,78,87,161,56,42,52,23,42,17,5,0,5,5,4,0,16,517,0,35,47,12,0,0,0,0,0,0,0,0,0,0,10,102,0,0,5,11,15,16,19,15,3,6,0,3,6,0,3,97,8,6,22,29,21,40,556,408,136,115,184,235,96,16,57,1918,0,3,6,6,3,12,27,28,3,4,0,7,3,0,0,104,0,0,0,0,7,0,21,23
