CED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
CED123,503,4945,425,0,5875,428,5635,477,0,6541,885,11761,1186,38,13867,1203,11467,1047,20,13738,1031,9586,835,15,11467,749,7959,533,19,9258,711,5807,403,33,6957,292,2794,330,5,3424,38,667,163,0,873,5845,60618,5407,132,72004,662,4672,335,4,5667,586,5249,473,7,6314,1111,12767,1173,18,15074,1502,11594,978,10,14080,1163,9822,699,11,11686,906,8468,456,23,9858,847,6472,426,30,7772,324,3165,427,7,3921,51,1149,394,3,1600,7149,63366,5355,112,75979,1169,9619,756,7,11544,1014,10885,951,15,12858,1995,24532,2357,57,28944,2705,23062,2028,28,27821,2191,19407,1535,25,23158,1656,16424,988,43,19118,1560,12274,832,66,14727,614,5959,754,13,7344,91,1817,561,8,2477,12994,123986,10767,246,147989
CED124,463,3492,398,6,4360,293,2616,217,0,3128,570,5017,438,8,6037,1011,5487,457,7,6966,1331,7044,545,12,8932,1867,9103,643,10,11623,2662,9789,742,8,13190,1369,5807,533,5,7725,175,1777,279,3,2236,9746,50138,4253,60,64196,592,3215,329,0,4129,359,2418,190,0,2964,808,5434,459,11,6708,1511,5767,501,15,7796,1733,7557,504,3,9807,2338,9993,602,11,12954,3096,9456,698,7,13254,1435,5792,665,3,7885,226,2587,474,0,3293,12089,52222,4426,51,68787,1053,6704,724,3,8488,655,5036,403,4,6091,1371,10449,899,23,12743,2523,11258,961,20,14760,3068,14602,1051,17,18736,4204,19099,1249,25,24580,5756,19244,1434,13,26449,2801,11604,1200,12,15613,400,4362,758,5,5523,21831,102355,8677,113,132983
CED125,454,5539,423,4,6422,447,5708,392,9,6560,908,13243,871,20,15041,1232,13652,922,20,15833,955,10076,617,14,11661,817,8634,449,25,9924,692,6291,314,46,7342,263,2686,249,9,3202,23,551,79,9,668,5793,66388,4311,159,76653,508,5285,384,0,6181,601,5347,394,10,6357,1210,14869,981,20,17081,1477,13587,857,16,15933,1069,10074,573,24,11734,961,9366,450,68,10839,826,6858,420,48,8153,272,2929,328,13,3541,41,866,199,5,1114,6961,69177,4594,201,80934,965,10827,803,6,12604,1047,11059,785,22,12909,2119,28115,1849,42,32126,2713,27236,1779,36,31766,2020,20150,1193,37,23401,1776,18001,898,96,20761,1516,13149,737,93,15497,539,5609,578,23,6748,66,1423,285,11,1779,12758,135565,8906,363,157588
CED126,820,4152,176,12,5163,470,3735,131,5,4345,665,6214,300,19,7203,1315,7505,329,19,9174,2075,8668,339,21,11096,1684,7631,307,17,9643,1396,5704,253,17,7371,891,3925,263,4,5089,147,1437,216,6,1811,9462,48975,2333,121,60896,916,3591,141,0,4654,575,3155,131,10,3871,744,6292,312,36,7384,1741,8124,359,13,10232,2566,9025,355,17,11962,1698,8031,303,14,10049,1554,6339,281,17,8197,951,4643,360,8,5965,171,2435,454,4,3055,10918,51635,2705,118,65380,1738,7746,322,15,9819,1056,6891,262,10,8217,1409,12510,610,55,14589,3049,15630,696,29,19404,4636,17690,695,39,23064,3381,15662,611,33,19691,2952,12047,534,32,15569,1843,8569,630,14,11059,319,3868,671,9,4868,20383,100616,5034,243,126273
CED127,592,3928,204,0,4731,464,3387,184,0,4040,795,6708,384,21,7908,1194,6854,368,10,8430,1535,7760,374,16,9681,1562,7603,361,6,9527,1707,6071,287,7,8069,762,3052,193,0,4006,91,925,91,0,1102,8708,46283,2437,65,57496,627,3497,191,8,4320,527,2938,127,4,3601,1014,6675,326,9,8024,1731,6945,349,15,9037,1956,8163,364,9,10496,1936,7995,318,8,10260,2031,6437,281,14,8753,879,3613,276,11,4782,139,1497,238,0,1878,10837,47761,2473,70,61142,1220,7424,397,6,9049,992,6328,311,9,7644,1808,13381,712,30,15930,2926,13796,720,21,17465,3490,15925,741,27,20182,3503,15597,682,15,19794,3735,12508,564,20,16823,1638,6665,467,10,8783,229,2418,326,0,2981,19541,94048,4912,133,118635
CED128,384,5175,407,0,5969,348,5184,463,8,5994,680,10814,1013,19,12528,762,10068,928,25,11777,667,9271,688,18,10640,597,8873,561,17,10047,481,6353,422,13,7268,191,3287,253,13,3745,18,979,133,4,1130,4119,60009,4866,110,69100,453,4672,341,0,5471,522,4667,344,8,5544,784,10461,933,17,12193,940,10215,815,12,11981,856,9487,645,21,11009,731,9307,556,23,10609,549,6704,413,31,7695,238,3545,338,10,4132,27,1518,269,9,1819,5099,60577,4659,132,70460,839,9843,754,3,11444,869,9851,802,12,11539,1463,21271,1945,33,24718,1698,20283,1746,35,23763,1522,18757,1334,39,21654,1323,18180,1119,37,20659,1028,13053,832,48,14968,429,6838,589,19,7876,47,2500,401,13,2949,9217,120577,9520,242,139560
CED129,860,5365,141,3,6374,748,4618,152,10,5522,962,8076,336,30,9407,1669,13015,440,17,15135,1892,10674,298,16,12877,1218,7972,217,34,9443,1007,6017,209,66,7295,628,3293,180,16,4123,70,964,169,4,1202,9053,59990,2138,188,71381,999,4910,130,3,6039,975,4095,147,4,5216,1083,8896,359,15,10361,2205,13796,441,34,16476,2174,10973,299,19,13463,1243,8547,250,73,10117,1149,6949,207,83,8387,547,3789,217,13,4571,80,1419,218,5,1726,10450,63381,2272,252,76358,1866,10276,274,8,12417,1720,8713,293,12,10737,2045,16977,695,43,19762,3871,26812,881,43,31609,4065,21647,595,37,26342,2465,16517,469,103,19559,2154,12963,418,146,15684,1176,7088,400,31,8692,149,2382,391,11,2931,19507,123371,4415,443,147739
CED130,686,3857,603,0,5145,432,3372,551,9,4365,1004,7078,925,88,9090,1356,6315,801,68,8544,1726,6660,884,20,9290,1869,7511,855,7,10254,2062,6618,723,0,9415,1060,3763,555,0,5376,184,1127,268,0,1578,10378,46305,6174,201,63058,786,3671,675,8,5140,508,3369,499,4,4379,1256,7450,840,32,9576,1940,6290,771,24,9024,1997,7014,775,11,9799,2178,7845,744,8,10780,2423,6281,706,10,9417,1267,4170,659,4,6098,217,1956,422,0,2598,12580,48037,6090,102,66807,1476,7527,1283,8,10289,941,6743,1047,15,8748,2257,14524,1768,118,18667,3299,12605,1575,94,17572,3721,13674,1658,36,19085,4049,15361,1601,17,21033,4490,12898,1423,17,18828,2330,7924,1216,3,11474,402,3087,689,0,4181,22957,94342,12258,307,129866
CED131,532,3957,301,0,4788,732,5639,486,12,6871,1237,11139,759,31,13163,1528,8625,555,14,10724,1664,7760,495,17,9936,1282,7460,453,15,9210,1222,5462,410,10,7106,584,2913,367,5,3864,73,1156,243,0,1479,8853,54110,4070,108,67136,697,3721,304,0,4729,1057,5538,423,12,7029,1580,10800,642,24,13048,1994,8451,466,15,10924,1847,8197,439,13,10490,1436,7786,390,21,9635,1348,5887,383,29,7647,604,3587,469,6,4667,95,2067,616,0,2779,10645,56051,4135,120,70944,1231,7680,605,0,9513,1785,11183,913,25,13901,2817,21937,1402,52,26213,3520,17076,1025,32,21653,3509,15951,935,24,20425,2715,15250,844,42,18845,2566,11353,796,40,14747,1186,6502,828,10,8532,168,3227,856,0,4259,19501,110154,8200,229,138082
CED132,798,3131,102,5,4041,630,3392,159,15,4194,1380,10487,609,43,12517,1624,11315,597,46,13584,1971,8377,416,53,10822,1625,6524,340,27,8510,1461,4891,311,48,6710,815,2829,254,16,3919,108,1080,215,5,1406,10411,52034,3002,259,65700,901,2757,123,11,3792,790,3169,146,16,4119,1692,11569,656,44,13959,2386,11751,638,51,14825,2751,8601,392,28,11776,1914,7076,343,50,9378,1641,5844,357,54,7901,847,3456,367,21,4691,146,1945,515,3,2607,13062,56162,3544,279,73053,1696,5889,227,16,7830,1417,6565,306,27,8318,3070,22054,1269,84,26473,4008,23068,1233,95,28409,4723,16975,811,85,22599,3535,13591,684,75,17889,3101,10737,669,99,14609,1666,6284,618,43,8611,256,3031,730,8,4016,23476,108195,6549,536,138754
CED133,543,3862,477,6,4886,380,3197,474,38,4084,768,6535,1051,85,8434,1313,6478,995,46,8835,1621,7781,902,24,10329,2139,9534,950,16,12634,2411,9077,785,9,12284,1065,4560,489,6,6119,177,1469,240,0,1883,10417,52490,6362,223,69490,584,3451,426,0,4461,372,3088,335,31,3827,1022,6956,794,57,8829,1844,6863,790,34,9533,2066,8251,731,20,11069,2525,9711,766,17,13029,2978,8446,744,4,12175,1342,4662,577,5,6587,229,2284,431,0,2947,12960,53718,5600,167,72453,1125,7316,905,7,9351,753,6280,805,69,7911,1789,13492,1846,141,17262,3155,13346,1786,75,18369,3690,16029,1641,43,21403,4663,19243,1713,34,25661,5393,17524,1528,13,24455,2415,9223,1065,12,12706,410,3753,672,6,4835,23383,106205,11964,393,141944
CED134,507,3302,674,0,4487,337,3344,621,13,4316,1063,7736,1346,55,10201,1449,6015,1188,18,8668,1557,6556,1204,14,9324,1746,7684,1311,11,10752,1667,6213,1051,13,8936,844,3326,626,3,4794,133,1083,245,3,1461,9290,45258,8270,128,62951,607,3020,612,6,4236,446,3181,531,9,4177,1300,8114,1283,37,10738,1941,5969,1160,7,9077,1880,6382,1131,0,9402,2039,7397,1131,10,10581,2014,5499,906,6,8427,1118,3452,753,6,5322,208,1701,404,0,2310,11564,44717,7913,88,64275,1113,6320,1287,7,8725,789,6524,1155,25,8486,2362,15853,2632,92,20941,3386,11981,2352,23,17748,3437,12935,2334,16,18730,3783,15088,2443,18,21337,3685,11708,1956,23,17366,1964,6769,1381,8,10123,340,2782,652,3,3778,20859,89972,16186,214,127225
CED135,486,3949,332,4,4773,671,6549,761,11,7984,1444,17735,1972,43,21189,1502,16146,1475,43,19163,1039,8991,822,41,10897,872,7835,691,37,9425,638,5332,440,58,6462,278,2705,326,13,3314,45,962,235,9,1251,6967,70195,7057,251,84470,567,3449,335,6,4357,911,5354,525,17,6808,1719,16800,1598,45,20153,1732,13790,1241,25,16783,1288,8989,674,22,10977,989,8036,562,93,9676,717,5708,435,78,6945,299,3172,359,17,3846,55,1327,256,9,1651,8269,66621,5988,318,81202,1058,7393,672,10,9131,1579,11897,1287,29,14787,3162,34530,3565,84,41346,3229,29933,2722,61,35947,2329,17984,1496,65,21873,1856,15865,1248,134,19106,1355,11037,874,139,13407,573,5874,683,33,7165,98,2292,498,12,2903,15236,136821,13043,567,165668
CED136,428,4601,286,3,5319,343,4435,225,5,5001,729,9580,569,6,10888,1079,8522,485,9,10087,1127,8573,427,10,10131,1115,8557,403,10,10086,1420,7522,414,11,9360,740,4227,359,3,5337,97,1087,165,0,1343,7069,57102,3325,63,67560,522,4147,243,3,4912,446,4202,223,4,4877,1009,10089,523,13,11636,1552,8759,459,0,10776,1414,9008,381,7,10808,1510,9178,370,14,11070,1748,8008,437,9,10200,823,4705,414,7,5948,102,1792,332,0,2227,9135,59881,3381,62,72456,951,8748,525,6,10228,791,8639,445,10,9877,1739,19672,1091,18,22524,2629,17280,945,19,20870,2542,17577,808,18,20943,2623,17735,773,25,21158,3167,15526,857,18,19564,1567,8937,771,12,11283,193,2877,496,8,3575,16201,116977,6707,122,140017
CED137,578,3350,172,10,4110,699,7440,751,19,8905,1522,19393,1940,67,22918,1365,13483,1235,46,16133,1295,8999,654,26,10976,1145,8072,456,51,9717,891,5763,413,43,7112,400,3190,303,20,3911,79,1309,237,9,1632,7971,70995,6161,292,85420,696,3322,184,11,4213,955,6522,490,24,7987,1738,18917,1348,52,22060,1740,12727,828,43,15331,1803,9747,473,36,12065,1324,9056,406,94,10878,1057,6491,339,53,7939,435,3783,355,21,4591,81,1944,434,0,2462,9831,72508,4858,329,87525,1277,6667,359,20,8321,1648,13960,1246,40,16901,3259,38310,3284,128,44983,3102,26212,2058,88,31463,3102,18749,1125,65,23042,2466,17126,865,135,20596,1947,12254,757,97,15047,833,6968,655,34,8497,160,3255,668,6,4091,17799,143509,11018,620,172947
CED138,465,3487,382,0,4333,314,2859,309,23,3504,754,6522,793,45,8113,1356,7401,865,9,9642,1658,7757,803,21,10239,1788,8719,782,13,11310,2117,8484,738,23,11357,982,4785,486,15,6263,161,1784,291,0,2233,9581,51791,5460,154,66986,543,3312,334,5,4192,409,2818,316,19,3558,1144,7197,793,45,9180,2043,7853,819,16,10731,2185,8450,812,18,11453,2408,9585,788,17,12801,2810,8510,695,28,12039,1266,5159,573,14,7006,207,2757,549,0,3515,13004,55638,5674,162,74482,1006,6802,716,5,8526,718,5676,628,40,7059,1896,13720,1582,91,17295,3404,15258,1687,29,20370,3838,16204,1618,41,21694,4197,18307,1572,29,24108,4923,16995,1435,50,23398,2245,9937,1059,24,13269,365,4537,841,7,5752,22591,107433,11134,320,141467
CED139,752,4183,516,0,5457,554,4015,530,20,5116,1046,7823,994,66,9922,1588,6474,922,54,9040,1777,6662,879,3,9315,1918,7503,780,4,10211,2003,6393,621,6,9025,1100,3589,442,3,5140,169,1325,183,0,1677,10920,47964,5861,163,64906,875,3744,422,0,5043,708,4001,355,13,5076,1320,7852,634,13,9819,2013,6555,602,5,9177,2058,6943,554,6,9567,2122,7637,627,13,10397,2397,6134,589,6,9128,1279,3921,479,4,5685,246,2181,323,0,2744,13012,48970,4593,60,66641,1626,7927,943,3,10495,1264,8014,885,27,10194,2364,15675,1629,75,19739,3599,13032,1523,63,18213,3830,13608,1428,13,18878,4043,15138,1410,19,20614,4403,12526,1211,12,18157,2382,7510,922,6,10823,417,3506,500,0,4424,23932,96935,10451,226,131540
CED140,618,3575,211,0,4402,402,3336,181,11,3935,654,6570,464,12,7699,1143,7252,397,14,8806,1442,7785,462,15,9709,1363,7897,425,13,9691,1369,6721,424,6,8520,795,4267,387,10,5455,128,1363,309,0,1798,7913,48760,3258,80,60006,658,3318,177,3,4149,486,3141,185,0,3812,752,6732,414,8,7912,1585,7576,491,11,9656,1797,8054,400,19,10266,1666,8775,434,17,10887,1833,7609,508,14,9969,879,4830,559,6,6274,127,2300,664,4,3102,9781,52330,3832,89,66038,1273,6890,388,3,8555,889,6483,371,10,7747,1409,13300,880,17,15611,2728,14826,887,26,18461,3242,15840,858,37,19971,3028,16671,854,31,20583,3201,14330,935,28,18494,1674,9091,945,12,11724,256,3661,977,9,4900,17697,101092,7092,167,126044
CED141,449,3899,219,0,4564,306,3678,178,3,4174,589,7027,413,8,8032,1085,7141,370,9,8607,1279,7725,361,5,9370,1090,7897,306,8,9305,1239,6697,310,4,8250,710,4242,314,3,5275,104,1342,186,3,1630,6855,49649,2652,52,59202,519,3489,163,0,4173,416,3274,166,0,3852,795,7270,369,12,8446,1589,7392,350,6,9341,1456,8080,306,6,9852,1312,8611,306,5,10233,1501,7586,396,13,9491,801,4965,442,0,6204,112,2161,332,3,2606,8500,52821,2825,44,64194,968,7387,380,3,8739,723,6953,348,5,8027,1390,14294,782,15,16481,2668,14538,727,16,17945,2734,15805,664,15,19217,2400,16509,612,19,19533,2739,14281,709,12,17740,1513,9207,755,3,11474,221,3498,516,7,4240,15355,102468,5477,93,123396
CED142,361,1888,264,40,2548,1345,8129,1375,105,10957,3249,28201,3388,343,35182,2205,17436,2032,174,21847,1628,9999,1368,111,13108,1319,7343,992,110,9763,915,4534,634,63,6148,363,2059,395,17,2833,42,588,168,0,804,11415,80166,10622,978,103180,465,1979,255,29,2720,1744,8236,975,92,11050,3757,26010,2571,245,32574,2161,13770,1330,136,17388,1550,7315,739,87,9694,1337,5907,578,123,7946,922,4187,451,64,5621,355,2080,318,19,2773,52,771,222,3,1051,12346,70256,7427,791,90820,829,3863,518,65,5272,3091,16372,2352,196,22008,7000,54212,5959,588,67753,4370,31199,3356,310,39241,3178,17314,2108,204,22800,2655,13247,1566,241,17708,1834,8721,1090,125,11767,716,4138,712,36,5602,93,1361,388,7,1856,23762,150419,18048,1765,194003
CED143,821,3391,129,7,4349,502,3057,126,13,3691,1021,7874,374,42,9309,1424,8524,382,31,10367,2266,8220,289,20,10793,1759,6551,229,31,8570,1251,4334,174,18,5776,750,2778,141,9,3685,141,1167,102,0,1404,9947,45888,1943,165,57943,976,2989,97,10,4070,637,2979,101,9,3732,1261,8703,409,44,10418,2137,8917,365,27,11446,3012,8403,312,25,11750,1902,6854,214,28,9002,1383,5154,199,25,6758,828,3554,208,9,4591,141,1743,267,3,2154,12273,49297,2172,186,63926,1798,6379,228,20,8416,1138,6039,231,25,7423,2283,16580,783,84,19731,3559,17439,747,63,21812,5280,16617,597,52,22543,3667,13405,445,63,17573,2636,9487,370,38,12538,1575,6335,351,14,8279,280,2905,374,3,3562,22213,95186,4116,354,121872
CED144,417,4605,386,6,5413,572,5646,594,16,6826,1069,13063,1458,45,15632,1016,11040,1113,31,13201,871,9353,773,33,11029,744,8615,634,21,10017,450,5935,379,20,6790,214,3464,306,7,3985,48,1365,176,4,1587,5388,63080,5823,187,74479,497,4265,349,9,5120,713,4888,442,15,6054,1202,11574,1108,31,13914,1194,10350,926,25,12498,1034,9679,722,19,11463,849,8727,592,40,10214,606,6278,421,22,7320,232,3839,356,10,4433,52,2026,328,6,2404,6378,61624,5237,173,73410,907,8870,734,17,10535,1281,10531,1033,28,12875,2268,24641,2562,77,29550,2205,21390,2045,54,25694,1909,19030,1495,51,22493,1596,17340,1225,65,20227,1053,12208,801,51,14111,446,7295,655,16,8420,96,3396,506,9,3997,11760,124704,11057,363,147892
CED145,719,2238,179,6,3141,507,2502,190,18,3225,1497,10912,892,67,13369,1562,8814,625,63,11063,1775,6967,398,49,9187,1412,5403,297,38,7158,1075,4224,253,33,5584,504,2690,265,12,3472,124,1000,298,3,1421,9171,44742,3409,298,57620,768,2081,131,8,2985,776,2853,196,27,3866,2011,12499,911,74,15491,2002,8832,567,40,11437,2284,6881,403,47,9614,1580,5492,300,45,7418,1287,4708,304,23,6324,661,3188,485,12,4353,129,1513,721,12,2368,11503,48051,4032,285,63866,1486,4318,310,14,6127,1283,5356,389,53,7087,3504,23415,1810,143,28869,3569,17647,1193,98,22506,4060,13850,805,101,18804,2996,10897,603,86,14572,2360,8930,561,57,11905,1166,5878,748,24,7822,245,2507,1024,12,3791,20668,92795,7437,587,121483
CED146,437,6612,491,0,7544,493,6278,390,8,7171,753,11288,816,10,12872,967,12008,868,15,13858,885,10708,658,13,12263,688,9699,572,23,10989,434,5846,344,27,6658,157,2575,288,3,3023,18,663,238,0,918,4839,65686,4663,103,75287,578,6025,421,5,7026,686,5656,363,12,6711,992,12229,885,19,14129,1215,12701,924,12,14855,1011,11274,669,12,12970,734,9827,516,43,11122,481,6170,368,36,7056,153,2869,337,13,3380,23,997,352,0,1371,5878,67750,4841,150,78615,1015,12633,915,5,14570,1177,11935,752,13,13882,1742,23518,1699,27,26996,2183,24708,1794,22,28707,1901,21982,1323,26,25233,1428,19529,1089,67,22106,917,12016,710,70,13712,311,5444,624,19,6399,43,1660,586,0,2296,10720,133432,9502,250,153906
CED147,537,4443,260,7,5248,319,4224,211,6,4757,678,8385,435,8,9503,1005,8203,459,4,9674,1214,8464,455,10,10147,1125,8602,361,6,10102,1368,7076,368,13,8832,747,4403,382,8,5539,124,1387,341,0,1852,7126,55192,3276,59,65652,617,4157,245,0,5021,436,3956,202,6,4609,878,8736,479,13,10111,1372,8487,448,9,10311,1471,9027,419,7,10920,1351,9291,386,24,11051,1729,7934,404,11,10071,906,5139,470,3,6523,139,2058,419,3,2613,8889,58791,3469,73,71225,1152,8599,511,7,10272,750,8182,419,6,9366,1555,17121,914,19,19612,2377,16688,906,17,19985,2689,17488,875,16,21068,2472,17899,747,32,21148,3097,15012,766,25,18901,1654,9546,849,10,12065,268,3443,759,3,4464,16015,113982,6744,138,136883
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,16,0,8,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,16,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,36,0,3,38
CED201,517,4165,161,0,4843,651,4197,170,4,5019,942,8621,436,8,10008,1335,9132,380,20,10866,1498,8481,328,17,10326,1243,8273,239,27,9774,1035,6084,220,17,7366,576,3214,220,14,4020,91,1118,147,4,1364,7888,53288,2300,112,63588,609,3702,156,4,4465,752,3706,159,0,4624,1112,8689,379,11,10192,1894,9135,392,8,11431,1718,9185,272,15,11184,1334,8972,286,42,10640,1213,6859,258,40,8373,630,3867,304,20,4814,103,1839,278,0,2225,9360,55959,2478,149,67944,1130,7870,314,5,9318,1401,7912,328,10,9641,2050,17307,808,23,20194,3225,18267,773,32,22296,3218,17665,603,30,21510,2583,17243,521,68,20415,2250,12947,476,63,15733,1205,7072,525,31,8836,188,2958,428,8,3585,17243,109246,4782,265,131529
CED202,618,3794,297,6,4714,420,3640,286,0,4343,929,7857,554,11,9348,1323,7015,470,13,8814,1634,7220,546,12,9410,1514,7174,453,11,9154,1706,5869,442,13,8029,751,3026,326,5,4105,114,981,200,0,1294,9011,46564,3575,59,59209,778,3387,327,0,4489,644,3446,271,3,4366,1131,7842,544,8,9528,1765,7495,496,9,9758,1906,7752,493,8,10156,1778,7768,459,14,10015,1888,6448,440,11,8781,831,3465,418,3,4717,119,1763,342,0,2226,10842,49372,3786,54,64044,1395,7181,621,5,9202,1072,7083,555,9,8711,2056,15701,1097,22,18878,3083,14509,969,13,18578,3542,14966,1043,18,19565,3293,14944,913,24,19166,3594,12316,877,19,16805,1584,6492,739,7,8825,230,2749,542,0,3521,19848,95933,7361,113,123254
CED203,530,3525,312,0,4363,499,3470,275,10,4257,902,7281,787,13,8983,1280,6788,674,7,8747,1640,6885,671,7,9208,1645,7112,600,7,9362,1958,6115,507,11,8584,920,3375,372,0,4674,157,1158,257,0,1577,9533,45701,4465,64,59763,631,3317,282,0,4232,596,3374,228,6,4206,1178,7712,579,9,9477,1805,7162,549,4,9534,1994,7324,534,0,9854,1906,8034,544,7,10500,2231,6458,483,12,9186,936,3806,487,3,5231,136,1826,496,6,2465,11411,49031,4192,48,64680,1162,6846,597,0,8602,1099,6847,502,19,8462,2080,14994,1369,23,18461,3085,13954,1228,12,18280,3633,14212,1207,7,19061,3552,15151,1144,11,19857,4188,12574,990,25,17774,1857,7183,859,9,9905,294,2984,756,9,4043,20942,94731,8659,114,124446
