CED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
CED133,905,3045,50,4004,19912,1711,34,25661,183,2601,13,2800,20103,1538,13,24455,48,462,0,508,11123,1066,12,12706,5,27,0,32,4101,696,6,4835,23119,9425,1213,33751,95774,12021,393,141944
CED134,611,2688,33,3330,15519,2463,18,21337,127,1925,13,2076,13331,1942,23,17366,36,421,0,451,8261,1395,8,10123,10,21,0,30,3088,661,3,3778,21904,8314,979,31201,79573,16239,214,127225
CED135,1169,1087,25,2278,15410,1284,134,19106,278,1136,15,1432,10936,902,139,13407,46,223,3,275,6186,671,33,7165,4,13,0,17,2371,498,12,2903,36562,4046,272,40886,110932,13282,567,165668
CED136,705,3255,48,4005,16345,783,25,21158,124,2700,15,2838,15868,839,18,19564,28,407,5,442,10034,787,12,11283,4,23,0,32,3027,513,8,3575,29124,9996,1247,40370,92718,6804,122,140017
CED137,1402,1274,22,2702,16884,870,135,20596,307,1676,30,2013,12174,762,97,15047,64,356,5,427,7365,675,34,8497,9,27,0,38,3375,675,6,4091,31990,4803,275,37073,124081,11176,620,172947
CED138,1153,2652,48,3846,18693,1541,29,24108,220,2834,13,3071,18860,1424,50,23398,37,486,0,525,11633,1079,24,13269,3,27,0,26,4862,850,7,5752,24747,8634,1044,34430,95623,11099,320,141467
CED139,738,2896,38,3676,15492,1429,19,20614,168,2307,15,2491,14424,1228,12,18157,18,448,4,474,9406,936,6,10823,3,23,0,35,3877,513,0,4424,24055,9149,1105,34314,86475,10525,226,131540
CED140,933,2103,21,3052,16648,851,31,20583,177,2092,19,2290,15249,930,28,18494,32,335,4,373,10364,973,12,11724,3,18,0,25,3881,984,9,4900,25240,6475,531,32236,86519,7124,167,126044
CED141,729,3100,26,3855,15043,620,19,19533,159,3221,13,3390,13622,711,12,17740,39,549,5,589,10124,761,3,11474,7,26,3,37,3684,515,7,4240,24968,9414,860,35236,82612,5455,93,123396
CED142,802,640,10,1453,14446,1568,241,17708,164,846,16,1028,9535,1082,125,11767,24,204,0,234,4619,714,36,5602,0,11,0,14,1444,390,7,1856,18982,3139,205,22322,151808,18102,1765,194003
CED143,1669,994,32,2700,14357,455,63,17573,197,1955,18,2168,9956,378,38,12538,28,517,0,549,7363,356,14,8279,3,23,0,25,3164,372,3,3562,28747,4823,353,33920,83455,4143,354,121872
CED144,1368,940,46,2346,16560,1258,65,20227,219,1001,24,1243,12009,810,51,14111,38,235,5,271,7473,655,16,8420,8,12,0,27,3467,505,9,3997,28665,3893,325,32878,103500,11143,363,147892
CED145,1476,817,19,2308,11595,586,86,14572,176,1583,10,1774,9534,538,57,11905,34,448,8,486,6566,739,24,7822,7,21,0,28,2729,1021,12,3791,23148,4155,269,27571,85923,7412,587,121483
CED146,1243,1504,53,2803,18148,1090,67,22106,225,1082,25,1337,11590,725,70,13712,34,158,0,191,5553,635,19,6399,8,19,0,20,1689,590,0,2296,34072,5378,498,39950,104150,9552,250,153906
CED147,802,2926,37,3771,16609,743,32,21148,143,2358,16,2516,15608,753,25,18901,37,418,4,457,10743,852,10,12065,5,24,0,32,3659,780,3,4464,27902,8552,837,37293,92708,6746,138,136883
CED197,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
CED201,956,2599,36,3593,16223,526,68,20415,240,3006,23,3269,11907,495,63,15733,55,486,10,551,7724,531,31,8836,0,17,0,18,3109,447,8,3585,27653,8329,649,36631,89795,4842,265,131529
CED202,820,2538,34,3392,14838,919,24,19166,176,2446,11,2634,13243,913,19,16805,42,391,4,434,7626,758,7,8825,0,15,0,16,2948,558,0,3521,24636,8207,929,33773,81888,7483,113,123254
CED203,817,2699,32,3545,15171,1141,11,19857,159,2622,4,2792,13980,980,25,17774,38,488,0,527,8509,866,9,9905,0,23,0,24,3319,697,9,4043,24247,8681,894,33819,81902,8607,114,124446
CED204,1110,2285,54,3447,16730,1068,82,21329,244,2076,25,2346,11957,799,82,15188,43,388,6,434,7004,608,23,8065,9,15,0,21,2879,348,13,3258,28891,7417,650,36958,99060,9446,323,145792
CED205,957,1739,41,2736,14149,968,67,17927,203,1260,20,1485,8581,548,57,10675,20,192,7,212,4344,355,20,4934,0,14,0,11,1294,168,0,1474,33401,6061,574,40039,94013,9448,267,143763
CED206,867,2971,34,3869,15454,712,22,20061,172,3103,22,3295,11982,548,21,15843,40,531,3,574,7395,429,12,8412,3,20,0,21,2456,168,0,2650,28220,9372,1076,38670,82454,4996,131,126247
CED207,1394,1747,31,3171,15988,590,114,19870,389,3190,16,3599,11935,528,133,16191,90,798,3,894,10880,586,32,12394,6,32,0,45,5710,550,11,6314,30082,7441,395,37912,109947,7082,712,155660
CED208,1086,1135,22,2241,13135,685,33,16099,131,1520,16,1671,8683,588,38,10977,38,366,0,412,6606,550,16,7583,5,33,0,34,3409,557,3,4009,24795,5137,472,30408,94216,6713,219,131552
CED209,773,2630,41,3443,13516,642,24,17618,164,3361,16,3540,12956,744,13,17256,26,494,0,516,8227,701,5,9451,6,19,0,16,3246,545,0,3815,27158,8846,838,36840,79023,5634,105,121599
CED210,826,2474,29,3323,14547,869,21,18765,119,2651,9,2779,11842,796,22,15445,32,513,0,539,7769,685,11,9008,7,25,0,27,3294,429,0,3756,25276,8461,795,34532,87879,8307,161,130878
CED211,1047,2382,31,3455,15337,504,72,19361,282,3399,18,3696,11517,529,82,15826,45,679,0,722,8840,658,20,10246,14,27,0,43,3926,881,4,4849,30490,8565,724,39773,90735,5345,280,136143
CED212,942,2532,31,3504,14814,825,13,19159,170,2652,10,2827,11267,667,26,14788,28,504,5,535,7350,689,14,8585,6,19,0,24,2967,574,7,3575,27894,8417,976,37282,82916,7126,138,127464
CED213,934,2795,33,3762,15622,1013,25,20419,183,3644,20,3848,15910,1111,26,20889,44,686,3,735,12042,1113,7,13905,13,36,0,46,4509,889,3,5449,22552,9410,797,32762,84817,7905,123,125607
CED214,1122,1459,42,2626,14411,1149,82,18265,202,1596,21,1825,10859,874,55,13604,36,306,8,353,6423,737,18,7538,11,24,3,32,2822,541,3,3400,25399,5744,463,31599,104678,11292,378,147945
CED215,1175,1612,31,2816,13405,737,140,17093,268,1886,20,2174,8963,488,157,11790,38,329,10,380,5274,357,30,6043,6,22,0,27,2298,194,0,2522,41024,6209,699,47934,88712,8649,484,145774
CED216,689,2869,24,3585,17186,1477,30,22280,143,2308,9,2454,17363,1545,10,21370,42,367,0,407,9942,1111,5,11466,3,20,0,25,3232,742,3,3994,21144,8463,908,30516,85846,11312,166,127841
CED217,1740,1628,39,3412,15833,516,54,19808,232,3363,19,3613,11209,501,47,15371,54,814,5,865,7979,490,21,9357,6,38,0,42,4237,463,5,4742,28442,7363,532,36336,84675,4548,297,125853
CED218,1050,2173,45,3274,14395,849,78,18594,228,2068,28,2325,10200,582,84,13185,48,331,3,374,5209,336,19,5939,0,15,0,18,1692,154,3,1872,32499,7156,578,40237,90581,9463,287,140564
CED219,753,2403,34,3188,13027,795,52,17069,165,2066,12,2246,10349,613,62,13264,19,285,5,307,5131,415,13,5868,5,15,0,17,1722,149,8,1891,30836,7934,854,39623,80446,7384,221,127674
CED220,1265,1104,20,2387,13161,580,64,16189,192,2465,11,2670,9621,559,56,12901,56,701,5,754,7148,554,15,8472,9,41,0,55,3296,529,4,3877,22256,5906,384,28540,97927,6228,390,133089
CED221,949,2086,48,3079,12526,777,107,16497,203,1488,30,1723,8025,477,99,10318,36,228,6,271,4244,270,26,4806,0,15,0,15,1452,125,9,1599,37836,7416,999,46251,86930,7551,330,141064
CED222,1247,1668,52,2967,16552,846,85,20453,306,2256,27,2589,12832,702,113,16232,65,465,11,539,9256,656,37,10493,14,37,0,53,4392,464,8,4916,30333,6573,471,37376,117166,8961,520,164027
CED223,840,2773,38,3643,17867,1493,23,23028,161,2572,15,2746,16686,1358,18,20809,37,443,3,478,9768,984,8,11241,3,19,0,26,3658,524,0,4211,23374,8569,929,32875,88563,10109,203,131751
CED224,1073,1898,26,2996,15239,570,58,18861,185,2620,17,2812,10834,565,39,14254,47,500,4,546,7593,559,12,8711,5,33,0,41,3726,333,6,4109,29330,7147,608,37086,87873,5078,239,130279
CED225,1134,2198,31,3361,15415,549,27,19354,185,3593,11,3787,11669,582,40,16078,37,728,4,763,7969,453,16,9207,7,31,0,42,3533,361,12,3945,29063,8433,638,38135,86795,4681,209,129824
CED226,1671,1462,39,3175,16016,492,107,19788,276,3607,21,3906,10959,443,75,15388,59,961,8,1025,7954,411,26,9411,7,38,0,47,4509,378,8,4939,27466,7693,453,35612,95523,4481,510,136128
CED227,820,2190,33,3042,11718,647,75,15482,152,1969,21,2140,8472,534,66,11215,30,320,3,352,5413,474,36,6279,3,13,0,17,1772,288,5,2078,35195,7578,995,43769,78492,6637,279,129176
CED228,927,1975,47,2950,12930,762,165,16813,229,1653,15,1896,8450,559,149,11054,16,218,4,233,4187,355,29,4811,5,8,0,14,1354,227,0,1600,40918,7159,778,48864,93060,10037,500,152457
CED229,1219,1268,24,2503,13488,1057,103,17155,179,2279,8,2464,9717,823,55,13062,56,474,0,532,5615,645,25,6808,0,27,0,28,2333,520,0,2886,20851,6266,476,27599,109310,10253,574,147740
