UCL_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
UCL115160,4,3,7,0,0,0,0,0,5,0,3,12,3,9,10,6,15,17,5,4,13,18,3,18,27,9,35,27,5,30,18,6,20,31,5,37,93,9,98,113,0,111,104,0,103,63,0,63,222,0,221,46,0,46,8,0,10,794,78,868
UCL115161,13,24,39,5,15,17,4,19,30,11,55,68,31,176,206,28,91,119,121,48,165,116,68,182,113,37,151,155,24,184,81,17,98,95,14,112,132,36,166,78,0,73,42,5,44,19,0,19,31,4,34,71,6,82,27,32,58,1176,671,1846
UCL115162,3,5,12,5,4,9,3,8,8,0,11,11,10,48,54,12,37,50,47,19,66,55,27,87,70,17,96,80,22,101,53,15,65,64,7,68,130,18,147,80,5,89,73,6,73,41,0,42,71,5,71,46,4,52,8,3,8,848,271,1124
UCL115163,8,4,16,0,0,4,0,4,8,0,6,13,7,25,33,3,27,28,36,4,47,19,12,33,30,18,45,33,5,40,29,3,30,22,9,29,73,3,77,47,0,47,34,4,37,37,0,37,60,0,61,34,0,30,8,6,15,484,137,624
UCL115164,8,10,15,6,6,10,5,7,7,3,5,5,5,26,38,8,25,36,47,13,67,40,19,56,34,18,50,30,3,33,23,10,23,18,7,19,38,7,46,22,0,22,15,0,15,22,0,22,38,0,40,19,0,19,10,15,24,385,164,545
UCL115165,3,7,11,0,0,0,0,3,3,4,5,12,9,20,31,8,10,13,22,7,35,12,11,25,15,16,32,15,4,25,13,0,19,18,5,24,52,7,57,29,0,29,16,0,22,15,0,15,27,0,27,25,0,22,9,8,16,285,126,410
UCL121001,3,5,9,0,3,6,6,4,9,4,3,6,7,19,26,5,18,23,28,7,38,15,17,34,21,7,28,20,4,24,14,4,19,6,6,12,32,9,40,22,0,23,11,0,13,3,0,3,13,6,20,17,0,17,3,9,9,232,122,361
UCL121002,0,3,5,0,0,0,0,0,0,0,8,8,8,25,39,7,15,21,6,8,18,9,8,18,18,7,20,11,10,20,10,4,12,12,3,14,9,0,10,6,0,6,0,0,6,0,0,0,7,0,5,9,3,15,0,8,9,119,104,228
UCL121003,4,4,6,0,0,0,0,10,8,0,5,5,8,19,24,6,3,11,22,9,32,12,3,19,17,10,26,10,4,17,16,6,21,18,6,25,24,5,29,15,0,18,14,5,11,7,0,7,17,6,25,18,3,16,4,4,10,206,109,316
UCL121004,0,0,0,0,0,0,0,0,4,4,4,9,6,7,10,7,11,13,26,0,29,15,6,21,15,0,22,34,0,40,14,3,14,15,5,22,45,0,44,22,0,22,13,4,20,8,0,8,10,0,10,21,0,20,5,7,8,259,53,310
UCL121005,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,3,0,5,4,0,4,9,3,12,12,0,12,8,0,8,3,0,8,26,0,28,13,0,13,7,0,15,8,0,8,27,0,31,15,0,15,5,0,3,149,22,167
UCL121006,0,6,9,0,5,5,4,0,6,0,14,14,10,22,29,5,18,22,18,10,26,10,0,16,14,10,18,22,6,26,11,0,10,17,4,18,18,8,23,9,3,12,12,0,9,4,0,4,7,6,12,10,0,8,0,13,8,157,126,282
UCL121007,0,8,3,0,0,0,0,5,3,4,10,11,9,43,47,11,27,37,41,13,51,34,19,50,27,6,29,25,5,28,7,10,13,11,0,20,23,0,24,20,0,15,10,0,10,9,0,9,7,0,7,20,0,19,10,17,27,248,161,411
UCL121008,0,0,6,0,0,0,0,6,3,0,3,5,3,11,11,7,7,13,8,4,17,7,8,16,6,9,15,4,0,4,3,0,3,6,0,8,7,0,8,0,0,0,0,0,6,0,0,0,0,0,0,4,0,4,10,10,25,86,60,147
UCL121009,0,4,8,3,0,7,0,7,7,0,8,8,6,32,36,0,9,16,20,6,18,12,10,25,15,10,26,19,4,29,13,0,13,12,10,21,28,32,53,9,0,9,14,10,26,9,0,9,23,6,30,14,0,16,3,20,22,199,172,374
UCL121010,6,3,13,0,0,0,4,0,7,0,9,7,3,18,21,0,13,18,15,12,29,11,3,16,15,9,22,15,0,18,9,8,20,7,8,11,24,4,30,11,5,21,10,3,12,5,0,3,28,29,54,10,0,15,6,10,7,184,133,312
UCL121011,4,4,6,0,0,4,0,6,9,0,9,13,14,37,48,7,16,24,26,15,39,34,10,45,23,8,29,18,9,33,17,3,19,12,3,16,13,0,10,10,0,10,3,0,3,3,0,3,0,3,4,10,3,18,4,11,23,219,147,366
UCL121012,0,3,5,0,0,0,4,0,4,0,3,3,3,3,8,0,0,0,7,0,11,13,0,13,12,0,17,17,3,17,14,4,14,12,0,11,24,3,28,24,0,24,24,0,25,22,0,22,50,0,52,14,0,14,5,0,5,246,26,278
UCL121013,0,4,3,0,0,0,0,9,9,3,17,20,4,14,15,3,6,11,9,12,21,9,14,23,18,3,22,11,9,14,4,3,9,4,5,12,22,7,28,9,0,9,7,4,16,7,0,8,14,6,17,7,0,13,6,16,16,136,135,273
UCL121014,0,0,4,0,0,0,0,0,0,3,12,14,4,13,18,0,18,18,13,7,15,11,20,31,11,9,17,9,4,13,0,5,9,8,0,10,15,0,15,17,0,17,5,0,5,0,0,0,5,0,5,10,0,11,0,10,12,121,99,225
UCL121015,4,4,7,0,0,0,0,0,4,0,9,9,7,14,18,9,8,13,8,4,19,10,7,12,5,9,17,5,10,19,9,0,17,9,5,15,23,4,32,20,4,17,17,0,20,10,0,10,60,3,69,12,0,18,0,4,4,200,95,296
UCL121016,0,0,0,0,0,0,0,0,0,0,4,4,0,7,10,5,4,3,12,5,17,8,0,17,7,9,20,14,0,15,5,0,8,10,0,10,25,7,34,9,0,6,6,0,6,4,0,4,9,0,9,15,0,15,0,0,5,142,50,193
UCL121017,3,0,3,6,0,6,0,0,0,4,0,0,0,0,0,0,0,3,3,5,8,5,0,7,5,9,10,9,5,11,8,5,16,7,4,9,27,4,30,36,0,36,28,0,32,14,0,14,56,7,65,15,0,15,0,0,0,229,35,270
UCL121018,4,0,4,0,0,0,0,0,0,0,5,5,0,18,20,4,7,12,20,8,29,11,4,15,16,7,25,28,7,33,16,8,18,16,3,18,39,3,42,25,0,25,12,0,13,13,0,13,11,0,11,28,0,28,6,6,7,249,83,330
UCL121019,3,3,3,0,0,0,0,0,0,0,0,0,0,7,7,3,0,4,8,0,12,10,0,10,14,0,15,8,0,8,5,0,3,15,0,15,15,0,20,24,0,22,11,0,11,29,0,29,40,3,49,16,0,16,0,0,3,196,23,219
UCL121020,0,0,4,0,0,0,0,0,0,6,0,4,3,6,9,0,3,8,10,8,11,5,5,7,10,5,14,13,0,14,7,4,12,11,0,12,22,6,28,18,0,18,14,0,16,10,0,13,16,0,19,11,0,18,5,4,5,162,44,204
UCL121021,0,4,4,0,0,0,0,0,0,0,0,0,4,14,15,0,14,12,9,7,16,13,9,23,13,18,28,14,7,19,15,13,22,12,5,19,21,13,26,14,0,14,3,0,4,6,0,12,5,5,6,20,0,20,5,7,9,142,107,252
UCL121022,0,13,13,6,5,4,0,5,5,0,11,7,5,39,49,3,12,14,20,6,25,10,9,21,26,6,31,18,6,24,5,0,11,10,4,13,9,8,23,16,0,16,8,0,8,4,0,4,4,4,8,15,0,16,9,9,15,169,125,295
UCL121023,0,8,7,5,0,6,5,3,6,0,12,16,10,34,43,6,18,23,33,6,41,27,8,35,21,5,27,23,6,26,7,3,8,5,0,8,11,0,9,3,0,5,0,0,3,0,0,4,0,0,3,8,0,8,4,12,13,175,129,294
UCL121024,4,0,4,0,0,0,3,0,3,0,0,3,4,9,10,3,8,6,22,8,28,17,7,27,16,4,17,14,0,16,15,4,16,11,0,7,20,0,19,13,0,13,5,0,5,0,0,0,7,0,3,5,0,8,3,3,7,146,49,197
UCL121025,0,0,0,0,0,0,0,3,3,0,0,0,0,11,12,3,4,10,5,3,11,12,3,12,7,0,9,12,0,12,6,5,9,9,3,10,24,0,25,18,0,18,16,0,9,15,0,15,38,0,38,11,0,11,0,5,4,167,37,203
UCL121026,0,5,5,0,5,8,9,6,9,0,19,17,5,34,37,10,17,27,15,14,31,17,25,40,23,21,43,30,15,46,16,13,32,4,10,18,21,21,41,23,4,31,15,9,25,12,3,10,23,19,42,29,0,25,3,17,24,251,264,512
UCL121027,0,0,0,0,0,0,0,0,0,0,4,5,6,4,6,5,8,10,4,3,10,16,3,16,6,7,13,13,0,16,7,0,7,11,0,20,16,3,24,19,0,19,14,0,14,14,0,14,16,0,16,17,0,14,0,3,4,171,45,216
UCL121028,0,7,11,7,0,7,3,5,12,3,3,6,3,32,37,9,12,20,20,16,31,13,14,28,26,10,38,17,7,30,9,3,15,19,3,20,21,13,38,14,0,14,10,7,14,6,0,6,19,7,29,19,0,18,0,3,4,216,164,386
UCL121029,0,0,8,0,0,0,0,0,0,0,3,3,4,11,14,9,3,11,8,7,13,15,7,23,12,6,19,11,0,16,6,0,8,7,3,8,23,6,29,17,0,17,19,0,16,6,0,10,10,0,7,21,0,21,4,0,5,173,52,227
UCL121030,0,0,3,0,0,0,0,9,4,3,8,11,0,26,30,3,15,18,17,7,22,20,22,43,16,18,32,23,15,40,13,10,21,18,3,20,23,4,28,14,0,12,15,0,15,7,0,7,10,4,13,23,0,23,10,11,18,213,144,360
UCL121031,3,0,6,3,0,5,0,0,0,0,5,5,3,23,22,12,15,29,22,12,28,24,12,35,35,8,40,28,3,38,18,4,22,28,4,30,29,4,34,22,0,22,15,0,18,9,0,9,20,7,25,21,0,18,0,3,5,284,108,395
UCL121032,5,4,6,0,0,3,0,0,0,0,7,7,6,48,57,8,17,22,32,7,42,12,13,23,18,10,20,14,4,23,10,6,14,9,7,19,17,6,23,9,0,9,18,0,18,7,0,7,3,0,3,8,4,11,4,14,12,180,144,323
UCL121033,0,5,5,0,0,0,0,5,5,0,0,0,0,8,8,0,3,5,18,5,16,3,5,8,10,6,11,9,3,18,6,7,11,5,4,9,16,8,27,14,0,14,9,0,10,5,0,5,13,0,9,5,0,10,0,3,7,113,57,169
UCL121034,0,3,3,0,0,0,0,3,3,0,5,5,0,7,7,0,7,8,11,6,18,8,7,16,7,15,18,7,7,17,9,8,16,10,7,16,25,19,41,20,6,26,16,4,24,26,3,24,50,30,78,20,3,26,0,6,7,213,144,358
UCL121035,9,6,12,0,0,0,0,0,0,0,0,0,3,10,15,15,11,22,13,3,20,27,9,41,19,8,24,20,9,24,21,9,25,21,6,23,42,5,55,37,0,37,15,0,15,10,0,10,22,5,22,18,0,18,3,3,8,299,71,370
UCL121036,0,3,6,3,0,7,0,0,0,0,5,8,9,9,17,6,5,11,25,0,24,10,8,13,18,12,34,36,5,39,25,3,29,24,0,26,50,0,50,42,0,42,25,0,25,24,0,24,44,0,42,29,0,29,0,0,4,380,62,440
UCL121037,6,4,3,5,0,5,0,0,0,0,8,6,0,16,16,9,10,15,20,4,23,12,11,18,15,14,26,16,17,29,18,6,26,13,7,19,34,10,47,18,0,19,17,6,17,13,0,13,8,5,15,15,0,13,0,4,9,224,114,337
UCL121038,3,5,4,0,0,0,0,3,0,0,6,9,3,17,27,11,7,17,18,11,27,5,8,12,14,12,26,15,0,19,8,0,8,14,0,14,20,0,20,7,0,14,10,0,10,0,0,0,3,4,6,11,0,11,0,9,12,145,82,230
UCL121039,0,0,0,0,0,0,3,0,5,0,0,0,0,6,9,4,0,4,3,0,11,5,6,11,4,3,11,5,0,6,7,0,5,4,0,4,19,4,31,17,4,24,15,4,17,10,0,10,56,0,59,15,5,21,0,0,4,182,44,225
UCL121040,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,3,0,3,7,0,5,9,5,8,11,0,11,7,0,7,16,0,17,10,0,10,12,0,16,14,0,14,31,4,31,14,0,14,0,0,3,143,22,166
UCL121041,0,8,10,0,0,0,0,6,5,4,10,12,8,20,24,3,12,16,15,7,25,20,7,27,14,9,16,9,4,13,10,4,15,7,3,14,19,5,24,15,0,21,5,0,5,0,0,0,5,0,5,15,0,12,0,10,14,156,96,249
UCL121042,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,11,10,3,4,7,10,4,10,11,14,30,11,7,21,4,4,7,9,4,12,23,13,37,13,0,15,13,7,19,10,0,9,26,14,43,12,0,20,5,5,7,148,101,254
UCL121043,0,0,0,0,3,0,0,3,0,0,0,0,0,4,4,0,0,5,0,4,5,6,3,13,10,0,13,9,7,15,9,3,14,9,6,13,31,0,32,14,0,15,26,0,26,15,0,15,34,0,39,4,0,10,0,0,0,180,44,223
UCL121044,0,0,4,0,0,0,0,0,0,0,0,6,0,15,15,6,5,11,6,4,16,8,4,16,14,0,20,8,0,15,9,3,13,11,0,15,10,0,15,7,0,11,8,0,8,0,0,0,8,0,5,19,0,16,4,0,4,133,44,177
UCL121045,0,3,4,0,0,0,0,0,0,0,0,0,9,10,18,4,12,12,26,6,37,10,6,18,12,4,22,16,6,17,6,5,8,11,4,10,21,7,26,13,0,13,10,0,10,5,0,4,5,0,5,8,0,11,0,6,5,163,61,220
UCL121046,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,6,0,4,0,0,6,0,0,3,5,0,5,10,0,12,5,0,8,5,0,10,13,0,13,26,0,26,19,0,19,53,0,53,6,0,11,0,0,0,143,21,166
UCL121047,0,4,4,0,0,0,0,3,3,0,4,3,0,20,16,3,8,8,3,3,6,11,3,15,7,11,15,9,4,15,0,4,10,12,3,16,23,3,30,16,0,16,17,0,17,9,0,9,21,0,21,17,0,20,3,4,3,163,71,231
UCL121048,0,0,3,0,0,4,0,0,0,0,5,4,4,8,12,0,7,8,9,5,10,10,5,16,14,0,18,13,0,13,13,0,13,13,0,13,16,0,15,7,0,13,9,0,9,10,0,10,18,0,17,10,0,10,4,0,3,147,37,189
UCL121049,0,0,0,0,0,0,0,0,0,0,9,9,4,10,8,0,4,0,3,0,3,3,4,8,15,8,20,15,3,17,8,3,17,17,0,14,18,6,25,15,0,15,15,0,16,8,0,8,17,0,15,10,0,11,4,4,4,154,47,197
UCL121050,0,10,10,0,0,0,0,0,0,0,8,8,7,46,49,6,52,58,39,18,55,21,8,35,19,12,32,21,9,31,8,9,13,8,3,12,10,8,18,5,3,7,5,4,11,9,0,9,5,3,4,10,0,6,3,18,22,170,213,388
UCL121051,5,4,14,3,0,6,3,10,10,4,6,11,8,40,48,13,25,32,36,13,45,16,15,35,27,9,38,23,9,29,13,3,14,19,4,21,12,7,17,14,0,14,11,0,11,7,0,7,13,0,13,11,0,15,6,12,17,244,159,400
UCL121052,0,0,0,0,0,7,0,3,5,3,13,21,9,26,31,5,22,24,14,17,30,16,22,30,16,15,28,20,10,33,13,8,19,8,4,14,31,19,49,23,0,22,22,3,20,0,0,6,17,17,38,12,0,16,4,11,16,202,192,400
UCL121053,8,3,11,0,3,6,4,4,5,4,15,16,11,35,38,4,17,16,19,12,32,9,8,23,13,14,25,20,4,25,12,6,17,11,4,14,18,3,26,6,0,11,8,0,7,9,0,9,8,9,10,8,0,8,3,13,19,180,137,315
UCL121054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,11,4,0,4,0,0,0,3,5,11,10,0,6,5,0,8,8,4,9,17,0,19,24,0,24,27,0,27,14,0,16,53,0,56,17,0,17,0,0,0,202,14,220
UCL121055,0,0,0,0,0,0,0,0,0,0,10,4,0,21,21,0,14,20,13,8,14,11,9,23,20,3,19,21,3,24,8,4,8,13,3,15,25,3,24,24,0,24,12,0,17,3,0,3,11,0,14,16,0,17,0,4,4,181,83,263
UCL121056,0,0,3,4,0,4,0,0,0,4,0,4,6,21,30,3,15,18,27,11,36,16,16,28,19,7,19,28,3,33,22,3,24,23,0,22,40,9,44,15,0,15,12,0,12,11,0,11,8,0,8,9,0,11,9,0,8,249,87,339
UCL121057,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,5,0,5,12,7,14,8,4,10,20,0,20,10,0,11,6,0,9,12,0,12,30,0,30,31,0,31,16,0,16,14,0,14,23,0,23,12,0,12,0,0,5,197,20,217
UCL121058,9,3,16,5,3,3,5,0,0,0,4,9,3,21,27,7,9,13,32,5,37,23,7,27,25,3,32,37,4,46,27,3,25,31,3,33,70,6,69,65,0,64,60,0,60,23,0,23,77,0,79,30,0,30,5,0,4,535,75,610
UCL121059,5,0,4,0,0,0,0,0,0,0,4,4,7,11,14,4,15,19,9,3,16,17,7,23,25,3,32,11,5,16,17,3,21,15,4,19,31,6,32,14,0,14,5,0,5,5,0,5,10,3,11,5,0,7,0,0,3,187,62,251
UCL121060,4,0,3,3,0,6,3,3,5,0,0,4,0,6,8,9,4,6,21,5,25,12,0,12,21,3,21,14,0,20,22,0,22,15,0,16,35,0,35,21,0,21,38,0,38,22,0,22,40,0,40,15,0,15,3,4,7,294,31,328
UCL121061,4,0,4,0,0,0,0,4,0,0,3,3,4,7,17,3,6,7,4,3,6,8,0,11,3,0,9,11,0,11,8,0,7,7,0,11,16,8,23,21,0,21,19,0,19,8,0,8,6,0,10,13,0,13,0,0,4,141,33,171
UCL121062,3,0,4,0,0,3,0,0,3,0,0,7,4,8,7,4,6,7,13,3,13,11,4,9,5,5,15,5,3,12,11,7,18,20,3,25,31,4,32,34,0,33,25,0,29,21,0,21,60,5,62,20,0,22,9,0,9,276,59,331
UCL121063,7,6,19,6,0,3,0,6,9,3,12,12,5,24,27,12,14,26,27,11,40,27,10,33,22,8,31,32,3,37,8,3,12,12,3,12,8,0,9,12,5,13,8,0,10,0,0,0,3,6,15,16,0,16,3,6,12,218,117,337
UCL121064,3,7,7,0,4,5,0,3,3,0,5,5,4,17,25,9,15,25,25,8,34,16,15,28,15,7,22,20,4,25,13,6,22,10,0,13,16,3,15,7,4,10,7,7,8,3,0,3,5,5,10,22,3,26,0,11,7,190,115,296
UCL121065,0,0,0,4,4,4,0,0,0,0,3,4,6,34,36,4,9,16,54,8,63,22,14,36,27,13,36,27,3,33,18,0,16,12,3,18,30,0,30,17,0,17,4,0,4,3,0,3,10,0,10,32,3,34,9,8,21,277,107,387
UCL121066,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,4,7,6,0,5,6,3,10,5,0,8,9,0,15,7,0,12,10,5,12,20,7,23,19,0,19,16,0,17,8,0,8,10,0,15,13,0,13,5,0,5,146,37,182
UCL121067,5,3,4,0,7,6,0,4,4,0,9,8,9,51,55,10,13,19,20,14,34,22,11,35,24,9,30,15,8,21,17,3,17,17,0,15,34,9,39,5,0,11,10,0,11,3,0,3,17,6,14,11,0,11,8,10,16,220,153,372
UCL121068,9,6,16,0,3,5,6,8,9,4,17,19,15,33,41,22,27,50,72,25,96,41,18,62,62,33,99,78,22,99,38,9,53,38,4,44,85,17,97,46,4,50,35,7,44,11,0,13,39,9,48,30,0,29,0,3,11,649,242,893
UCL121069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,7,0,7,3,0,3,5,0,4,5,0,5,13,0,18,20,0,20,30,0,28,14,0,14,80,0,80,17,0,17,0,0,0,213,9,225
UCL121070,0,8,5,0,0,0,0,3,3,0,0,0,0,3,3,0,4,3,9,7,10,6,9,14,9,6,10,10,7,14,9,0,8,8,6,11,17,8,25,22,0,26,13,0,18,12,0,12,38,8,42,7,0,7,0,0,4,155,56,208
UCL121071,0,6,3,0,0,0,0,4,4,0,0,0,6,21,24,0,5,11,19,4,20,3,3,6,8,5,18,8,4,14,5,5,5,12,4,12,23,3,25,18,0,22,16,0,16,8,0,8,8,0,8,8,5,7,0,7,9,143,67,205
UCL121072,0,6,6,0,0,0,0,0,4,0,9,9,4,12,16,4,5,13,13,11,22,9,13,20,14,5,20,19,0,24,17,0,22,12,4,17,33,3,35,19,0,19,16,0,18,6,0,6,6,0,10,17,6,17,3,11,11,197,90,286
UCL121073,0,4,4,0,0,0,0,6,6,4,13,11,5,33,39,6,20,25,24,11,39,12,11,23,21,13,34,22,6,29,15,9,20,11,3,13,16,0,13,6,0,6,11,0,11,3,0,3,4,0,4,8,0,8,8,11,18,172,139,306
UCL121074,3,8,7,0,0,0,0,0,0,0,6,6,0,8,14,0,13,13,9,0,16,13,19,29,15,8,22,20,5,27,9,5,15,10,4,8,17,8,27,15,0,15,11,0,12,12,0,12,15,5,23,8,4,11,0,0,0,153,110,266
UCL121075,5,0,7,0,0,0,0,5,5,5,8,9,11,24,32,3,8,8,18,10,27,20,3,22,22,3,25,11,8,23,3,0,6,4,0,4,8,0,12,6,0,6,14,0,14,3,0,3,27,0,27,7,0,7,3,6,8,169,76,245
UCL121076,4,0,8,0,0,0,3,3,6,4,10,11,5,12,18,3,3,6,11,3,16,20,7,25,13,6,18,19,5,23,19,0,19,19,0,19,33,5,36,20,0,20,25,0,29,16,0,19,23,0,29,22,3,24,3,6,13,264,71,338
UCL121077,0,0,0,0,5,5,0,0,6,0,5,5,0,8,13,0,10,7,11,7,16,7,9,14,12,6,16,15,7,19,14,4,17,10,5,17,29,10,30,21,0,21,13,0,13,8,0,10,20,0,20,15,0,18,5,9,10,188,78,271
UCL121078,4,0,7,0,0,0,0,4,4,0,4,5,0,4,3,0,4,4,7,5,9,10,6,19,10,4,15,12,5,18,10,5,21,17,0,17,14,4,14,28,0,28,21,0,21,9,0,15,21,0,21,10,0,10,0,5,3,190,37,234
UCL121079,0,0,0,0,3,3,0,0,0,0,0,0,0,5,7,0,3,9,5,7,9,7,0,7,19,3,25,11,0,11,11,8,17,9,0,13,21,8,27,22,0,21,17,0,17,7,0,7,9,0,10,12,0,11,0,4,8,149,39,190
UCL121080,0,5,6,6,3,5,4,4,4,0,6,10,4,13,21,6,13,22,14,7,22,14,7,17,18,8,28,30,3,35,22,7,27,27,3,34,38,5,45,28,0,31,33,4,30,16,0,16,34,3,39,13,0,13,4,9,13,313,100,411
UCL121081,0,0,0,4,0,4,0,0,0,0,3,3,3,0,0,0,0,6,5,0,7,11,3,13,5,0,5,13,5,13,10,0,11,9,0,9,22,0,22,9,0,9,16,0,18,3,0,3,30,0,30,10,0,11,0,0,0,160,21,176
UCL121082,0,0,3,0,0,4,0,9,7,5,7,7,4,25,31,12,25,33,28,16,39,21,15,31,24,14,35,25,8,38,31,6,38,17,5,22,35,9,45,33,0,36,16,3,19,9,0,9,19,3,26,11,0,13,3,8,8,296,144,443
UCL121083,0,12,12,0,5,5,0,6,11,0,10,11,7,38,42,0,16,19,21,22,42,15,17,31,28,13,44,18,9,27,14,8,22,16,8,23,32,17,54,15,0,17,7,6,13,9,0,13,32,8,42,13,0,14,0,3,4,242,197,442
UCL121084,4,8,11,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,11,0,8,7,0,7,8,6,7,4,4,9,15,6,12,12,0,8,28,7,33,12,0,12,22,4,27,11,0,16,61,0,61,14,0,15,0,0,3,214,32,250
UCL121085,3,6,9,0,0,3,0,0,0,0,5,7,0,17,18,0,7,7,9,3,11,17,7,26,20,7,25,30,3,35,22,4,24,21,8,23,30,0,31,25,0,25,25,0,25,22,0,22,66,0,70,20,0,20,0,0,4,331,63,394
UCL121086,6,5,14,0,0,0,0,8,7,4,13,15,5,52,55,6,25,25,30,15,46,16,5,27,16,12,23,22,9,34,12,7,18,6,7,13,19,11,29,14,0,14,10,0,10,0,0,0,3,0,7,19,4,19,7,7,14,205,179,383
UCL121087,0,0,0,0,0,6,0,0,0,3,4,6,5,14,17,13,3,21,20,11,29,11,3,15,14,6,16,26,8,33,13,3,21,5,0,11,29,3,25,8,0,8,7,0,7,3,0,3,6,0,4,14,0,14,0,4,4,188,53,245
UCL121088,0,0,0,0,0,0,0,0,0,0,3,5,0,14,14,0,13,13,7,0,9,10,5,15,11,4,20,14,0,21,21,0,22,10,0,14,29,7,32,18,0,18,9,0,8,3,0,3,4,5,8,11,0,11,0,3,4,160,60,227
UCL121089,0,3,8,0,0,3,0,0,0,0,3,3,8,12,18,9,11,12,16,7,26,7,11,17,22,11,32,24,6,27,13,3,14,17,5,22,28,10,39,25,0,25,28,0,27,7,0,10,34,0,36,23,0,18,7,0,3,261,81,343
UCL121090,7,0,5,0,4,4,0,0,0,0,0,0,0,3,9,0,3,4,5,4,8,18,3,15,7,4,11,22,4,21,18,0,18,18,0,18,35,0,35,22,0,24,14,0,14,11,0,11,34,0,34,17,0,17,7,0,5,230,30,262
UCL121091,5,0,5,0,0,0,0,0,3,0,3,3,4,10,11,0,9,10,8,0,11,10,8,11,15,0,18,19,0,21,16,0,14,15,0,15,30,0,30,25,0,25,14,0,12,10,0,10,17,0,17,24,0,24,5,3,6,202,45,244
UCL121092,3,0,5,0,3,3,0,3,3,0,0,5,4,10,19,0,8,8,10,7,18,10,3,11,11,13,19,24,6,35,13,0,20,23,3,28,44,6,52,42,3,45,36,0,36,22,0,22,34,0,32,23,0,30,7,3,8,306,87,396
UCL121093,3,9,8,0,5,5,0,7,7,0,11,15,3,17,23,11,4,15,10,0,13,15,3,20,18,17,34,29,9,32,30,4,34,24,3,23,40,5,46,42,0,42,21,0,26,12,0,12,21,0,22,20,0,20,0,4,3,303,84,392
UCL121094,5,5,9,0,8,8,0,8,6,5,12,16,15,36,44,5,8,15,16,14,31,18,12,23,26,8,31,12,7,18,9,5,14,8,0,13,13,9,25,3,0,3,10,0,10,0,0,0,8,0,5,15,0,15,4,18,18,174,148,324
UCL121095,0,3,6,0,0,0,0,0,0,0,0,0,0,3,6,4,0,6,3,0,8,5,0,11,4,0,4,12,0,17,4,0,10,10,0,12,17,4,23,19,0,19,17,0,15,16,0,16,63,4,69,11,0,11,6,0,6,202,33,232
UCL121096,3,4,9,0,0,0,0,0,0,4,3,6,3,15,16,5,25,28,25,6,33,25,10,32,20,7,27,22,8,24,10,6,12,20,4,21,17,5,22,20,0,20,12,0,12,8,0,8,21,0,19,23,0,27,8,9,10,246,92,339
UCL121097,3,0,3,0,5,3,0,0,0,0,4,6,3,16,23,0,6,12,13,11,19,14,7,17,20,5,24,24,4,26,13,0,18,7,4,16,25,6,27,19,0,19,18,0,18,11,0,12,13,0,18,15,0,13,0,0,6,198,79,276
UCL121098,0,4,8,0,0,0,0,0,0,0,0,0,5,11,13,3,3,7,7,3,9,13,4,21,19,3,19,26,3,33,16,3,20,18,5,20,35,8,48,27,0,26,26,0,26,18,0,18,40,0,40,17,0,23,0,0,0,274,47,325
UCL121099,0,8,8,0,0,4,0,9,8,3,6,9,7,38,42,3,16,17,20,5,28,12,17,24,19,8,25,5,6,13,9,3,15,12,0,12,27,4,34,14,0,14,4,3,6,4,0,4,5,0,9,7,0,7,5,4,8,161,122,286
