LGA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
LGA16900,240,2081,111,0,2438,134,2077,96,0,2309,275,4088,200,3,4571,437,3844,215,3,4511,490,3908,194,3,4595,415,3976,159,3,4550,489,3050,160,7,3710,187,1696,163,4,2050,24,506,194,0,728,2699,25232,1496,31,29461,267,2003,108,0,2375,208,1987,95,0,2289,397,4336,232,4,4965,552,4039,204,3,4795,548,4301,178,4,5030,482,4408,159,9,5058,530,3344,149,0,4030,216,1956,199,3,2377,38,743,188,0,974,3235,27116,1508,26,31889,504,4084,219,0,4810,346,4070,188,0,4598,671,8430,431,7,9539,989,7885,423,9,9305,1039,8205,370,7,9626,898,8380,314,16,9609,1021,6391,309,8,7734,399,3652,363,9,4427,61,1255,385,0,1702,5935,52352,3008,59,61351
LGA16950,268,2357,280,0,2911,203,2097,271,5,2571,465,4463,658,12,5604,702,4280,610,4,5596,905,4594,529,14,6038,1224,6002,488,7,7723,1684,6130,417,8,8236,781,3719,297,8,4798,124,1141,149,0,1415,6354,34782,3691,55,44884,316,2094,240,5,2651,240,1899,162,3,2306,595,4536,381,7,5518,993,4334,380,6,5715,1050,4985,363,3,6401,1638,6380,387,7,8411,1992,6216,391,7,8601,870,3698,368,6,4945,148,1685,242,0,2075,7841,35824,2910,46,46619,581,4453,522,3,5559,439,3999,430,13,4876,1059,9001,1040,19,11119,1692,8610,989,16,11308,1955,9575,891,16,12443,2861,12383,868,14,16133,3670,12349,806,7,16836,1654,7420,664,12,9739,275,2824,389,0,3487,14195,70609,6600,101,91500
LGA17000,118,818,123,0,1060,69,753,117,0,932,150,1433,146,0,1726,241,1189,113,5,1544,216,1339,103,3,1659,201,1287,101,0,1591,194,835,58,0,1086,86,394,45,0,522,14,125,3,0,141,1285,8159,808,8,10269,87,600,63,0,753,73,558,40,0,663,181,1314,95,0,1590,334,1112,76,4,1524,315,1297,92,0,1703,272,1120,67,3,1464,248,768,51,0,1066,90,399,38,0,523,18,191,6,0,216,1622,7358,525,10,9512,205,1424,187,0,1812,139,1310,152,5,1601,325,2741,238,3,3317,581,2301,184,0,3068,529,2632,195,4,3365,472,2410,166,3,3061,442,1603,112,0,2155,175,792,82,0,1040,33,312,16,0,360,2909,15518,1329,22,19781
LGA17040,155,620,83,5,863,128,714,121,8,972,227,1493,292,51,2053,281,1086,254,12,1632,454,1272,236,10,1966,517,1378,227,3,2121,413,988,163,0,1567,160,489,81,0,735,27,154,20,0,209,2365,8183,1478,88,12117,173,557,74,3,802,111,772,84,17,980,232,1357,186,42,1811,396,1002,133,3,1537,486,1185,152,5,1836,468,1216,163,5,1852,392,769,109,0,1273,192,431,68,0,693,30,222,33,0,277,2471,7507,1011,67,11064,327,1175,161,8,1665,238,1480,203,28,1947,451,2852,475,88,3868,679,2086,385,15,3169,945,2459,391,12,3800,985,2594,399,4,3979,804,1755,275,0,2836,353,924,156,0,1429,53,377,52,4,486,4835,15690,2493,155,23176
LGA17080,59,293,46,0,395,34,301,43,0,376,91,561,101,0,750,138,596,130,0,872,175,686,109,0,970,250,827,97,0,1180,224,648,48,3,927,128,393,60,0,574,14,126,9,0,151,1108,4434,647,6,6197,77,288,47,0,403,36,250,24,0,311,109,575,70,0,748,202,589,73,0,867,201,658,64,0,924,252,714,71,0,1041,257,608,62,0,932,133,346,58,0,542,28,195,23,0,247,1302,4217,493,0,6015,131,576,83,0,792,69,546,66,0,686,196,1138,170,0,1506,341,1188,207,0,1738,382,1343,170,0,1892,505,1540,175,0,2226,486,1257,116,3,1858,258,736,117,0,1116,37,326,35,0,403,2411,8653,1139,13,12211
LGA17100,142,859,51,0,1048,207,2098,188,6,2492,382,5148,461,14,6005,272,2971,234,7,3485,240,1796,106,4,2147,217,1818,86,7,2124,162,1183,51,6,1404,79,681,36,7,800,21,300,14,0,331,1721,16845,1226,57,19852,175,776,50,0,998,252,1644,134,7,2028,380,4320,320,10,5038,329,2632,198,10,3173,312,1973,101,7,2399,264,1906,91,20,2285,154,1324,53,12,1546,85,796,44,8,928,11,433,33,0,478,1961,15809,1021,71,18865,314,1630,101,5,2049,458,3735,324,7,4528,771,9464,781,26,11041,600,5605,432,18,6658,554,3773,205,12,4543,476,3728,179,25,4407,319,2511,101,25,2953,163,1473,80,14,1726,29,732,49,3,814,3689,32651,2246,134,38713
LGA17150,880,6147,196,4,7230,685,5680,188,3,6563,1124,11153,481,15,12775,1866,12178,511,14,14575,2413,12434,454,23,15317,1893,11437,358,20,13706,1673,8771,285,19,10755,896,5038,322,8,6262,161,1985,294,4,2445,11589,74822,3094,116,89621,1119,5430,174,0,6728,896,5198,159,6,6249,1294,11687,477,14,13473,2529,12814,483,24,15852,2797,13171,420,18,16412,2036,12162,326,30,14545,1806,9644,341,24,11818,949,6065,469,5,7491,211,3020,746,3,3976,13638,79188,3593,131,96551,2001,11572,375,7,13953,1584,10878,343,12,12817,2419,22838,959,28,26246,4390,24991,1004,39,30429,5212,25604,879,38,31728,3928,23593,683,47,28253,3477,18415,625,50,22572,1847,11099,796,14,13751,371,5003,1035,7,6423,25224,154011,6691,243,186171
LGA17200,367,1911,267,42,2592,1348,8201,1393,106,11043,3360,28947,3483,350,36143,2308,17974,2080,185,22541,1705,10350,1413,121,13585,1392,7687,1017,116,10209,976,4852,663,70,6567,394,2237,426,22,3090,43,667,194,0,904,11900,82829,10938,1007,106668,480,1969,255,23,2742,1770,8374,984,98,11222,3878,26812,2645,243,33575,2245,14244,1373,136,17996,1615,7623,779,91,10107,1412,6181,598,128,8327,1020,4473,468,64,6026,413,2233,373,19,3032,64,886,303,3,1254,12888,72792,7790,813,94276,855,3885,529,68,5327,3115,16571,2378,205,22262,7240,55751,6122,597,69714,4552,32215,3453,320,40541,3315,17968,2199,209,23694,2805,13866,1617,249,18533,1997,9331,1133,131,12595,805,4472,804,34,6116,104,1551,497,7,2160,24785,155623,18729,1812,200948
LGA17310,286,1718,199,0,2200,150,1370,158,3,1678,371,3179,352,15,3932,505,2737,293,17,3547,591,2804,307,0,3711,567,2743,260,0,3571,638,2426,212,0,3285,331,1396,191,0,1922,68,421,115,0,612,3511,18800,2092,42,24449,294,1452,175,5,1920,181,1415,138,0,1738,463,3404,302,4,4175,716,2831,302,8,3865,679,2900,249,0,3833,646,3146,234,0,4028,749,2438,217,3,3414,447,1590,249,0,2292,74,755,176,0,1005,4263,19936,2045,23,26261,581,3165,369,5,4118,331,2786,289,3,3415,841,6586,655,23,8103,1228,5568,597,20,7413,1271,5700,565,0,7540,1216,5893,486,3,7601,1391,4866,432,9,6695,780,2989,445,0,4213,149,1177,290,0,1612,7772,38733,4137,63,50714
LGA17350,21,154,12,0,185,17,130,9,0,152,42,204,12,0,255,64,192,15,0,277,95,236,21,0,344,99,286,26,0,414,127,282,19,0,435,68,157,17,0,244,9,71,6,0,87,541,1716,139,0,2400,35,115,12,0,157,29,102,3,0,136,55,195,18,0,263,113,174,15,0,295,100,253,22,0,368,124,310,23,0,457,151,262,17,0,431,74,174,15,0,271,21,109,16,0,146,697,1693,136,3,2526,55,265,26,0,347,48,232,9,0,288,97,406,25,3,521,171,368,30,0,575,193,487,36,0,714,228,601,44,0,871,277,545,38,0,865,144,332,34,0,511,31,178,26,0,231,1237,3410,274,3,4926
LGA17400,24,107,15,0,153,14,96,17,4,138,38,178,21,29,274,49,187,41,33,307,82,277,48,12,422,135,410,64,0,609,185,489,62,0,736,62,213,38,0,311,14,64,13,0,82,607,2026,323,78,3032,38,102,24,0,167,18,95,20,0,131,46,192,27,15,279,80,194,39,12,330,108,284,49,10,448,156,419,54,0,634,191,409,66,0,669,57,210,32,0,309,13,98,13,0,131,722,2008,326,38,3091,64,212,42,0,316,36,195,38,4,272,85,369,55,45,554,129,380,79,47,636,190,566,97,22,867,291,826,122,0,1239,383,897,128,0,1409,121,425,70,0,624,27,157,22,0,210,1326,4033,648,118,6122
LGA17420,923,5640,158,7,6731,797,4964,157,10,5931,956,8032,312,25,9325,1656,12577,435,15,14687,1996,10857,313,17,13188,1396,8579,211,35,10223,1157,6587,202,62,8017,655,3406,186,17,4267,78,945,176,7,1205,9619,61591,2161,204,73575,1078,5123,132,3,6334,1009,4295,151,5,5456,1089,8597,355,13,10052,2235,13428,440,31,16135,2295,11248,322,20,13877,1420,9054,246,73,10790,1284,7344,211,92,8932,568,3749,202,16,4536,68,1400,203,7,1679,11062,64229,2262,253,77799,2007,10764,285,11,13066,1808,9258,312,15,11390,2043,16624,666,44,19380,3896,26011,879,45,30826,4294,22102,631,38,27064,2815,17630,460,109,21016,2447,13927,422,152,16952,1222,7153,388,34,8801,148,2345,382,17,2887,20677,125814,4417,460,151373
LGA17550,276,2086,213,0,2568,194,1741,184,0,2117,358,3530,373,12,4276,709,4096,463,0,5270,830,4530,437,11,5810,939,5190,436,9,6574,1082,5153,401,12,6650,540,3222,317,7,4087,92,1215,210,0,1519,5025,30761,3024,52,38867,325,2018,193,0,2541,240,1599,151,3,1990,543,3824,381,11,4759,1082,4440,424,6,5953,1069,4861,415,0,6344,1257,5854,416,8,7534,1441,5361,383,17,7202,714,3481,386,6,4594,119,1801,369,0,2291,6805,33239,3114,59,43213,607,4106,401,0,5110,433,3335,336,3,4107,901,7358,752,27,9037,1798,8538,886,12,11225,1900,9382,856,10,12154,2201,11049,850,12,14112,2527,10514,779,29,13848,1247,6706,703,18,8677,211,3016,576,3,3803,11826,63997,6139,110,82078
LGA17620,54,331,36,0,421,33,282,25,0,338,82,689,56,3,835,147,657,57,8,865,160,670,75,0,903,172,739,70,0,986,153,644,60,0,859,81,324,49,0,449,16,116,24,0,160,900,4458,445,15,5818,61,344,31,7,439,31,293,20,0,344,109,697,59,0,877,194,628,50,0,874,179,666,58,0,904,203,714,58,5,973,182,554,57,6,799,93,353,37,0,487,15,189,35,0,233,1061,4439,416,12,5927,111,671,68,7,856,61,576,49,0,688,199,1387,117,6,1715,339,1285,111,8,1739,338,1337,126,0,1802,378,1451,133,5,1955,329,1200,116,4,1656,171,678,88,0,940,35,307,58,0,396,1960,8901,866,22,11747
LGA17640,27,184,24,0,235,20,118,21,0,156,61,258,22,0,347,96,281,25,0,400,122,390,52,0,568,188,529,67,0,785,159,432,58,0,649,76,230,46,0,351,8,77,14,0,91,756,2507,318,0,3584,26,169,27,0,220,25,145,7,0,179,61,285,28,0,375,124,293,31,0,453,151,379,43,0,569,188,484,59,0,731,167,360,61,0,592,74,209,38,0,321,15,106,10,0,130,819,2438,303,4,3556,54,357,45,0,452,41,264,27,0,331,120,545,50,0,716,221,579,55,0,855,276,773,94,0,1139,380,1018,123,0,1515,320,795,123,0,1241,147,435,81,0,666,21,184,22,0,229,1576,4939,620,3,7145
LGA17650,33,124,14,0,175,10,97,10,0,118,39,184,11,0,236,76,191,20,0,290,100,260,27,0,384,100,313,42,0,458,125,265,22,0,414,49,145,20,0,215,6,28,7,0,41,536,1621,173,4,2328,38,140,20,0,193,18,109,8,0,134,49,232,27,0,303,80,214,23,0,314,100,300,35,0,435,115,351,30,0,494,150,238,26,0,412,50,132,17,0,199,15,58,4,0,75,598,1772,190,3,2561,68,267,35,0,366,22,206,19,0,247,83,419,39,0,545,158,406,37,0,601,199,562,62,0,820,215,665,70,0,955,269,499,50,0,823,98,278,35,0,415,17,86,10,0,120,1135,3386,363,5,4889
LGA17750,342,2067,205,0,2618,320,2175,235,12,2738,500,4064,304,39,4909,668,3101,247,27,4053,688,2785,250,6,3724,626,2712,183,0,3527,604,2094,157,3,2859,287,1153,135,0,1580,45,455,66,0,566,4086,20609,1786,93,26575,405,1856,169,0,2432,442,2217,176,0,2840,617,4109,274,5,5006,759,3296,219,3,4285,758,2966,201,3,3926,673,3030,191,0,3901,668,2242,181,6,3094,360,1409,137,3,1913,60,789,146,0,992,4742,21924,1700,29,28391,750,3927,373,0,5051,758,4391,407,17,5581,1118,8171,579,43,9913,1429,6404,475,37,8335,1443,5751,449,6,7648,1302,5736,375,8,7420,1277,4337,336,0,5955,652,2560,278,3,3500,107,1247,212,3,1566,8832,42533,3482,116,54964
LGA17850,9,55,10,0,73,7,47,5,0,66,20,101,9,0,131,29,86,11,0,129,58,104,24,0,184,53,156,23,0,233,65,155,32,0,251,36,97,19,0,148,3,18,0,0,30,300,816,137,0,1253,16,47,11,0,74,8,42,7,0,57,32,96,14,0,142,51,74,12,0,137,58,107,13,0,187,65,130,19,0,220,80,132,11,0,229,47,96,21,0,165,6,37,4,0,47,358,758,125,0,1244,26,104,21,0,146,16,85,17,0,120,53,191,26,0,273,86,158,22,0,264,124,215,34,0,371,123,288,45,0,454,147,282,48,0,473,82,194,39,0,312,9,58,11,0,74,652,1582,259,0,2493
LGA17900,13,86,45,0,139,7,81,35,0,129,22,210,92,3,333,40,143,71,0,260,58,185,84,0,333,74,301,122,0,499,80,290,104,0,474,18,147,53,0,219,8,28,10,0,48,312,1472,618,10,2417,12,96,44,0,153,16,67,33,0,119,24,224,85,3,332,62,148,85,0,290,63,193,104,0,371,92,257,107,0,455,75,197,84,0,351,32,97,50,0,173,4,20,7,0,36,379,1298,605,5,2285,23,178,82,0,287,23,150,72,0,244,46,428,176,6,663,104,292,158,0,550,124,384,188,0,698,165,555,231,0,953,153,487,182,0,826,46,242,110,0,399,13,52,18,0,82,691,2772,1225,16,4702
LGA17950,8,45,10,0,61,9,69,5,0,76,24,102,24,5,153,33,76,19,0,124,26,113,26,0,161,52,142,23,0,216,28,120,18,0,162,16,61,19,0,100,0,14,8,0,24,194,742,143,5,1086,10,57,0,0,70,11,42,4,3,60,22,116,14,0,151,36,80,14,0,126,43,100,20,0,161,58,111,13,0,180,31,82,19,0,136,22,65,18,0,102,7,31,29,0,64,242,676,130,4,1048,23,94,16,0,133,19,106,5,3,136,52,213,34,4,301,62,157,35,0,249,67,214,42,0,322,116,251,36,0,399,58,204,41,0,297,36,127,41,0,203,3,48,32,0,86,436,1416,275,9,2133
LGA18020,40,187,46,0,275,18,147,31,0,195,68,305,62,0,427,91,244,52,0,389,125,329,80,4,539,157,465,101,0,725,161,481,100,0,744,97,290,78,0,460,15,93,32,0,143,767,2550,573,4,3896,45,184,50,0,278,18,113,21,0,151,77,303,59,0,445,119,254,72,0,447,163,338,82,0,581,179,443,95,0,718,192,417,121,0,727,106,222,80,0,410,18,139,45,0,204,917,2430,617,4,3960,80,374,94,0,549,32,261,52,0,349,144,610,116,0,877,215,502,120,0,835,288,674,161,4,1117,335,911,195,0,1447,356,901,219,0,1474,195,517,153,0,869,30,235,80,0,342,1681,4975,1191,9,7856
LGA18050,324,1021,76,3,1425,223,1130,98,10,1459,744,6052,554,45,7397,788,4511,369,34,5701,842,3310,199,28,4376,576,2291,154,18,3028,366,1663,107,18,2157,138,979,102,4,1225,34,370,100,0,502,4043,21321,1746,161,27268,372,969,60,6,1405,353,1301,108,14,1778,1021,6800,574,42,8437,994,4436,311,19,5757,981,3158,191,26,4353,586,2271,143,15,3021,419,1821,136,13,2387,201,1181,189,6,1574,40,585,214,8,846,4970,22518,1930,141,29564,694,1991,138,6,2831,580,2430,201,27,3233,1773,12844,1133,89,15837,1782,8953,675,51,11465,1825,6466,384,51,8732,1163,4560,293,31,6051,784,3489,245,35,4546,340,2161,291,8,2798,69,952,310,8,1342,9010,43840,3677,305,56836
LGA18100,21,79,10,0,98,0,52,3,0,61,19,118,4,0,147,40,120,13,0,182,56,139,12,0,208,77,206,20,0,304,82,190,20,0,293,41,124,13,0,183,5,47,7,0,58,342,1082,108,0,1529,10,65,9,0,88,15,47,8,0,66,27,107,5,0,149,53,86,12,0,147,68,142,14,0,221,84,175,21,0,282,85,171,19,0,276,37,108,18,0,163,3,64,8,0,75,376,967,111,0,1457,26,142,14,0,187,17,100,7,0,123,43,232,15,0,292,96,205,23,0,328,119,280,28,0,425,159,382,44,0,580,168,364,38,0,573,72,233,30,0,345,14,115,11,0,140,713,2045,222,0,2982
LGA18200,27,145,52,0,229,18,140,28,5,194,44,315,84,21,461,59,320,86,8,480,78,357,85,0,522,98,439,79,0,611,87,364,60,0,511,45,196,20,0,264,4,39,7,0,52,478,2314,504,46,3328,21,138,34,0,186,18,138,28,3,174,38,322,63,8,420,85,274,57,5,422,88,336,49,0,480,104,384,50,0,534,100,291,48,0,435,53,143,33,0,224,3,78,9,0,88,513,2090,363,16,2980,51,284,88,0,421,35,275,53,11,370,84,631,147,31,888,143,595,149,16,898,167,691,138,0,1000,207,822,128,0,1154,189,648,108,0,946,101,341,49,0,490,11,114,15,0,138,984,4404,862,54,6308
LGA18250,419,1684,60,5,2169,261,1628,94,9,1995,433,3829,245,17,4534,677,5074,269,26,6046,945,4004,186,38,5174,677,3127,148,33,3982,580,2282,159,31,3045,288,1288,128,9,1705,48,606,95,6,751,4333,23529,1377,168,29403,477,1471,64,15,2023,375,1522,80,5,1982,544,4149,244,29,4969,1035,5406,285,23,6750,1273,4174,192,24,5670,822,3285,161,32,4299,641,2765,163,31,3600,297,1574,157,9,2036,70,1050,187,3,1299,5534,25389,1536,173,32635,898,3157,121,13,4194,641,3144,175,18,3977,978,7985,494,49,9502,1711,10481,554,53,12792,2223,8179,379,63,10844,1498,6414,304,63,8277,1223,5046,322,62,6647,582,2863,283,16,3744,114,1652,282,4,2047,9864,48915,2910,345,62037
LGA18350,199,1254,72,0,1529,114,957,74,0,1151,228,2003,119,3,2354,396,2064,119,5,2588,577,2488,165,5,3237,633,2630,151,8,3419,788,2585,152,4,3532,518,1741,160,4,2417,89,541,111,0,742,3546,16263,1120,29,20961,263,1131,77,0,1478,121,908,63,3,1100,290,2060,114,9,2469,544,2123,121,4,2788,769,2652,160,0,3579,731,2942,166,9,3848,1063,2978,172,3,4221,593,1970,196,4,2761,79,743,193,0,1013,4465,17503,1258,34,23256,465,2381,154,3,3010,233,1864,137,8,2249,516,4064,231,13,4820,945,4186,238,7,5378,1344,5142,324,4,6814,1368,5579,311,12,7270,1852,5564,323,11,7751,1117,3710,351,3,5183,168,1279,303,0,1749,8010,33772,2382,61,44220
LGA18400,186,1624,106,0,1915,152,1419,77,3,1646,232,2815,148,8,3206,392,2785,168,6,3351,440,3036,158,3,3633,343,2584,116,0,3051,336,2002,106,3,2449,135,984,87,0,1202,14,256,55,0,325,2230,17505,1024,28,20784,223,1449,93,0,1766,168,1295,56,0,1516,293,2889,143,6,3328,537,2847,149,4,3544,540,2974,140,0,3659,438,2675,104,0,3215,361,2022,104,3,2494,140,976,122,0,1234,16,300,129,0,446,2714,17428,1038,19,21210,405,3075,201,0,3679,314,2716,131,5,3164,527,5703,290,14,6534,929,5639,316,9,6894,979,6008,300,4,7295,786,5252,217,6,6266,704,4024,210,9,4945,276,1957,208,0,2438,31,557,185,0,773,4948,34934,2063,52,41993
LGA18450,867,5338,355,0,6561,858,6577,425,11,7880,1333,12148,728,19,14231,1597,10851,619,7,13069,1891,10657,579,13,13134,1658,10598,459,15,12725,1630,7822,413,16,9878,771,4903,400,0,6072,116,1782,273,0,2173,10716,70674,4250,82,85728,932,5007,370,7,6315,1167,6061,372,9,7610,1576,11793,700,20,14080,2167,10895,600,17,13677,2050,11118,482,11,13662,1823,10936,437,15,13215,1826,8585,455,19,10879,844,5846,537,3,7222,120,2878,628,3,3627,12491,73115,4580,102,90288,1796,10344,722,6,12877,2025,12644,799,21,15491,2907,23939,1424,41,28307,3761,21738,1218,27,26742,3938,21773,1062,24,26800,3483,21536,898,30,25943,3452,16405,870,34,20759,1608,10747,937,5,13294,238,4660,904,3,5798,23209,143791,8833,192,176017
LGA18500,317,924,89,0,1331,208,946,74,12,1240,465,2979,188,7,3642,473,2699,164,16,3354,599,2434,126,17,3178,588,2148,102,19,2856,542,1827,88,8,2469,284,1294,90,8,1678,85,469,108,3,657,3553,15726,1027,87,20401,305,829,62,0,1198,317,1111,66,5,1502,647,3669,206,27,4553,659,2882,169,22,3723,932,2557,141,17,3647,753,2280,112,19,3166,650,2158,119,6,2937,356,1595,191,4,2145,68,678,271,0,1019,4682,17765,1335,99,23888,622,1755,149,6,2529,522,2065,142,15,2740,1110,6652,396,36,8186,1134,5577,328,37,7080,1531,4997,270,30,6825,1341,4425,220,32,6014,1194,3985,210,18,5409,637,2895,283,14,3823,153,1142,378,6,1675,8243,33496,2369,188,44288
LGA18710,94,466,34,0,597,50,338,37,0,425,100,645,71,3,823,206,730,63,0,993,336,902,101,0,1345,281,820,72,5,1177,243,608,66,0,922,113,302,30,0,443,13,96,15,0,128,1433,4913,486,7,6848,114,419,21,0,548,56,301,18,0,371,121,683,45,0,848,310,808,58,4,1184,346,996,63,0,1405,262,783,53,3,1103,286,603,51,0,934,94,352,35,0,479,16,173,14,0,207,1590,5112,351,6,7071,206,883,53,0,1148,101,638,59,0,792,213,1332,118,0,1664,514,1539,118,3,2179,679,1900,162,3,2744,540,1609,124,6,2283,535,1208,110,0,1857,203,644,65,0,919,32,273,28,0,337,3028,10030,838,16,13915
LGA19399,0,19,5,0,19,7,14,0,0,16,14,46,7,0,73,22,50,0,0,77,24,52,8,0,79,34,68,5,5,107,32,65,14,0,120,9,16,3,0,28,4,11,4,0,15,149,329,49,4,534,5,10,0,0,14,5,18,0,0,21,18,54,7,0,78,37,32,7,0,78,19,59,3,0,83,29,68,10,0,106,26,43,11,0,75,7,18,3,0,31,0,4,0,0,9,148,297,47,4,494,5,27,3,0,34,6,35,0,0,38,27,100,20,0,145,64,81,10,0,155,44,105,13,0,164,69,128,13,5,215,60,108,26,0,192,13,32,8,0,58,4,13,4,0,18,291,632,96,8,1029
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,16,0,8,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,16,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,36,0,3,38
