LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA18200,6,0,38,23,3,68,3,31,5,177,18,16,51,36,21,24,15,37,8,233,75,108,106,71,56,28,36,92,12,582,124,100,86,77,63,35,51,82,8,634,162,104,81,66,99,32,64,87,23,714,185,108,67,58,80,27,69,92,12,696,69,16,25,10,31,7,22,30,3,213,16,0,4,0,4,8,0,8,9,46,4,0,0,0,0,0,0,0,0,5,656,454,454,351,355,227,257,461,76,3297
LGA18250,14,123,72,257,79,368,44,176,11,1137,134,873,220,466,380,397,73,141,43,2723,1061,3626,545,541,752,501,120,237,137,7518,2508,4673,550,425,1054,507,114,178,200,10205,2264,3358,443,346,1079,420,109,167,142,8324,1281,1910,295,324,693,262,123,210,62,5154,325,694,108,71,309,103,44,78,39,1769,55,110,5,12,40,16,4,20,13,265,6,5,0,0,5,4,0,0,8,32,7654,15363,2239,2442,4392,2572,634,1195,648,37134
LGA18350,20,32,283,291,53,394,50,350,30,1502,83,168,437,362,115,216,94,256,27,1751,410,821,859,508,356,289,231,349,53,3864,798,1101,699,415,470,214,252,353,72,4388,1055,1334,717,512,665,370,284,427,84,5460,926,1137,607,375,643,349,308,383,72,4803,445,580,166,125,281,153,113,130,36,2031,117,112,31,10,50,30,14,29,31,421,8,8,3,6,8,0,0,0,8,32,3868,5288,3799,2604,2649,2017,1339,2277,410,24254
LGA18400,40,31,505,247,89,434,74,421,31,1869,119,228,642,427,273,298,171,293,52,2497,555,954,1220,528,704,335,432,407,89,5217,973,984,947,494,863,306,530,383,112,5585,1079,895,910,553,967,346,596,483,94,5924,684,621,517,366,748,264,479,384,79,4137,207,212,142,57,167,70,120,102,22,1102,41,19,13,4,9,9,13,10,4,123,0,0,0,0,0,0,0,0,0,6,3703,3947,4890,2664,3812,2051,2411,2476,489,26456
LGA18450,81,140,915,1007,253,1676,225,1220,81,5594,436,1686,1880,2371,1128,1491,451,1031,169,10649,2074,6908,3549,2754,2358,1263,1105,1345,336,21692,3165,6236,2678,2232,2616,1041,1317,1241,321,20848,3136,5086,2475,2235,3096,1048,1383,1478,332,20270,1932,3430,1831,1639,2215,865,1197,1453,214,14776,400,890,335,275,537,196,240,329,48,3249,64,104,24,15,36,24,17,32,18,337,12,0,0,4,7,0,0,0,4,28,11305,24487,13687,12527,12238,7602,5937,8134,1528,97447
LGA18500,48,71,38,129,53,175,13,48,6,583,172,701,113,285,330,219,23,40,47,1928,1383,3564,324,310,612,475,49,84,137,6955,1685,2590,201,210,488,314,21,62,155,5734,1620,2180,188,178,489,320,27,66,131,5200,1135,1719,119,183,450,212,38,78,98,4039,534,1004,54,77,274,140,23,37,98,2232,174,272,15,12,73,57,4,9,41,654,19,30,0,0,7,15,0,0,12,78,6774,12135,1057,1389,2776,1927,192,430,726,27402
LGA18710,6,4,112,145,32,166,12,138,6,628,21,74,154,140,62,61,18,67,7,612,188,314,307,154,186,62,53,88,24,1374,387,485,248,191,277,72,67,108,35,1872,573,610,245,194,331,88,106,103,51,2294,358,318,180,119,248,61,83,104,36,1511,190,114,44,29,62,19,27,51,19,541,82,19,5,0,9,3,3,3,0,134,13,5,0,0,0,0,0,6,0,16,1810,1945,1304,974,1206,535,371,664,174,8980
LGA19399,0,0,0,5,0,0,0,11,0,19,3,6,8,5,0,0,0,11,0,36,19,15,19,6,12,0,4,24,0,102,50,14,8,9,14,6,0,21,3,119,53,13,11,4,11,9,5,22,0,125,57,14,15,3,12,3,10,17,0,142,44,4,4,0,0,3,4,7,0,72,11,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,3,246,75,60,32,51,26,17,116,12,631
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
LGA20110,3,4,29,95,13,104,4,105,13,361,18,32,104,114,31,43,17,75,3,430,135,230,226,145,75,64,57,112,15,1057,261,338,191,125,102,75,55,105,22,1276,304,294,192,125,179,97,65,142,20,1427,292,230,174,143,155,113,101,175,16,1400,174,80,47,52,39,35,35,61,15,534,33,7,4,0,3,5,3,7,7,77,5,0,0,0,0,0,0,5,0,4,1229,1216,972,805,596,529,336,782,115,6571
LGA20260,4,4,40,39,8,93,8,78,9,288,18,28,59,71,26,47,22,113,5,389,109,175,137,145,83,44,53,201,19,965,203,145,98,109,83,55,42,116,12,860,208,169,96,190,104,50,58,129,17,1013,210,144,90,172,108,56,75,134,19,1008,134,50,25,46,25,13,20,58,17,391,42,3,4,0,0,0,0,10,7,63,5,0,0,0,0,0,0,3,5,12,938,716,543,785,436,364,277,825,113,4993
LGA20570,75,52,432,582,128,1263,80,755,48,3416,274,580,1023,1178,498,862,186,671,86,5348,1024,3220,2051,1683,1322,909,582,1017,178,11972,1509,3313,1472,1277,1464,602,494,786,132,11045,1668,2600,1176,1296,1553,650,596,904,146,10599,1119,1769,962,1003,1239,567,611,857,115,8247,299,504,191,216,284,145,175,238,42,2098,65,54,16,14,15,15,3,22,22,227,4,0,0,4,5,0,0,0,11,24,6040,12086,7322,7252,6506,5012,2724,5247,789,52974
LGA20660,39,82,295,538,134,1006,58,556,33,2736,225,911,844,1063,639,961,188,449,88,5366,1561,5297,1840,1379,1560,719,354,564,192,13468,2882,6281,1574,1057,1740,583,307,432,258,15114,2864,4396,1396,1168,2060,683,438,611,201,13819,1622,2830,1000,949,1770,557,439,584,129,9878,424,960,294,227,548,199,137,205,37,3026,67,93,32,18,50,16,17,43,19,352,3,5,0,0,5,0,0,4,8,33,9685,20876,7270,6406,8498,4729,1938,3444,961,63797
LGA20740,13,10,138,193,18,338,4,188,37,939,53,101,245,240,75,153,35,141,19,1066,300,635,571,376,210,231,87,268,36,2722,509,726,585,389,342,197,120,317,41,3221,639,672,525,427,412,319,194,341,74,3607,597,685,448,404,513,313,248,401,64,3673,269,251,131,91,138,116,52,129,34,1203,56,29,12,7,12,13,3,16,10,170,13,0,3,0,0,0,0,0,3,16,2449,3102,2652,2127,1729,1687,744,1792,331,16624
LGA20830,24,18,246,239,67,485,44,408,18,1553,122,191,514,399,217,275,102,366,34,2220,552,1191,1104,676,594,325,331,708,103,5586,752,1110,817,603,616,304,334,510,90,5143,907,981,738,681,649,316,420,603,75,5369,799,841,613,516,648,292,414,515,65,4705,405,274,140,120,168,71,130,164,23,1499,142,32,14,10,30,9,16,24,20,290,13,0,0,0,0,0,0,3,8,30,3722,4646,4186,3242,2986,2072,1793,3306,434,26391
LGA20910,29,95,145,849,194,907,62,458,27,2766,191,772,394,856,558,829,129,264,57,4053,1044,2614,682,548,738,446,106,208,142,6528,2930,3818,586,491,955,547,73,153,165,9712,4281,4697,699,656,1594,784,136,221,228,13289,2652,3389,631,599,1331,575,131,223,167,9700,704,1204,209,150,557,243,56,138,56,3311,128,195,31,19,84,48,14,31,31,572,14,9,0,0,3,4,0,3,13,41,11971,16791,3376,4168,6020,4391,696,1686,877,49980
LGA21010,7,0,50,52,10,122,14,86,4,349,25,34,100,60,28,45,36,94,10,433,90,206,196,143,83,71,76,148,25,1037,159,203,170,140,85,60,79,107,17,1023,193,216,184,159,181,78,90,145,24,1269,244,238,189,187,175,78,133,179,25,1452,191,72,53,43,66,31,36,77,11,585,49,12,5,0,5,4,0,10,8,98,3,0,0,0,0,0,0,0,0,12,972,995,942,791,635,487,459,844,134,6256
LGA21110,43,195,131,1097,301,1414,103,705,32,4021,406,2195,681,1674,1341,1705,206,661,133,9002,2241,8326,1392,1370,1898,1157,306,534,308,17524,4138,7733,855,744,1642,816,166,296,345,16735,5582,7628,830,794,2279,994,190,318,298,18921,3315,5916,751,756,1836,712,182,331,198,14005,970,2193,226,236,732,236,81,161,85,4919,171,375,31,18,97,54,17,45,19,839,19,25,0,5,6,3,0,9,10,80,16891,34592,4891,6686,10139,7102,1254,3054,1424,86044
LGA21180,52,82,282,418,176,1347,178,745,83,3361,310,1159,1233,1241,1001,1514,789,1131,279,8655,1552,5048,3073,2309,2828,1448,2221,2128,712,21324,2091,3603,2519,1875,2483,987,1918,1998,504,17974,1766,2274,2198,1715,2350,919,2311,2426,409,16374,1159,1319,1641,1244,1809,710,2004,2038,282,12195,267,335,324,256,396,165,397,492,80,2706,28,34,17,6,35,16,17,37,5,203,0,3,0,0,0,0,0,0,4,10,7219,13863,11280,9067,11077,7110,9831,10997,2362,82804
LGA21270,16,0,22,8,5,29,5,58,4,143,20,17,29,24,9,10,9,34,5,158,85,98,41,41,27,28,21,60,4,404,108,63,52,33,34,18,32,47,3,393,169,67,49,53,66,27,53,66,14,570,221,84,65,59,67,27,60,75,8,657,143,29,21,14,24,18,20,27,4,299,29,3,0,3,4,0,0,3,4,51,0,0,0,0,0,0,0,0,6,6,790,361,280,227,231,157,212,373,55,2678
LGA21370,35,20,199,189,26,383,17,262,21,1152,81,140,352,230,90,170,60,235,19,1380,337,614,598,379,241,204,169,408,50,2995,544,573,459,350,298,189,185,403,44,3039,693,538,484,454,428,261,336,508,54,3758,728,464,378,438,444,246,385,496,65,3640,352,152,98,106,121,78,92,150,31,1175,97,19,12,0,13,3,8,20,24,193,17,0,0,0,0,4,0,0,11,26,2879,2510,2581,2149,1662,1538,1248,2480,321,17368
LGA21450,54,43,502,448,107,1122,87,834,44,3240,247,490,1186,870,575,778,316,726,105,5306,1350,2941,3034,1762,1757,987,1136,1390,291,14649,1950,2922,2271,1578,1775,837,1191,1086,282,13895,1743,1895,1734,1309,1812,784,1020,1064,216,11580,1142,1087,1089,810,1251,480,837,811,130,7638,328,330,230,137,305,122,193,207,47,1900,91,33,22,10,21,8,5,21,27,241,21,0,0,0,0,0,0,0,9,32,6932,9742,10066,6917,7607,5123,4784,6146,1148,58473
LGA21610,113,173,976,1045,374,3144,361,1935,152,8274,716,1846,3158,2402,1873,2817,1258,2269,438,16779,3710,8700,7262,4882,5175,2826,3679,3971,1049,41250,5632,9941,6763,5195,5841,2525,4198,3799,954,44853,4579,5587,5187,4012,5146,2000,3583,3615,705,34415,2652,2752,3234,2356,3767,1405,3052,2741,412,22368,553,703,636,407,774,283,607,656,92,4703,68,66,41,22,48,39,26,61,24,397,10,4,3,0,0,0,3,3,8,34,18031,29767,27265,20309,22998,15046,16775,19047,3843,173078
LGA21670,10,0,43,42,7,116,8,64,3,298,20,29,72,69,27,68,13,66,5,364,55,129,148,130,55,66,54,128,16,786,95,90,117,116,80,42,58,116,13,740,129,116,152,175,120,80,89,144,26,1034,130,122,141,154,125,80,102,185,26,1063,98,42,32,27,31,23,29,47,6,339,19,5,7,0,4,0,4,11,3,51,4,0,0,0,0,0,0,0,0,5,564,535,718,714,448,477,359,762,105,4679
LGA21750,30,8,99,87,10,234,6,236,23,735,54,53,151,126,57,94,47,215,6,807,218,311,372,247,147,129,108,506,42,2073,339,326,281,215,182,96,140,348,30,1964,414,308,245,304,234,125,205,320,42,2189,404,315,208,244,228,123,206,299,33,2064,249,127,70,60,70,58,61,96,21,806,73,11,0,0,10,5,5,10,8,124,6,0,0,0,4,3,0,0,8,25,1786,1455,1435,1277,938,875,792,2020,212,10782
LGA21830,32,3,61,62,7,125,23,130,13,458,71,42,121,88,24,46,45,128,6,573,234,199,183,122,77,60,93,226,19,1217,331,211,151,117,99,66,92,159,24,1239,472,192,183,158,153,94,132,212,18,1624,470,193,174,166,158,80,164,204,19,1627,280,58,32,32,52,26,43,84,23,627,105,7,7,0,11,9,6,15,5,163,8,0,0,0,0,0,0,0,0,10,2006,904,913,737,583,496,605,1163,135,7547
LGA21890,31,74,158,502,122,967,46,492,38,2426,261,1020,838,1374,748,1145,290,703,139,6529,2469,9095,2589,2486,2482,1350,771,1302,445,22997,3650,7828,1791,1383,2110,737,542,743,330,19117,3001,5231,1497,1222,2152,783,670,852,244,15656,1312,2775,954,827,1445,513,576,794,147,9346,248,628,222,190,296,116,141,229,41,2112,24,43,11,10,15,10,6,29,17,168,0,3,0,0,4,0,0,0,0,12,10994,26705,8074,7994,9364,5626,3047,5161,1404,78360
LGA22110,17,15,190,192,24,392,28,266,31,1151,82,95,277,275,86,149,64,229,28,1281,322,662,562,467,279,248,174,445,70,3229,477,639,493,502,362,210,168,428,73,3350,643,679,489,583,529,284,268,487,74,4045,725,711,505,541,551,313,338,544,88,4320,462,228,140,133,203,100,127,168,43,1605,148,32,17,5,18,7,13,22,18,283,24,0,0,0,0,0,0,3,7,38,2896,3060,2673,2689,2052,1707,1186,2603,438,19304
LGA22170,50,30,461,523,104,1326,83,868,59,3509,261,538,1206,1045,505,973,300,733,108,5667,1489,3562,3232,1835,1705,1072,730,1212,281,15114,2384,3570,2581,1699,2055,985,848,1158,281,15560,2228,2750,2143,1700,2218,999,1111,1233,254,14637,1340,1735,1512,1280,1863,826,1018,1130,171,10872,298,491,352,262,472,209,230,284,54,2658,44,55,25,19,34,29,14,38,18,277,0,0,0,0,0,0,0,5,5,16,8090,12732,11519,8358,8954,6413,4336,6671,1229,68304
LGA22250,8,5,48,40,6,58,9,45,0,214,31,28,78,33,18,33,19,61,4,303,88,122,119,86,56,31,52,95,18,663,165,137,107,73,82,52,52,83,9,749,238,117,108,100,102,63,71,120,18,941,252,118,99,91,109,71,97,164,16,1024,135,43,30,17,29,30,40,44,9,383,49,3,4,0,4,4,5,10,12,90,4,0,0,0,0,0,0,0,0,11,971,564,596,444,398,336,337,624,92,4372
LGA22310,35,122,149,782,182,1094,75,579,44,3063,324,1424,707,1251,940,1244,205,548,122,6759,2279,7775,1830,1674,2122,1212,495,802,360,18544,4229,7734,1327,1058,1951,919,316,459,390,18382,4171,6128,1182,1166,2237,900,289,443,271,16787,2166,3733,920,883,1730,670,327,474,157,11056,603,1421,309,271,589,278,135,196,62,3866,73,169,38,35,76,42,13,42,22,508,8,15,6,0,9,7,0,9,7,62,13886,28523,6459,7128,9832,6364,1857,3544,1423,79020
LGA22410,15,3,72,80,15,193,14,145,17,544,31,59,146,110,37,63,63,108,16,624,144,278,233,216,107,80,156,169,27,1422,222,259,249,176,129,75,174,189,43,1521,315,277,277,245,214,117,210,253,50,1963,347,284,198,221,202,100,295,276,32,1955,253,89,44,53,64,25,48,87,14,674,101,8,0,0,3,4,13,8,13,149,9,0,0,0,0,0,4,0,4,16,1428,1257,1222,1111,780,671,967,1220,215,8870
LGA22490,23,8,158,115,22,278,25,203,14,837,47,64,213,140,68,125,57,129,11,851,208,412,484,282,237,110,150,166,34,2071,403,533,538,286,388,151,183,226,48,2747,451,499,505,353,412,175,260,283,41,2978,310,348,282,246,276,117,217,224,37,2058,155,97,74,39,63,24,57,67,15,583,65,4,3,0,3,0,3,0,3,84,5,0,0,0,0,0,0,0,0,7,1657,1970,2260,1456,1458,973,950,1300,210,12224
LGA22620,52,32,465,526,139,1324,112,920,55,3624,212,664,988,1075,502,799,263,811,95,5415,955,3362,2108,1647,1174,832,648,1316,185,12233,1562,3084,1605,1358,1413,647,627,1084,166,11549,1721,2515,1314,1403,1620,698,773,1005,182,11229,1227,1815,1060,1224,1433,611,795,1074,155,9389,416,541,237,256,317,156,215,278,51,2462,94,32,20,8,27,28,16,35,26,297,12,3,0,0,0,3,0,0,8,30,6258,12049,7800,7508,6626,5083,3446,6529,933,56237
LGA22670,27,74,142,289,112,869,100,586,53,2258,259,907,958,983,646,1171,694,1304,213,7123,1314,4185,2959,2055,2042,1252,2122,2910,612,19449,1666,3031,2401,1642,1839,831,1782,2272,445,15905,1157,1485,1808,1341,1292,646,1731,2272,314,12054,767,751,1207,880,928,413,1503,1901,207,8558,197,270,293,213,266,112,330,401,49,2130,22,26,24,12,28,7,9,39,16,177,0,0,3,0,0,0,0,0,7,14,5397,10738,9798,7417,7149,5291,8265,11694,1917,67664
LGA22750,99,70,887,1315,217,2764,214,1688,96,7357,548,1440,2339,2727,1056,2089,742,1571,220,12720,2700,8532,5392,4027,2915,1926,1702,2510,478,30166,4043,7771,3976,3112,3253,1483,1374,1983,479,27480,4053,5992,3270,3247,3496,1512,1648,2058,456,25742,2641,4122,2296,2541,2889,1352,1686,1970,301,19800,723,1216,537,495,791,367,432,594,121,5283,139,112,43,32,60,30,34,79,53,576,14,10,4,0,9,4,0,6,11,56,14954,29273,18750,17499,14678,11524,7828,12461,2222,129180
LGA22830,39,29,245,220,81,739,37,452,41,1877,148,305,547,460,226,351,126,415,56,2631,646,1546,1076,797,586,397,343,894,128,6421,898,1303,767,689,617,340,352,776,120,5862,1103,1065,691,715,818,431,502,812,115,6246,939,814,593,529,739,342,461,702,89,5212,377,278,139,124,218,93,152,218,36,1636,83,28,13,5,26,17,19,26,14,220,13,0,0,3,0,0,0,0,8,31,4247,5364,4078,3540,3317,2706,1989,4286,602,30137
LGA22910,10,4,37,63,3,82,5,86,4,298,16,14,88,69,20,34,17,66,6,327,142,160,237,146,83,55,36,99,18,982,250,356,231,130,134,57,36,130,22,1348,359,434,236,199,186,99,86,143,42,1780,338,416,207,190,204,108,81,181,23,1744,167,154,44,36,62,28,38,46,17,596,63,12,3,0,5,3,0,9,6,104,0,4,0,0,0,0,0,3,0,11,1351,1559,1078,825,695,469,302,758,137,7185
LGA22980,10,0,17,10,4,20,9,37,3,119,13,18,23,23,6,15,14,36,0,156,72,104,73,44,32,25,33,91,9,486,91,62,45,37,39,21,33,47,7,376,122,70,32,58,52,24,54,59,6,475,154,70,48,71,55,30,59,85,8,578,75,13,11,10,16,7,19,19,0,163,30,0,3,3,6,6,0,7,0,58,11,0,0,0,0,0,0,0,0,11,585,342,253,241,205,142,213,384,43,2409
LGA23110,18,36,150,307,79,677,66,414,23,1779,155,470,499,557,385,545,200,336,58,3197,1146,3172,1326,931,1202,585,534,597,218,9716,2396,3841,1205,830,1475,507,469,463,220,11410,2094,2679,1014,816,1519,530,620,548,201,10020,1094,1687,774,600,1208,380,569,570,114,7001,210,353,153,135,249,84,127,142,42,1505,19,32,19,9,22,9,7,19,14,138,6,0,0,0,0,0,0,0,3,10,7138,12264,5147,4186,6140,3322,2595,3103,891,44777
LGA23190,24,4,116,80,19,194,23,149,5,611,38,107,190,132,91,108,45,120,7,846,193,551,374,264,189,145,94,204,38,2046,315,404,246,204,220,129,115,144,33,1812,390,370,217,258,268,138,138,179,30,1971,401,283,198,222,246,153,167,188,27,1899,172,69,64,47,61,42,48,61,6,572,61,10,9,0,8,6,7,9,15,124,6,0,0,0,0,0,0,0,4,12,1597,1796,1413,1219,1097,915,630,1065,173,9888
LGA23270,90,79,618,522,215,1881,174,1040,106,4723,437,1118,1968,1567,1211,1754,861,1336,304,10557,2321,5972,4690,3365,3580,1751,2599,2497,758,27537,3166,5341,3649,3116,3393,1381,2684,1997,601,25341,2372,2705,2643,2383,2787,1145,2156,2035,409,18625,1437,1577,1742,1498,2251,922,1829,1543,235,13042,285,409,329,268,468,196,328,342,63,2690,32,33,27,11,27,18,14,32,5,197,0,0,0,0,4,0,0,0,6,10,10143,17242,15677,12730,13926,9055,10654,10826,2480,102724
LGA23350,10,6,75,111,18,157,8,129,12,528,28,37,113,76,41,45,27,69,10,440,126,256,253,129,106,71,65,129,17,1153,251,416,222,168,137,81,83,143,20,1525,406,463,255,194,212,106,142,185,35,1994,363,374,199,192,242,107,137,207,28,1845,193,135,38,54,56,29,58,52,21,631,79,17,4,0,3,0,5,9,6,134,11,0,0,0,0,0,0,0,0,21,1476,1700,1154,929,819,598,529,916,149,8266
LGA23430,52,95,350,697,170,1478,102,778,53,3757,264,957,1070,1133,714,1238,267,597,97,6339,1886,5593,2430,1555,1934,1059,610,905,304,16279,3768,6409,2225,1477,2530,1011,516,683,340,18948,3832,4864,2135,1698,2955,1179,809,1012,302,18785,2103,2639,1542,1241,2410,881,839,947,173,12773,500,769,426,286,692,267,242,335,64,3590,57,89,48,16,54,38,11,43,27,388,7,4,3,0,3,4,0,5,10,28,12466,21420,10227,8097,11452,7153,3399,5302,1372,80890
LGA23670,54,87,459,622,175,1620,117,877,62,4072,335,1118,1302,1072,830,1379,378,775,124,7316,1705,5166,2704,1669,2148,1134,665,970,304,16477,3056,5602,2458,1540,2493,1090,757,937,360,18300,2879,3741,2450,1799,2880,1191,1037,1220,296,17490,1919,2614,1899,1373,2581,906,1077,1212,218,13788,467,693,437,316,619,250,310,395,75,3556,38,82,45,17,55,21,16,45,4,310,3,5,0,0,6,0,0,0,4,15,10458,19104,11758,8400,11786,7591,4357,6423,1453,81332
LGA23810,38,17,312,316,79,822,37,439,49,2108,119,313,656,544,366,433,115,328,40,2916,520,1509,1353,989,899,517,414,738,150,7081,694,1276,1061,769,945,368,497,679,131,6417,776,1008,925,821,1005,446,576,764,115,6428,620,830,907,667,857,351,593,680,113,5621,218,246,172,150,198,93,148,157,49,1433,55,26,10,17,17,11,10,18,13,171,8,0,0,0,0,0,0,0,0,18,3051,5217,5386,4268,4370,3043,2387,3797,665,32181
LGA23940,8,0,20,20,0,41,3,42,6,145,20,13,27,24,6,10,6,43,3,158,93,70,56,51,33,21,24,74,15,438,144,66,52,45,41,25,40,72,12,486,197,95,54,59,57,25,42,99,7,640,257,67,57,66,77,35,82,95,12,752,203,21,12,19,28,12,21,23,4,351,59,0,0,0,0,0,0,9,6,79,9,0,0,0,0,0,0,0,4,17,992,336,281,277,244,177,227,463,64,3057
LGA24130,22,20,248,311,44,460,32,370,21,1529,72,125,414,318,139,232,71,236,40,1643,370,871,742,462,376,183,184,309,68,3566,1036,1736,859,483,690,222,196,291,78,5589,1316,1690,825,627,892,337,315,372,94,6465,862,1115,586,439,681,285,264,320,88,4639,266,368,136,97,227,75,84,111,25,1391,115,47,17,15,24,8,12,16,9,249,6,4,0,0,0,0,0,0,4,20,4076,5973,3826,2748,3072,1794,1151,2021,430,25095
LGA24210,39,104,218,569,157,1047,57,487,39,2715,290,1138,649,824,653,1142,153,417,88,5343,1287,4074,1200,873,1371,811,230,458,253,10554,2722,4725,1156,815,1598,813,272,354,254,12704,2919,3838,1280,1045,1920,900,345,543,237,13031,1980,2700,1067,887,1601,773,378,647,164,10199,583,904,283,225,553,224,121,210,60,3172,131,167,47,28,85,51,16,34,25,579,13,9,0,0,9,4,0,0,4,42,9961,17647,5896,5268,7942,5760,1564,3161,1132,58334
LGA24250,6,0,47,64,12,63,0,55,8,254,9,21,70,46,20,41,17,34,4,252,86,138,155,114,44,61,31,85,9,717,159,208,153,109,111,65,43,71,19,931,224,171,148,109,118,79,60,79,10,999,221,162,137,90,132,96,70,124,23,1051,118,74,35,30,47,29,27,47,7,419,26,8,4,3,3,4,3,5,3,58,3,0,0,0,0,0,0,0,5,7,859,776,754,557,476,443,248,501,80,4686
LGA24330,13,32,63,262,64,504,24,257,23,1240,175,595,404,742,506,668,237,460,79,3860,1731,5655,1500,1523,1824,1017,714,966,309,15238,2493,4747,1054,838,1459,503,406,538,215,12244,1709,2576,743,668,1093,369,458,501,157,8277,691,1199,471,418,705,278,453,469,91,4774,143,248,91,72,151,60,112,125,15,1009,12,18,4,4,5,9,0,9,8,71,0,0,0,0,0,0,0,0,0,3,6969,15067,4328,4519,5811,3404,2407,3330,897,46721
LGA24410,42,51,379,550,96,1095,69,662,41,2976,235,636,1027,870,502,904,217,529,90,5007,1245,4206,1982,1276,1409,752,450,791,240,12341,2434,4733,1687,1193,1748,693,417,685,248,13827,2231,3206,1606,1257,2023,715,502,747,206,12494,1453,1995,1169,999,1682,623,530,695,126,9271,291,558,258,218,459,173,154,231,41,2373,41,75,36,20,31,25,15,25,15,278,5,7,0,0,3,5,0,4,6,31,7968,15461,8133,6388,7944,4981,2348,4367,1011,58594
LGA24600,44,201,84,779,187,568,37,415,38,2349,600,3451,1078,3119,1684,2102,408,1348,292,14075,3946,17697,3618,4147,4163,2265,1004,2651,709,40196,3434,7968,1371,1151,1951,686,351,695,315,17922,2138,3296,536,582,1046,394,213,294,155,8650,1405,2012,298,356,776,251,155,245,95,5591,463,864,65,72,241,99,50,56,37,1937,81,158,6,3,23,16,3,12,18,322,6,9,0,0,0,0,0,0,4,21,12109,35650,7062,10219,10068,6375,2210,5711,1665,91064
