LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA14350,13087,13027,26120,3290,2256,5545,1614,2771,4382,425,493,919,492,339,827,5818,5865,11683,6314,6138,12457,8.4,5.8,7.1,44.5,45,44.7,40.7,42.4,41.5,162,241,402,105,236,345,742,1306,2047,619,1239,1860,3625,2063,5688,137,275,411,188,376,564,3954,2714,6666,11792,12272,24064,1754,1824,3579,8140,8299,16438,4694,5150,9843
LGA14400,9168,9947,19108,3609,1934,5538,1252,2596,3848,409,525,933,192,170,369,5459,5226,10689,3291,4290,7587,3.6,3.3,3.4,59.6,52.6,55.9,57.5,50.8,54,606,709,1317,228,470,703,1704,2141,3837,913,1329,2245,2470,1011,3474,79,170,254,188,353,543,2737,1530,4270,9180,9640,18815,1403,1532,2936,6315,6576,12892,3749,4135,7882
LGA14500,46930,52300,99234,20923,14113,35035,6753,11489,18242,2086,2954,5038,1433,1124,2558,31181,29685,60866,14731,21282,36015,4.6,3.8,4.2,66.4,56.8,61.3,63.4,54.6,58.8,9211,8183,17397,1368,2164,3533,15374,16996,32366,3639,5664,9311,2975,1658,4629,203,357,559,675,1234,1911,3850,3247,7098,49763,53529,103288,7889,8554,16445,33757,36488,70244,21397,23175,44568
LGA14550,3918,3970,7887,1148,697,1843,520,913,1439,131,130,265,122,96,216,1925,1839,3761,1622,1746,3370,6.3,5.1,5.7,49.2,46.2,47.7,46.1,43.9,45,80,91,167,49,89,143,281,494,772,226,445,682,960,555,1518,50,91,135,73,98,171,1077,751,1825,3637,3641,7280,501,553,1053,2625,2537,5157,1339,1475,2812
LGA14600,2418,2409,4824,1085,551,1639,217,541,760,66,77,149,78,61,142,1450,1234,2687,695,887,1578,5.3,5.1,5.2,60,51.3,55.7,56.8,48.7,52.8,31,40,70,16,47,61,116,253,365,90,190,282,489,285,775,26,39,64,42,49,90,559,377,939,2321,2230,4552,345,357,700,1699,1599,3299,815,835,1647
LGA14650,82962,89770,172734,34478,20294,54769,11011,23827,34835,3071,4131,7206,2676,2000,4679,51237,50246,101487,28534,36017,64552,5.2,4,4.6,61.8,56,58.8,58.5,53.7,56,3131,3508,6639,1057,2289,3350,9131,13931,23060,6717,9947,16659,25791,13361,39151,858,1605,2463,1504,2769,4268,28150,17736,45882,85049,89389,174438,12722,13889,26611,57939,60357,118293,34667,37890,72560
LGA14700,15359,16469,31828,8106,6286,14390,2166,3373,5544,706,955,1661,426,384,807,11397,10995,22395,3439,4847,8289,3.7,3.5,3.6,74.2,66.8,70.4,71.5,64.4,67.8,2864,2806,5669,469,722,1195,5207,5925,11132,1234,1652,2885,1206,666,1870,67,119,184,204,338,541,1479,1124,2605,14752,15472,30224,3410,3448,6861,8597,9144,17742,8635,8878,17515
LGA14750,4427,4573,9004,2141,1187,3322,421,1064,1489,130,145,273,101,101,203,2791,2492,5289,1230,1690,2922,3.7,4,3.8,63.1,54.5,58.7,60.7,52.4,56.5,63,68,132,34,75,105,283,471,757,174,333,512,1194,659,1850,41,87,123,58,100,161,1286,844,2137,4369,4457,8825,707,740,1446,2885,2833,5718,1901,2103,4005
LGA14850,17962,19127,37089,6416,4282,10699,3007,5109,8120,567,718,1289,633,466,1101,10631,10574,21204,5873,7017,12884,6,4.4,5.2,59.2,55.3,57.2,55.6,52.9,54.2,681,807,1486,278,636,912,2067,3255,5323,1236,2034,3274,4459,2697,7161,216,358,567,277,531,807,4945,3583,8537,17048,17691,34744,2823,3043,5868,11464,11803,23269,7492,8092,15587
LGA14870,8828,8651,17484,3127,1698,4826,923,1952,2876,348,397,743,295,192,484,4694,4241,8933,3490,3841,7336,6.3,4.5,5.4,53.2,49,51.1,49.8,46.8,48.3,169,213,386,83,186,271,554,891,1450,522,801,1325,2646,1278,3922,107,206,311,130,213,343,2880,1697,4577,8270,8296,16566,1109,1184,2288,5943,5935,11874,3003,3115,6120
LGA14900,89705,92369,182074,28721,21085,49813,10040,14801,24839,8929,6451,15377,3554,2808,6353,51245,45141,96384,32296,41195,73490,6.9,6.2,6.6,57.1,48.9,52.9,53.2,45.8,49.4,3991,4349,8342,701,1348,2051,11419,14741,26157,7380,9875,17253,15773,8439,24208,650,1307,1957,1320,2178,3494,17735,11922,29659,94558,95828,190385,12969,13228,26195,62122,63227,125345,38329,39323,77652
LGA14920,3097,3150,6244,1225,661,1888,277,659,940,98,109,206,108,96,204,1712,1520,3236,997,1252,2253,6.2,6.2,6.2,55.4,48.2,51.8,51.9,45.2,48.6,34,43,85,7,37,47,149,317,464,125,252,375,760,423,1187,36,72,113,60,88,143,852,590,1441,2845,2803,5658,465,478,944,2042,2011,4060,1097,1117,2215
LGA14950,1282,1319,2602,598,288,887,105,312,416,42,51,96,18,27,44,756,684,1440,420,537,954,2.5,3.7,3.1,59,51.7,55.3,57.6,49.8,53.6,19,26,38,9,27,35,54,169,227,84,127,208,369,185,561,22,38,50,30,33,62,422,255,679,1330,1342,2665,149,175,326,950,990,1942,436,443,881
LGA15050,33606,36818,70424,16112,9637,25751,4399,9856,14256,1278,1818,3102,1131,994,2125,22923,22312,45235,9356,13109,22460,4.9,4.5,4.7,68.2,60.6,64.2,64.9,57.9,61.2,872,1093,1970,348,830,1181,2834,4914,7751,2636,3990,6627,10644,6677,17321,373,735,1106,498,923,1422,11517,8332,19848,34577,36637,71213,6572,7236,13807,21145,22133,43274,17401,19242,36647
LGA15240,40058,43001,83057,10824,6800,17619,4989,9098,14084,1334,1501,2839,1323,948,2272,18473,18341,36814,18689,21557,40247,7.2,5.1,6.2,46.1,42.7,44.3,42.8,40.5,41.6,894,1010,1902,394,773,1175,2912,4550,7462,2594,4397,6994,11709,6223,17929,446,892,1343,740,1331,2067,12888,8447,21337,37074,39056,76129,6195,6768,12968,24885,25945,50831,16625,18094,34719
LGA15270,10548,10367,20919,4667,2288,6951,1110,2707,3815,390,467,852,260,225,485,6427,5684,12114,3214,3917,7128,4,4,4,60.9,54.8,57.9,58.5,52.6,55.6,191,303,491,73,193,265,779,1310,2081,608,1034,1638,3415,1684,5102,115,204,322,166,310,471,3696,2196,5893,10131,9900,20028,1776,1814,3594,6488,6145,12633,4777,4946,9724
LGA15300,5341,5290,10630,2272,1372,3641,392,974,1364,157,180,338,116,96,212,2933,2621,5558,1194,1515,2710,4,3.7,3.8,54.9,49.6,52.3,52.7,47.8,50.3,66,81,146,29,102,127,352,613,959,255,431,687,1072,575,1647,37,92,129,36,94,140,1144,764,1909,4321,4246,8565,770,773,1541,3098,2988,6085,1671,1767,3437
LGA15350,10433,12666,23101,4936,3914,8849,1528,2406,3933,454,653,1108,232,282,512,7153,7257,14409,2962,5046,8010,3.3,3.9,3.6,68.5,57.3,62.4,66.3,55,60.1,1856,1859,3712,308,505,814,3717,4399,8111,794,1467,2259,692,400,1094,31,69,103,136,299,439,862,763,1631,10069,11876,21945,2136,2474,4600,6425,7649,14071,5260,6179,11440
LGA15520,5166,5264,10428,2163,1094,3253,576,1376,1947,176,237,412,106,83,186,3018,2784,5804,1711,2070,3778,3.5,2.9,3.2,58.4,52.9,55.6,56.3,51.4,53.8,68,98,161,35,137,167,343,646,982,305,496,800,1438,669,2105,32,66,98,65,89,157,1541,820,2361,4821,4910,9733,837,832,1666,3194,3207,6407,2161,2294,4459
LGA15560,1434,1322,2752,747,345,1095,103,339,440,45,46,92,31,24,57,928,755,1684,355,429,785,3.3,3,3.2,64.7,57.1,61,62.5,55.4,59.1,18,22,41,4,32,37,76,145,226,61,120,183,349,156,501,11,31,47,17,34,49,373,221,594,1326,1204,2534,192,187,381,994,868,1864,440,456,898
LGA15650,6770,6350,13124,3216,1650,4867,655,1542,2194,239,264,497,219,178,395,4332,3632,7961,1962,2327,4289,5.1,4.9,5,64,57.2,60.7,60.7,54.4,57.7,91,99,188,39,89,128,276,568,847,348,532,877,2181,1152,3331,76,144,213,96,155,245,2346,1449,3797,6396,6157,12552,1233,1215,2450,4056,3830,7890,3125,3141,6267
LGA15700,8473,9030,17502,2058,1354,3415,1174,1964,3141,270,288,564,315,206,518,3821,3813,7642,3949,4493,8445,8.2,5.4,6.8,45.1,42.3,43.6,41.4,40,40.7,161,208,374,90,201,289,646,1004,1644,479,915,1399,2390,1360,3744,102,217,325,116,256,371,2610,1830,4444,7990,8359,16351,1120,1251,2367,5394,5582,10981,3291,3579,6870
LGA15750,5420,5159,10575,2636,1427,4062,498,1119,1619,191,209,395,142,103,238,3458,2858,6319,1321,1752,3075,4,3.6,3.8,63.8,55.4,59.7,61.2,53.4,57.4,92,97,189,33,84,117,317,568,888,228,411,638,1347,777,2121,52,93,145,71,122,196,1465,989,2459,5084,4834,9916,759,779,1537,3631,3452,7084,1878,1851,3730
LGA15800,2226,2299,4534,941,503,1449,221,517,740,57,68,128,80,51,134,1303,1138,2443,708,950,1657,6.1,4.4,5.3,58.6,49.5,54,55,47.3,51.1,37,36,66,15,38,54,116,245,356,103,195,299,515,300,818,32,50,81,27,51,77,571,406,976,2182,2215,4397,310,322,633,1539,1569,3109,793,852,1648
LGA15850,2460,2504,4969,1094,611,1704,206,524,737,69,109,177,58,60,121,1432,1299,2736,701,867,1565,4.3,4.5,4.4,58.2,52,55.1,55.7,49.6,52.6,21,30,55,12,39,49,139,315,455,98,211,308,612,319,928,26,50,78,24,57,83,662,432,1093,2348,2268,4614,351,364,713,1705,1637,3344,808,878,1684
LGA15900,68236,72092,140328,28747,19303,48047,11189,20001,31187,2515,3379,5887,2589,1744,4335,45035,44422,89463,19342,23717,43058,5.7,3.9,4.8,66,61.6,63.8,62.2,59.2,60.7,4453,4905,9362,1187,2295,3482,11514,15267,26782,5228,7136,12362,15503,8602,24111,689,1063,1750,1000,1573,2570,17191,11241,28434,63125,65240,128368,13881,14808,28688,39798,41131,80932,33384,35257,68642
LGA15950,27475,31499,58974,15158,13506,28659,3496,5509,9005,1133,1702,2832,765,698,1465,20545,21413,41957,5780,8790,14573,3.7,3.3,3.5,74.8,68,71.1,72,65.8,68.7,5210,5574,10779,886,1518,2404,10126,11713,21839,2333,3315,5644,1925,1158,3081,120,183,307,370,620,986,2410,1964,4381,22773,25480,48258,7400,8430,15836,11954,13966,25920,16870,18703,35577
LGA15990,102536,109828,212361,47176,31369,78537,16401,27376,43778,5350,7614,12968,2449,2013,4464,71380,68366,139746,27679,37404,65084,3.4,2.9,3.2,69.6,62.3,65.8,67.2,60.4,63.7,9639,9445,19084,2082,3888,5968,25179,29951,55132,9989,14620,24615,18351,7544,25896,618,1289,1912,2081,3420,5503,21049,12255,33306,104297,109065,213358,17650,18520,36180,69900,73670,143572,46230,48183,94407
LGA16100,2443,2212,4660,1055,547,1596,218,482,699,112,96,207,48,40,90,1429,1165,2597,744,803,1545,3.4,3.6,3.5,58.4,52.7,55.7,56.4,50.8,53.7,70,55,123,20,51,69,164,300,469,128,204,326,678,271,950,26,34,59,38,59,94,736,365,1101,2170,2057,4225,307,311,615,1489,1394,2885,875,870,1748
LGA16150,16483,18066,34549,7911,5252,13163,2026,4393,6417,498,686,1183,422,354,775,10852,10682,21540,4633,6325,10958,3.9,3.3,3.6,65.9,59.1,62.3,63.3,57.2,60.1,754,815,1572,222,504,730,1966,3099,5067,1169,1885,3048,4263,2637,6900,175,314,489,240,500,738,4677,3457,8131,16538,17536,34067,3286,3433,6718,9920,10584,20500,8586,9234,17824
LGA16200,5680,5782,11466,2526,1486,4010,586,1299,1894,167,189,358,215,120,333,3498,3097,6597,1726,2276,4002,6,3.9,5,61.6,53.6,57.5,57.8,51.5,54.6,81,119,202,52,81,131,336,676,1009,279,476,748,1517,967,2486,70,109,176,82,169,254,1666,1249,2915,5627,5677,11307,879,891,1775,3836,3842,7678,2256,2396,4651
LGA16260,104873,105112,209986,42765,31124,73892,14054,19185,33241,8339,7153,15490,3807,3674,7475,68968,61133,130101,30336,38760,69096,5.5,6,5.7,65.8,58.2,62,62.1,54.7,58.4,15864,15121,30985,1883,2887,4775,27439,29268,56710,9316,10720,20033,11412,5993,17408,606,948,1557,1351,2133,3485,13370,9086,22455,95298,96566,191870,24637,23946,48579,53730,55872,109603,59372,58076,117448
LGA16350,83649,87739,171390,35651,24492,60140,11097,17610,28709,6322,6758,13081,2587,2294,4881,55653,51154,106808,23099,31351,54448,4.6,4.5,4.6,66.5,58.3,62.3,63.4,55.7,59.5,3231,3842,7069,762,1559,2319,8066,12162,20222,6104,9104,15199,21659,12251,33917,774,1521,2297,1333,2107,3437,23769,15877,39647,85940,88012,173955,13221,14029,27248,55725,56867,112595,36849,39059,75908
LGA16380,34692,38674,73367,11511,7805,19321,4879,9323,14197,1015,1299,2311,1010,823,1833,18417,19245,37662,14424,17524,31950,5.5,4.3,4.9,53.1,49.8,51.3,50.2,47.6,48.8,1111,1250,2363,479,960,1437,3400,5366,8767,2708,4389,7097,10184,5808,15993,359,778,1136,711,1212,1918,11254,7793,19047,33175,36054,69224,6066,6724,12793,20812,22385,43199,16679,18826,35497
LGA16400,29907,31567,61479,10831,5877,16702,3733,7664,11402,1280,1492,2774,933,690,1627,16781,15725,32506,11607,14279,25880,5.6,4.4,5,56.1,49.8,52.9,53,47.6,50.2,767,858,1631,329,678,1008,2315,3627,5941,2449,3516,5972,9534,5038,14569,323,647,968,515,986,1505,10369,6669,17033,29234,30371,59610,5066,5283,10349,18711,19294,38009,14022,14805,28826
LGA16490,25342,25308,50655,13846,9691,23541,3249,5858,9104,828,1185,2020,623,507,1126,18549,17242,35792,5422,6864,12292,3.3,2.9,3.2,73.2,68.1,70.7,70.8,66.1,68.4,2263,2044,4301,586,1027,1612,3479,4836,8313,2346,2921,5270,5810,2969,8783,227,375,603,333,566,897,6374,3912,10277,25042,24747,49786,4653,4598,9260,15583,15308,30899,12370,12382,24750
LGA16550,54178,58161,112345,23002,19175,42170,7657,11794,19452,2921,3734,6658,1657,1405,3059,35233,36106,71341,15720,18799,34521,4.7,3.9,4.3,65,62.1,63.5,62,59.7,60.8,7088,7605,14696,981,1914,2897,13627,17349,30977,4089,6007,10098,7358,3059,10416,284,482,762,755,1212,1968,8399,4749,13149,47378,50781,98161,12260,13144,25402,29809,32562,62371,26933,28658,55590
LGA16610,9565,9904,19468,3066,1915,4983,1256,2181,3438,330,369,702,247,207,457,4907,4670,9579,3723,4295,8015,5.1,4.4,4.8,51.3,47.2,49.2,48.7,45.1,46.9,118,141,265,69,150,218,470,920,1385,408,855,1262,2495,1624,4121,112,188,304,139,261,394,2741,2079,4816,9026,9316,18343,1402,1436,2840,6333,6419,12748,3613,3890,7496
LGA16700,52189,55740,107931,22855,17419,40272,7426,10786,18208,3197,3663,6860,1838,1641,3475,35312,33507,68822,14505,19724,34223,5.2,4.9,5.1,67.7,60.1,63.8,64.1,57.2,60.5,8007,8186,16191,955,1740,2693,14701,16413,31108,4553,5653,10206,5899,2940,8840,273,487,758,734,1290,2021,6904,4716,11620,48123,50713,98839,11620,11829,23447,28528,30248,58774,28196,29367,57563
LGA16900,29427,31864,61294,11849,6869,18722,3745,7718,11466,1819,2428,4244,884,693,1579,18302,17707,36006,9685,12717,22399,4.8,3.9,4.4,62.2,55.6,58.7,59.2,53.4,56.2,702,850,1550,268,653,915,2200,3713,5909,2308,3558,5864,9534,5360,14896,286,627,914,483,1054,1535,10295,7045,17342,30074,31492,61568,4687,5125,9817,20137,20987,41130,12671,13813,26489
LGA16950,44825,46567,91400,14222,8387,22606,5937,10867,16803,1524,1893,3415,1257,966,2221,22939,22104,45042,19248,21746,40991,5.5,4.4,4.9,51.2,47.5,49.3,48.4,45.4,46.8,1454,1729,3183,535,1288,1822,3970,6030,10002,3229,5031,8267,13590,6796,20389,443,916,1362,821,1462,2287,14860,9180,24035,41981,43561,85545,7137,7571,14707,27897,28701,56602,18814,20257,39070
LGA17000,10260,9503,19758,5349,2384,7734,1050,2565,3615,441,529,977,259,220,483,7105,5705,12811,2387,3296,5681,3.7,3.9,3.8,69.3,60,64.8,66.7,57.7,62.4,177,190,373,67,164,234,698,1045,1743,640,882,1527,3486,1894,5383,126,201,327,115,305,414,3728,2401,6124,9814,9550,19365,2003,1691,3699,6233,5954,12182,4944,4674,9623
LGA17040,12030,10992,23021,4994,3095,8091,2094,3176,5270,506,479,985,216,169,383,7805,6924,14731,3008,3115,6120,2.7,2.5,2.6,64.9,63,64,63.1,61.4,62.3,538,545,1085,177,328,510,1588,1976,3569,818,1203,2027,3154,1435,4585,113,187,298,170,254,425,3438,1872,5310,10459,9730,20194,2167,2122,4287,7136,6548,13682,4991,4836,9831
LGA17080,6192,6013,12200,2743,1359,4100,627,1514,2134,220,229,445,165,126,290,3752,3230,6976,1986,2304,4291,4.3,4,4.2,60.6,53.7,57.2,58,51.6,54.8,96,125,211,46,152,197,436,681,1114,304,539,845,1734,881,2618,58,108,167,79,137,219,1871,1127,3005,5923,5820,11741,794,848,1644,4172,4007,8180,2216,2309,4526
LGA17100,19793,18794,38582,7485,5280,12766,3554,3820,7378,1332,1227,2559,903,672,1574,13279,10999,24284,5388,6839,12229,6.8,6.1,6.5,67.1,58.5,62.9,62.5,55,58.9,2989,2432,5422,304,458,761,5577,5526,11107,1937,1945,3885,1562,884,2446,79,127,204,238,311,558,1876,1322,3200,16727,16486,33208,5153,4462,9611,9346,9674,19019,11481,10311,21788
LGA17150,89509,96418,185929,40521,26773,67296,12841,23753,36592,5638,7304,12949,2101,1631,3734,61105,59463,120565,25582,33634,59211,3.4,2.7,3.1,68.3,61.7,64.8,65.9,60,62.8,5578,5972,11558,1564,3044,4607,15606,20663,36269,9169,12915,22087,23611,9375,32986,640,1374,2018,1982,3468,5456,26241,14222,40454,93221,97735,190957,13463,14173,27639,65230,68567,133801,35967,38026,73989
LGA17200,105662,93465,199132,47773,35210,82989,14927,16333,31253,6100,6365,12461,4089,3381,7475,72890,61285,134180,22148,24677,46824,5.6,5.5,5.6,69,65.6,67.4,65.1,62,63.6,16070,15386,31456,2489,3006,5494,32915,32129,65051,9592,9261,18849,8123,3956,12084,531,603,1128,1176,1281,2458,9828,5844,15673,68215,61023,129232,33945,31702,65646,32458,29052,61513,66449,60791,127233
LGA17310,24406,26239,50644,10883,7174,18060,2883,6117,9008,747,952,1702,716,643,1358,15230,14892,30124,7256,9404,16655,4.7,4.3,4.5,62.4,56.7,59.5,59.5,54.3,56.8,561,766,1329,261,614,872,1904,3493,5395,1438,2541,3982,6558,4071,10625,270,533,800,360,741,1107,7184,5342,12531,23468,24539,48009,4747,4969,9719,14950,15604,30549,11515,12390,23905
LGA17350,2397,2527,4921,1055,562,1620,264,655,918,84,87,167,45,37,83,1440,1342,2783,826,1062,1886,3,2.8,2.9,60.2,53.1,56.6,58.4,51.6,54.9,22,43,67,19,50,69,147,306,451,99,209,308,691,361,1054,29,69,98,29,69,103,751,505,1253,2414,2477,4892,348,391,742,1816,1869,3686,808,854,1662
LGA17400,2958,3055,6007,870,498,1364,345,632,969,84,101,187,107,75,181,1398,1309,2707,1257,1447,2704,7.7,5.7,6.8,47.4,42.8,45.1,43.7,40.3,42,52,51,103,27,69,96,185,330,517,171,269,438,734,398,1132,38,74,109,46,69,121,815,543,1364,2629,2689,5314,423,467,897,1913,1902,3816,982,1122,2110
LGA17420,73374,77543,150914,35298,23854,59150,10095,17198,27291,4366,5547,9913,2242,1863,4106,52002,48461,100462,19418,27016,46436,4.3,3.8,4.1,70.9,62.5,66.6,67.8,60.1,63.8,9541,8785,18331,1531,2329,3861,17983,20926,38908,6992,9174,16159,11463,5336,16801,393,829,1223,1286,2088,3370,13142,8251,21393,77698,80066,157763,13499,14104,27602,48992,50503,99493,37365,38979,76344
LGA17550,38811,43157,81967,12605,7757,20360,5919,11201,17128,1453,1875,3325,1166,1001,2168,21140,21842,42978,14772,18322,33092,5.5,4.6,5,54.5,50.6,52.4,51.5,48.3,49.8,1154,1460,2618,502,1105,1608,4007,6333,10335,2997,4957,7952,10692,5649,16347,338,678,1019,658,1254,1917,11696,7584,19276,36808,39760,76566,6498,7151,13650,23976,25697,49673,17269,19223,36494
LGA17620,5803,5917,11724,2806,1673,4480,580,1400,1984,236,212,452,134,100,237,3760,3392,7151,1656,2175,3834,3.6,2.9,3.3,64.8,57.3,61,62.4,55.7,59,84,133,220,38,91,132,374,741,1109,302,542,842,1739,965,2700,56,126,185,87,180,262,1882,1260,3141,5691,5606,11298,933,1053,1987,3903,3857,7762,2363,2485,4849
LGA17640,3589,3555,7147,1550,888,2437,425,883,1313,132,147,274,84,47,131,2190,1966,4165,1093,1299,2395,3.9,2.4,3.2,61.2,55.3,58.2,58.8,54,56.4,107,118,232,32,101,128,304,503,806,252,389,642,981,476,1455,35,77,115,56,87,148,1076,640,1708,3504,3375,6876,417,464,887,2547,2387,4932,1165,1259,2429
LGA17650,2326,2558,4886,942,609,1554,296,652,946,82,101,179,66,55,116,1383,1413,2795,780,962,1744,4.6,3.8,4.2,59.6,55.1,57.2,56.8,53,54.8,98,135,237,39,70,107,222,423,641,162,290,458,622,346,968,41,41,82,41,70,106,703,455,1157,2265,2426,4699,345,403,743,1658,1759,3423,822,948,1768
LGA17750,26482,28363,54844,13242,8197,21431,3415,7323,10743,826,1109,1934,786,661,1445,18272,17286,35557,6580,9487,16060,4.3,3.8,4.1,69,60.9,64.8,66,58.6,62.2,984,1090,2076,386,785,1169,2752,4712,7467,1738,2756,4491,7113,4048,11162,327,524,854,360,702,1066,7797,5276,13079,25510,26687,52201,5514,6021,11535,15572,16199,31770,13529,14650,28177
LGA17850,1253,1244,2493,602,288,888,124,301,424,31,36,70,25,22,40,775,648,1420,346,481,831,3.2,2.8,3,62,51.9,57,60,50.4,55.3,14,29,46,4,26,30,93,143,238,87,123,207,309,168,478,18,33,55,10,24,33,338,230,566,1193,1180,2374,138,144,275,863,843,1701,405,422,828
LGA17900,2406,2282,4688,665,451,1114,175,352,531,95,89,187,78,46,121,1009,947,1957,793,736,1531,7.5,5,6.3,42,41.4,41.7,38.9,39.3,39.1,13,32,50,13,38,49,113,245,358,133,166,301,454,238,691,28,48,81,40,49,90,515,334,855,1823,1695,3523,296,296,590,1347,1184,2531,658,696,1351
LGA17950,1075,1047,2122,530,282,814,61,211,273,32,40,67,31,22,51,651,552,1199,288,372,662,4.5,3.8,4.2,60.4,52.5,56.5,57.8,50.5,54.2,15,11,30,9,21,32,59,137,197,55,95,151,214,94,307,17,16,32,15,17,29,247,119,365,997,968,1965,145,141,283,739,713,1450,331,334,666
LGA18020,3888,3954,7847,1313,750,2060,370,796,1164,125,123,242,111,110,222,1910,1782,3694,1411,1587,2996,5.6,6.3,6,49.2,45,47,46.4,42.1,44.2,57,74,126,19,73,89,200,409,608,181,332,513,865,489,1355,44,96,138,46,94,136,951,684,1634,3497,3422,6913,484,530,1014,2611,2546,5160,1162,1226,2386
LGA18050,27109,29420,56528,13599,10713,24318,3926,6075,10003,1368,1874,3238,731,714,1448,19628,19380,39005,5817,8216,14028,3.7,3.7,3.7,72.4,65.9,69,69.7,63.4,66.4,3741,3970,7705,581,970,1549,9291,10898,20190,2146,3071,5220,2735,1158,3884,104,204,316,373,528,898,3209,1891,5103,23389,24596,47986,6955,7630,14589,13354,14218,27573,15462,16547,32011
LGA18100,1529,1457,2982,589,273,867,140,362,503,40,52,90,41,30,75,811,717,1534,612,642,1254,5.3,4.3,4.8,53.4,49.3,51.4,50.6,47.2,48.9,11,30,37,9,35,38,88,165,251,82,149,232,385,200,586,16,28,48,37,31,68,440,259,698,1493,1407,2900,170,161,336,1148,1064,2212,448,444,894
LGA18200,3289,2967,6250,1391,712,2101,280,683,960,105,119,231,82,56,142,1860,1573,3437,940,1039,1976,4.5,3.7,4.1,56.6,53.2,54.9,54,51.2,52.7,27,50,79,20,60,82,170,357,522,194,300,491,786,377,1161,40,59,99,36,65,94,863,496,1357,2980,2737,5714,428,410,835,2077,1815,3887,1127,1130,2258
LGA18250,29232,32457,61694,13504,9823,23326,4081,6482,10568,1368,1877,3246,864,841,1707,19815,19033,38846,8133,11935,20069,4.4,4.4,4.4,67.8,58.6,63,64.8,56,60.2,5004,5163,10162,815,1185,1993,9675,10574,20247,2290,3355,5640,2033,1117,3151,116,219,337,418,634,1047,2565,1968,4535,28285,30649,58935,6423,6857,13289,17796,19483,37278,15155,16371,31533
LGA18350,20933,23226,44160,8387,4977,13361,3207,5849,9054,825,1008,1833,381,355,739,12803,12181,24987,7078,9870,16948,3,2.9,2.9,61.2,52.5,56.6,59.3,50.9,54.9,1446,1421,2867,389,764,1149,3141,4332,7475,1816,2998,4809,5390,2523,7909,174,392,573,418,772,1193,5990,3690,9678,20220,21847,42068,3709,4087,7796,13051,14121,27167,9827,10748,20572
LGA18400,20752,21187,41941,9487,5534,15025,2806,5352,8159,1559,1710,3269,411,371,777,14260,12970,27232,5528,7228,12758,2.9,2.8,2.9,68.7,61.2,64.9,66.7,59.5,63.1,469,756,1228,173,443,610,1415,2742,4156,1470,2535,4011,7560,3280,10840,157,425,582,369,656,1018,8080,4362,12442,22401,22258,44656,2896,3011,5909,15392,15189,30579,8266,8581,16848
