RA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,0,0,0,17,159,639,1841,1533,190,201,160,283,142,115,109,5384,0,6,17,88,77,151,1020,725,96,102,120,127,85,6,29,2658,6,43,294,563,603,715,1296,792,137,145,145,179,113,49,61,5139,33,36,76,230,1373,2212,10124,6227,1285,1295,1150,1799,627,82,505,27056,80,518,1298,444,288,890,418,117,12,17,5,10,7,0,141,4243,82,150,248,140,176,214,487,499,77,74,60,53,32,8,58,2361,7,26,44,87,208,125,216,171,15,19,34,30,5,10,27,1031,952,936,745,671,1338,770,1657,819,104,115,143,177,88,32,159,8714,108,524,651,233,100,47,68,143,9,18,5,18,12,6,55,1995,15,28,151,470,1022,1002,1296,957,217,194,232,267,198,55,112,6212,360,267,2229,1965,1894,2674,18815,13975,2916,2386,3499,4196,1447,287,924,57833,43,128,100,279,1110,2820,3802,1843,403,429,454,564,557,65,257,12866,5,4,11,61,686,688,1484,2123
RA51,0,0,0,0,0,3,28,46,0,3,0,7,0,3,23,115,0,0,0,0,0,0,15,27,0,6,9,0,0,0,7,60,0,0,28,64,47,71,105,61,10,6,20,8,6,3,14,463,4,0,0,5,8,20,118,96,16,20,23,69,4,0,30,410,3,10,32,7,3,5,9,0,0,0,0,0,0,0,7,80,4,7,0,3,3,0,9,9,0,0,6,16,0,0,5,67,0,6,3,10,9,10,8,7,0,0,3,9,7,6,15,85,173,115,104,95,162,75,174,79,14,9,15,21,8,0,42,1081,0,20,9,5,0,0,0,8,0,5,0,0,0,0,3,52,0,0,8,10,16,10,16,32,7,3,4,4,6,6,16,133,28,12,88,57,35,28,267,278,47,41,56,57,18,3,54,1080,4,17,6,6,14,42,95,89,32,18,22,12,23,0,19,383,0,0,0,0,3,0,9,34
RA52,0,0,0,0,0,5,40,66,9,8,3,33,9,5,17,193,0,0,0,0,0,4,14,7,0,0,4,0,0,0,5,38,0,0,27,38,39,38,68,39,19,10,8,17,9,0,7,329,0,0,0,3,17,16,124,88,16,17,19,28,12,8,17,370,4,17,20,8,10,8,4,0,0,0,0,0,0,0,5,68,4,4,12,0,0,6,3,8,0,0,4,0,0,9,0,51,0,0,4,3,17,15,42,30,3,3,17,7,14,33,5,183,122,110,71,44,104,54,124,70,19,7,15,16,3,0,22,786,0,11,18,7,4,0,0,0,4,0,0,0,0,0,5,57,0,0,8,9,4,10,11,10,4,5,4,0,0,0,6,71,17,11,52,36,18,37,275,271,31,41,52,66,33,9,25,977,0,10,6,3,19,26,85,56,16,18,24,15,22,4,6,330,0,0,0,0,14,0,7,33
RA53,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,12,5,9,0,0,5,0,0,35,0,0,8,19,17,13,44,21,3,7,3,14,6,0,7,169,0,3,0,3,9,10,63,37,11,17,25,85,14,0,10,286,0,8,13,0,5,3,5,0,0,0,0,0,0,0,0,33,0,0,0,7,0,0,4,3,6,0,0,0,3,0,0,33,0,0,0,7,5,5,19,10,0,6,0,5,0,7,0,71,40,41,37,21,38,26,67,38,8,8,15,28,9,0,6,385,0,0,5,3,0,6,5,3,0,0,0,0,0,0,0,25,0,0,4,7,3,7,19,8,0,0,5,4,0,0,0,67,5,3,20,9,15,17,236,154,52,54,33,56,19,12,9,692,6,3,0,0,13,17,60,57,12,7,9,30,18,0,0,243,0,0,0,0,4,0,10,10
RA54,0,0,0,0,0,4,12,8,0,0,0,0,0,0,0,22,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,25,0,0,7,14,21,28,29,28,4,0,7,18,11,0,0,179,0,0,0,0,4,7,93,74,14,19,10,49,8,3,9,290,0,5,24,9,3,13,12,4,0,0,0,0,0,0,8,78,0,0,4,0,4,0,3,0,0,0,3,3,0,0,0,18,0,0,0,4,13,16,24,24,4,8,8,12,0,0,6,113,30,48,19,20,68,47,89,40,5,6,18,29,14,0,5,446,0,4,9,10,4,0,5,0,0,0,0,0,0,0,0,24,0,0,6,0,6,4,14,9,0,0,4,0,0,0,3,44,3,6,29,13,15,25,155,114,17,10,28,24,18,0,13,470,5,0,0,0,16,37,63,36,17,23,14,17,4,4,7,232,0,0,0,0,5,9,17,25
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,6,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
RA61,0,0,0,0,0,4,15,130,57,28,13,30,3,3,0,283,0,0,0,6,0,0,94,204,40,64,61,62,20,0,16,563,4,8,55,104,100,107,152,80,16,26,29,26,4,0,6,713,9,21,27,17,62,116,955,1933,833,765,704,580,142,15,117,6290,5,44,82,23,13,13,5,7,0,0,0,0,0,0,3,190,3,8,15,4,10,8,17,23,5,10,12,16,6,0,3,139,0,6,21,20,39,36,20,10,5,4,7,8,0,0,8,184,149,310,178,98,162,80,147,70,10,13,5,20,8,3,38,1294,5,83,188,43,24,9,11,18,4,0,5,3,0,0,13,415,0,6,23,30,58,39,114,170,42,55,51,84,47,8,7,729,27,13,66,39,44,100,731,1619,562,578,622,622,215,51,92,5383,5,27,5,16,15,37,97,105,31,26,17,28,14,0,7,453,0,0,6,3,29,24,49,175
RA62,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,10,0,5,5,6,0,0,0,34,0,4,35,49,39,38,66,32,6,4,0,17,0,0,5,297,3,5,6,3,20,20,95,103,60,46,33,44,9,0,11,445,0,8,14,6,0,5,3,0,0,0,0,0,0,0,3,36,0,7,8,4,7,5,0,3,4,8,9,11,0,0,0,60,0,0,3,11,21,20,11,7,0,0,0,0,0,0,3,76,64,147,102,61,117,44,91,18,9,3,5,7,4,0,23,716,0,9,14,3,8,0,0,0,0,4,0,0,0,0,5,46,0,0,9,7,16,12,12,28,0,7,8,5,10,4,0,125,5,8,31,23,21,19,102,153,58,77,84,48,27,13,28,705,7,14,8,3,11,11,32,20,8,3,4,18,0,0,5,147,0,0,0,3,0,0,6,5
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,11,9,4,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,9,0,5,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,6,6,11,0,4,0,0,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,8,3,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,0,0,0,0,0,3,20,8,0,0,0,0,3,0,5,34,0,0,0,5,12,15,114,192,49,87,72,60,23,3,3,635,0,9,15,38,33,26,60,55,9,9,4,10,4,0,7,278,4,13,15,11,54,55,379,355,121,125,115,103,37,0,41,1425,0,4,17,0,0,0,0,0,0,0,0,0,0,0,3,25,3,0,3,4,0,3,17,5,5,0,4,0,7,3,0,66,0,5,3,14,53,40,59,50,9,9,19,16,11,0,4,308,33,85,84,55,85,49,125,74,5,9,11,20,8,3,26,674,0,79,271,182,98,99,119,203,21,11,0,5,4,0,56,1149,0,7,15,29,50,42,35,52,9,3,9,22,8,3,8,284,9,12,32,42,77,92,937,1118,302,333,354,374,134,75,78,3960,3,9,9,81,102,200,277,212,68,73,90,80,46,7,33,1287,4,0,0,0,3,8,24,40
RA73,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,18,9,5,3,6,5,0,0,49,4,0,7,12,12,6,13,13,3,0,3,8,0,4,0,86,0,0,0,0,6,5,28,27,16,22,44,68,14,0,7,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,3,17,11,37,35,3,11,6,15,0,0,11,149,7,44,18,13,19,26,37,33,4,3,0,8,5,3,3,223,0,12,4,3,5,6,5,3,0,0,0,0,0,0,0,34,0,0,5,0,5,8,4,11,0,8,8,0,0,0,0,47,0,0,14,3,13,26,336,270,104,92,97,97,42,19,14,1131,0,8,5,0,4,13,19,15,7,3,9,17,4,0,4,98,0,0,0,0,0,0,6,4
RA74,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,4,3,0,0,0,0,10,0,0,0,4,8,9,7,10,0,0,0,0,6,0,0,59,0,0,3,0,6,0,22,8,4,0,11,18,4,0,3,77,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,10,9,13,14,0,3,7,0,4,0,5,89,9,15,16,3,17,7,20,15,0,0,3,10,5,0,0,110,0,3,8,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,4,32,24,12,12,16,18,0,0,0,130,0,4,0,0,3,3,10,16,3,0,4,10,3,0,0,67,0,0,0,0,0,0,0,0
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
RA80,0,0,0,6,41,105,194,258,23,33,30,13,8,11,4,739,0,0,6,16,65,278,761,381,86,107,79,56,61,12,25,1928,0,14,80,192,160,219,280,184,22,48,43,52,46,12,18,1375,12,40,45,108,588,1120,3311,2781,898,1011,875,813,276,33,240,12165,7,135,617,233,113,127,38,33,4,0,6,0,0,0,27,1345,17,18,47,30,36,42,120,112,22,31,33,23,7,5,9,544,4,14,21,54,219,220,287,108,17,21,17,17,19,16,24,1058,370,470,231,151,185,193,277,117,32,28,22,38,9,3,45,2168,27,220,403,151,37,21,23,51,3,5,7,4,5,0,41,1003,9,22,70,179,392,357,332,241,44,51,46,44,55,16,41,1900,28,31,141,216,444,1129,5568,4252,1003,1160,1293,1184,465,95,265,17248,9,32,31,66,124,165,294,206,48,75,85,83,68,15,14,1320,0,0,6,17,118,127,218,335
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,0,0,0,0,0,8,40,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,9,22,0,0,0,0,0,6,6,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
