POA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
POA2516,1935,5756,101,172,126,279,226,447,220,387,13,29,0,0,0,0,22,44,250,453,15,20,3,9,0,0,4,10,16,35,0,3,2434,6701,100,..,2538,6701
POA2517,3456,9914,249,421,661,1393,912,1814,755,1357,124,187,74,107,0,0,14,26,971,1676,0,0,0,0,0,0,31,50,29,52,4,9,5370,13472,286,..,5653,13472
POA2518,4780,12892,971,1735,1432,2885,2399,4610,623,1020,301,486,147,241,0,3,33,67,1108,1807,36,57,0,0,0,0,36,88,73,147,9,29,8379,19486,452,..,8832,19486
POA2519,4669,12808,526,983,792,1647,1325,2629,327,556,46,89,427,756,0,0,31,75,826,1478,0,0,0,0,0,0,37,88,37,88,6,14,6864,17019,353,..,7216,17019
POA2525,3578,10544,227,430,217,488,444,915,149,271,33,55,0,0,0,0,7,15,191,342,0,0,162,239,0,0,7,11,172,249,6,20,4385,12070,147,..,4531,12070
POA2526,5283,15023,194,344,206,468,402,808,267,378,9,26,0,0,0,0,14,29,289,433,0,0,0,0,0,0,17,26,17,26,5,10,5990,16299,217,..,6205,16299
POA2527,7814,22716,791,1459,550,1236,1341,2693,39,77,0,0,0,0,0,0,27,59,65,129,0,0,0,0,0,0,5,9,5,9,15,31,9242,25592,348,..,9585,25592
POA2528,7697,19672,387,600,600,1144,989,1750,793,1305,21,42,0,0,0,0,20,36,841,1385,326,445,90,132,0,0,14,31,431,607,13,20,9968,23435,664,..,10634,23435
POA2529,8161,23714,816,1470,1080,2504,1896,3970,276,467,93,153,103,168,0,0,47,116,519,902,6,9,0,0,0,0,22,43,28,50,15,37,10615,28677,509,..,11121,28677
POA2530,11370,31597,862,1540,476,948,1344,2494,189,283,10,17,0,0,0,0,28,75,231,375,0,0,0,0,0,4,3,21,8,28,11,21,12964,34516,441,..,13402,34516
POA2533,4982,13455,268,507,739,1510,1009,2008,220,376,152,276,325,477,0,0,24,49,720,1183,15,25,9,23,0,0,28,62,58,104,11,22,6782,16778,969,..,7747,16778
POA2534,1817,4840,147,252,141,285,286,532,54,81,35,56,0,0,0,0,3,4,91,139,5,13,21,35,0,0,4,8,28,57,5,14,2233,5590,716,..,2945,5590
POA2535,2812,6878,266,418,127,194,393,610,10,30,0,0,0,0,0,0,16,40,37,69,20,27,214,310,3,3,17,38,252,387,66,85,3558,8040,562,..,4119,8040
POA2536,6771,16098,426,678,395,728,828,1415,741,1159,26,28,31,39,0,0,11,21,809,1252,79,131,100,148,4,4,11,21,188,312,40,58,8632,19132,3275,..,11907,19132
POA2537,5138,11704,306,497,149,271,453,763,62,86,0,5,0,0,0,3,9,8,74,111,105,157,72,136,4,6,15,33,192,325,22,28,5873,12928,1958,..,7836,12928
POA2538,918,2316,24,30,10,16,32,47,22,19,0,0,0,0,0,0,0,3,23,26,4,3,24,26,4,4,0,5,33,45,5,9,1010,2449,139,..,1152,2449
POA2539,8008,18468,285,443,294,525,577,965,130,210,6,11,0,0,0,0,20,33,158,255,61,93,296,447,23,35,16,27,397,604,39,97,9174,20389,3612,..,12787,20389
POA2540,17852,43282,1072,1849,206,347,1272,2187,277,432,6,9,9,23,0,0,58,108,348,577,80,116,223,352,11,15,21,58,338,540,170,228,19986,46816,7361,..,27353,46816
POA2541,9573,24069,1181,1929,284,482,1468,2414,357,553,23,35,0,0,0,0,28,54,417,643,10,6,3,9,37,39,8,7,55,65,23,30,11528,27218,773,..,12303,27218
POA2545,471,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,6,3,13,5,15,4,9,22,37,0,0,497,1100,150,..,641,1100
POA2546,3888,8597,191,294,135,218,323,510,231,363,38,62,9,13,0,0,7,9,285,455,36,83,143,193,14,21,9,25,204,325,25,49,4731,9935,1364,..,6097,9935
POA2548,2663,6092,303,447,302,530,608,975,502,781,29,54,3,9,0,0,5,10,536,855,3,8,74,164,3,4,0,5,86,177,41,77,3930,8172,929,..,4862,8172
POA2549,1477,3606,89,144,51,80,138,229,18,33,0,0,0,0,0,3,6,4,26,43,6,22,9,12,0,0,0,0,16,33,8,19,1671,3934,301,..,1974,3934
POA2550,6612,15750,256,356,95,149,350,503,84,114,5,7,0,0,0,0,4,8,98,129,67,128,34,68,21,30,17,32,139,260,15,37,7209,16679,915,..,8132,16679
POA2551,1300,3019,135,190,48,82,185,277,47,79,7,12,0,0,0,0,0,0,58,92,19,41,83,141,0,4,0,0,102,180,13,32,1658,3602,316,..,1974,3602
POA2555,55,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,167,9,..,68,167
POA2556,726,2382,4,18,0,0,4,18,0,0,0,0,0,0,0,0,5,15,5,15,0,0,0,0,0,0,0,0,0,0,0,6,736,2427,53,..,791,2427
POA2557,5997,19531,42,103,99,255,139,363,13,24,0,0,0,0,0,0,20,45,37,67,0,0,0,0,0,0,3,0,3,0,11,33,6180,19992,246,..,6424,19992
POA2558,3382,10362,172,365,90,238,258,600,3,11,0,0,0,0,0,0,20,40,21,46,0,0,0,0,0,0,0,0,0,0,0,0,3659,11016,111,..,3775,11016
POA2559,447,1502,90,233,368,1186,458,1419,23,29,0,0,0,0,0,0,3,15,33,45,0,0,0,0,0,0,0,0,0,0,0,0,939,2977,101,..,1042,2977
POA2560,22776,68669,1425,3048,2022,4168,3443,7217,805,1317,458,747,1362,2699,190,349,198,388,3010,5492,0,0,0,0,3,5,8,18,16,24,37,55,29282,81460,1543,..,30824,81460
POA2563,90,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,91,269,9,..,99,269
POA2564,3467,10534,667,1515,738,1950,1405,3461,27,69,0,0,0,0,0,0,34,89,62,156,0,0,0,0,0,0,0,0,0,0,6,3,4932,14158,220,..,5156,14158
POA2565,7745,25245,872,1980,1067,2863,1932,4846,107,250,58,101,273,482,0,0,72,191,514,1028,0,5,0,0,0,0,0,0,0,5,25,56,10224,31186,470,..,10696,31186
POA2566,7795,24990,500,1105,453,1024,947,2133,133,268,6,14,0,0,0,0,86,207,229,480,0,0,0,0,0,0,0,0,0,0,7,17,8976,27617,321,..,9294,27617
POA2567,12341,39590,243,518,210,536,453,1050,6,5,0,0,22,29,0,0,25,70,46,106,0,0,0,0,0,0,0,0,0,0,10,12,12851,40766,315,..,13167,40766
POA2568,379,1052,43,63,0,0,43,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,429,1125,20,..,442,1125
POA2569,425,1312,10,32,0,3,15,34,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,443,1352,19,..,461,1352
POA2570,18709,58356,659,1170,1050,2483,1712,3649,228,344,0,0,16,18,0,0,68,178,310,543,25,45,56,83,0,0,15,28,102,153,53,104,20887,62810,875,..,21760,62810
POA2571,4177,12707,70,98,28,66,96,165,54,72,4,9,0,0,0,0,13,33,75,115,0,3,0,0,0,4,27,36,30,40,7,16,4388,13037,253,..,4638,13037
POA2572,1792,4997,174,251,0,7,177,258,5,7,0,0,0,0,0,0,3,12,7,17,0,0,0,0,0,0,5,13,5,13,4,9,1979,5289,121,..,2107,5289
POA2573,1901,5387,154,265,15,37,165,297,0,0,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0,0,3,3,7,2090,5740,123,..,2213,5740
POA2574,1874,5581,98,150,0,0,98,150,19,18,0,0,0,0,0,0,16,45,36,65,3,5,50,60,0,0,0,9,57,71,8,7,2068,5869,95,..,2161,5869
POA2575,6311,16698,168,251,41,74,209,335,169,324,21,35,0,0,0,0,23,47,211,401,18,21,34,46,4,9,6,15,58,85,17,40,6808,17558,496,..,7299,17558
POA2576,5048,12289,516,789,284,483,802,1271,120,183,0,0,0,0,0,0,22,47,144,235,0,0,0,0,0,0,13,29,13,29,10,25,6018,13852,663,..,6683,13852
POA2577,6273,15858,282,427,47,94,327,520,112,176,0,12,0,0,0,3,4,19,124,208,25,38,48,59,0,7,29,63,109,163,7,13,6849,16765,998,..,7842,16765
POA2578,1219,2672,20,26,0,0,20,26,16,16,0,0,0,0,0,0,5,8,19,27,0,0,0,0,0,4,6,9,10,13,0,0,1263,2735,182,..,1445,2735
POA2579,1853,4727,3,3,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,6,11,13,20,3,6,1873,4766,386,..,2259,4766
POA2580,11118,27561,938,1536,186,336,1122,1867,309,452,67,93,0,0,0,0,21,36,404,579,30,54,55,81,7,9,47,74,135,217,32,46,12805,30270,2037,..,14842,30270
POA2581,909,2427,5,21,3,6,11,24,0,0,0,0,0,0,0,0,0,12,6,10,0,0,0,0,0,0,0,4,8,10,14,24,943,2500,116,..,1061,2500
POA2582,4712,12770,197,303,20,42,215,348,90,124,0,0,0,0,0,0,8,17,98,143,17,26,5,0,0,3,6,6,24,44,29,41,5072,13337,437,..,5513,13337
POA2583,1930,4413,53,69,6,11,56,73,8,12,0,0,0,0,0,0,0,0,8,12,17,20,0,0,3,3,4,12,25,36,8,25,2023,4554,480,..,2501,4554
POA2584,231,528,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,239,546,50,..,288,546
POA2585,89,224,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,98,231,24,..,117,231
POA2586,1171,2705,36,54,0,0,36,54,3,9,0,0,0,0,0,0,3,4,9,11,6,15,0,0,0,0,3,14,16,26,12,29,1244,2829,219,..,1464,2829
POA2587,1209,2803,29,39,0,0,29,39,18,19,0,0,0,0,0,0,0,3,20,25,6,11,12,20,0,0,11,18,27,44,6,6,1289,2918,225,..,1516,2918
POA2588,128,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,297,26,..,155,297
POA2590,2881,6539,205,271,16,30,223,304,7,16,12,16,0,0,0,0,0,0,23,32,11,17,0,4,0,0,14,24,27,42,3,9,3153,6925,353,..,3507,6925
POA2594,4312,10894,402,621,13,27,413,648,122,164,0,0,0,0,0,0,0,7,120,166,6,10,8,16,0,0,10,23,32,55,14,30,4892,11787,579,..,5466,11787
POA2619,2736,8594,354,708,88,205,447,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3182,9514,110,..,3292,9514
POA2620,11786,33503,1330,2462,1560,3142,2897,5600,1220,1915,620,1062,983,1715,79,132,23,56,2929,4882,26,38,5,4,8,6,27,62,59,109,56,96,17717,44192,1265,..,18982,44192
POA2621,2225,6358,39,78,20,47,59,123,21,53,0,0,0,0,0,0,6,20,27,70,8,12,0,0,0,0,5,12,12,28,6,6,2333,6580,165,..,2494,6580
POA2622,1736,3914,64,123,4,5,70,128,3,6,0,0,0,0,0,0,0,0,3,6,5,17,0,9,3,8,15,23,28,57,15,24,1857,4127,621,..,2479,4127
POA2623,249,585,3,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,587,40,..,291,587
POA2624,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,19,36,0,0,23,38,12,17,49,89,0,..,48,89
POA2625,89,246,5,5,3,3,0,9,86,247,48,143,16,27,0,0,0,7,148,425,0,5,0,0,3,3,0,0,5,12,22,37,271,729,284,..,552,729
POA2626,199,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,500,21,..,224,500
POA2627,1463,4400,47,126,177,489,229,617,442,1139,64,155,0,0,0,0,11,17,516,1317,4,9,3,8,3,5,0,10,13,34,80,166,2294,6532,837,..,3129,6532
POA2628,851,2054,14,35,29,47,43,77,14,38,0,0,0,0,0,0,6,12,19,50,10,8,0,9,0,3,6,8,13,25,11,29,941,2231,259,..,1204,2231
POA2629,280,536,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,8,15,25,32,317,584,211,..,529,584
POA2630,3392,7882,150,238,36,54,191,294,131,177,7,5,0,0,0,0,17,30,150,214,3,3,12,21,0,3,19,60,41,84,23,39,3795,8517,592,..,4382,8517
POA2631,267,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,6,0,0,272,609,79,..,350,609
POA2632,785,1759,15,25,0,0,15,25,9,21,0,0,0,0,0,0,0,0,9,21,9,20,0,0,0,4,0,0,11,25,7,16,836,1838,167,..,1006,1838
POA2633,155,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,155,316,83,..,239,316
POA2640,13235,33664,2397,3684,389,593,2787,4276,189,264,43,66,35,48,0,0,4,9,268,386,28,34,11,22,4,5,23,39,62,99,27,49,16376,38467,1416,..,17791,38467
POA2641,5554,13666,1338,2170,101,169,1443,2336,51,68,39,66,0,0,0,0,4,10,89,141,25,35,20,21,0,4,3,6,46,66,22,48,7155,16262,548,..,7704,16262
POA2642,1899,5264,20,41,0,3,24,41,0,0,0,0,0,0,0,0,0,0,0,0,12,22,13,10,0,3,3,8,23,44,3,19,1950,5365,190,..,2139,5365
POA2643,1186,2783,61,106,0,0,61,106,3,5,0,0,0,0,0,0,0,0,3,5,3,9,15,21,0,0,5,7,20,30,3,7,1274,2927,86,..,1360,2927
POA2644,998,2274,35,37,0,0,35,37,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,5,5,3,7,1043,2328,167,..,1205,2328
POA2645,145,305,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,150,315,12,..,159,315
POA2646,2592,5910,387,527,0,0,387,527,4,4,0,0,0,0,0,0,0,0,3,8,0,3,25,34,3,3,14,18,40,57,13,35,3042,6550,427,..,3472,6550
POA2647,932,2179,130,203,0,4,133,210,22,34,0,0,0,0,0,0,0,0,22,34,3,11,0,7,0,0,0,0,7,15,0,0,1095,2436,350,..,1441,2436
POA2648,1004,2331,46,80,0,0,46,77,24,29,0,0,0,0,0,0,0,5,27,34,45,46,0,0,0,4,3,9,53,57,17,29,1146,2526,194,..,1339,2526
POA2649,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,26,0,..,14,26
POA2650,20496,54028,1071,1673,235,406,1310,2075,2194,3383,120,161,53,61,3,3,29,57,2395,3664,34,48,22,36,15,13,68,167,134,262,78,116,24407,60146,1883,..,26290,60146
POA2651,771,2245,8,21,0,0,8,21,79,109,0,0,0,0,0,0,0,0,79,109,8,18,8,17,0,0,0,0,19,31,0,0,877,2405,56,..,938,2405
POA2652,1808,4602,3,3,0,4,4,8,0,4,0,0,0,0,0,9,0,0,4,8,6,11,3,5,0,3,6,0,9,18,15,34,1836,4675,219,..,2056,4675
POA2653,997,2322,25,36,0,0,25,33,18,20,0,0,0,0,0,0,0,3,17,23,4,4,0,0,0,0,3,5,8,11,3,6,1058,2399,169,..,1227,2399
POA2655,512,1333,0,5,0,0,0,5,5,3,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,4,7,25,522,1372,30,..,554,1372
POA2656,524,1229,10,15,0,0,10,15,13,13,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,4,0,4,3,7,549,1273,57,..,610,1273
POA2658,585,1375,21,22,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,617,1419,87,..,704,1419
POA2659,339,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,3,9,7,17,0,3,349,819,59,..,402,819
POA2660,619,1535,16,18,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,14,0,8,641,1577,74,..,713,1577
POA2661,52,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,178,0,..,57,178
POA2663,1634,4122,31,48,8,12,37,64,79,94,15,16,0,0,0,0,0,0,90,108,0,0,5,19,4,3,3,8,11,29,5,17,1782,4333,189,..,1975,4333
POA2665,824,1901,19,35,0,0,19,35,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,5,10,8,10,856,1961,177,..,1034,1961
POA2666,2132,5138,145,185,8,14,151,197,13,13,0,0,0,0,0,0,0,0,13,13,15,26,0,4,0,0,23,45,42,71,5,17,2355,5436,364,..,2713,5436
POA2668,163,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,8,10,11,0,0,169,399,47,..,221,399
POA2669,646,1490,3,11,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,4,3,11,9,10,665,1519,277,..,940,1519
POA2671,1517,3579,88,135,0,0,88,135,49,80,0,0,0,0,0,0,0,5,48,85,20,35,27,26,4,10,6,14,60,87,48,79,1764,3959,329,..,2091,3959
POA2672,572,1388,4,4,0,0,4,4,46,66,0,0,0,0,0,0,0,0,46,66,4,7,0,0,0,0,0,0,11,11,8,17,638,1494,99,..,738,1494
POA2675,588,1399,0,3,0,0,0,3,29,70,0,0,0,0,0,0,0,0,29,70,22,36,19,36,10,19,4,9,50,99,10,31,687,1602,75,..,756,1602
POA2678,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
POA2680,7712,21454,387,765,81,116,467,889,961,2079,27,73,0,0,0,0,10,29,1001,2170,52,81,39,46,8,4,55,130,150,265,44,108,9369,24886,706,..,10081,24886
POA2681,641,1727,8,16,0,0,8,16,29,44,0,0,0,0,0,0,0,0,29,44,0,0,0,0,0,0,0,0,0,0,4,7,683,1798,50,..,734,1798
POA2700,1866,4446,44,65,6,0,41,70,64,88,6,0,0,0,0,0,0,0,64,91,7,17,0,0,0,3,12,31,22,52,10,20,2010,4673,260,..,2264,4673
POA2701,913,2348,20,28,0,4,25,34,9,8,0,0,0,0,0,0,0,0,9,8,0,0,3,3,0,3,4,6,10,13,0,3,952,2406,96,..,1049,2406
POA2702,325,773,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,331,782,48,..,375,782
POA2703,186,473,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,5,0,5,4,9,199,492,0,..,199,492
POA2705,3551,9264,124,210,12,27,134,231,355,555,4,0,0,0,0,0,0,0,358,562,15,18,39,63,0,4,22,50,77,140,25,68,4145,10253,336,..,4479,10253
POA2706,434,989,4,4,0,0,4,4,14,22,0,0,0,0,0,0,0,0,14,22,0,0,3,3,0,0,0,0,0,5,3,9,460,1029,42,..,508,1029
POA2707,427,1028,3,3,0,0,3,3,28,33,0,0,0,0,0,0,0,0,28,33,10,10,0,0,0,0,8,15,18,23,0,3,482,1095,57,..,541,1095
POA2710,3785,8757,340,469,11,14,354,481,27,48,0,0,0,0,0,0,0,0,24,48,35,42,0,0,3,3,8,12,48,62,67,102,4272,9451,604,..,4877,9451
POA2711,1278,2915,92,142,0,0,92,142,13,25,0,0,0,0,0,0,0,0,12,30,8,19,0,0,0,4,3,3,11,26,25,52,1422,3164,275,..,1701,3164
POA2712,525,1205,54,69,0,0,54,69,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,14,6,22,3,3,583,1295,123,..,709,1295
POA2713,1093,2504,69,95,0,0,69,95,9,10,0,0,0,0,0,0,0,0,9,10,6,7,0,0,0,0,5,7,5,14,20,26,1196,2648,139,..,1333,2648
POA2714,1116,2464,73,112,0,0,73,112,9,10,0,0,0,0,0,0,0,0,11,18,37,116,5,4,0,0,4,12,44,128,14,26,1260,2739,186,..,1445,2739
POA2715,522,1241,34,38,0,0,34,38,3,5,0,0,0,0,0,0,0,0,3,5,8,14,3,7,4,9,3,7,18,41,20,36,596,1359,169,..,761,1359
POA2716,401,900,14,22,0,0,18,23,10,16,0,0,0,0,0,0,0,0,10,16,0,4,0,0,0,0,0,4,5,12,0,4,441,953,74,..,515,953
POA2717,440,1121,34,51,0,0,34,51,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,4,9,3,7,484,1194,91,..,575,1194
POA2720,3068,7589,339,497,5,13,347,505,50,64,6,5,0,0,0,0,5,5,58,78,14,18,20,27,5,10,4,8,37,65,24,44,3539,8287,421,..,3959,8287
POA2721,87,218,7,9,0,5,3,9,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,94,226,32,..,124,226
POA2722,1248,3083,9,12,6,6,12,22,79,128,0,0,0,0,0,0,0,0,78,131,15,16,7,27,0,0,10,31,30,79,12,17,1391,3327,217,..,1603,3327
POA2725,157,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,335,20,..,178,335
POA2726,104,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,257,28,..,132,257
POA2727,129,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,133,342,18,..,152,342
POA2729,638,1540,9,12,0,3,11,17,8,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,11,9,10,11,4,9,671,1580,69,..,734,1580
POA2730,564,1267,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,10,0,0,578,1297,69,..,645,1297
POA2731,2582,6401,314,498,17,23,325,523,12,17,0,0,0,0,0,0,0,0,12,17,21,45,49,72,0,0,3,5,73,121,14,33,3015,7095,430,..,3449,7095
POA2732,729,1624,82,102,0,6,81,106,16,16,0,0,0,0,0,0,0,0,16,16,5,12,11,11,0,0,9,20,22,40,3,9,851,1794,203,..,1057,1794
POA2733,237,560,5,12,0,0,5,12,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,252,584,61,..,314,584
POA2734,167,466,0,0,4,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,471,47,..,221,471
POA2735,152,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,393,36,..,189,393
POA2736,132,343,11,23,0,0,11,23,0,3,0,0,0,0,0,0,0,0,0,3,5,11,0,6,0,0,0,0,8,16,6,7,154,393,19,..,178,393
POA2737,274,767,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,7,9,10,293,803,15,..,301,803
POA2738,724,2046,15,16,0,5,17,19,4,10,0,0,0,0,0,0,0,0,4,10,7,8,7,9,0,3,0,0,16,27,6,5,757,2105,109,..,867,2105
POA2739,474,1293,38,57,0,0,38,57,13,23,0,0,0,0,0,0,0,0,13,23,21,35,5,11,5,4,0,0,30,48,6,3,559,1422,85,..,641,1422
POA2745,9222,29698,137,324,471,1164,609,1487,70,102,87,183,40,83,0,0,18,41,218,416,28,45,0,0,0,0,0,6,27,45,17,42,10092,31689,317,..,10410,31689
POA2747,14394,43398,1037,2327,2045,5015,3087,7345,355,617,401,660,797,1480,0,0,89,204,1646,2952,0,0,0,0,0,3,0,0,8,5,30,71,19154,53778,966,..,20120,53778
POA2748,557,1730,7,23,0,7,12,26,0,0,0,0,0,0,0,0,3,15,5,21,0,0,0,0,5,10,0,0,5,10,5,3,573,1787,31,..,603,1787
POA2749,5089,15379,221,536,343,918,570,1460,3,4,0,0,0,0,0,0,19,51,21,54,0,0,0,0,0,0,4,13,4,13,8,24,5689,16925,233,..,5919,16925
POA2750,12932,35430,822,1451,1861,3770,2679,5222,1136,1643,832,1335,1505,2586,884,1565,56,112,4406,7237,0,0,100,132,4,3,13,29,118,166,29,47,20164,48114,1457,..,21628,48114
POA2752,1840,5652,16,21,0,0,16,21,0,0,0,0,0,0,0,0,5,4,5,4,0,0,0,0,0,0,0,0,0,0,3,11,1865,5694,83,..,1940,5694
POA2753,5157,14813,583,1013,142,278,728,1296,250,373,92,169,0,0,0,0,15,37,360,581,7,3,0,0,4,3,22,52,29,66,25,62,6293,16818,377,..,6669,16818
POA2754,2185,5954,246,442,196,403,442,848,36,47,0,0,0,0,0,0,3,14,37,61,0,0,0,0,0,0,0,6,0,6,15,23,2679,6894,124,..,2804,6894
POA2756,10821,32030,898,1755,262,580,1155,2334,118,254,20,21,21,32,0,0,41,96,199,401,48,85,23,30,7,18,15,40,99,172,28,53,12300,34993,614,..,12916,34993
POA2757,282,838,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,288,843,12,..,299,843
POA2758,2944,8710,16,18,0,0,16,18,11,12,0,0,0,0,0,0,6,21,15,39,0,0,0,0,0,0,0,13,0,13,17,37,2998,8812,194,..,3194,8812
POA2759,8459,25911,56,158,36,115,96,276,0,3,0,0,0,0,0,0,47,114,46,118,0,0,0,0,0,0,0,0,0,0,5,10,8608,26318,235,..,8838,26318
POA2760,9361,27479,841,1643,2011,5750,2854,7393,343,611,392,718,411,872,0,0,72,184,1223,2383,0,0,0,0,0,5,22,40,24,48,17,42,13475,37343,759,..,14233,37343
POA2761,9395,32061,307,758,374,1288,679,2051,5,16,0,0,0,0,0,0,80,205,89,218,0,0,0,0,0,0,6,21,6,21,11,25,10182,34378,276,..,10453,34378
POA2762,5677,19090,109,359,220,686,328,1043,0,0,0,0,756,1616,0,0,19,40,776,1657,0,0,0,0,0,0,0,0,0,0,29,70,6812,21859,387,..,7196,21859
POA2763,7632,24261,843,2359,1646,5081,2487,7438,136,375,0,0,280,687,0,0,48,109,460,1172,0,0,0,0,0,0,0,7,0,7,63,173,10639,33046,387,..,11032,33046
