POA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
POA3115,22,131,0,0,156,22,136,3,0,162,17,134,0,0,155,30,125,0,0,160,62,223,8,0,286,54,264,9,0,325,34,180,0,0,213,12,75,0,0,90,0,17,6,0,22,256,1277,31,0,1565,28,121,4,0,152,17,107,0,0,127,14,110,0,0,127,33,165,3,0,201,56,259,4,0,324,54,251,10,0,313,33,162,0,0,199,18,68,0,0,84,0,16,0,0,22,258,1257,28,0,1552,54,252,5,0,310,41,239,4,0,284,27,242,4,0,282,63,289,6,0,360,119,482,11,0,613,102,517,19,0,635,69,339,8,0,414,34,141,4,0,179,0,36,6,0,39,512,2539,55,0,3108
POA3116,39,335,15,0,384,35,303,11,0,344,55,668,30,0,753,99,669,38,0,803,96,600,34,0,723,72,529,12,3,618,85,400,16,0,494,47,250,12,0,312,0,65,0,0,67,527,3803,161,3,4494,50,273,15,0,342,69,269,8,0,346,78,659,27,0,766,132,659,22,0,814,112,632,23,0,773,95,590,18,3,709,104,493,19,0,618,44,294,14,0,347,0,84,4,0,93,692,3960,154,10,4812,86,608,31,0,725,101,573,19,0,687,135,1321,54,0,1512,232,1324,60,0,1618,210,1228,56,0,1493,166,1120,31,6,1328,183,897,30,0,1117,91,541,25,0,665,7,153,10,0,161,1214,7755,320,14,9306
POA3121,49,311,32,0,389,160,892,64,0,1118,561,3991,266,10,4826,324,2197,159,10,2692,275,1408,118,3,1801,219,1136,126,5,1488,160,674,67,0,904,56,382,54,0,486,6,140,37,0,179,1808,11131,913,34,13889,73,401,26,0,504,246,993,74,9,1314,630,4116,257,9,5007,360,1992,135,3,2495,326,1372,94,3,1800,256,1078,90,11,1427,205,813,62,9,1089,83,451,50,0,582,12,218,24,0,251,2181,11439,823,34,14473,121,710,59,0,890,405,1881,135,6,2430,1193,8110,519,18,9837,686,4197,293,13,5187,604,2782,210,4,3607,473,2218,221,17,2918,363,1486,134,9,1992,137,830,105,0,1070,14,357,58,0,432,3994,22571,1733,70,28363
POA3122,138,541,28,3,713,173,833,48,4,1058,281,1999,125,5,2398,223,1198,66,7,1494,257,904,49,7,1225,235,687,37,3,968,177,533,29,0,739,121,311,24,0,458,15,127,11,0,154,1627,7135,420,27,9212,150,416,26,0,598,214,795,47,6,1059,354,2045,106,11,2513,275,1296,60,5,1630,382,908,46,8,1339,265,784,40,6,1094,236,676,36,0,949,138,403,25,0,565,19,208,14,0,244,2029,7531,395,29,9985,288,963,53,3,1309,390,1632,95,7,2126,633,4040,226,14,4909,499,2497,129,9,3129,642,1814,90,10,2563,499,1474,77,8,2060,412,1209,66,3,1690,257,710,51,6,1023,37,336,22,0,399,3655,14669,820,59,19204
POA3123,59,307,10,0,382,85,439,15,0,537,162,1179,53,4,1393,141,844,27,3,1018,202,619,33,8,862,138,536,19,0,690,123,371,13,0,508,67,225,19,0,315,5,94,3,0,105,982,4620,190,14,5814,79,295,16,0,384,127,467,24,0,625,194,1229,53,0,1475,202,842,30,3,1073,251,719,26,0,1000,170,600,23,5,792,153,461,23,0,644,90,288,21,0,404,18,167,15,0,198,1290,5065,232,13,6598,145,597,25,0,765,215,905,43,0,1161,356,2411,98,4,2866,337,1686,64,5,2093,461,1341,63,4,1868,303,1134,42,5,1485,277,833,40,0,1145,155,519,41,0,712,21,265,20,0,305,2280,9688,423,28,12410
POA3124,106,591,13,0,720,124,610,24,5,759,141,975,36,4,1155,172,930,39,0,1149,299,1031,39,15,1379,285,967,28,8,1277,260,746,24,3,1037,156,457,17,0,631,37,296,32,5,373,1578,6613,256,35,8482,143,621,26,4,803,156,601,22,0,777,153,989,37,0,1175,250,1023,44,5,1324,409,1189,45,4,1649,291,1093,34,11,1424,265,851,29,10,1163,147,681,33,3,868,37,550,66,0,653,1863,7604,334,35,9835,258,1217,43,3,1520,282,1212,40,5,1534,291,1969,72,4,2333,427,1952,84,3,2471,711,2225,83,14,3031,579,2061,54,13,2702,520,1604,61,16,2200,299,1134,53,3,1501,75,853,100,4,1028,3442,14215,588,73,18316
POA3125,62,365,20,0,446,146,825,97,8,1072,162,1201,130,8,1498,107,738,53,4,905,138,610,24,3,778,78,548,22,3,652,78,368,20,0,467,67,243,12,0,316,16,162,6,0,188,846,5056,389,20,6321,104,455,21,6,582,161,674,73,3,915,163,1020,104,8,1291,133,724,39,0,894,167,725,32,8,933,102,603,30,4,743,91,469,24,5,594,81,416,16,0,514,21,300,20,0,343,1033,5383,356,32,6802,166,819,42,6,1025,302,1498,169,8,1989,323,2220,234,11,2785,243,1462,91,7,1798,307,1337,61,9,1711,187,1151,52,11,1394,164,838,49,6,1057,145,657,23,0,834,40,459,29,0,529,1885,10442,745,55,13123
POA3126,58,223,3,0,283,48,216,3,0,268,42,245,17,0,302,53,290,10,0,357,105,353,12,11,477,119,392,10,5,523,101,312,10,3,423,63,177,4,0,247,11,105,7,0,125,600,2314,84,20,3013,74,249,4,0,332,48,187,10,0,240,49,233,11,3,294,81,341,11,0,440,154,438,15,0,609,100,428,7,0,537,111,365,15,4,498,58,228,12,3,307,8,178,14,0,201,695,2648,100,15,3455,134,475,10,0,618,98,397,12,0,512,91,480,23,7,602,138,628,23,0,796,265,787,26,15,1085,223,821,16,0,1062,211,678,26,5,924,120,411,19,3,551,13,283,18,0,320,1293,4967,178,33,6468
POA3127,126,526,17,0,667,121,488,21,0,636,97,815,35,3,955,172,834,42,4,1043,331,919,36,10,1297,260,851,39,4,1146,231,663,23,3,922,90,315,13,0,428,17,144,12,0,171,1436,5561,240,27,7259,151,529,15,0,692,163,442,7,0,613,128,829,30,0,987,235,889,37,7,1166,427,1065,34,4,1535,279,931,24,7,1242,293,741,32,3,1064,125,394,16,3,535,35,253,25,0,315,1836,6074,227,23,8154,275,1058,33,0,1363,288,931,25,0,1250,220,1645,68,11,1932,406,1722,78,6,2209,755,1982,69,15,2825,544,1783,63,6,2391,521,1408,60,6,1992,215,710,30,3,962,51,391,41,0,487,3270,11631,462,49,15415
POA3128,63,488,25,5,582,150,1037,102,9,1303,183,2079,217,4,2483,161,1239,102,10,1511,196,1031,75,13,1318,167,831,50,10,1062,111,643,75,10,837,59,332,54,4,448,16,192,57,3,265,1104,7871,768,69,9804,102,514,38,5,660,182,973,118,8,1271,238,1976,182,8,2410,237,1267,95,8,1607,245,1171,78,9,1510,163,939,60,11,1177,140,694,49,10,902,87,482,87,4,665,23,349,95,0,462,1421,8360,807,62,10662,162,1002,71,9,1239,329,2008,221,16,2578,423,4052,401,17,4893,406,2500,199,18,3119,447,2196,157,19,2826,333,1770,111,19,2237,252,1340,129,20,1732,147,818,146,3,1115,40,536,147,3,727,2525,16229,1576,130,20460
POA3129,89,481,11,0,583,98,545,25,3,671,98,1066,65,3,1233,148,983,52,5,1181,227,925,35,7,1193,136,825,22,6,990,122,561,22,3,698,72,321,7,0,408,16,130,3,0,145,1008,5839,248,25,7115,108,429,12,0,550,102,412,22,3,544,145,1048,67,3,1259,203,1045,47,4,1295,291,1010,23,12,1339,142,941,29,9,1118,169,667,25,0,860,86,401,16,0,498,18,245,10,0,265,1263,6188,238,32,7721,197,911,24,0,1132,200,959,49,3,1211,239,2112,128,8,2491,350,2029,92,8,2483,518,1934,62,17,2530,282,1762,50,18,2115,287,1223,43,8,1562,152,726,25,0,901,30,371,9,0,419,2270,12028,482,61,14841
POA3130,156,923,33,0,1113,166,867,36,0,1073,183,1602,92,9,1878,310,1845,50,0,2199,470,1697,66,3,2237,318,1502,37,8,1871,272,975,38,5,1281,181,669,37,0,889,45,377,25,0,451,2099,10450,420,29,12999,190,753,12,0,960,202,761,27,0,996,243,1544,74,7,1863,431,1874,47,4,2352,537,1882,56,0,2482,352,1594,42,0,1987,338,1166,45,8,1556,226,901,44,0,1172,65,619,84,4,765,2577,11098,428,25,14132,344,1674,51,0,2070,367,1630,67,0,2070,426,3144,159,10,3742,735,3716,96,4,4555,1005,3583,122,8,4716,669,3094,78,13,3855,609,2145,81,10,2841,406,1567,83,5,2059,110,995,111,4,1221,4678,21549,850,57,27132
POA3131,72,558,22,0,654,93,578,35,0,704,154,1305,77,6,1540,231,1365,74,4,1667,265,1183,63,9,1516,151,965,42,6,1163,162,718,47,3,931,94,520,41,4,658,22,274,56,0,347,1244,7455,448,23,9174,99,464,13,0,572,117,455,28,0,604,155,1242,73,3,1487,334,1386,66,0,1791,321,1231,60,4,1616,182,1078,50,12,1331,191,866,64,11,1133,135,753,66,0,960,23,463,88,3,575,1564,7947,510,36,10060,166,1024,34,0,1227,215,1031,66,0,1314,311,2552,152,8,3025,559,2750,143,4,3455,588,2407,125,8,3130,338,2042,88,18,2492,352,1582,112,18,2057,228,1276,111,5,1622,45,738,134,3,924,2810,15402,964,64,19239
POA3132,69,393,13,4,477,90,406,8,0,511,130,1001,40,0,1173,179,1083,37,5,1295,249,834,30,0,1102,138,710,18,3,876,133,532,13,7,681,68,287,9,0,370,12,113,9,0,128,1075,5348,176,17,6616,76,313,10,0,396,88,374,13,0,469,161,999,41,0,1198,260,1098,32,0,1395,269,895,22,0,1192,180,788,19,3,990,166,597,12,5,785,115,382,17,0,520,17,149,14,0,180,1333,5588,187,12,7122,148,702,16,4,873,179,778,24,0,978,293,2001,79,0,2374,446,2175,68,4,2692,518,1727,45,4,2294,316,1500,39,7,1868,302,1128,29,5,1463,183,668,30,0,883,33,255,21,0,309,2408,10939,361,31,13740
POA3133,96,649,20,0,767,107,579,22,0,707,94,875,44,0,1017,179,1214,33,4,1428,255,1216,41,3,1517,207,1017,21,5,1246,201,922,27,11,1166,178,614,41,0,839,26,215,39,0,276,1343,7294,300,22,8959,143,563,11,0,717,117,462,19,0,590,105,879,30,4,1017,258,1337,46,4,1651,313,1307,24,0,1646,200,1103,26,10,1346,249,1096,40,16,1395,158,759,72,4,990,26,303,136,0,471,1574,7812,402,36,9825,242,1208,37,0,1485,221,1037,40,0,1302,197,1758,74,5,2029,439,2555,80,10,3084,573,2517,71,3,3164,410,2124,52,14,2595,452,2015,68,24,2561,333,1377,111,10,1831,53,517,179,0,747,2919,15108,703,55,18790
POA3134,141,943,35,0,1124,147,879,35,0,1065,229,1887,87,7,2209,304,1985,89,0,2382,398,1829,89,10,2328,297,1568,49,7,1919,260,1131,25,10,1427,140,650,47,3,838,21,248,42,5,311,1944,11116,510,31,13601,180,809,25,0,1013,178,769,31,0,980,278,1912,85,0,2282,454,2054,90,0,2598,470,1899,51,6,2424,342,1723,47,3,2113,305,1268,56,8,1628,154,823,78,0,1053,27,430,72,0,523,2377,11691,533,21,14620,323,1754,62,0,2139,324,1650,62,5,2043,508,3802,172,4,4491,758,4044,180,3,4985,869,3725,143,9,4748,639,3289,92,15,4032,565,2404,80,10,3055,295,1468,127,5,1890,49,672,110,5,836,4318,22808,1040,53,28221
POA3135,92,526,14,0,630,65,498,18,0,580,133,1047,56,3,1234,234,1220,57,0,1511,277,1110,43,0,1431,164,942,35,0,1144,167,606,41,4,822,95,391,47,0,536,21,160,42,0,223,1249,6486,361,12,8110,107,436,8,0,554,85,405,11,0,505,168,1087,44,4,1300,347,1223,59,0,1627,307,1126,37,0,1473,206,920,37,14,1174,193,788,43,6,1027,123,477,45,0,646,12,231,72,0,315,1558,6682,354,27,8623,199,962,28,0,1188,154,903,29,0,1086,304,2132,97,3,2534,577,2443,119,0,3134,584,2234,85,0,2901,369,1862,77,14,2318,365,1393,84,14,1852,223,867,93,4,1183,36,384,112,0,535,2806,13174,716,35,16731
POA3136,135,1089,39,0,1266,117,1113,43,0,1274,302,2460,120,4,2891,387,2736,108,5,3236,406,2260,69,0,2740,381,2098,62,4,2547,349,1577,54,6,1983,203,944,43,0,1195,39,325,50,0,414,2317,14615,593,27,17550,164,969,33,0,1163,202,1001,41,0,1238,351,2680,119,3,3159,561,2700,93,5,3364,548,2484,74,10,3113,412,2367,84,11,2870,444,1984,67,9,2501,233,1257,98,0,1586,28,637,121,0,789,2950,16078,725,35,19782,304,2060,66,0,2431,320,2112,81,0,2516,652,5146,244,11,6050,954,5434,206,5,6601,954,4752,142,8,5853,793,4468,146,18,5416,789,3564,118,12,4488,433,2204,143,0,2786,70,962,168,0,1197,5263,30691,1316,63,37334
POA3137,46,359,6,0,410,40,386,8,0,431,93,845,40,0,980,107,778,24,0,914,117,731,19,0,871,89,738,24,0,856,91,456,25,0,573,75,302,22,0,394,11,116,4,0,132,655,4723,164,3,5553,51,351,11,0,409,61,363,12,0,437,117,935,31,0,1086,161,853,22,0,1038,147,737,12,0,895,108,782,18,0,917,132,574,24,3,727,78,400,22,0,498,15,192,9,0,210,863,5174,176,10,6219,92,713,17,0,824,101,747,20,0,866,210,1779,70,0,2064,266,1633,51,0,1948,266,1466,36,0,1770,201,1518,45,0,1765,216,1030,45,3,1304,145,705,45,0,890,25,307,14,0,342,1521,9900,343,9,11770
POA3138,67,615,28,0,709,79,647,32,0,748,152,1463,63,8,1681,216,1383,46,0,1655,189,1163,56,0,1410,148,979,39,0,1170,148,767,21,4,936,91,410,20,0,525,14,114,3,0,129,1100,7539,313,11,8964,95,516,16,6,636,88,583,16,0,689,180,1450,55,0,1688,271,1374,38,0,1685,209,1214,44,4,1469,154,1130,32,4,1317,176,852,28,3,1064,99,469,23,0,592,12,185,11,0,202,1284,7766,281,10,9343,160,1134,49,6,1345,167,1223,48,0,1440,327,2915,120,8,3369,487,2755,88,0,3340,398,2375,104,3,2880,302,2107,71,0,2485,322,1613,52,5,2004,187,882,46,0,1113,25,298,15,0,336,2384,15308,592,25,18304
POA3139,45,390,21,0,453,38,364,26,0,432,80,792,27,0,903,117,665,41,3,827,143,769,40,0,959,134,763,35,0,934,109,521,28,0,663,63,240,12,0,318,7,51,9,0,67,737,4567,240,4,5550,68,362,26,0,449,48,327,13,0,387,111,825,30,0,963,172,662,38,0,870,160,794,45,0,1000,170,776,34,0,971,144,542,23,0,713,57,247,14,0,320,10,67,6,0,89,943,4595,229,3,5768,107,749,43,0,903,90,686,35,0,822,194,1613,55,0,1870,292,1332,76,3,1698,307,1564,83,0,1954,293,1543,70,0,1911,258,1060,54,0,1371,116,493,31,0,641,17,123,16,0,159,1677,9162,470,11,11315
POA3140,66,468,18,0,559,42,485,19,0,543,102,999,53,0,1163,142,866,34,0,1045,151,910,42,0,1102,131,889,34,0,1057,127,584,22,0,736,95,354,29,0,479,21,130,12,0,161,879,5695,262,4,6842,85,427,13,0,523,71,443,16,0,527,136,950,43,0,1130,218,841,41,0,1100,196,1058,38,3,1299,141,915,31,0,1084,175,705,23,0,906,88,446,21,0,555,0,222,21,0,245,1121,6002,243,9,7381,156,897,28,0,1077,115,931,28,0,1071,239,1957,99,3,2295,364,1705,77,0,2140,351,1970,77,5,2406,270,1802,64,0,2141,299,1288,44,6,1639,181,800,52,5,1038,27,352,37,0,410,1998,11704,507,12,14220
POA3141,58,246,48,5,356,119,719,55,7,893,388,3354,269,11,4021,255,1739,148,13,2152,158,934,83,8,1188,167,809,68,5,1043,154,527,41,9,723,80,306,28,0,419,13,122,0,0,132,1388,8754,748,50,10934,57,299,31,0,385,222,943,99,0,1261,582,3585,298,15,4474,265,1578,146,9,1993,191,938,87,16,1230,181,750,77,4,1007,174,673,58,6,906,93,420,28,4,549,11,186,17,0,216,1779,9370,838,54,12032,113,545,77,3,744,331,1661,154,10,2163,966,6940,570,22,8499,520,3314,289,17,4142,354,1872,170,24,2422,347,1554,137,8,2052,328,1198,104,8,1630,176,729,59,4,961,27,305,22,0,352,3156,18120,1589,101,22967
POA3142,52,204,22,0,278,60,279,21,3,368,119,703,50,3,868,83,541,34,9,664,135,489,33,10,662,158,559,36,4,756,176,539,33,0,747,111,380,30,0,519,20,148,23,0,201,911,3837,286,30,5061,72,239,26,4,343,92,327,21,3,441,159,755,45,0,964,118,538,36,0,693,197,583,48,11,837,185,618,45,5,857,201,657,53,0,918,102,497,36,0,639,24,232,41,0,291,1149,4447,355,27,5977,117,442,50,4,618,158,605,43,7,811,277,1459,91,4,1831,194,1076,73,6,1359,328,1073,82,16,1497,343,1178,82,8,1614,379,1195,86,4,1665,215,874,70,3,1161,45,380,63,0,493,2059,8286,641,56,11044
POA3143,29,117,7,0,155,53,199,13,0,264,103,751,25,0,878,75,528,27,0,624,95,410,21,0,532,74,284,12,0,366,85,300,13,0,400,46,208,16,0,271,11,61,15,0,79,571,2859,143,0,3571,38,128,9,0,172,71,289,17,0,374,136,858,26,0,1024,92,609,29,0,735,154,459,28,0,640,87,391,5,3,487,100,359,8,0,475,55,270,19,0,352,10,99,16,0,127,747,3460,170,10,4391,70,242,15,0,332,124,485,32,0,642,246,1608,55,3,1904,166,1136,58,0,1362,253,865,50,0,1174,164,678,14,3,853,184,660,23,0,868,102,483,39,0,621,20,159,32,0,210,1318,6317,312,13,7965
POA3144,64,263,12,0,343,45,270,7,5,321,70,525,34,3,633,90,447,31,0,576,183,471,34,4,686,122,452,18,0,595,104,345,23,0,474,102,274,42,0,421,19,126,30,0,182,802,3175,232,9,4221,69,243,4,0,318,68,256,9,0,336,80,580,25,0,685,130,506,27,0,664,213,544,36,0,793,148,506,28,0,683,170,462,40,0,673,103,378,58,0,536,23,223,35,0,275,996,3693,259,6,4966,132,508,22,0,657,117,528,13,4,660,152,1104,62,5,1319,224,952,59,0,1235,397,1013,70,7,1478,273,958,43,4,1277,275,809,60,0,1146,204,653,97,0,959,41,345,70,0,457,1797,6868,499,14,9185
POA3145,96,601,19,0,724,147,807,33,7,991,172,1541,120,6,1835,211,1197,58,5,1468,350,1152,36,5,1547,224,983,35,5,1247,161,737,31,3,932,93,430,20,0,548,19,201,25,0,250,1476,7658,383,26,9538,101,611,15,0,725,201,770,23,3,992,190,1457,77,5,1730,260,1191,54,3,1511,392,1263,23,6,1681,284,1062,44,7,1396,224,835,34,4,1098,97,504,46,0,645,24,348,62,0,436,1770,8040,382,26,10220,204,1218,36,0,1447,343,1572,58,12,1983,360,3003,196,15,3567,471,2390,113,5,2979,739,2417,62,15,3231,509,2051,77,5,2642,381,1577,66,6,2032,194,936,64,0,1195,42,550,89,3,686,3250,15700,759,54,19759
POA3146,133,710,15,0,854,135,719,24,0,884,195,1306,67,0,1573,207,1348,37,3,1594,400,1351,38,4,1797,318,1133,26,12,1489,256,771,30,4,1066,124,453,26,0,602,19,166,8,0,190,1799,7957,269,27,10049,169,705,18,0,895,185,731,24,0,938,199,1360,55,0,1613,305,1433,53,3,1793,491,1504,46,3,2047,360,1243,32,10,1642,249,929,30,8,1212,171,577,34,0,784,29,309,23,0,350,2164,8786,310,22,11282,303,1415,32,0,1751,321,1453,49,6,1822,393,2665,124,3,3179,511,2789,90,3,3387,901,2855,85,12,3846,682,2374,63,19,3135,515,1697,62,13,2281,296,1032,65,5,1389,42,469,27,0,545,3956,16741,586,54,21332
POA3147,71,404,3,0,484,70,404,26,0,497,97,743,52,4,895,139,818,31,0,984,200,792,25,0,1020,151,705,29,0,890,119,449,16,5,595,55,297,18,0,367,9,146,12,0,164,910,4757,212,17,5894,87,381,0,0,471,87,291,10,0,391,90,719,38,0,847,207,806,38,0,1049,272,854,26,3,1158,168,716,23,4,905,154,503,41,0,692,60,358,29,0,449,5,253,53,0,317,1124,4891,253,14,6288,153,785,11,5,956,153,699,37,6,892,190,1460,88,9,1745,347,1622,68,0,2042,468,1650,49,5,2177,320,1420,51,7,1795,273,951,54,7,1287,118,656,40,0,819,18,399,66,0,482,2032,9650,467,32,12179
POA3148,16,178,14,0,205,50,304,19,0,372,97,928,101,0,1121,74,661,42,0,775,73,440,24,0,545,46,352,12,0,407,39,255,13,4,317,24,154,13,0,189,3,77,5,0,85,421,3345,241,10,4022,29,153,8,0,186,58,266,19,0,346,85,805,69,0,962,95,632,41,4,773,76,459,26,0,560,52,400,13,9,478,48,283,10,7,352,23,212,11,0,244,3,81,3,0,95,475,3306,193,15,3994,45,330,20,0,393,113,565,37,5,720,181,1737,163,0,2081,169,1298,80,4,1550,149,900,52,0,1103,99,754,29,9,884,87,538,25,11,668,46,364,29,0,432,10,159,11,0,178,897,6653,439,29,8009
POA3149,156,976,40,0,1172,187,1073,74,6,1331,225,1958,125,4,2309,232,1943,93,12,2285,359,1884,82,9,2332,318,1593,66,15,1993,264,1081,25,18,1383,177,779,37,3,997,50,441,23,0,519,1970,11729,572,57,14325,169,893,36,0,1107,262,811,51,0,1119,215,1688,97,5,2010,347,2127,73,5,2557,431,1999,87,5,2524,366,1682,59,15,2122,260,1271,41,15,1590,217,1076,51,5,1348,60,547,44,0,651,2332,12091,544,56,15024,328,1876,75,0,2277,448,1875,126,3,2455,432,3648,225,9,4318,584,4067,171,13,4838,790,3883,170,18,4856,690,3277,128,28,4122,526,2356,58,31,2969,400,1850,88,7,2352,114,991,70,5,1168,4306,23824,1112,112,29349
POA3150,256,1783,82,3,2118,349,1873,103,6,2334,336,3093,159,12,3606,409,3334,149,16,3913,592,3187,133,34,3949,418,2958,98,24,3494,451,2452,105,22,3031,384,1896,125,6,2417,68,835,128,0,1030,3265,21419,1083,126,25885,328,1466,61,0,1855,372,1424,63,3,1863,338,2696,155,7,3196,560,3659,159,16,4398,700,3521,132,15,4370,500,3172,105,26,3803,534,2924,127,28,3612,368,2230,159,7,2775,72,1230,220,5,1525,3773,22333,1187,106,27398,579,3244,140,8,3975,720,3298,171,7,4196,675,5785,313,23,6803,969,6999,316,33,8312,1293,6708,270,47,8321,920,6134,199,43,7301,984,5377,225,48,6645,755,4125,287,17,5185,138,2064,345,5,2556,7030,43749,2271,237,53291
POA3151,30,243,8,0,278,48,378,16,0,450,71,703,51,3,820,50,620,23,6,700,76,575,21,0,675,67,493,6,0,569,59,362,17,7,439,67,342,16,0,424,15,154,9,0,179,482,3869,166,16,4539,38,201,10,0,241,72,275,18,3,368,83,670,36,4,791,87,564,18,0,670,95,591,20,0,702,81,514,21,4,616,81,459,22,9,564,70,471,20,4,560,15,162,7,0,182,619,3902,166,19,4706,65,442,12,0,519,124,655,34,3,818,154,1371,79,4,1614,135,1190,41,0,1370,168,1162,41,3,1379,149,1006,32,6,1189,141,820,43,12,1008,141,805,34,4,983,36,320,15,0,361,1101,7772,335,35,9241
