POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA3013,77,1563,1641,1795,325,2120,908,121,1030,1083,40,1115,281,19,296,64,7,73,4199,2075,6276
POA3015,101,1639,1743,1979,278,2260,1158,75,1231,1353,52,1402,382,17,404,102,0,104,5081,2068,7146
POA3016,94,1686,1778,1836,180,2020,897,43,947,1101,31,1131,369,7,377,82,3,82,4387,1957,6343
POA3018,85,1748,1829,1790,209,1993,804,57,862,764,25,788,239,13,252,79,3,87,3755,2056,5811
POA3019,28,932,957,837,244,1085,565,95,667,423,60,485,248,30,281,156,26,182,2271,1391,3661
POA3020,122,3902,4026,3892,786,4682,2452,342,2794,2298,242,2535,1067,136,1198,813,75,886,10637,5480,16122
POA3021,129,4158,4296,4685,873,5558,3119,436,3554,2739,306,3042,1383,176,1559,1174,81,1256,13235,6023,19258
POA3022,11,401,414,300,59,356,174,23,197,127,25,153,63,12,69,51,6,59,722,530,1249
POA3023,163,3122,3288,4312,588,4904,3695,223,3915,4613,205,4817,2084,106,2187,1372,42,1419,16242,4289,20527
POA3024,117,1510,1633,2386,384,2770,2379,146,2523,2304,123,2426,877,56,937,661,39,699,8729,2254,10982
POA3025,55,1294,1345,1344,215,1557,751,60,809,691,46,735,290,26,316,182,17,194,3313,1651,4961
POA3026,20,288,306,377,66,443,444,25,467,661,25,689,322,15,338,237,17,253,2061,442,2505
POA3027,24,323,342,602,102,708,631,80,710,673,51,726,228,28,257,184,25,205,2339,618,2953
POA3028,100,2711,2810,3048,488,3539,1878,143,2015,1628,117,1745,560,39,596,277,22,295,7483,3508,10996
POA3029,271,5277,5552,7852,1226,9074,7917,727,8645,8727,684,9410,3784,357,4145,2923,209,3134,31480,8475,39956
POA3030,417,6987,7400,9359,1406,10765,7608,561,8172,8484,400,8882,3161,189,3353,1771,112,1884,30796,9655,40457
POA3031,89,3114,3208,2196,577,2776,915,230,1143,737,83,821,219,27,245,84,11,93,4241,4049,8285
POA3032,137,3833,3974,3464,814,4276,1713,254,1969,1625,93,1719,525,32,556,204,15,216,7663,5050,12708
POA3033,51,1113,1164,1721,162,1881,948,48,996,1043,36,1083,363,11,370,113,0,112,4235,1372,5600
POA3034,44,1064,1104,1417,134,1547,752,38,790,747,15,760,279,21,301,125,3,131,3357,1279,4634
POA3036,19,446,469,692,42,733,340,15,358,429,9,433,155,3,158,57,0,57,1695,516,2205
POA3037,131,2396,2525,3611,362,3972,2999,137,3137,3886,135,4020,1728,52,1784,865,30,897,13221,3112,16340
POA3038,70,1381,1451,2701,210,2913,1723,67,1787,1879,62,1939,729,33,762,347,15,360,7446,1766,9210
POA3039,87,2416,2496,1971,359,2322,850,103,955,855,70,916,291,14,303,79,6,80,4128,2959,7088
POA3040,123,3256,3382,2801,453,3257,1444,133,1576,1706,64,1776,670,14,687,156,6,169,6904,3932,10842
POA3041,49,1226,1274,1312,152,1466,723,46,764,975,31,1006,349,5,356,84,0,89,3499,1461,4955
POA3042,83,1859,1940,1962,241,2203,1096,61,1156,1080,33,1107,345,9,351,95,11,97,4654,2214,6866
POA3043,65,1857,1923,2087,241,2330,1140,50,1196,1041,36,1080,384,12,397,173,11,178,4899,2209,7108
POA3044,128,2884,3010,3065,525,3588,1754,149,1902,1937,89,2028,569,25,591,171,17,186,7622,3681,11307
POA3045,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
POA3046,132,3777,3910,3804,660,4464,2142,243,2384,1974,180,2156,769,99,867,441,59,499,9267,5019,14288
POA3047,35,1639,1675,1476,350,1825,1020,196,1222,951,155,1109,604,67,665,601,39,638,4692,2442,7136
POA3048,38,924,962,1195,196,1387,991,97,1086,903,102,1011,571,47,618,550,23,577,4250,1390,5640
POA3049,34,824,857,1054,138,1189,605,31,640,644,30,667,215,5,221,117,7,125,2661,1039,3696
POA3051,75,2974,3041,1761,733,2488,623,256,875,452,120,574,128,39,163,62,16,77,3094,4129,7220
POA3052,26,821,849,589,236,827,221,82,306,130,56,188,36,27,63,26,5,36,1025,1229,2255
POA3053,60,3366,3427,1664,1081,2745,442,281,727,234,122,353,57,44,102,59,16,69,2521,4907,7429
POA3054,43,1046,1092,1083,281,1364,410,206,618,309,95,409,78,27,104,21,4,22,1937,1665,3605
POA3055,63,2606,2666,1717,469,2184,764,195,956,682,92,779,177,30,206,60,3,65,3461,3394,6854
POA3056,133,3951,4084,3168,1006,4171,1224,478,1699,907,246,1150,218,59,273,71,13,81,5717,5750,11465
POA3057,63,2516,2578,1879,619,2493,594,246,838,431,106,534,99,21,115,29,5,28,3093,3511,6598
POA3058,163,3452,3613,3715,780,4490,2021,393,2413,2094,209,2306,593,58,652,252,21,274,8840,4916,13750
POA3059,49,575,624,1660,125,1785,1289,41,1332,1560,37,1596,756,20,774,397,3,401,5710,802,6514
POA3060,37,1169,1207,1158,202,1359,685,83,764,699,77,778,429,48,473,328,32,357,3338,1609,4947
POA3061,0,487,493,384,53,437,211,23,234,222,16,234,139,11,149,177,4,181,1134,601,1729
POA3062,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
POA3063,3,25,22,52,11,57,16,0,17,41,4,44,21,0,22,12,0,14,144,35,179
POA3064,210,4150,4366,6386,920,7306,6453,417,6868,7724,387,8112,3967,233,4203,3054,126,3183,27800,6240,34039
POA3065,39,1886,1927,1419,469,1887,408,198,603,281,101,382,70,37,104,39,13,56,2258,2700,4958
POA3066,48,1983,2034,1420,473,1895,346,166,509,186,58,244,52,12,60,42,5,44,2093,2694,4782
POA3067,44,1885,1927,1363,478,1839,390,145,542,232,53,277,54,4,58,25,3,24,2108,2568,4673
POA3068,110,2750,2864,2361,581,2939,915,336,1248,923,131,1049,248,44,296,58,10,63,4616,3844,8460
POA3070,141,3206,3349,2784,626,3412,1350,343,1702,1441,142,1581,388,44,432,102,11,111,6207,4371,10582
POA3071,101,2729,2834,2182,459,2638,1043,188,1238,1044,96,1140,265,28,288,84,18,99,4712,3510,8228
POA3072,163,4202,4363,3793,924,4714,1917,360,2277,1800,169,1968,538,68,604,245,30,278,8461,5740,14203
POA3073,207,6418,6625,5778,1139,6913,2995,353,3345,2631,190,2821,871,80,952,486,52,539,12966,8229,21200
POA3074,49,1814,1871,2175,265,2443,1262,106,1368,1012,62,1075,489,34,520,349,16,364,5333,2307,7637
POA3075,60,1769,1833,2187,308,2498,1338,94,1432,1279,92,1371,635,50,687,434,21,452,5942,2333,8274
POA3076,87,2154,2247,2686,419,3100,1963,160,2128,2218,110,2327,926,41,966,558,24,587,8439,2911,11352
POA3078,81,1741,1821,1308,247,1555,623,113,739,724,34,757,218,21,233,51,3,55,3004,2160,5167
POA3079,76,1853,1932,1982,270,2251,1001,84,1083,1095,48,1140,362,10,374,76,3,83,4598,2272,6874
POA3081,70,1789,1859,1544,397,1941,822,145,973,621,73,696,197,27,224,161,17,185,3417,2453,5874
POA3082,88,1923,2009,2926,304,3232,2001,115,2116,1817,64,1882,739,34,768,329,14,338,7903,2455,10352
POA3083,115,2753,2864,3209,544,3752,1879,243,2127,1755,166,1919,668,69,736,292,66,356,7922,3834,11757
POA3084,140,2504,2647,3025,344,3366,1493,91,1582,1846,39,1887,649,13,663,181,7,191,7335,2998,10338
POA3085,70,1257,1324,1489,157,1651,871,45,913,982,19,1005,297,8,299,79,0,83,3785,1489,5276
POA3087,36,830,865,1081,117,1201,567,35,602,646,19,667,166,9,173,72,4,76,2566,1022,3583
POA3088,145,2206,2347,3147,257,3410,1647,49,1693,1992,43,2033,589,7,596,173,8,179,7683,2572,10254
POA3089,53,588,637,1215,89,1311,777,20,797,956,14,965,392,7,403,121,5,117,3511,729,4238
POA3090,6,67,73,182,13,198,146,6,153,197,0,203,109,3,111,21,0,25,664,91,760
POA3091,6,46,49,151,14,162,80,6,83,112,0,116,63,4,70,21,0,21,436,68,499
POA3093,27,383,405,476,37,508,198,3,198,240,3,247,105,8,115,28,0,30,1064,441,1509
POA3094,64,812,876,1149,103,1254,538,15,550,645,9,654,220,9,227,50,0,53,2667,950,3618
POA3095,123,1489,1608,3007,162,3171,1703,40,1742,2183,35,2215,829,25,855,226,4,231,8071,1759,9826
POA3096,7,80,90,173,10,189,124,4,123,129,0,131,60,0,58,29,4,27,520,98,617
POA3097,11,51,66,154,17,171,55,0,56,98,7,108,48,4,55,21,0,24,386,88,473
POA3099,25,286,310,541,49,591,286,12,294,330,9,339,160,6,163,53,0,54,1393,359,1755
POA3101,132,2395,2527,2653,440,3090,1365,143,1509,1325,108,1427,570,44,606,180,16,202,6233,3135,9365
POA3102,32,481,514,645,97,742,373,26,402,507,14,524,179,10,184,48,0,55,1785,630,2422
POA3103,66,1517,1588,1669,189,1855,1027,68,1097,999,34,1034,355,14,369,117,3,121,4242,1826,6070
POA3104,70,1194,1268,1828,161,1992,1285,57,1332,1712,48,1759,633,23,658,239,5,241,5766,1484,7248
POA3105,54,924,977,1342,131,1473,685,46,729,742,23,759,257,9,270,83,6,91,3166,1131,4303
POA3106,58,974,1032,1813,128,1934,1052,30,1083,1099,26,1129,455,16,470,203,6,214,4682,1180,5865
POA3107,60,981,1035,1567,127,1700,956,32,984,973,33,1003,331,9,332,116,3,122,4000,1183,5178
POA3108,122,2615,2732,3237,386,3618,1667,123,1788,1341,79,1420,457,29,490,199,17,213,7018,3246,10265
POA3109,119,2137,2261,3211,271,3481,2019,94,2110,2199,65,2259,746,16,767,314,12,329,8612,2598,11213
POA3111,45,863,913,1279,106,1385,725,28,756,871,27,896,338,7,346,127,3,132,3393,1034,4423
POA3113,43,367,412,792,71,858,527,23,552,628,13,640,275,9,282,108,0,108,2372,473,2845
POA3114,16,119,127,343,18,358,178,3,183,297,7,298,143,0,147,60,7,62,1041,146,1184
POA3115,14,135,146,426,24,447,195,3,201,275,3,283,135,0,131,44,0,44,1091,167,1253
POA3116,48,730,777,1268,97,1364,725,24,754,791,25,818,324,15,336,130,5,137,3286,900,4191
POA3121,122,5889,6008,4399,1350,5752,1452,567,2018,983,190,1179,278,39,321,72,11,85,7307,8042,15348
POA3122,101,3876,3975,2770,753,3525,965,200,1164,972,62,1035,340,32,377,75,10,83,5228,4936,10162
POA3123,88,2124,2207,1844,416,2259,713,106,818,773,40,820,298,13,312,61,7,71,3774,2708,6484
POA3124,92,1866,1958,2400,273,2678,1168,97,1260,1430,57,1490,532,33,564,157,14,169,5776,2338,8115
POA3125,66,1568,1637,1408,314,1717,852,165,1014,746,115,857,282,48,325,97,27,121,3443,2236,5679
POA3126,44,580,628,896,73,969,416,19,437,511,18,531,226,3,233,59,5,66,2148,705,2859
POA3127,88,1638,1720,2115,246,2360,1081,63,1150,1215,36,1250,456,17,468,128,5,132,5077,2006,7086
POA3128,95,2910,3002,2547,764,3318,1273,233,1507,1119,136,1255,370,45,413,131,31,162,5538,4118,9655
POA3129,68,1506,1574,1805,256,2057,1179,117,1297,1211,70,1278,381,22,409,152,16,165,4794,1987,6778
POA3130,113,3160,3273,3353,395,3746,1919,140,2063,2266,98,2365,784,29,819,285,17,297,8718,3834,12558
POA3131,106,2393,2501,2336,363,2701,1397,110,1506,1496,79,1569,506,26,533,189,12,202,6028,2985,9014
POA3132,82,1651,1737,1866,219,2083,1069,77,1147,1097,34,1137,382,8,396,112,10,122,4604,2007,6607
POA3133,75,1416,1496,2330,187,2514,1336,57,1385,1744,34,1773,596,23,615,234,8,242,6306,1723,8027
POA3134,154,3085,3236,3782,464,4240,2068,119,2186,2206,61,2264,851,29,879,285,13,301,9348,3769,13111
POA3135,88,1922,2010,2170,258,2433,1240,71,1312,1338,37,1372,505,14,523,191,8,192,5534,2317,7847
POA3136,248,4552,4799,5355,594,5948,2798,154,2951,2836,64,2901,989,27,1015,429,13,437,12655,5408,18061
POA3137,65,1404,1471,1717,154,1873,860,43,909,873,20,894,329,10,339,163,4,169,4005,1640,5647
POA3138,108,1558,1667,2441,236,2681,1374,75,1445,1483,45,1523,604,21,630,316,10,326,6325,1944,8262
POA3139,57,922,984,1568,163,1723,815,35,853,903,30,935,386,10,396,200,7,212,3930,1174,5103
POA3140,84,1662,1741,2055,217,2270,1020,46,1068,1058,30,1086,396,8,403,172,7,175,4779,1966,6741
POA3141,160,6816,6980,3850,1348,5201,873,279,1157,483,76,555,121,18,137,40,8,48,5532,8549,14073
POA3142,70,1988,2059,1839,375,2211,591,129,719,494,43,535,222,15,235,57,5,61,3265,2561,5823
POA3143,58,1780,1843,1333,274,1607,433,74,502,375,30,407,120,10,129,31,6,30,2346,2166,4519
POA3144,57,1355,1417,1315,207,1527,531,57,589,616,32,649,230,3,235,49,0,52,2808,1655,4461
POA3145,103,2459,2559,2411,501,2912,1246,154,1397,1470,85,1563,556,39,597,121,7,132,5919,3246,9161
POA3146,126,2651,2780,2750,373,3126,1431,111,1543,1833,64,1896,638,30,672,162,4,163,6941,3229,10173
POA3147,61,1308,1365,1420,155,1578,935,84,1016,1073,39,1114,353,17,368,102,7,106,3940,1612,5557
POA3148,44,873,918,1077,227,1309,593,107,699,525,55,574,163,27,191,72,8,80,2474,1301,3773
POA3149,149,2396,2543,3505,378,3883,2260,192,2448,2607,161,2768,809,57,866,287,32,323,9613,3208,12826
POA3150,187,4144,4335,6326,604,6936,3901,274,4178,4368,223,4588,1537,91,1627,700,47,752,17019,5391,22406
POA3151,47,910,962,1242,165,1409,680,60,743,641,43,685,207,14,216,99,11,107,2906,1208,4119
POA3152,125,2311,2439,3598,299,3896,2287,95,2382,2349,68,2418,864,32,891,404,9,415,9624,2812,12434
POA3153,88,2314,2400,2449,349,2804,1382,100,1480,1193,49,1244,396,17,418,188,10,193,5689,2843,8537
POA3154,17,310,317,483,50,534,256,14,267,305,12,318,108,4,111,41,0,41,1208,383,1594
POA3155,108,2662,2769,2839,455,3293,1497,92,1591,1312,54,1369,447,21,472,185,10,196,6391,3296,9691
POA3156,153,3019,3176,4078,469,4545,2421,109,2533,2583,67,2648,933,29,961,387,12,393,10551,3708,14261
POA3158,29,405,434,746,77,823,455,25,485,505,9,515,147,0,147,63,0,63,1940,516,2462
POA3159,7,125,130,262,34,298,158,10,171,199,9,210,59,3,61,29,0,25,709,184,893
POA3160,57,621,677,974,110,1079,566,22,590,595,18,615,254,0,253,81,0,85,2529,769,3301
POA3161,92,2162,2262,2045,432,2470,812,121,933,725,61,787,390,26,416,162,4,163,4226,2806,7029
POA3162,73,1693,1767,2067,287,2357,951,101,1051,1203,54,1254,399,18,414,105,11,115,4801,2158,6966
POA3163,175,4920,5097,4034,751,4790,1906,214,2118,1742,118,1865,500,26,532,129,22,150,8491,6059,14547
POA3165,129,2248,2374,2922,288,3207,1973,92,2060,2438,69,2508,709,26,731,181,7,186,8342,2727,11074
POA3166,98,2319,2416,2704,476,3176,1589,210,1800,1480,132,1615,468,36,510,158,19,175,6495,3195,9692
POA3167,35,750,785,1019,128,1143,714,42,765,662,43,703,194,13,202,81,10,88,2707,979,3684
POA3168,45,1979,2024,1746,780,2528,917,438,1354,753,283,1039,269,130,400,144,80,227,3883,3691,7572
POA3169,49,1598,1646,2012,362,2371,1378,168,1546,1150,125,1274,462,43,504,255,29,281,5307,2324,7627
POA3170,66,1202,1271,1995,223,2214,1295,96,1383,1351,62,1411,505,19,530,203,11,215,5412,1617,7029
POA3171,50,1613,1668,1614,348,1959,1235,175,1412,1097,125,1217,560,67,631,551,46,602,5112,2377,7486
POA3172,48,1460,1508,2030,224,2255,1362,70,1431,1422,58,1477,689,28,719,447,14,454,5997,1852,7851
POA3173,55,1189,1242,2172,213,2382,1814,87,1900,2072,68,2138,930,40,970,672,24,701,7707,1616,9321
POA3174,123,3609,3734,3413,613,4025,2358,300,2660,1906,162,2066,982,90,1065,743,44,783,9525,4810,14334
POA3175,138,4897,5041,4347,942,5290,2895,486,3376,2470,300,2772,1253,172,1420,1140,76,1218,12250,6867,19113
POA3177,35,1153,1191,939,243,1187,592,154,751,534,83,613,291,44,329,248,21,265,2638,1700,4339
POA3178,118,1710,1830,3323,268,3590,2215,53,2273,2570,42,2616,930,23,958,337,8,344,9490,2115,11604
POA3179,18,363,374,548,71,620,429,23,454,434,14,445,163,6,166,69,6,69,1654,473,2129
POA3180,27,619,642,904,79,980,503,30,533,492,5,495,200,5,207,60,0,65,2176,742,2917
POA3181,98,4671,4769,2803,980,3780,772,314,1084,488,69,560,123,9,137,26,0,26,4303,6044,10351
POA3182,140,6635,6782,3144,1109,4253,802,211,1011,487,56,548,121,11,130,20,3,22,4712,8032,12745
POA3183,70,3388,3459,2158,688,2851,758,217,971,564,85,649,202,25,226,217,7,230,3977,4405,8381
POA3184,101,3382,3487,1996,571,2576,735,121,853,545,45,588,170,10,176,35,10,39,3576,4142,7717
POA3185,76,1997,2076,1615,330,1948,637,71,711,700,31,728,253,12,266,102,0,105,3387,2446,5834
POA3186,143,2486,2627,2917,344,3263,1262,69,1335,1365,40,1414,515,24,542,125,3,128,6327,2973,9306
POA3187,75,1472,1549,1653,172,1824,971,44,1017,1224,35,1253,412,32,442,109,5,120,4448,1758,6207
POA3188,106,1912,2021,1973,247,2221,1101,64,1168,1292,42,1334,431,19,446,94,8,103,4998,2292,7289
POA3189,29,644,673,686,114,791,402,28,433,441,17,455,115,6,122,30,9,37,1696,812,2511
POA3190,56,1462,1514,1421,160,1583,747,39,787,784,29,813,221,6,229,43,0,39,3275,1697,4976
POA3191,66,1327,1390,1336,153,1487,545,28,570,680,19,697,239,3,244,46,0,46,2906,1523,4433
POA3192,105,2771,2877,2722,352,3077,1555,98,1648,1553,56,1604,464,16,487,110,4,115,6516,3294,9811
POA3193,105,1584,1693,2507,167,2678,1061,36,1093,1458,34,1499,546,17,563,114,4,113,5795,1836,7633
POA3194,96,1876,1974,1736,174,1911,797,53,848,745,13,754,227,7,235,64,3,65,3654,2131,5784
POA3195,152,3366,3522,3850,371,4221,2175,90,2268,2784,71,2857,957,18,971,250,5,255,10173,3915,14088
POA3196,143,3476,3612,3251,446,3698,1621,113,1735,1627,44,1675,478,17,492,124,8,131,7245,4094,11338
POA3197,59,1381,1439,1550,174,1720,741,27,768,739,30,768,217,11,229,76,0,76,3379,1614,4991
POA3198,104,2509,2607,2052,376,2427,1082,106,1181,909,40,941,281,16,302,102,15,113,4521,3060,7586
POA3199,303,7000,7302,6582,1095,7681,3236,270,3504,2968,138,3107,1100,74,1180,402,26,433,14590,8606,23190
POA3200,22,806,823,540,176,717,336,51,394,226,35,263,100,17,118,62,6,66,1290,1088,2377
POA3201,99,2275,2370,2323,347,2674,1489,99,1589,1212,42,1252,477,24,507,228,14,241,5823,2797,8625
POA3202,11,210,218,246,28,282,168,0,172,217,6,225,82,4,82,28,0,31,750,245,996
POA3204,152,3019,3166,3390,484,3867,2049,139,2191,2376,86,2468,796,43,843,169,11,182,8927,3789,12716
POA3205,81,2571,2655,1707,390,2098,533,92,624,391,38,430,98,7,108,29,0,29,2832,3099,5932
POA3206,72,1334,1403,1267,205,1467,576,34,607,579,19,594,171,12,178,37,0,37,2699,1599,4302
POA3207,138,3071,3206,2501,508,3008,914,150,1067,770,60,832,218,17,231,51,3,56,4586,3809,8392
POA3211,4,70,75,112,28,138,61,9,69,84,8,94,27,8,40,33,0,36,328,120,451
POA3212,93,1342,1432,1937,220,2153,1092,58,1147,1149,33,1180,481,16,493,202,4,210,4951,1664,6618
POA3213,15,255,270,460,44,503,262,18,276,293,19,314,151,3,158,78,5,85,1261,340,1603
POA3214,116,3243,3359,2510,601,3110,1443,249,1694,951,117,1069,426,48,476,353,28,380,5797,4294,10093
POA3215,100,2819,2920,2769,373,3148,1266,118,1380,1072,59,1132,404,26,430,169,9,180,5781,3415,9190
POA3216,260,6248,6501,6863,846,7711,3144,335,3473,3434,227,3657,1269,92,1360,438,57,490,15391,7798,23191
POA3217,100,1076,1179,2002,309,2312,1328,160,1487,1344,109,1451,493,35,527,188,12,205,5460,1706,7171
POA3218,96,2211,2309,1756,304,2060,832,108,941,811,42,856,296,14,317,76,3,81,3872,2688,6561
POA3219,109,3249,3359,2599,513,3110,1115,140,1254,835,75,910,340,29,363,141,19,164,5140,4016,9154
POA3220,94,2370,2465,2073,370,2448,844,132,979,848,63,914,351,31,381,98,8,109,4317,2980,7298
POA3221,0,39,40,83,5,95,44,3,41,41,3,47,38,0,38,17,0,19,222,50,271
POA3222,100,1732,1831,2665,253,2918,1040,37,1083,941,39,981,419,6,431,156,4,160,5325,2076,7397
POA3223,66,1333,1396,1828,305,2127,408,53,461,299,25,322,110,4,115,51,4,55,2760,1726,4479
POA3224,82,1402,1482,1977,172,2150,832,26,858,857,19,879,361,14,371,114,10,121,4220,1645,5859
POA3225,33,768,803,982,187,1165,230,29,256,200,22,218,84,8,94,17,0,17,1549,1017,2564
POA3226,93,1539,1633,2297,345,2640,855,71,919,1135,44,1181,409,23,427,110,5,115,4905,2022,6918
POA3227,43,473,517,734,138,874,219,29,245,309,23,331,152,10,165,36,0,38,1492,681,2172
POA3228,125,1656,1784,2631,377,3011,1192,136,1325,1617,94,1709,680,36,713,152,15,168,6393,2319,8713
POA3230,22,381,400,495,143,640,138,35,169,136,21,162,49,11,64,14,5,19,853,598,1453
POA3231,20,208,225,269,103,376,77,23,98,57,16,68,17,0,21,8,0,8,444,351,800
POA3232,7,193,207,174,114,290,47,21,75,44,22,62,22,0,18,8,9,8,303,363,664
POA3233,20,398,415,344,160,508,89,22,111,95,22,118,23,10,28,11,4,13,581,609,1196
POA3234,0,45,48,29,31,55,4,8,11,10,0,8,5,0,5,0,0,0,52,87,136
POA3235,9,37,37,76,25,98,20,0,19,31,4,34,6,0,4,0,0,0,136,65,201
POA3236,0,37,34,42,13,58,6,0,12,12,0,8,0,0,4,0,0,0,67,48,118
POA3237,0,37,37,39,12,52,19,6,23,5,6,8,0,0,3,0,0,0,63,59,127
POA3238,0,41,41,45,13,54,13,4,12,13,0,13,0,0,0,0,0,0,67,62,130
POA3239,4,57,63,66,17,82,23,3,28,19,3,19,10,0,8,8,0,8,121,84,206
POA3240,9,95,104,214,27,241,130,0,138,151,7,156,76,4,78,26,0,25,598,138,737
POA3241,14,310,326,427,54,478,162,12,173,144,13,154,58,14,71,35,4,35,843,403,1242
POA3242,3,103,111,116,22,135,42,5,49,46,0,47,32,4,37,3,0,3,249,137,385
POA3243,6,35,38,62,17,80,15,0,14,15,3,23,14,0,16,0,0,0,112,58,169
POA3249,30,317,343,439,55,491,146,12,159,148,7,156,92,4,103,61,3,63,916,403,1314
POA3250,53,1808,1867,1530,243,1778,624,55,682,551,37,586,278,23,303,124,19,141,3169,2190,5355
POA3251,0,73,76,76,11,93,31,0,31,24,3,26,6,0,7,0,0,0,150,88,241
POA3254,0,34,34,36,12,46,18,3,26,15,0,15,13,0,16,5,0,5,86,50,135
POA3260,25,663,692,674,101,774,229,20,251,178,13,186,100,14,114,55,0,56,1264,811,2072
POA3264,8,303,307,321,48,366,118,13,126,87,4,90,52,0,54,19,0,19,595,363,962
POA3265,17,221,238,338,46,382,139,12,150,136,13,151,73,3,77,48,0,50,754,298,1051
POA3266,17,353,369,417,41,459,138,11,146,141,10,149,74,5,77,34,7,38,810,419,1235
POA3267,0,14,13,29,4,33,10,0,10,6,0,7,8,0,8,4,0,4,61,24,78
POA3268,9,273,283,352,39,391,136,11,155,90,3,96,69,6,77,29,0,29,689,329,1020
POA3269,5,68,76,81,24,103,30,6,33,27,0,30,19,0,19,6,0,7,174,100,276
POA3270,0,49,49,50,12,65,10,0,10,12,0,12,3,0,5,8,0,8,85,64,150
POA3271,0,29,27,33,0,36,5,5,6,3,3,3,3,0,6,0,0,0,49,40,85
POA3272,6,238,246,242,39,286,74,5,79,42,4,46,36,0,38,18,0,23,427,290,712
POA3273,0,17,17,19,6,22,5,0,4,7,0,7,0,0,0,6,0,6,37,16,55
POA3274,0,23,30,34,5,38,21,0,22,10,0,10,6,0,4,5,0,5,68,31,106
POA3275,0,20,22,49,0,56,13,0,15,32,0,32,17,0,16,9,4,9,125,27,154
POA3276,3,38,47,61,10,65,23,0,22,18,0,17,17,0,20,3,0,3,119,52,175
POA3277,19,161,179,229,33,265,89,3,92,95,5,101,48,0,51,19,0,22,499,210,710
POA3278,3,20,20,46,5,50,17,0,17,19,3,23,13,0,13,5,0,6,98,31,128
POA3279,0,17,17,21,0,30,10,5,15,16,0,17,14,4,20,3,0,3,71,24,92
POA3280,170,4280,4450,4277,598,4879,1776,182,1954,1574,106,1677,680,50,732,246,33,277,8719,5244,13970
POA3281,6,80,88,205,20,223,92,0,89,132,8,132,56,0,61,32,0,32,514,111,625
POA3282,9,213,224,355,37,387,137,12,150,146,3,150,59,0,58,16,0,17,718,263,983
POA3283,9,98,109,195,17,218,75,5,79,60,6,65,45,0,47,18,0,25,402,134,538
POA3284,19,474,492,568,123,689,140,11,158,186,15,197,90,4,93,24,4,25,1022,625,1649
POA3285,5,117,125,171,32,203,67,4,69,63,7,68,34,3,43,7,0,7,347,161,502
POA3286,0,62,68,87,14,99,33,3,30,16,0,16,11,3,14,3,0,3,149,81,238
POA3287,0,28,32,64,8,73,19,0,21,20,0,20,11,0,11,3,0,7,121,39,160
POA3289,3,111,112,104,21,121,32,4,33,37,3,45,18,0,18,7,0,7,203,135,338
POA3292,0,30,31,38,10,49,3,5,8,3,0,3,0,0,0,0,0,0,44,44,93
POA3293,0,51,55,48,8,52,16,0,17,19,0,19,7,0,7,5,0,5,85,63,147
POA3294,13,139,146,127,25,156,48,5,48,41,0,41,22,0,26,6,0,10,256,176,433
POA3300,59,1604,1662,1401,178,1587,545,35,574,445,16,461,191,15,210,92,7,90,2728,1851,4581
POA3301,13,106,112,173,29,201,66,8,71,65,0,63,32,5,41,9,0,13,361,142,501
POA3302,0,34,37,60,6,71,24,0,23,17,4,15,8,0,7,0,0,0,106,45,155
POA3303,0,33,33,45,4,46,16,0,16,10,4,9,10,0,10,0,0,0,86,37,119
POA3304,15,417,429,397,58,452,129,16,143,102,12,115,53,11,66,20,4,24,724,511,1227
POA3305,94,1728,1823,1888,286,2169,707,51,755,592,39,630,227,15,232,99,6,100,3598,2125,5716
POA3309,0,17,17,16,3,16,6,0,6,7,0,7,3,0,3,0,0,0,28,22,49
POA3310,0,58,57,48,8,59,9,0,9,4,0,7,4,0,4,0,0,0,69,68,133
POA3311,8,325,332,260,44,305,81,12,92,53,0,54,13,0,18,10,0,10,431,385,815
POA3312,8,114,120,155,33,189,37,4,43,36,8,42,29,0,29,6,0,9,281,157,434
POA3314,11,57,65,90,11,101,17,0,19,27,3,27,12,0,12,6,0,8,159,73,239
POA3315,14,278,290,249,32,282,68,7,75,64,7,68,31,8,34,10,0,10,436,330,768
POA3317,0,32,37,28,0,29,10,0,13,4,0,4,7,0,7,0,0,0,49,39,85
