POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA2516,16,34,51,455,530,988,0,0,0,20,23,47,0,0,0,702,797,1498,0,0,0,37,34,73,16,19,29,0,4,4,8,9,16,0,0,0,7,0,8,8,10,23,52,64,114,3,8,10,4,6,7,79,96,171,49,66,113,6,3,3,1435,1679,3113,14,11,19,19,20,40,4,0,11,0,0,0,0,0,0,6,15,23,6,18,24,1709,1486,3197,18,17,34,8,10,21,1733,1515,3247,134,125,255,0,0,0,3356,3408,6761
POA2517,31,65,99,841,1129,1967,0,0,0,73,79,151,0,0,0,1418,1792,3211,4,5,11,69,84,154,21,22,45,0,0,4,10,21,35,6,0,10,20,14,36,46,55,103,170,216,388,14,17,36,4,5,15,223,311,535,137,164,304,5,6,15,3062,3949,7013,18,12,26,33,49,82,5,6,11,0,0,0,3,0,9,17,16,38,24,24,43,2977,2782,5761,31,14,39,10,21,34,3017,2818,5834,344,356,701,11,7,20,6543,7282,13827
POA2518,89,150,238,1158,1426,2585,0,0,3,73,85,151,6,9,6,2233,2617,4850,4,4,13,258,266,521,34,50,89,11,19,32,27,42,67,12,8,22,35,49,80,58,78,138,172,187,363,24,30,54,18,19,34,236,348,584,223,239,468,3,7,6,4585,5492,10082,65,49,112,136,145,281,9,0,15,4,0,4,8,7,17,34,49,77,44,51,93,3954,3691,7643,38,32,75,23,28,46,4009,3759,7769,553,585,1137,5,0,7,9491,10241,19732
POA2519,107,148,257,846,1049,1888,0,0,0,58,80,133,43,47,88,2150,2381,4534,0,12,18,261,295,558,22,31,49,7,10,18,22,25,40,4,8,19,30,26,60,39,48,86,153,180,331,20,23,49,8,6,20,198,254,445,171,181,351,0,5,3,4037,4657,8696,127,99,229,293,304,601,5,3,5,0,0,0,13,10,19,17,34,49,26,41,71,3317,2900,6219,29,28,55,7,18,23,3356,2942,6303,476,435,908,5,9,11,8440,8637,17074
POA2525,53,80,132,792,918,1716,0,0,0,32,51,87,29,34,62,1303,1434,2736,8,14,26,469,419,888,18,28,45,8,5,8,16,28,42,22,12,37,20,22,44,37,67,101,112,125,238,11,15,31,5,0,7,149,193,346,221,251,473,3,6,5,3266,3630,6897,88,79,169,138,150,287,5,9,11,0,0,0,13,4,21,15,19,28,25,25,53,2169,2011,4183,14,18,31,12,20,32,2194,2048,4246,261,325,583,5,0,10,6041,6342,12385
POA2526,41,70,106,982,1310,2296,0,0,0,69,80,152,51,54,109,1942,2125,4064,7,14,18,500,475,975,21,23,44,8,9,20,27,28,57,20,26,40,18,10,31,94,109,210,115,147,263,14,26,32,15,15,34,201,252,449,306,321,632,5,3,10,4402,5038,9436,73,58,135,164,172,340,3,3,4,3,0,4,9,5,19,8,29,38,22,40,61,2964,2682,5641,24,31,57,12,20,30,3003,2736,5737,389,417,807,8,3,16,8106,8534,16637
POA2527,53,85,140,1984,2296,4278,0,0,0,77,94,167,0,0,0,2943,3458,6402,24,17,39,208,175,382,59,81,136,15,16,26,33,53,84,24,24,42,30,33,57,137,142,281,210,272,480,17,34,52,11,15,26,324,426,753,307,343,646,5,3,12,6397,7477,13872,44,46,92,80,68,152,5,3,8,5,0,5,9,11,20,19,38,63,31,49,85,5339,4857,10202,37,35,67,15,20,36,5390,4913,10303,623,593,1218,7,11,24,12637,13250,25892
POA2528,55,121,170,1626,2097,3724,0,0,0,85,93,178,0,0,0,2645,2964,5608,4,8,13,356,365,727,44,66,114,9,16,29,52,65,114,16,7,26,23,38,60,77,79,157,177,220,397,21,31,45,8,14,26,200,274,473,295,337,630,5,5,8,5637,6676,12313,23,28,54,145,157,299,0,0,0,4,5,6,3,9,9,23,47,74,34,61,92,4642,4048,8693,32,19,51,13,15,30,4692,4082,8774,936,950,1890,5,5,16,11526,12080,23611
POA2529,73,146,218,1920,2382,4299,0,0,0,108,138,249,0,0,0,3554,3948,7500,0,5,9,817,817,1633,91,100,195,14,18,32,42,61,99,19,19,44,20,35,56,94,120,213,198,231,426,12,24,36,19,22,36,256,346,608,484,494,977,9,9,17,7657,8770,16426,58,60,122,208,242,452,10,11,18,0,5,4,10,9,23,31,40,71,40,52,96,5222,4756,9980,32,33,63,17,19,39,5270,4812,10086,869,773,1642,19,11,27,14205,14877,29077
POA2530,79,155,237,2633,3298,5933,0,0,0,139,156,296,4,3,9,3876,4362,8243,17,25,42,466,442,911,66,71,137,20,30,47,63,63,128,14,21,38,45,67,116,174,184,355,302,357,659,45,58,109,17,29,44,422,584,1005,367,462,828,11,4,15,8686,10217,18898,73,88,159,140,122,261,3,5,8,7,5,8,5,3,9,50,58,104,61,67,126,7096,6332,13431,55,46,102,17,37,52,7174,6410,13586,830,750,1581,9,11,23,17052,17821,34877
POA2533,36,71,109,1404,1644,3043,0,0,0,68,94,162,0,0,0,1740,1996,3734,0,0,3,74,86,160,39,55,91,4,7,8,22,19,49,3,8,5,18,13,29,38,46,83,205,222,422,6,8,16,7,0,5,241,291,533,144,177,323,4,5,7,4017,4669,8682,21,24,47,19,19,38,15,8,26,0,7,8,0,0,0,10,20,30,14,28,34,3626,3412,7034,26,21,43,15,30,38,3665,3456,7124,485,457,942,5,12,22,8285,8741,17027
POA2534,14,19,32,441,529,966,0,0,0,28,24,52,0,0,0,605,656,1262,0,5,5,19,15,33,6,14,21,4,6,5,6,8,19,0,0,7,8,3,13,4,7,12,28,53,81,3,0,3,0,0,0,165,219,380,42,64,110,0,4,4,1363,1612,2974,5,5,11,4,6,15,5,5,9,0,0,0,0,0,0,5,8,9,5,8,9,1234,1184,2416,10,7,16,7,4,15,1251,1192,2445,151,132,283,0,4,8,2795,2986,5780
POA2535,20,19,33,777,954,1727,0,0,0,55,61,119,0,0,0,689,809,1499,0,4,6,19,13,33,8,9,14,3,6,6,8,7,16,0,0,0,8,16,19,15,22,41,114,141,255,4,7,9,0,0,3,132,153,288,63,64,131,0,4,3,1904,2273,4173,8,5,14,5,7,13,17,14,31,3,0,0,0,0,0,6,18,22,9,18,28,1713,1625,3337,19,14,23,4,7,13,1735,1640,3376,277,260,538,0,4,8,3973,4233,8210
POA2536,66,102,163,1595,1937,3534,0,0,0,76,89,169,0,0,0,1882,2080,3959,3,0,8,66,64,129,65,89,151,5,4,9,29,45,78,8,7,15,20,21,40,68,91,162,215,221,431,24,24,54,14,16,31,198,302,501,183,205,391,6,8,14,4461,5212,9676,44,31,78,18,15,40,6,3,7,4,4,11,10,18,31,16,36,55,34,62,95,4010,3734,7741,38,32,69,13,29,47,4058,3801,7859,898,834,1728,12,9,26,9603,10076,19677
POA2537,32,40,71,909,1156,2060,0,0,0,62,53,116,0,0,0,1220,1316,2539,3,3,11,17,17,31,21,28,47,3,4,3,15,27,42,0,0,0,11,11,24,35,55,83,163,217,373,12,8,21,11,13,24,122,155,283,101,114,211,0,9,4,2705,3175,5881,13,8,22,17,10,28,0,10,12,0,0,0,0,0,0,11,30,42,12,32,41,3060,2724,5787,23,27,51,12,24,30,3091,2778,5872,622,598,1222,10,4,12,6497,6660,13153
POA2538,9,16,28,172,261,436,0,0,0,26,40,58,0,0,0,197,234,427,0,0,0,7,5,16,0,0,4,5,5,9,0,0,3,0,0,0,0,3,4,11,8,21,22,22,33,0,0,3,5,3,13,58,66,123,29,32,60,0,4,7,528,685,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,581,551,1130,6,0,3,3,6,9,584,558,1149,91,105,196,0,0,0,1215,1367,2584
POA2539,97,135,234,1668,1934,3597,0,0,0,180,241,422,0,0,0,1843,2119,3960,0,6,6,60,51,114,48,63,110,8,5,17,25,27,55,4,6,6,14,20,38,38,44,79,220,249,464,10,22,31,13,11,21,273,355,627,142,199,344,10,10,19,4547,5352,9902,20,24,48,24,17,40,13,12,21,0,0,0,0,0,0,29,23,50,27,23,54,4578,4121,8694,38,29,67,24,26,50,4638,4175,8810,743,654,1401,12,10,23,10127,10400,20530
POA2540,112,189,304,4285,4873,9159,0,0,6,343,383,722,0,0,0,4160,4696,8855,10,10,21,239,226,462,103,125,230,24,41,63,65,63,129,0,10,15,57,51,106,136,161,302,549,607,1154,54,59,113,17,21,35,479,672,1151,517,563,1076,13,14,24,11053,12575,23629,64,43,109,76,58,137,19,36,55,16,17,35,7,10,24,45,91,135,74,114,192,10371,9298,19668,75,51,124,32,50,92,10475,9407,19883,2479,1568,4048,26,22,49,24381,24013,48399
POA2541,121,179,299,2092,2534,4631,0,0,0,191,223,414,0,0,0,2223,2653,4875,23,26,49,65,57,123,67,87,160,21,24,43,25,20,47,10,5,13,29,49,80,115,164,277,329,407,734,39,27,69,16,23,36,284,374,662,350,391,738,6,6,12,5892,7079,12973,199,176,377,78,70,146,10,12,22,8,5,10,37,28,73,48,78,128,97,114,212,5914,5562,11480,33,26,59,13,32,42,5962,5617,11582,1268,1225,2489,20,10,36,13639,14487,28130
POA2545,5,3,9,90,100,188,0,0,0,0,0,5,0,0,0,95,92,190,0,0,0,0,0,5,0,6,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,13,25,0,0,0,4,3,6,16,14,32,0,7,11,0,0,3,233,244,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,220,464,4,3,3,3,0,4,256,217,473,73,78,154,0,0,0,569,544,1105
POA2546,39,82,122,815,909,1722,0,0,0,36,32,71,0,0,0,683,803,1481,0,3,4,31,14,47,30,35,63,5,3,5,15,29,44,0,0,0,7,15,21,14,19,29,92,135,228,0,7,9,17,14,33,109,169,283,65,88,150,0,3,6,1922,2275,4190,21,17,35,15,15,32,7,0,6,10,8,16,0,0,0,13,26,44,27,32,61,2418,2321,4740,30,19,53,9,17,27,2455,2359,4817,497,498,996,7,10,13,4989,5292,10280
POA2548,26,56,85,631,836,1465,0,0,0,41,46,94,0,0,0,687,764,1446,0,3,3,18,16,33,36,44,79,7,10,11,14,15,35,0,0,0,15,15,28,27,32,62,84,103,192,4,6,11,3,8,10,112,179,290,56,85,140,0,4,3,1734,2170,3899,33,20,45,7,6,14,7,4,14,0,0,0,4,6,6,5,11,15,10,16,27,1980,1893,3873,11,4,14,8,5,13,1995,1907,3896,337,337,680,0,7,12,4153,4527,8678
POA2549,9,31,33,277,332,608,0,0,0,23,26,48,0,0,0,289,279,567,0,0,0,6,6,13,24,38,58,0,5,0,4,7,14,0,0,0,3,5,5,8,14,26,51,36,86,3,5,13,0,0,3,36,74,114,45,44,83,0,0,0,771,866,1635,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,14,5,19,13,6,15,1053,967,2024,11,3,14,8,10,15,1074,977,2049,155,129,289,0,0,3,2027,2016,4043
POA2550,61,100,159,1283,1431,2714,0,0,0,50,54,105,0,0,0,1228,1279,2500,0,0,4,18,17,41,43,81,119,21,14,31,12,19,31,0,0,0,67,63,134,32,36,65,115,149,262,9,18,30,40,42,81,172,210,382,174,204,378,8,7,17,3279,3624,6899,24,33,53,21,15,27,5,14,15,0,8,8,0,6,4,30,41,75,35,53,87,4121,3923,8043,40,28,69,18,38,62,4175,3991,8165,833,721,1549,4,9,12,8428,8546,16978
POA2551,5,16,24,325,339,671,0,0,0,11,3,13,0,0,0,303,356,657,0,4,5,7,8,17,0,4,10,0,5,5,0,3,4,5,0,3,5,8,14,0,0,8,43,47,98,0,0,4,0,0,3,64,72,137,31,41,71,0,4,4,808,910,1711,10,4,13,3,0,9,0,0,0,4,0,4,0,0,0,4,6,9,5,6,12,837,789,1628,5,0,8,0,8,8,845,797,1637,203,171,374,6,4,7,1882,1908,3796
POA2555,9,13,16,3,3,8,0,0,0,0,0,0,0,0,0,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,35,38,71,0,0,0,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,44,0,0,0,0,0,0,25,20,44,12,14,22,0,0,0,78,88,167
POA2556,23,24,51,109,130,238,10,9,21,4,3,13,0,5,6,560,526,1082,0,0,0,55,55,105,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,5,11,21,0,0,0,0,0,0,3,16,18,29,36,63,0,0,0,786,799,1584,11,5,12,93,77,172,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,217,156,376,0,0,0,0,0,0,221,156,376,118,101,218,0,0,3,1256,1167,2427
POA2557,220,262,488,743,784,1531,93,68,168,75,70,146,0,0,0,3383,3451,6831,0,0,6,382,400,787,50,58,109,42,38,77,3,12,16,122,114,237,50,53,102,161,177,345,73,66,134,0,4,9,34,44,84,95,99,189,340,356,695,6,9,14,5667,5802,11474,519,525,1038,860,850,1709,10,6,12,0,0,0,114,89,206,45,60,104,158,150,313,2134,1927,4066,15,10,23,5,14,19,2157,1952,4109,449,470,918,10,17,26,10050,10040,20088
POA2558,136,159,294,603,695,1305,9,6,14,73,66,140,0,0,0,1527,1686,3214,0,3,5,113,98,208,43,52,94,48,55,99,0,5,7,27,30,58,44,40,88,65,77,144,81,72,159,0,4,8,19,19,43,79,76,160,156,169,324,8,8,16,2897,3174,6066,142,133,275,531,459,990,0,3,6,0,0,0,33,30,63,39,35,77,68,67,138,1391,1304,2693,7,0,10,9,16,22,1409,1322,2732,288,280,567,4,3,4,5476,5600,11070
POA2559,29,40,67,88,155,247,4,4,10,12,16,27,0,0,0,197,248,449,0,0,0,20,24,43,7,8,14,30,37,68,0,0,0,5,3,12,15,8,26,22,33,53,11,17,26,3,0,6,14,24,34,24,22,44,73,68,139,0,0,3,526,666,1194,59,70,127,245,245,492,0,0,0,0,0,0,11,10,18,8,15,19,16,22,33,295,310,606,0,5,4,3,0,8,299,318,622,206,230,435,0,6,3,1382,1594,2977
POA2560,883,1162,2049,4842,5717,10558,22,17,38,571,617,1184,140,126,262,9475,10476,19955,46,63,113,689,714,1404,147,179,322,322,339,659,64,71,133,184,189,372,239,218,457,550,662,1209,592,648,1240,61,79,147,164,192,362,509,626,1134,1193,1359,2554,57,59,114,19872,22335,42212,1314,1293,2601,3195,3096,6286,20,19,37,7,10,23,258,223,487,159,205,365,422,444,866,11451,10264,21718,110,65,171,52,63,121,11616,10392,22005,3253,3181,6435,78,70,143,40655,41989,82642
POA2563,5,0,5,26,28,53,0,0,0,4,0,4,6,3,11,21,31,50,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,8,0,0,0,63,72,136,0,0,0,4,3,8,0,0,0,0,0,0,4,3,7,0,0,0,4,3,7,55,37,85,0,0,0,0,0,0,55,37,85,15,13,26,0,0,0,145,127,269
POA2564,202,248,450,542,699,1241,0,0,0,81,96,175,0,0,0,1094,1309,2394,0,0,0,120,120,239,22,49,71,89,77,170,4,10,12,68,64,131,43,56,101,56,81,144,82,94,174,3,8,13,46,46,84,91,93,182,234,294,532,7,3,15,2582,3082,5666,746,719,1463,1139,1168,2304,3,0,3,0,0,0,42,28,68,36,49,82,74,80,155,1488,1367,2857,16,19,34,10,15,20,1515,1394,2913,557,632,1194,7,7,19,6830,7334,14159
POA2565,414,527,942,1033,1241,2275,80,95,174,204,233,436,0,0,0,3410,3937,7351,6,7,10,387,392,783,278,270,542,92,97,187,9,14,24,167,156,324,72,80,154,232,254,490,177,174,351,8,12,22,77,82,159,149,162,314,561,573,1130,14,20,35,6959,7808,14763,1938,1929,3875,2360,2282,4642,3,0,3,0,0,0,243,230,473,61,95,155,308,325,625,2731,2255,4992,21,14,42,16,29,43,2769,2298,5070,850,793,1643,26,39,69,15634,16001,31634
POA2566,298,376,671,1265,1411,2675,0,0,0,146,183,331,0,0,0,2895,3202,6101,18,23,39,237,221,455,50,66,123,112,130,246,26,23,51,93,86,178,60,67,128,144,193,335,149,195,340,9,10,19,65,73,144,133,165,302,400,472,871,9,8,20,5826,6533,12354,1215,1169,2384,2361,2248,4607,3,6,8,0,0,0,214,213,425,107,133,236,322,339,661,2717,2406,5120,25,13,34,20,15,33,2763,2434,5193,905,907,1811,31,39,70,13712,14044,27752
POA2567,233,344,574,3137,3610,6742,40,39,75,253,301,560,10,17,26,6477,6889,13367,10,12,16,484,514,1002,40,63,98,59,49,103,35,45,83,70,67,133,92,100,193,220,249,469,239,298,541,15,24,46,35,51,84,244,339,581,505,548,1053,22,29,45,12002,13225,25224,267,258,521,648,637,1284,9,13,23,0,4,5,75,77,154,55,75,124,132,150,286,5895,5274,11169,31,41,75,12,21,38,5946,5339,11286,830,744,1582,18,28,43,20079,20735,40815
POA2568,0,3,5,143,164,312,0,0,0,8,14,19,0,0,0,151,162,313,0,0,0,11,6,17,0,0,0,0,0,0,3,3,3,0,0,0,0,3,5,14,15,34,11,19,30,0,0,0,6,6,12,16,23,38,14,14,27,0,0,0,377,428,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,113,263,0,0,0,0,0,0,143,113,263,63,120,181,0,0,0,585,672,1257
POA2569,4,5,7,139,148,290,0,0,0,14,14,22,0,0,0,215,203,416,0,0,0,12,4,13,0,0,0,0,0,0,0,5,5,0,0,0,4,9,16,3,4,11,9,15,19,0,6,0,0,0,0,10,17,31,20,22,43,0,0,0,430,437,869,0,0,0,8,9,17,3,0,4,0,0,0,0,0,0,0,0,5,0,0,5,206,154,357,0,3,4,5,0,8,206,160,365,58,39,97,0,0,0,708,658,1370
POA2570,257,337,592,4800,5798,10599,77,84,159,338,363,699,75,74,149,9325,10185,19512,11,20,30,571,587,1157,101,121,218,99,93,195,46,54,101,132,117,246,91,121,215,359,422,782,325,385,709,28,61,83,67,82,148,496,588,1083,785,886,1665,39,39,80,17758,20082,37845,1080,1005,2085,1029,1029,2064,24,11,35,0,0,0,367,338,708,90,79,163,454,412,874,8824,8047,16866,67,57,120,20,31,56,8908,8136,17044,1488,1463,2955,50,48,97,31057,32529,63583
POA2571,31,52,86,1354,1506,2866,0,0,0,80,68,155,48,36,81,1699,1754,3452,5,5,10,83,95,179,11,15,25,3,3,3,16,20,38,0,4,4,18,19,34,53,47,103,77,78,154,9,5,7,3,5,12,115,140,252,121,111,233,10,9,18,3695,3936,7632,14,11,27,37,41,81,0,0,4,0,0,0,3,4,7,11,12,26,13,20,37,2367,2022,4386,21,12,32,5,17,22,2385,2055,4445,405,354,754,8,0,11,6602,6465,13062
POA2572,12,18,25,512,635,1152,0,0,0,23,37,60,20,20,43,611,658,1267,0,0,0,38,43,80,9,16,25,3,3,10,11,13,18,0,0,0,13,8,20,17,17,34,41,45,86,0,0,4,0,7,9,40,46,88,56,55,112,0,0,0,1406,1608,3019,0,0,4,19,25,39,0,0,0,0,0,3,0,0,0,9,6,13,6,7,17,980,900,1885,8,5,22,3,4,13,996,915,1920,197,219,417,0,0,3,2647,2794,5442
POA2573,29,33,59,496,598,1090,0,3,0,50,45,88,23,25,47,578,653,1229,0,0,5,28,27,64,8,11,19,0,5,7,4,16,23,0,3,7,3,5,6,20,29,45,54,66,120,0,5,10,7,15,19,50,58,109,51,53,105,6,7,16,1392,1624,3022,0,7,10,26,22,51,0,0,0,0,0,0,7,10,15,5,16,22,14,23,40,1150,1097,2239,6,5,13,5,9,13,1160,1107,2269,145,146,287,3,7,15,2773,2971,5740
POA2574,12,22,32,653,722,1378,0,0,0,44,63,107,0,0,0,815,768,1581,0,6,5,40,28,70,3,9,10,0,4,9,5,7,16,3,3,7,3,6,9,13,21,30,50,54,102,0,8,7,5,0,6,45,63,112,31,26,53,6,9,17,1727,1790,3517,0,3,3,16,16,29,0,5,4,0,7,6,4,4,10,0,11,11,12,25,28,1030,927,1956,8,9,11,0,11,15,1043,946,1984,148,130,279,0,0,0,2956,2933,5883
POA2575,71,111,185,1459,1779,3236,0,3,3,106,97,205,0,4,3,1815,2022,3843,12,14,23,87,80,164,57,63,116,3,16,20,15,12,30,7,5,16,25,23,49,40,68,114,146,219,364,11,12,24,8,10,24,173,254,424,187,212,399,23,21,44,4182,4915,9093,197,177,370,76,52,129,20,24,46,0,0,0,40,43,78,23,50,76,66,86,153,3471,3293,6756,30,24,54,5,21,27,3506,3333,6839,493,478,970,19,9,23,8621,9185,17808
POA2576,41,67,110,1383,1771,3157,0,0,0,64,69,131,64,62,117,1340,1675,3015,6,9,14,74,77,150,18,22,39,3,4,15,21,27,42,0,0,0,15,13,27,29,39,67,166,235,395,13,7,15,13,12,26,223,287,513,175,216,390,0,4,9,3604,4532,8131,78,74,150,25,12,38,39,31,67,0,0,0,12,11,23,11,29,39,24,45,68,2404,2377,4779,23,33,59,8,27,30,2438,2436,4872,424,470,896,13,21,27,6683,7680,14366
POA2577,77,91,169,1661,1855,3509,0,0,0,65,83,153,29,21,51,1572,1662,3235,4,5,5,61,62,118,29,41,72,9,11,21,17,26,41,0,0,4,22,17,39,55,78,124,180,200,382,4,12,17,13,20,36,189,256,440,189,221,406,5,13,16,4103,4575,8675,93,71,164,33,22,53,24,24,47,4,5,4,10,11,18,19,34,53,30,45,75,3326,3226,6551,18,19,39,8,27,33,3361,3265,6629,613,603,1214,13,16,34,8342,8718,17064
POA2578,12,19,32,272,359,638,0,0,0,11,17,30,0,0,0,213,252,469,0,0,0,6,6,13,12,22,33,0,0,0,8,10,18,0,0,0,5,7,9,6,3,10,23,36,65,0,0,4,0,0,0,41,64,109,25,46,74,0,9,9,630,845,1478,4,0,8,10,6,13,4,10,13,0,0,0,0,0,0,0,7,7,0,7,8,602,555,1159,5,4,5,0,0,6,609,566,1172,71,75,147,0,0,0,1346,1522,2870
POA2579,12,16,28,480,502,979,0,0,0,17,19,34,0,0,0,494,501,996,0,0,0,21,17,36,11,13,26,5,5,6,4,4,12,0,0,3,3,10,12,13,18,29,43,51,90,4,0,3,0,3,8,56,69,120,65,61,126,0,4,0,1212,1268,2477,8,8,11,14,9,14,0,0,8,0,0,0,3,0,5,8,10,14,13,10,20,875,847,1723,11,6,18,10,8,18,888,861,1753,232,231,461,0,0,4,2362,2404,4773
POA2580,109,139,246,3122,3521,6643,0,0,0,173,173,352,91,83,176,3856,4182,8031,9,14,25,145,128,270,50,58,105,7,19,29,27,37,59,10,6,15,32,50,79,61,70,131,307,287,592,38,55,95,34,43,74,445,493,934,236,233,467,12,8,17,8654,9450,18102,164,161,324,124,89,216,6,12,15,0,0,0,34,24,57,49,68,122,85,96,184,5273,4653,9929,42,36,81,23,31,57,5339,4723,10064,1781,1157,2939,21,16,38,16287,15835,32124
POA2581,4,9,10,220,247,468,0,0,0,4,13,17,0,0,0,289,268,563,0,0,0,4,0,6,0,0,0,0,4,4,0,10,10,0,0,0,0,0,0,9,3,12,15,12,28,0,7,8,5,14,17,56,57,109,18,20,32,0,0,0,620,657,1278,0,0,0,5,0,4,0,0,4,0,0,0,0,0,0,3,4,6,3,4,6,487,463,953,4,7,9,0,8,8,495,469,967,120,108,228,0,0,0,1256,1252,2505
POA2582,19,54,71,1064,1292,2350,0,0,0,73,80,155,0,0,0,1582,1726,3308,0,0,0,20,35,53,13,17,29,0,0,0,38,41,80,6,3,9,9,22,32,38,31,68,112,116,229,22,14,32,16,13,24,204,228,425,123,157,278,4,8,11,3317,3774,7092,29,23,50,26,19,44,3,7,8,3,0,3,7,8,14,23,30,49,30,37,66,2764,2551,5317,22,13,34,5,7,10,2787,2577,5364,619,470,1082,7,6,17,6833,6970,13805
POA2583,3,8,10,570,594,1163,0,0,0,12,10,24,0,0,0,670,696,1371,0,0,0,14,4,17,6,4,8,0,3,3,3,0,3,0,0,0,4,4,6,9,12,21,39,34,70,6,7,7,0,0,5,126,141,267,18,26,47,8,4,14,1478,1547,3022,7,6,16,3,0,3,0,5,3,0,0,0,0,0,3,0,12,10,4,12,17,608,533,1141,0,0,3,3,4,4,618,540,1152,207,185,387,0,0,0,2316,2295,4616
POA2584,0,4,4,71,64,135,0,0,0,0,0,0,0,0,0,51,55,103,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,9,11,16,0,0,0,0,0,0,12,13,30,3,0,3,0,0,0,156,139,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,95,88,186,0,0,0,0,0,0,102,88,189,42,31,69,0,0,0,294,260,555
POA2585,4,0,4,16,23,38,0,0,0,0,0,0,0,0,0,47,42,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7,0,11,0,0,3,0,0,0,72,72,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,39,0,0,0,0,0,0,27,20,39,18,23,42,0,0,0,118,109,231
