SOS_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SOS52,196,1186,215,0,1595,168,1191,225,20,1605,492,2811,712,44,4051,667,2625,702,11,4001,691,2969,761,0,4429,882,3515,711,3,5112,1052,3029,593,8,4676,476,1312,300,0,2080,85,336,75,0,496,4705,18975,4294,81,28053,185,1127,214,4,1533,191,1146,191,20,1551,654,2743,499,54,3946,993,2355,451,14,3816,853,2635,442,11,3953,1081,3223,550,3,4860,1110,2544,492,5,4157,493,1143,276,0,1914,96,417,106,0,616,5663,17332,3231,114,26339,383,2315,429,4,3128,357,2345,420,31,3154,1145,5551,1212,91,8001,1655,4976,1152,28,7821,1543,5607,1207,16,8375,1964,6736,1262,7,9975,2162,5568,1082,15,8829,971,2454,572,0,3999,179,754,182,0,1114,10365,36307,7524,195,54391
SOS53,864,3386,550,3,4807,641,3679,1562,59,5940,1473,9495,5446,174,16591,2587,9970,5453,100,18116,3213,11660,4940,64,19874,3203,12432,3566,48,19251,2738,9078,1451,28,13287,1033,3328,511,5,4877,109,649,90,0,840,15859,63675,23574,483,103590,861,2853,466,3,4197,596,2564,626,47,3843,1640,6199,1555,113,9515,3340,5994,1334,28,10697,3536,8048,1491,12,13079,3565,9585,1336,22,14508,2636,6957,937,14,10535,828,2565,402,0,3797,89,649,72,4,818,17089,45425,8225,251,70987,1731,6242,1021,7,8998,1239,6247,2191,111,9785,3109,15697,7008,290,26105,5926,15966,6790,126,28811,6747,19705,6424,74,32959,6769,22014,4899,75,33753,5371,16029,2384,40,23823,1863,5892,913,12,8679,200,1301,161,5,1662,32950,109095,31799,733,174575
SOS57,0,3,10,0,14,6,50,28,0,81,18,223,194,24,459,71,422,413,37,945,62,402,377,53,896,31,223,196,24,473,18,58,37,0,119,3,9,0,0,15,0,0,0,0,0,212,1392,1254,143,3002,0,7,3,0,8,3,16,15,0,37,11,44,32,3,94,5,23,20,7,55,7,34,23,0,57,11,47,24,3,86,10,35,14,0,61,6,8,5,0,17,0,0,0,4,3,54,208,125,16,405,0,10,6,0,19,7,65,43,0,121,27,266,225,33,549,79,444,432,37,999,64,433,394,61,951,43,270,218,29,560,28,90,52,0,178,10,14,6,0,32,0,0,0,4,3,263,1602,1376,164,3410
SOS60,834,4286,266,0,5386,949,5006,350,53,6359,2797,13331,1041,139,17311,2079,9583,719,42,12417,2150,8376,542,21,11078,1883,8243,469,19,10611,2027,6731,427,22,9198,957,3871,328,7,5165,129,1490,162,4,1787,13796,60907,4305,300,79311,1086,3779,251,6,5120,1238,4684,295,9,6227,3253,12881,821,28,16985,2802,9687,577,10,13073,2652,8939,435,20,12046,2259,9262,414,38,11972,2518,7702,475,22,10716,1126,5027,429,13,6599,175,2598,294,4,3070,17104,64562,3987,154,85810,1922,8056,515,6,10503,2186,9689,646,69,12586,6050,26210,1865,169,34293,4877,19269,1294,51,25494,4798,17314,976,34,23122,4141,17500,880,56,22581,4544,14438,897,44,19915,2085,8901,758,14,11761,307,4087,460,7,4857,30902,125467,8289,456,165114
SOS61,769,5053,417,3,6246,714,5254,426,57,6454,1772,11766,880,51,14471,1826,9275,672,38,11801,2015,9769,647,11,12439,2174,10439,645,15,13282,2387,9075,640,10,12113,1209,5509,505,7,7225,156,1898,270,4,2333,13026,68031,5105,198,86367,938,4659,374,5,5973,873,5058,368,8,6314,2067,11800,744,71,14682,2569,9726,612,19,12926,2556,10781,596,16,13946,2747,11425,595,13,14776,3037,10093,656,12,13805,1316,6820,696,9,8838,187,3234,428,7,3862,16291,73611,5070,155,95124,1707,9710,791,11,12214,1594,10315,795,69,12764,3841,23568,1622,124,29152,4394,19000,1282,53,24730,4577,20551,1239,28,26388,4915,21871,1244,28,28057,5423,19168,1300,27,25916,2529,12328,1200,15,16066,348,5135,703,9,6191,29323,141643,10169,355,181488
SOS62,84,565,75,0,728,73,546,57,3,679,202,1250,103,17,1576,282,1251,93,10,1636,359,1502,127,0,1992,472,1907,153,0,2530,596,1699,151,0,2450,242,903,109,0,1256,31,224,43,0,298,2355,9845,910,46,13150,114,496,56,0,671,78,477,33,0,590,242,1250,98,9,1600,424,1154,99,3,1679,430,1491,111,0,2031,575,1924,143,4,2637,653,1529,140,8,2336,246,809,127,0,1171,30,303,63,0,399,2801,9422,869,19,13118,202,1065,134,0,1401,157,1021,92,8,1273,453,2501,204,21,3179,707,2400,193,14,3315,785,2997,235,0,4026,1046,3825,291,3,5166,1256,3225,292,8,4781,491,1710,236,0,2431,64,529,108,0,697,5154,19272,1774,63,26264
SOS63,416,2413,283,0,3123,269,1963,140,9,2381,645,4152,379,34,5210,1111,4472,401,13,5993,1404,5739,475,13,7630,1806,7055,536,7,9405,1692,5643,489,3,7827,579,2349,238,5,3167,50,471,69,5,591,7960,34269,3009,89,45324,516,2003,221,0,2746,295,1667,152,3,2118,864,3949,386,16,5219,1587,4414,382,7,6385,1801,5546,409,3,7761,2058,6478,479,4,9014,1623,4469,393,0,6485,474,1790,208,0,2469,37,460,71,0,565,9263,30777,2697,41,42774,938,4420,507,0,5864,566,3632,297,12,4502,1512,8107,766,47,10426,2699,8887,780,23,12382,3207,11292,887,20,15396,3861,13530,1009,15,18414,3314,10113,884,3,14315,1053,4137,441,3,5638,86,926,141,4,1154,17225,65043,5709,124,88099
SOS67,0,0,0,0,0,3,8,0,0,9,0,29,25,3,58,3,37,24,3,67,12,35,22,0,71,4,39,20,0,63,3,20,0,0,25,0,4,0,0,4,0,0,0,0,0,31,161,97,8,296,0,0,0,0,4,0,3,0,0,6,0,8,0,0,13,0,7,3,0,16,0,10,4,0,18,8,9,3,0,11,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,17,44,11,0,75,6,5,0,0,5,6,11,0,0,15,4,36,25,3,69,8,41,30,4,78,11,46,31,0,90,8,43,25,0,77,5,26,0,0,33,0,7,0,0,3,0,0,0,0,0,42,209,112,13,374
SOS70,451,2588,365,89,3492,517,3423,737,1096,5770,1367,9192,1826,505,12888,1533,7313,1422,153,10412,1336,5986,1198,68,8585,1170,5203,1015,72,7457,967,3834,697,32,5539,272,1420,227,7,1928,38,273,50,0,364,7662,39232,7529,2027,56444,582,2388,353,12,3331,561,3040,482,114,4207,1960,9690,1490,167,13310,2020,7533,1150,46,10752,1702,5765,955,24,8441,1361,5113,861,73,7408,1067,3490,569,44,5167,323,1305,218,8,1858,27,339,80,8,448,9605,38668,6154,491,54913,1036,4979,712,99,6828,1075,6466,1216,1217,9975,3319,18886,3320,675,26196,3561,14847,2561,199,21165,3032,11747,2154,84,17025,2535,10317,1874,144,14864,2037,7325,1265,77,10705,601,2725,442,24,3789,64,618,128,6,809,17263,77904,13678,2519,111361
SOS71,141,1389,212,0,1741,108,1284,193,14,1594,483,3423,596,32,4537,523,2926,487,16,3952,462,2229,412,6,3116,467,2062,404,13,2946,344,1251,271,6,1873,100,360,68,0,530,7,65,14,0,81,2640,15002,2655,86,20379,156,1249,198,4,1610,148,1365,166,3,1676,657,3932,547,28,5165,671,2897,431,8,4013,584,2436,372,6,3391,570,2135,378,24,3111,354,1155,227,6,1747,103,354,59,10,531,15,125,22,0,158,3269,15633,2412,84,21395,299,2640,412,4,3349,257,2644,352,16,3274,1145,7356,1150,60,9704,1201,5826,918,19,7963,1048,4667,783,9,6509,1035,4198,784,44,6056,702,2409,497,12,3621,208,711,134,8,1060,22,190,34,0,242,5903,30635,5065,169,41773
SOS72,33,875,92,0,998,41,895,90,0,1030,135,1818,228,22,2198,152,1431,196,3,1782,145,1258,190,0,1600,232,1042,217,6,1497,213,729,169,4,1116,44,185,43,0,271,0,25,0,0,31,994,8260,1226,35,10519,19,826,116,0,963,39,924,99,0,1070,175,1983,234,26,2407,184,1496,164,6,1843,183,1352,189,9,1734,260,1217,225,5,1713,187,687,149,0,1036,33,140,20,0,194,0,29,4,0,31,1081,8660,1197,44,10983,53,1697,210,0,1958,83,1824,185,3,2093,306,3795,460,42,4611,334,2931,356,4,3629,332,2605,381,3,3331,491,2262,443,11,3211,402,1418,323,9,2149,73,329,67,0,469,5,55,3,0,59,2079,16923,2422,75,21506
SOS73,118,902,236,6,1266,117,997,402,68,1579,251,2273,977,91,3583,377,1950,885,39,3241,455,2238,860,18,3576,482,2515,711,18,3721,537,2114,529,11,3187,142,547,144,0,841,3,59,8,0,67,2478,13593,4752,248,21060,149,785,185,0,1123,123,863,196,22,1205,354,2067,512,57,2986,525,1827,441,7,2800,562,1970,454,4,2994,585,2262,498,8,3365,520,1649,397,8,2573,103,355,76,0,541,3,60,9,0,75,2938,11848,2772,98,17650,271,1689,415,8,2392,240,1858,598,86,2781,603,4336,1483,141,6564,901,3780,1327,44,6046,1018,4212,1315,15,6569,1070,4780,1212,22,7082,1057,3759,925,14,5758,253,899,224,0,1379,9,122,16,0,145,5414,25438,7522,343,38714
SOS77,0,9,0,0,10,3,10,4,0,17,0,32,19,0,54,4,60,41,0,106,9,61,42,0,117,5,62,33,0,96,6,7,4,0,22,0,0,0,0,4,0,0,0,0,0,32,244,141,12,429,0,0,0,0,0,0,5,0,0,15,0,4,5,7,16,0,6,0,0,3,0,7,0,0,7,0,9,0,0,12,7,6,5,0,21,0,0,0,0,5,0,0,0,0,0,15,34,17,7,67,0,9,0,0,11,4,18,4,0,27,3,37,19,9,65,4,68,43,0,112,11,70,42,0,124,4,68,34,0,106,8,15,15,0,40,0,4,3,0,10,0,0,0,0,0,44,280,156,17,494
SOS80,2452,10277,653,19,13398,2680,13380,1099,50,17207,4359,31974,2209,88,38635,5232,27357,1570,100,34260,5433,21218,1079,72,27816,4219,16482,801,60,21554,3955,11600,590,64,16208,1964,6150,457,22,8592,301,2277,276,5,2859,30598,140711,8737,494,180542,3068,9268,663,20,13019,3583,12654,994,43,17276,5521,31586,1791,84,38983,7082,26541,1230,75,34928,6317,20958,875,63,28214,4807,17661,640,122,23233,4517,13432,668,87,18701,2063,7798,567,21,10452,331,3516,485,3,4340,37292,143407,7918,523,189138,5522,19545,1313,45,26420,6265,26031,2099,92,34485,9878,63561,4000,179,77611,12317,53901,2796,177,69193,11753,42176,1959,139,56022,9022,34139,1440,179,44784,8471,25026,1258,153,34910,4028,13950,1021,49,19045,634,5793,762,7,7199,67883,284117,16655,1016,369675
SOS82,0,25,0,0,28,0,13,0,0,13,0,22,0,0,30,6,39,0,0,47,12,38,0,0,47,10,19,0,0,25,8,15,8,0,28,8,10,0,0,15,0,0,0,0,0,48,183,8,0,239,4,18,0,0,23,0,12,4,0,17,0,25,0,0,23,4,36,3,0,46,9,40,3,0,52,11,23,5,0,41,9,18,5,0,25,3,14,0,0,16,0,0,0,0,3,51,182,15,0,239,7,37,4,0,47,0,23,4,0,24,4,49,0,0,54,14,80,3,0,94,24,75,3,0,99,23,42,5,0,69,13,34,9,0,62,9,21,0,0,33,0,0,0,0,6,96,361,25,0,479
SOS83,3,17,8,0,33,9,37,8,0,55,16,52,8,0,70,10,19,0,0,30,7,21,8,0,38,6,19,4,0,30,9,20,5,0,33,0,6,0,0,6,0,3,0,0,3,59,194,48,0,303,8,7,3,0,19,5,17,9,0,36,6,47,5,0,60,13,16,0,0,30,11,20,9,0,32,10,29,9,0,45,3,13,7,0,21,0,5,0,0,3,0,5,0,0,5,53,156,35,0,255,12,27,7,0,51,16,56,15,0,87,23,97,19,0,134,20,34,3,0,61,16,38,13,0,71,13,51,15,0,74,14,34,8,0,58,0,14,0,0,9,0,7,0,0,7,110,354,85,0,553
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,19,10,0,27,4,22,13,0,36,16,87,56,0,163,21,52,36,0,110,25,64,38,0,125,26,76,26,0,125,17,73,25,0,113,3,16,5,0,24,0,4,0,0,4,116,406,205,5,728,9,20,3,0,34,3,17,8,0,28,13,58,32,0,106,32,70,28,0,131,31,68,29,0,127,29,58,23,0,111,14,35,12,0,57,0,8,5,0,11,0,0,0,0,0,125,335,153,0,604,9,35,8,0,59,6,36,26,0,67,27,146,92,0,264,54,121,71,0,240,52,131,71,0,258,50,127,46,0,227,32,110,33,0,175,3,23,10,0,36,0,4,0,0,4,241,736,354,6,1332
SOS92,9,56,8,0,71,13,50,11,5,77,25,107,20,3,147,40,94,18,0,154,47,96,23,0,167,74,154,50,0,275,44,100,25,0,173,18,51,23,0,91,3,14,0,0,21,275,721,179,8,1183,8,38,8,0,59,12,54,10,0,79,27,100,21,0,142,43,99,27,0,170,50,110,22,0,181,62,167,42,0,272,56,116,31,0,200,19,59,20,0,89,3,21,3,0,29,283,756,175,3,1217,22,96,12,0,134,29,106,20,5,158,50,207,40,4,294,82,193,45,0,322,99,203,50,0,347,135,318,91,0,547,104,220,58,0,377,34,107,41,0,187,8,30,9,0,48,554,1475,358,16,2404
SOS93,3,5,4,0,17,3,10,25,0,38,4,23,116,0,144,11,24,61,0,99,19,42,36,0,95,8,31,19,0,59,21,37,13,0,70,6,19,6,0,26,0,0,0,0,9,83,194,271,4,554,0,11,8,0,15,7,8,5,0,21,5,28,12,0,44,7,20,0,0,33,14,44,15,0,70,18,38,6,0,60,16,21,10,0,49,10,15,8,0,41,0,7,0,0,4,80,189,65,0,340,6,18,10,0,37,7,16,29,0,58,9,48,121,0,188,25,47,65,0,130,31,89,48,0,165,27,64,23,0,120,36,62,25,0,120,18,38,14,0,69,4,0,0,0,10,158,387,338,5,893
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
