SED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SED20106,134,1015,63,7,1223,337,2173,185,13,2701,953,8424,709,57,10149,810,5885,492,31,7222,774,4080,384,28,5271,726,3269,334,31,4354,576,2104,193,17,2891,268,1135,119,6,1527,34,319,49,0,406,4617,28404,2524,195,35744,176,1006,63,9,1256,496,2207,211,14,2923,1187,8454,687,38,10369,1049,5502,472,25,7039,1024,3993,299,31,5342,835,3174,243,31,4279,679,2195,159,15,3050,263,1220,122,6,1611,28,456,68,0,554,5734,28209,2321,174,36432,317,2024,128,12,2476,828,4383,390,26,5628,2143,16878,1399,96,20519,1858,11388,963,56,14266,1798,8072,675,59,10612,1556,6442,574,66,8635,1261,4294,351,36,5938,536,2348,240,16,3141,67,776,115,0,959,10350,56611,4845,370,72172
SED20207,227,2621,173,0,3024,237,2450,225,5,2913,463,6357,514,10,7345,930,9101,555,23,10614,865,5869,315,7,7064,454,3993,218,25,4684,332,2686,110,44,3168,157,1159,61,16,1388,29,347,24,0,398,3686,34584,2195,136,40604,313,2370,131,0,2817,355,2215,159,3,2736,605,6970,464,11,8051,1182,9054,481,3,10722,879,5893,282,16,7068,462,4215,191,50,4921,392,3004,134,78,3609,143,1446,76,5,1678,28,630,42,0,700,4360,35803,1972,170,42300,538,4995,308,6,5841,591,4668,377,7,5642,1064,13331,979,27,15398,2120,18154,1039,24,21335,1746,11762,602,23,14130,915,8214,409,74,9608,729,5691,247,117,6784,301,2604,132,21,3061,48,973,69,0,1095,8048,70384,4161,297,82899
SED20302,278,2576,221,7,3078,225,2500,180,3,2901,584,7297,507,14,8403,910,7298,446,4,8655,816,5051,373,10,6252,735,4551,252,8,5551,950,3824,299,8,5079,457,2064,232,15,2770,74,574,121,0,769,5013,35736,2629,73,43460,328,2414,191,0,2934,327,2471,147,4,2954,704,7971,536,13,9221,1126,7164,441,8,8736,937,5135,316,6,6395,986,4938,318,33,6275,1116,4202,334,26,5675,549,2185,265,9,3006,87,904,184,3,1180,6139,37384,2734,114,46370,608,4987,412,10,6016,548,4970,321,9,5856,1281,15264,1041,29,17618,2033,14461,890,11,17393,1749,10189,688,16,12641,1725,9489,566,50,11821,2060,8029,630,38,10759,1004,4251,503,26,5776,155,1477,305,3,1947,11156,73117,5360,186,89829
SED20401,204,1496,64,0,1765,212,1522,82,0,1817,460,3718,213,0,4388,589,4008,200,0,4803,629,3365,173,6,4167,450,3009,109,9,3584,454,2104,111,6,2679,221,1314,106,5,1639,37,501,95,0,631,3270,21024,1154,33,25481,221,1281,69,0,1574,257,1411,63,4,1734,566,3935,187,12,4702,839,3890,201,4,4928,750,3457,123,0,4336,534,3142,114,20,3812,570,2570,126,8,3269,277,1497,163,5,1949,36,785,226,0,1044,4045,21963,1279,52,27349,429,2777,136,0,3341,471,2932,146,4,3552,1024,7648,402,13,9087,1426,7896,399,3,9733,1378,6823,298,8,8503,980,6155,231,29,7394,1021,4672,235,17,5947,501,2812,271,12,3591,76,1280,320,0,1682,7311,42991,2433,85,52827
SED20508,220,1521,104,0,1848,161,1305,60,0,1521,280,2700,122,0,3098,537,3085,153,10,3782,687,3198,179,4,4068,771,3500,190,0,4464,1098,3759,233,0,5090,554,1970,203,4,2730,78,630,126,0,833,4379,21652,1377,21,27430,265,1375,94,0,1738,201,1129,61,0,1394,341,2871,126,4,3343,813,3284,169,8,4278,923,3584,153,4,4669,1028,4234,196,0,5460,1294,4005,245,0,5541,643,2161,265,5,3075,95,870,262,0,1222,5608,23518,1565,27,30721,486,2896,198,6,3582,365,2434,116,0,2913,618,5562,248,6,6438,1351,6368,324,18,8061,1609,6783,335,8,8733,1804,7730,388,4,9922,2390,7762,480,4,10629,1197,4137,474,0,5806,171,1496,388,0,2059,9990,45174,2948,48,58155
SED20604,321,1804,178,0,2299,203,1608,147,5,1963,464,3405,312,22,4198,681,3023,286,10,4007,908,3130,272,0,4313,1026,3260,244,0,4538,1034,2785,246,0,4068,421,1459,143,0,2022,51,468,59,0,580,5115,20940,1891,44,27990,315,1597,150,0,2067,231,1445,121,0,1800,468,3455,263,23,4209,934,3296,254,5,4483,987,3359,237,4,4584,1045,3620,206,7,4879,1075,2876,211,5,4172,429,1571,175,0,2180,70,750,123,0,943,5564,21976,1741,43,29315,638,3395,331,0,4365,433,3052,273,5,3765,930,6862,577,45,8409,1617,6322,542,12,8493,1895,6488,511,4,8893,2071,6881,451,10,9414,2109,5659,453,10,8234,852,3027,318,0,4197,124,1222,174,0,1525,10676,42911,3631,85,57310
SED20704,282,1828,143,0,2253,281,1853,95,5,2241,455,3719,231,5,4417,580,3323,218,5,4125,713,3130,234,4,4075,694,3152,223,0,4071,823,2547,168,9,3543,359,1348,118,3,1824,66,486,83,0,639,4255,21376,1517,31,27187,360,1694,123,0,2183,332,1837,104,4,2272,571,3996,236,8,4814,851,3531,229,3,4612,882,3427,208,3,4522,784,3644,210,4,4637,854,2806,161,8,3824,362,1570,178,0,2111,60,810,141,5,1012,5064,23320,1579,26,29990,642,3523,263,0,4432,620,3691,194,11,4511,1035,7715,473,14,9228,1432,6853,444,6,8734,1596,6557,441,9,8596,1477,6796,431,4,8714,1681,5347,325,13,7369,724,2920,292,0,3939,134,1298,225,5,1655,9322,44695,3102,60,57183
SED20804,201,1370,113,0,1682,183,1352,154,0,1693,378,3022,490,9,3899,545,2810,390,0,3750,713,2832,339,5,3893,694,3021,263,5,3995,832,2698,249,0,3780,419,1534,195,0,2150,69,511,159,0,746,4046,19156,2356,25,25587,225,1324,124,0,1671,225,1310,89,0,1625,480,3199,275,5,3962,739,2936,255,0,3934,852,3004,240,0,4096,836,3407,250,3,4501,1061,2826,245,4,4139,420,1794,256,0,2472,53,793,319,0,1170,4904,20596,2043,20,27566,432,2695,237,0,3360,408,2662,246,0,3318,861,6221,763,12,7854,1291,5746,641,3,7681,1568,5837,580,3,7991,1535,6433,520,10,8491,1895,5524,491,9,7916,838,3325,455,0,4623,127,1309,480,3,1912,8950,39752,4403,42,53148
SED20906,232,1966,61,0,2261,230,1626,71,6,1927,313,3172,181,7,3674,502,3971,156,4,4641,739,4073,132,9,4956,483,3096,109,9,3698,338,2011,68,17,2437,176,1140,77,5,1395,51,555,48,0,652,3067,21611,895,70,25640,297,1671,60,3,2031,283,1382,64,0,1728,396,3173,142,4,3709,753,4417,163,10,5346,916,4321,157,5,5402,539,3267,103,20,3929,396,2331,115,23,2863,253,1510,119,6,1885,59,1017,88,0,1169,3895,23087,1011,67,28064,532,3630,120,3,4292,512,3008,132,5,3656,706,6345,319,11,7381,1260,8389,317,18,9983,1660,8400,284,17,10361,1026,6356,211,33,7621,737,4345,185,38,5300,426,2645,196,7,3278,111,1567,138,0,1816,6967,44692,1909,138,53703
SED21001,341,1882,76,6,2303,429,2405,168,14,3005,452,4596,348,16,5414,625,3814,191,14,4647,954,3523,176,37,4693,658,3140,137,30,3970,587,2271,136,25,3006,357,1342,105,3,1802,86,721,105,3,913,4485,23691,1442,134,29756,416,1706,77,6,2208,477,2131,171,8,2789,607,4462,313,20,5396,854,4035,197,23,5116,1170,3917,176,25,5282,729,3473,117,31,4354,732,2591,126,23,3471,452,1801,179,3,2432,107,1338,228,0,1668,5552,25451,1577,134,32712,760,3584,151,12,4505,906,4531,339,21,5798,1065,9054,656,32,10811,1482,7849,394,43,9764,2120,7444,355,58,9978,1386,6619,259,61,8320,1311,4858,262,41,6476,802,3148,277,8,4233,192,2064,330,3,2586,10028,49145,3020,274,62472
SED21106,272,1683,58,0,2009,239,1307,42,3,1591,328,2582,158,6,3075,479,2940,185,8,3615,866,3444,193,13,4517,740,3062,111,12,3923,594,2128,101,5,2828,328,1242,94,5,1661,67,552,71,0,688,3903,18930,1014,65,23912,324,1444,52,6,1835,308,1167,47,0,1524,436,2919,178,6,3539,746,3300,204,5,4257,1165,3877,182,21,5238,929,3208,114,11,4261,669,2387,126,8,3192,349,1620,144,4,2118,88,967,170,0,1219,5013,20894,1215,62,27185,600,3124,112,6,3843,546,2479,88,5,3116,768,5499,333,16,6614,1224,6243,389,21,7873,2027,7319,375,37,9754,1668,6268,225,21,8183,1260,4519,225,19,6020,675,2864,231,5,3783,151,1513,238,0,1912,8922,39824,2226,126,51095
SED21203,116,2058,216,0,2387,174,2517,309,0,3003,383,5444,728,13,6572,344,4278,594,12,5226,243,3602,356,3,4208,211,3421,296,9,3933,137,2050,149,5,2343,59,1340,127,0,1523,14,530,53,0,594,1684,25240,2824,40,29788,154,1902,185,0,2237,246,2092,227,3,2561,422,4802,529,15,5764,423,4021,419,4,4869,309,3649,309,9,4276,233,3331,252,10,3825,137,2413,169,5,2730,68,1710,147,4,1930,13,802,73,0,892,2000,24714,2318,53,29083,267,3957,397,0,4627,418,4613,535,4,5571,806,10243,1255,31,12333,767,8293,1013,18,10089,551,7249,670,10,8483,448,6748,546,14,7756,275,4464,323,10,5072,128,3045,275,4,3455,29,1336,124,0,1489,3684,49951,5141,91,58875
SED21303,142,1136,56,0,1333,411,2291,100,10,2811,1182,7626,399,15,9216,885,5129,251,9,6273,755,3394,161,10,4306,432,2504,110,12,3061,326,1581,106,7,2017,105,1050,78,4,1231,14,491,63,4,570,4237,25197,1317,66,30818,200,1072,48,0,1321,753,2409,128,4,3297,1743,7877,353,16,9990,1205,4963,196,9,6366,879,3414,136,3,4438,605,2655,101,11,3373,423,1891,96,10,2424,143,1393,101,4,1638,23,828,88,0,944,5967,26508,1250,66,33789,340,2203,102,3,2653,1158,4698,225,14,6104,2924,15502,752,31,19202,2089,10095,448,12,12640,1637,6808,290,11,8745,1034,5155,214,26,6430,749,3476,203,15,4436,245,2446,180,4,2870,39,1319,151,8,1514,10210,51702,2570,132,64607
SED21401,184,1664,66,0,1916,250,1753,69,6,2076,333,3495,165,5,3994,445,3512,155,12,4121,523,3402,119,20,4068,421,3392,109,20,3949,422,2572,76,17,3092,410,2165,93,6,2677,76,1023,76,3,1177,3057,22982,934,96,27068,216,1495,38,0,1757,317,1429,60,8,1808,406,3471,150,9,4030,627,3701,151,4,4480,652,3736,136,23,4545,525,3714,113,32,4383,524,3215,108,29,3877,418,2658,142,10,3227,62,1395,133,0,1596,3742,24805,1032,118,29699,400,3161,100,0,3669,567,3186,124,12,3885,733,6966,317,10,8031,1065,7205,308,26,8606,1173,7134,260,44,8613,944,7108,223,53,8332,947,5795,187,49,6967,824,4824,239,19,5899,142,2421,208,0,2772,6799,47787,1970,216,56767
SED21503,207,1545,102,3,1859,255,2066,190,10,2526,348,4128,290,17,4776,430,3495,174,4,4105,490,3357,123,4,3978,295,2839,128,0,3261,281,2214,98,9,2600,186,1358,73,4,1624,40,494,42,0,570,2524,21507,1215,50,25297,244,1361,90,5,1702,316,1720,129,8,2178,406,3758,200,8,4370,612,3378,135,10,4137,545,3442,126,5,4118,366,3092,116,9,3583,383,2518,108,11,3018,203,1679,74,3,1959,42,798,77,0,922,3116,21750,1058,60,25980,447,2913,190,12,3560,572,3785,326,22,4699,751,7885,485,21,9140,1040,6878,309,13,8243,1031,6799,249,10,8095,663,5933,241,4,6847,662,4733,209,24,5624,387,3039,153,4,3579,79,1290,120,0,1493,5641,43256,2270,112,51278
SED21608,256,1661,164,0,2075,216,1710,151,0,2077,378,3537,275,9,4192,616,3285,207,0,4117,699,3263,237,3,4212,635,3179,192,5,4011,650,2551,193,5,3400,288,1221,131,0,1640,41,369,78,0,484,3778,20774,1634,17,26205,302,1522,176,0,1993,290,1522,140,6,1947,488,3585,252,8,4336,794,3373,220,0,4379,845,3438,256,3,4535,742,3361,188,5,4291,732,2684,169,0,3587,299,1364,157,0,1820,51,618,107,0,771,4533,21459,1648,22,27657,555,3179,342,0,4068,500,3237,282,6,4024,870,7127,525,12,8529,1408,6656,426,3,8497,1546,6702,495,7,8750,1373,6535,379,11,8300,1385,5236,361,3,6984,581,2587,283,0,3456,88,980,191,0,1261,8308,42237,3277,41,53866
SED21706,303,1847,56,0,2209,433,2372,164,10,2984,503,4044,331,12,4900,558,3535,177,14,4279,886,3339,125,9,4360,656,2952,96,12,3711,528,2056,92,19,2701,269,1162,68,3,1503,47,612,56,0,729,4183,21930,1169,79,27364,433,1850,57,11,2348,540,2031,120,7,2694,524,3677,233,16,4445,792,3595,157,11,4554,1100,3807,146,18,5063,736,3217,118,14,4085,623,2357,113,27,3114,326,1619,98,8,2049,74,1111,150,0,1331,5142,23254,1196,98,29687,738,3696,110,15,4556,967,4400,287,22,5677,1024,7724,568,27,9344,1349,7131,330,22,8835,1985,7150,266,26,9430,1385,6167,215,24,7789,1153,4414,202,42,5817,597,2783,167,10,3553,118,1727,208,5,2063,9320,45188,2363,182,57050
SED21805,148,1724,95,0,1962,121,1628,74,3,1826,298,4050,219,10,4582,471,4334,247,3,5059,535,4116,234,3,4891,336,3676,164,4,4183,322,2524,94,3,2940,155,1291,115,0,1563,17,390,65,0,474,2404,23743,1312,31,27489,183,1499,75,0,1756,192,1554,83,0,1829,386,4290,236,5,4917,672,4441,231,4,5344,591,4300,188,0,5080,456,3849,155,10,4473,472,2845,131,10,3459,221,1483,156,8,1874,33,722,97,6,855,3213,24988,1349,34,29584,329,3224,171,0,3718,315,3182,154,3,3660,684,8340,453,15,9492,1146,8775,479,11,10405,1125,8420,419,4,9971,796,7527,322,13,8654,798,5369,225,15,6403,378,2780,272,6,3437,55,1105,163,8,1332,5611,48732,2661,64,57072
SED21906,281,1285,48,0,1622,395,1656,142,11,2207,688,4918,395,8,6010,713,3893,222,6,4835,840,2952,167,11,3972,648,2482,115,7,3262,647,2237,123,4,3008,234,1098,98,0,1432,42,513,61,0,616,4491,21037,1375,58,26964,415,1181,71,4,1666,524,1631,111,16,2288,785,5066,322,22,6184,954,3786,238,11,4985,1022,3110,137,5,4272,759,2606,121,13,3504,739,2434,147,14,3332,270,1366,115,3,1748,52,967,135,0,1161,5519,22147,1393,86,29143,696,2469,121,5,3291,923,3290,260,24,4495,1465,9983,719,25,12189,1665,7682,454,16,9817,1863,6059,310,22,8248,1408,5094,244,24,6768,1386,4668,269,20,6344,500,2467,211,6,3187,102,1483,192,0,1776,10006,43189,2770,139,56110
SED22005,136,1616,80,5,1838,323,2787,221,9,3336,514,6631,591,17,7751,443,4727,272,16,5452,431,3754,204,9,4402,284,3298,162,11,3754,279,2560,184,13,3037,151,1670,187,6,2013,32,771,122,7,928,2593,27820,2015,80,32509,186,1447,104,0,1738,445,2101,163,6,2717,513,5471,416,15,6416,552,4472,255,9,5292,432,3937,180,12,4564,405,3492,157,20,4076,349,2990,187,20,3550,194,2094,184,10,2479,34,1210,190,0,1439,3113,27215,1843,96,32266,326,3057,188,7,3574,770,4890,380,18,6057,1028,12109,1002,30,14170,992,9194,525,22,10739,869,7694,388,17,8970,696,6796,313,30,7832,627,5553,376,34,6584,344,3764,368,15,4487,65,1982,318,4,2365,5710,55030,3861,177,64776
SED22105,225,3351,208,4,3798,301,3566,260,3,4129,583,8734,627,9,9954,887,10008,574,9,11478,638,6321,303,10,7270,326,4417,221,19,4990,299,2566,123,33,3017,109,1244,67,5,1429,17,358,36,3,413,3390,40565,2413,97,46465,326,3263,186,0,3779,388,3405,206,3,4005,761,9755,678,7,11210,1045,9670,506,5,11230,632,6226,328,5,7183,390,4421,228,56,5100,355,2990,139,47,3538,161,1484,96,13,1760,16,634,71,5,721,4076,41854,2436,155,48519,552,6619,391,4,7572,688,6973,460,10,8135,1344,18491,1305,23,21165,1935,19684,1081,13,22706,1268,12545,630,13,14456,716,8847,446,82,10088,654,5552,266,75,6555,270,2730,167,21,3187,31,992,103,5,1135,7469,82416,4848,251,94982
SED22201,173,1474,51,0,1702,169,1516,61,0,1744,393,3442,171,10,4007,517,3594,135,5,4246,536,2985,104,0,3618,472,2797,97,4,3379,446,2130,70,7,2650,281,1273,60,0,1616,51,450,54,0,560,3031,19650,808,32,23524,208,1327,52,0,1578,259,1368,60,0,1693,458,3725,167,4,4348,728,3617,121,5,4473,711,3253,108,6,4074,542,3142,113,12,3804,581,2633,88,12,3312,310,1721,121,0,2156,48,809,138,0,990,3845,21597,951,43,26441,381,2799,103,0,3285,423,2887,120,0,3433,853,7162,331,16,8364,1243,7213,257,5,8724,1246,6232,208,11,7693,1020,5939,207,15,7182,1025,4764,154,15,5960,595,2996,180,0,3771,98,1257,194,0,1548,6880,41248,1758,70,49963
SED22305,146,1803,165,4,2112,205,2245,278,3,2732,470,6268,825,19,7579,414,5164,593,14,6190,303,3938,415,6,4670,255,3356,328,14,3955,207,2580,202,12,3006,123,1470,168,3,1770,25,514,65,0,600,2147,27347,3040,74,32602,150,1684,177,0,2016,274,1999,180,4,2462,503,5218,537,10,6268,458,4394,433,10,5292,295,3405,319,13,4037,303,3422,247,19,3993,272,2722,245,22,3262,129,1655,163,0,1953,31,830,114,3,976,2421,25325,2414,84,30247,293,3489,344,4,4131,472,4244,461,10,5190,968,11485,1363,25,13842,873,9557,1025,17,11481,603,7342,734,19,8698,561,6775,579,32,7943,477,5309,443,36,6266,255,3129,332,6,3721,54,1342,176,0,1569,4565,52672,5451,158,62847
SED22404,212,1523,197,0,1938,141,1265,160,4,1567,310,2572,256,15,3158,512,2552,298,6,3377,764,3207,372,3,4348,881,3602,363,5,4846,956,2912,292,3,4168,405,1528,177,0,2113,60,445,45,0,549,4241,19609,2158,37,26048,257,1367,201,0,1820,180,1144,158,7,1492,415,2585,250,16,3268,797,2552,281,4,3638,966,3141,368,4,4478,1075,3575,331,3,4984,1044,2839,284,0,4161,464,1407,163,4,2036,71,610,70,0,750,5264,19223,2107,32,26627,467,2890,401,0,3762,319,2410,316,8,3060,732,5153,511,24,6427,1310,5107,581,6,7011,1729,6346,738,9,8822,1959,7173,697,5,9831,1994,5753,579,5,8328,869,2934,338,8,4149,130,1063,108,0,1301,9507,38834,4269,70,52679
SED22501,224,1686,52,5,1965,219,1321,31,0,1571,237,2318,56,0,2618,510,3158,95,0,3760,809,3291,107,3,4210,528,3179,75,3,3784,603,2466,83,4,3153,310,1148,57,3,1519,28,327,37,3,395,3462,18898,592,18,22976,274,1472,32,0,1781,259,1202,40,0,1495,298,2347,69,5,2720,803,3292,101,0,4200,949,3499,96,0,4543,634,3521,78,4,4234,662,2790,92,4,3547,303,1308,81,0,1696,33,516,73,0,619,4211,19949,657,25,24846,499,3155,87,5,3744,466,2524,72,0,3069,540,4662,126,12,5343,1309,6452,196,4,7964,1753,6795,201,4,8754,1164,6695,156,9,8019,1260,5259,174,7,6703,613,2460,143,3,3220,58,847,108,4,1018,7670,38848,1252,48,47820
SED22607,165,1606,78,0,1841,292,1942,116,5,2352,642,4981,318,18,5960,628,4173,234,4,5042,732,3717,212,11,4674,513,3143,177,6,3836,437,2183,96,3,2717,168,1020,64,3,1255,24,437,46,0,510,3605,23203,1327,57,28196,227,1427,64,0,1716,392,2011,110,0,2513,786,5174,352,13,6333,855,4253,231,15,5359,814,3949,177,13,4955,565,3371,131,4,4071,511,2314,105,8,2936,165,1324,88,0,1573,27,806,65,0,900,4344,24634,1332,56,30363,387,3030,142,0,3560,683,3954,219,4,4865,1436,10156,671,27,12292,1492,8432,469,18,10403,1544,7665,388,32,9631,1076,6515,304,11,7910,948,4498,202,12,5656,331,2341,151,3,2828,50,1247,111,0,1414,7946,47836,2659,113,58551
SED22704,233,1578,241,3,2058,162,1552,167,0,1879,355,2824,391,5,3575,518,2570,387,3,3481,694,3236,398,3,4335,891,3817,474,4,5189,1123,3386,387,4,4904,547,1824,243,0,2613,80,590,80,0,752,4608,21379,2780,18,28785,239,1263,179,0,1682,142,1200,117,0,1465,414,2796,291,6,3509,721,2607,332,0,3656,840,3384,356,9,4582,995,3889,386,5,5274,1162,3195,314,0,4677,559,1797,271,0,2632,98,896,161,0,1158,5165,21038,2409,22,28632,471,2838,418,9,3734,305,2754,285,0,3349,771,5624,688,11,7087,1238,5177,722,3,7133,1536,6617,754,11,8914,1883,7705,858,9,10463,2286,6589,705,3,9580,1104,3621,517,6,5246,179,1484,245,0,1912,9768,42411,5184,41,57414
SED22802,219,1681,64,0,1963,191,1629,65,0,1884,372,3503,151,3,4026,532,3286,135,6,3958,561,3133,141,0,3838,460,2925,100,3,3492,450,2105,65,3,2626,274,1202,65,0,1538,36,322,21,0,374,3095,19781,808,23,23707,274,1501,65,3,1841,265,1468,52,0,1782,460,3473,132,0,4073,722,3220,118,5,4066,660,3396,117,3,4176,530,3119,107,3,3762,546,2426,75,5,3050,266,1366,64,0,1697,24,497,34,0,563,3751,20465,758,26,24997,493,3180,126,3,3803,457,3097,114,0,3668,832,6976,282,8,8097,1253,6510,253,6,8018,1214,6527,258,11,8012,992,6049,204,11,7249,994,4530,145,8,5677,543,2562,128,5,3240,64,818,58,0,940,6846,40244,1565,43,48705
SED22901,228,1522,56,0,1809,267,1447,56,0,1777,346,3213,152,9,3720,533,3491,142,14,4179,567,3009,128,5,3712,485,2870,85,4,3456,441,2553,98,7,3110,238,1249,108,3,1605,45,472,79,0,599,3160,19837,909,53,23963,249,1343,60,0,1649,289,1289,56,0,1639,395,3148,134,6,3679,765,3533,145,3,4448,636,3178,111,4,3931,538,3354,97,15,4014,483,2938,103,18,3534,247,1598,143,8,1992,59,817,168,0,1039,3648,21204,1018,63,25928,473,2863,117,4,3457,559,2738,115,3,3414,739,6363,286,9,7397,1296,7026,288,16,8629,1206,6184,234,13,7649,1024,6228,184,26,7469,922,5490,198,27,6642,484,2852,249,9,3598,103,1291,248,3,1643,6807,41040,1927,114,49890
SED23007,131,1543,122,4,1808,281,2554,250,9,3092,741,8279,838,24,9881,629,5984,487,15,7113,513,4137,346,11,5011,359,3459,271,18,4101,230,2398,185,15,2823,88,1297,123,5,1513,17,462,65,0,544,2984,30115,2687,93,35885,163,1532,115,3,1812,346,2349,204,11,2902,970,7414,630,22,9039,779,5494,398,11,6686,586,4148,278,13,5017,485,3371,213,17,4082,320,2587,181,13,3107,89,1531,161,4,1784,13,745,145,0,907,3754,29163,2318,90,35331,299,3073,237,8,3619,627,4899,453,15,5990,1712,15693,1466,45,18915,1408,11476,894,22,13802,1100,8280,621,24,10026,843,6833,484,36,8189,552,4986,364,30,5930,176,2834,283,6,3300,34,1207,211,0,1450,6740,59277,5009,182,71217
