SED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SED23308,1427,2642,1257,645,1688,416,8,8085,764,1756,1148,732,1818,365,15,6597,433,791,528,439,1302,352,0,3852,202,257,144,97,717,255,0,1682,11510,16624,7062,4522,13022,3294,78,56112
SED23402,1582,3040,1370,852,1725,378,33,8979,744,1753,1188,839,1622,318,36,6495,435,733,524,405,1239,301,14,3653,135,184,100,63,672,165,4,1320,13772,18713,8259,6087,15631,3433,116,66013
SED23502,1483,3021,1686,1144,1792,654,11,9786,1147,2458,2009,1716,2349,771,7,10453,575,1054,886,860,1781,510,6,5667,159,244,153,140,808,296,0,1794,8877,13973,7877,6334,11570,4520,51,53211
SED23602,1382,2811,1599,1090,1607,560,3,9037,993,2106,1646,1386,1915,572,3,8620,448,838,690,614,1392,410,9,4391,140,193,133,102,771,221,3,1563,8790,13331,7292,5796,10291,4318,86,49907
SED23702,1530,3078,1439,893,1930,398,5,9281,900,1786,1273,915,2025,341,10,7249,401,767,586,473,1426,327,5,3988,155,174,72,73,657,162,0,1300,11908,16241,7435,5305,14382,2929,40,58234
SED23806,1314,2792,1262,612,781,176,41,6992,899,1980,1144,550,903,180,24,5676,493,1003,636,326,887,148,11,3499,183,300,143,76,745,93,4,1544,13469,17842,6848,3682,10207,1867,181,54085
SED23901,1365,2954,1258,695,1441,308,21,8044,809,1824,1149,686,1500,317,20,6317,495,913,626,422,1217,263,9,3956,240,312,159,102,1094,218,12,2138,12114,17280,7320,4305,12628,2639,134,56422
SED24006,1424,3048,1491,835,1351,231,57,8439,883,1972,1217,698,1104,176,37,6083,538,1005,719,387,994,171,17,3829,245,379,178,107,938,169,3,2016,12407,15383,7159,4384,11772,1767,242,53108
SED24105,1295,2069,1050,717,2942,329,44,8442,843,1410,945,701,2502,278,46,6726,442,703,409,302,1710,229,14,3810,170,167,76,57,882,100,3,1459,11202,12865,5764,4258,24980,2897,182,62143
SED24207,1263,1992,1048,867,3430,563,64,9228,848,1303,798,659,2779,369,63,6817,386,474,252,192,1266,235,9,2807,79,82,42,21,417,94,3,739,13064,15858,7083,6351,29410,7067,201,79040
SED24308,1181,2316,1098,784,2260,444,11,8092,780,1442,1032,812,2268,382,12,6727,410,691,470,422,1509,311,10,3816,169,187,97,98,909,169,0,1624,10639,14083,6243,4959,16913,4741,66,57648
SED24408,1485,2686,1409,978,1681,470,0,8718,879,1738,1271,1223,1949,533,3,7612,466,861,651,679,1488,489,4,4634,242,235,188,123,1005,263,0,2057,8922,12851,6524,5425,11224,3438,37,48412
SED24504,1502,3250,1831,1076,1153,498,6,9313,876,2223,1635,1235,1492,450,11,7924,422,878,611,561,1120,318,4,3925,129,149,90,90,558,182,0,1187,10073,15877,8499,5931,8783,3130,48,52338
SED24606,1365,2494,1060,573,981,222,28,6717,1056,1915,974,480,1112,261,13,5813,563,996,614,386,1161,281,3,4007,248,299,145,95,869,259,3,1915,12467,15702,6009,3442,10772,2273,139,50814
SED24703,1538,2552,974,423,1659,815,124,8092,882,1627,790,372,1330,521,49,5575,323,628,304,185,902,260,10,2614,107,129,69,46,506,118,7,966,26374,31556,8222,4073,36934,11145,1128,119442
SED24808,1271,2418,1231,859,2669,505,39,8989,868,1631,1081,883,2632,383,39,7513,360,547,366,346,1409,242,7,3274,96,103,59,39,627,79,0,1015,12822,17280,7860,7029,23450,5055,144,73644
SED24904,1449,2523,1306,814,2175,747,11,9026,821,1614,1115,980,2200,660,7,7405,403,696,477,524,1550,466,0,4116,173,221,101,107,955,263,0,1817,9600,13081,6377,5106,15386,5153,169,54868
SED25003,1306,2279,1118,847,2736,320,26,8642,733,1193,676,585,2015,293,26,5520,305,425,252,205,1014,346,6,2544,55,74,28,32,608,327,0,1124,10751,13375,5812,4901,19458,3112,91,57496
SED25102,1249,3001,1488,752,1026,227,6,7755,660,1801,1302,901,1185,153,7,6008,323,649,433,356,863,150,11,2780,100,131,61,48,496,65,0,899,9757,15057,7311,4572,8269,1546,62,46575
SED25205,1505,2950,1294,589,1494,232,15,8081,840,1679,989,548,1484,201,13,5753,509,747,487,350,1260,192,4,3549,210,286,154,80,863,95,3,1690,12004,16502,6958,3980,11587,1854,68,52956
SED25302,1466,3131,1424,653,1165,239,12,8098,984,2311,1704,1010,1674,310,15,8008,622,1362,1077,747,1710,394,0,5918,286,369,213,144,1067,433,9,2521,10804,15677,7983,4936,10679,2423,58,52560
SED25402,1296,2744,1417,976,2110,627,14,9181,782,1686,1226,1170,2299,622,3,7782,408,733,558,560,1550,518,0,4320,169,184,113,83,868,360,0,1782,9579,14389,6982,5782,14340,4863,54,55982
SED25501,1203,2521,1327,832,1467,242,51,7645,742,1611,1114,709,1382,165,68,5788,560,1022,746,532,1385,172,12,4430,257,382,215,151,1015,199,0,2223,11008,13985,7234,4688,15391,2336,260,54907
SED25605,970,1970,1050,742,1946,311,39,7024,792,1612,1052,791,2069,288,25,6631,596,959,587,468,1870,380,20,4875,238,247,132,93,1223,332,4,2268,9747,12311,5929,4409,17755,3042,155,53350
SED25704,1495,2792,1478,962,1903,643,9,9277,922,1884,1347,1170,2214,622,12,8171,505,871,627,694,1795,559,0,5050,211,284,148,121,1056,378,3,2200,9501,13580,6751,5402,13399,4509,61,53206
SED25802,1577,3234,1636,1113,1966,580,7,10108,1011,2239,1638,1378,2254,502,0,9028,565,1006,745,669,1629,413,0,5033,202,217,136,98,898,207,5,1759,11809,16968,8330,6642,13823,4073,100,61743
SED25905,1403,2433,1185,882,2495,386,27,8813,745,1357,854,587,1990,260,29,5828,347,482,294,245,1258,201,11,2845,119,113,48,45,771,147,3,1248,10462,12964,5738,4651,17855,3245,104,55023
SED26005,1485,2550,1185,806,2649,347,53,9073,585,1179,724,497,1802,222,39,5042,283,414,226,195,941,111,6,2174,63,71,30,19,363,23,6,588,12974,15662,6787,5593,22396,3187,158,66751
SED26102,1739,3501,1749,929,1497,642,11,10064,1373,3135,2173,1408,2209,710,8,11022,730,1520,1152,867,2061,649,0,6982,255,342,208,180,1255,410,0,2654,10583,16352,8432,5752,11763,4553,55,57504
SED26207,1207,2256,1160,764,1637,215,8,7254,752,1529,1022,754,1946,208,19,6227,587,961,651,541,1749,250,5,4743,267,319,152,102,1124,116,3,2074,10479,13601,6206,4544,14117,1967,65,50982
SED26303,1185,2678,1124,503,1195,242,12,6948,604,1384,696,422,1145,181,16,4449,345,644,348,257,1029,178,0,2797,171,223,107,56,692,156,0,1406,13618,19879,6957,3398,10010,2250,73,56186
SED26406,1235,2402,1083,567,1434,222,42,6993,697,1347,804,493,1457,206,42,5041,464,762,489,292,1249,163,9,3431,231,260,119,75,939,164,0,1797,13625,17914,6645,3894,17231,3091,299,62709
SED26504,1421,2808,1406,849,1600,494,6,8581,942,2000,1420,1108,2085,518,7,8086,532,936,671,650,1735,493,5,5015,188,242,135,132,978,287,0,1974,9243,13756,6824,4953,11787,3712,71,50347
SED26603,1208,2239,1100,688,2000,328,29,7586,649,1152,699,511,1643,267,21,4938,427,675,413,326,1481,260,10,3591,297,339,156,119,1340,286,4,2538,13047,18379,7185,4951,18330,3618,125,65631
SED26708,1612,3052,1651,1109,1634,558,4,9618,1036,2109,1534,1339,1764,548,9,8341,481,862,647,639,1351,367,0,4345,158,209,123,101,848,232,0,1677,10190,14736,7706,6048,11154,3750,53,53636
SED26806,1373,2359,730,326,1233,486,38,6538,898,1504,684,326,1290,429,25,5147,502,717,423,240,1004,375,10,3269,188,221,81,36,555,374,0,1454,17927,21368,5347,2708,14850,5346,242,67789
SED26903,1131,1921,881,617,2055,375,19,6994,607,1115,665,522,1705,351,16,4976,410,685,422,298,1432,313,13,3572,279,274,138,79,925,340,0,2043,11546,16279,6040,4212,16563,3666,95,58400
SED27003,1360,2472,862,402,1303,521,25,6940,731,1602,700,344,1178,383,13,4955,356,592,355,140,879,261,0,2584,147,151,64,26,527,134,0,1050,18185,23304,6060,2690,12639,4426,164,67464
SED27101,1262,2442,1062,574,1375,222,40,6963,662,1566,956,608,1417,201,35,5449,456,815,545,393,1122,195,9,3532,188,259,138,99,673,157,0,1525,11528,16212,6778,4115,12641,2116,134,53520
SED27208,1504,2927,1551,1147,2031,857,8,10028,1080,2165,1549,1500,2548,835,3,9690,498,904,701,746,1858,626,5,5338,204,227,148,103,947,356,0,1985,9471,14195,7358,6244,13367,5608,46,56291
SED27305,1369,2767,1332,801,1622,205,19,8111,696,1325,844,569,1359,144,20,4963,315,567,375,279,980,132,8,2665,100,113,65,45,398,55,9,774,10145,12746,5684,3820,11904,1359,80,45740
SED27406,1672,3327,1424,611,1135,210,10,8393,995,2220,1305,626,1321,211,14,6698,557,1063,678,407,1168,204,10,4088,235,309,163,122,909,154,0,1904,12361,16877,7306,3808,10191,1776,97,52415
SED27504,1527,2723,1291,838,2224,707,7,9314,922,1764,1175,963,2320,582,12,7741,539,804,534,540,1726,496,3,4651,196,242,128,122,996,237,3,1925,10739,14719,6784,5484,16987,5238,86,60028
SED27608,1574,3288,1686,816,1467,275,24,9121,941,2320,1506,1048,1717,315,12,7856,476,1033,779,571,1432,252,5,4555,201,263,159,134,1123,184,0,2059,15673,22306,10007,6479,15093,2945,80,72584
SED27708,1539,3024,1547,910,1731,452,9,9212,959,2020,1513,1116,1981,501,4,8091,441,866,575,585,1349,403,0,4210,204,244,129,95,866,308,4,1842,10288,14954,7450,5284,12211,3750,79,54006
SED27807,1109,1809,954,850,3251,632,35,8645,859,1414,843,801,2902,526,28,7362,520,686,422,323,1741,440,7,4142,176,195,102,67,938,318,6,1798,9922,11692,5130,4490,25909,5969,165,63292
SED27907,1277,2479,1186,771,1915,306,31,7959,769,1521,1052,845,1903,267,15,6376,401,620,441,385,1256,223,7,3332,137,168,83,55,556,100,3,1104,10923,14678,6452,4889,14258,2862,198,54253
SED28007,1363,2466,1261,1016,2906,327,22,9359,709,1202,697,639,2126,204,29,5616,296,431,218,204,1168,123,13,2459,68,92,32,32,547,48,3,820,12364,14715,6550,5638,21805,2761,104,63940
SED28107,1356,2292,1198,934,2924,500,173,9377,657,1185,759,632,2060,298,136,5734,254,410,231,178,924,140,22,2162,80,68,26,12,279,51,0,518,15512,21383,10128,9060,34702,7920,460,99158
SED28203,995,1559,781,720,2950,440,51,7494,833,1217,782,680,2732,365,45,6647,575,742,422,398,1865,251,15,4275,216,205,101,71,858,120,0,1571,10395,13100,6013,5554,26327,4181,191,65764
SED28301,1299,2893,1594,893,1472,181,40,8363,770,1783,1263,895,1440,164,16,6340,516,990,724,511,1342,171,4,4249,177,243,158,75,987,108,0,1752,10861,14109,7409,4882,12702,1511,121,51589
SED28408,1289,2567,1112,602,1562,352,6,7485,843,1687,1179,824,1711,364,12,6623,431,777,557,492,1353,331,3,3940,182,247,123,100,894,275,0,1821,10338,14646,6448,4502,12447,3037,53,51474
SED28507,1316,2305,1112,813,2392,418,49,8395,750,1262,853,660,2008,362,47,5943,331,498,302,234,1257,255,6,2884,96,85,57,42,650,187,0,1115,12514,16832,7478,6214,22409,4808,164,70417
SED28607,1452,3111,1237,619,1437,280,14,8148,699,1489,864,533,1495,195,10,5286,418,679,387,313,1219,217,6,3233,203,223,114,91,889,132,0,1655,12874,19366,7471,4349,12467,2581,77,59185
SED28704,1642,3087,1454,935,2135,348,29,9627,770,1665,1182,871,1837,277,30,6627,334,573,429,354,1063,154,12,2920,81,104,38,46,498,70,0,841,15593,21210,9677,7512,19689,3135,111,76936
SED28803,1560,2565,1308,1091,4483,519,53,11585,740,1232,724,606,2886,298,49,6534,292,402,209,182,1218,159,16,2484,66,61,25,20,406,89,0,673,15597,19883,8791,8732,39713,5557,206,98478
SED29797,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
SED30001,1029,1910,899,623,1619,228,61,6362,563,1088,712,485,1344,168,33,4391,200,344,252,187,781,122,9,1886,55,75,30,27,389,91,0,679,9287,12572,5533,4083,14478,2518,160,48636
SED30002,1129,2194,1044,577,1006,139,25,6114,614,1395,1007,695,1124,142,20,4994,383,780,523,428,1072,184,4,3373,210,249,133,101,873,191,0,1754,9438,13514,6045,3919,9556,1437,83,43996
SED30003,1066,1843,824,505,1367,190,18,5808,565,1173,826,627,1489,186,11,4880,350,525,418,311,1237,196,4,3040,94,118,55,48,613,159,0,1083,9370,12542,5551,4018,12080,2211,65,45847
SED30004,1385,2877,1208,619,1486,479,31,8087,879,1809,1074,692,1537,438,36,6474,332,633,381,313,938,315,11,2924,77,105,55,35,331,134,5,739,9655,14128,6011,3759,9752,3162,176,46650
SED30005,1282,2193,884,526,1822,438,20,7169,771,1554,892,560,2061,450,25,6314,369,705,440,287,1672,455,8,3948,134,126,67,55,858,221,6,1460,9776,12605,4923,3282,14690,3951,146,49362
SED30006,1365,2434,1037,631,1497,361,20,7339,1012,2056,1364,837,1943,441,29,7675,587,1016,726,504,1733,332,25,4926,170,164,119,83,788,199,0,1530,8186,11499,5522,3557,10876,2665,135,42450
SED30007,1106,2089,1009,533,923,157,17,5832,609,1492,1080,678,1115,166,13,5154,436,853,539,461,1115,221,6,3633,162,238,124,121,750,237,0,1648,9584,13209,6070,3891,9507,2140,72,44480
SED30008,1168,2279,881,407,851,146,12,5755,543,1133,595,366,868,143,9,3655,204,410,266,150,623,108,3,1773,108,134,50,39,492,70,0,891,11524,15818,5586,3076,8531,1728,81,46347
SED30009,1000,1801,850,588,1565,349,12,6156,587,1399,1013,886,1855,377,6,6129,452,742,589,583,1790,434,5,4600,185,197,121,116,984,227,0,1829,7202,10231,4955,3975,12572,2994,158,42083
SED30010,1025,1678,780,543,1775,331,17,6143,527,905,602,494,1375,234,25,4162,248,348,184,157,827,136,8,1906,72,84,34,23,286,42,3,543,9552,13201,5383,4484,15965,3821,104,52522
SED30011,1334,2294,1014,733,2112,2387,13,9889,751,1330,932,795,1992,893,14,6704,341,524,368,381,1090,382,4,3094,93,108,71,55,459,132,0,916,8719,12291,5263,4257,13113,14530,511,58674
SED30012,1115,2017,814,433,1141,314,6,5845,757,1515,864,506,1491,322,14,5468,384,625,437,298,1096,237,15,3090,148,164,78,58,601,171,6,1239,9349,12039,4944,2978,9925,2746,103,42088
SED30013,1351,2650,1509,1066,1780,673,8,9039,1027,2325,1696,1479,2455,735,13,9725,466,861,675,664,1523,332,13,4533,117,130,69,66,447,74,4,903,7466,11643,6325,5150,10502,3426,150,44672
SED30014,1434,2328,883,479,1856,1183,47,8204,758,1460,770,531,1791,1060,27,6398,333,524,308,282,1263,562,20,3292,126,156,46,61,662,183,9,1245,9868,12595,4684,3159,14489,8692,658,54152
SED30015,1136,1916,1072,825,1665,1009,7,7624,724,1320,876,949,1671,724,11,6271,356,521,388,461,1117,470,0,3312,89,112,77,73,438,177,0,959,7383,10335,4987,4744,10248,6415,491,44604
SED30016,1318,2566,1172,646,1430,337,12,7485,932,2112,1392,893,1683,349,21,7379,507,927,711,517,1413,318,9,4393,165,197,117,99,708,155,4,1458,9389,13544,6454,4315,10560,2513,90,46868
SED30017,1171,2278,1071,554,1226,172,5,6476,691,1466,1000,772,1374,179,6,5487,324,517,382,316,825,210,4,2573,101,109,44,26,394,298,0,968,8812,12415,5458,3594,9099,1799,43,41219
SED30018,1117,2263,1015,511,892,146,15,5951,592,1280,930,572,934,114,23,4444,326,557,367,263,700,74,12,2304,118,159,79,48,325,49,0,776,9572,13092,5828,3480,7873,1148,80,41070
SED30019,1412,2220,915,392,1061,327,36,6357,651,1246,636,392,1022,202,12,4166,288,538,352,200,763,106,4,2255,135,130,65,44,510,88,3,975,12614,15573,5355,3005,10556,2800,202,50109
SED30020,1188,2303,1208,743,1258,395,10,7107,668,1297,975,964,1354,367,3,5625,357,526,435,419,929,257,0,2924,88,92,74,55,419,147,0,882,8439,11997,5697,4639,9181,2759,50,42770
SED30021,1598,2262,1002,674,1896,1183,25,8653,1101,1542,884,770,1838,989,18,7135,333,545,373,348,960,400,12,2973,83,88,46,49,307,101,0,674,9550,11338,4905,4157,11836,6931,566,49271
SED30022,1165,2241,1058,682,1548,291,24,7007,621,1194,782,588,1363,174,41,4765,266,388,275,214,720,106,13,1981,50,45,22,14,238,27,0,403,13203,17833,7564,5757,15084,3897,129,63472
SED30023,1008,2315,963,409,542,117,19,5370,503,1246,821,483,639,87,21,3804,255,571,390,259,492,60,4,2028,86,114,67,33,315,31,0,646,10593,14642,5902,3071,6624,1077,110,42021
SED30024,1176,2163,1045,537,1298,345,12,6576,797,1561,1040,663,1510,338,21,5917,362,653,432,338,1104,366,12,3267,157,204,92,72,555,362,0,1451,8296,11620,5292,3333,9149,2859,115,40667
SED30025,1103,2330,1007,478,830,112,6,5876,518,1258,843,561,858,80,23,4135,283,563,370,267,691,73,0,2244,114,145,60,36,324,46,0,727,9840,14269,5888,3324,7678,909,69,41981
SED30026,861,1908,810,402,653,112,12,4755,504,1149,831,517,849,80,8,3932,264,505,381,281,735,70,0,2241,131,143,75,53,551,67,0,1024,9175,13721,5793,3390,7567,1193,43,40879
SED30027,1048,1940,843,511,1377,213,9,5944,609,1178,778,538,1363,204,13,4677,355,549,367,292,1064,191,5,2829,108,126,69,43,469,106,3,916,8380,11193,4897,3310,10299,2011,79,40165
SED30028,1068,1971,918,670,1511,471,10,6619,491,963,668,575,1246,357,5,4308,192,315,253,242,645,175,3,1825,57,76,31,33,281,98,0,579,7540,11026,4717,3826,9738,3122,61,40027
SED30029,1034,2420,1346,914,1139,401,13,7264,719,1723,1356,1171,1229,356,9,6563,318,657,603,527,822,193,0,3125,120,115,74,80,408,60,0,859,7155,11482,6310,4798,7356,3832,133,41065
SED30030,998,1954,746,333,870,199,10,5102,514,1021,620,281,842,183,14,3479,230,443,279,198,664,191,5,2006,114,156,62,50,541,161,0,1081,10845,14801,5387,2812,8597,1919,61,44417
SED30031,1092,1723,739,531,1403,1057,16,6561,670,1037,604,515,1428,705,11,4963,210,310,171,202,694,283,5,1875,52,62,18,37,204,86,0,455,6944,9091,3627,3151,8405,6065,467,37750
SED30032,1290,2545,1475,1106,1775,581,13,8791,926,1906,1523,1469,2145,522,17,8514,479,723,634,633,1409,362,4,4235,121,160,93,62,627,124,0,1185,7952,11561,6378,5540,10512,3444,61,45445
SED30033,1296,2502,1284,920,1856,519,20,8396,1178,2502,1801,1362,2971,666,26,10502,669,1166,880,723,2449,679,11,6579,217,207,121,106,1020,329,4,2013,8178,12435,6327,4871,13230,3659,102,48800
SED30034,1465,2856,1468,1078,1849,854,29,9603,1169,2152,1508,1323,2305,856,16,9333,428,800,691,703,1394,494,5,4516,137,168,118,88,698,254,0,1464,8389,12475,6372,5421,11422,6527,824,51437
SED30035,1042,1989,1020,767,1459,366,13,6653,629,1348,950,939,1649,427,4,5945,249,479,342,368,955,234,5,2637,85,81,43,52,417,97,0,776,7561,11508,5253,4327,9608,2735,51,41043
SED30036,1054,1798,768,541,2060,527,35,6784,508,970,616,442,1553,276,32,4391,289,445,307,218,1008,192,10,2473,114,110,60,44,513,94,0,933,8911,11338,4604,3624,17014,6447,124,52062
SED30037,937,1806,789,510,1392,293,17,5738,450,1034,624,529,1222,281,12,4153,250,451,334,297,849,291,4,2472,101,139,86,44,455,287,0,1119,7688,11117,4808,3466,10235,2871,53,40238
SED30038,1008,1970,967,627,1374,266,6,6216,524,1085,796,690,1250,209,4,4561,286,446,382,307,886,206,0,2504,90,110,53,41,347,96,0,748,7918,11687,5310,3978,10026,3384,55,42354
SED30039,1008,1886,904,532,1271,182,43,5827,421,826,589,449,919,130,31,3369,163,277,182,137,449,62,3,1275,43,35,15,10,127,16,0,247,10628,15038,6442,4594,11875,2115,125,50807
SED30040,1073,2147,1037,552,1186,273,11,6275,712,1584,1088,676,1387,272,14,5739,464,897,672,446,1401,329,12,4220,206,206,130,100,882,300,3,1830,8877,12180,5734,3649,9986,2471,70,42962
SED30041,1156,2365,1158,721,1537,427,5,7364,734,1627,1142,919,1649,464,8,6538,390,648,474,445,1140,309,5,3418,119,126,60,70,487,125,0,984,8078,11913,5703,4144,10295,2988,59,43175
SED30042,1012,2027,921,603,1178,201,6,5950,496,1093,829,652,1162,144,0,4373,262,445,288,279,744,107,3,2123,80,64,23,24,374,28,0,592,9598,13058,5691,4167,9750,1790,34,44086
SED30043,1070,1981,1130,858,1524,360,0,6931,574,1117,943,982,1539,325,3,5479,296,467,350,391,1019,270,0,2800,87,101,48,50,353,137,0,772,7516,10611,5537,4674,10397,3145,88,41973
SED30044,1074,2101,1048,741,1667,334,16,6982,595,1200,872,751,1570,264,21,5272,267,504,357,269,996,195,13,2604,88,70,30,23,413,58,3,690,9225,13098,6012,4870,13581,3271,88,50145
SED30045,1264,2416,980,538,1196,187,8,6593,648,1376,880,568,1287,177,15,4963,335,681,418,337,967,219,0,2963,149,201,87,57,593,203,6,1296,9473,13631,5721,3545,9232,1765,52,43415
SED30046,1096,1955,897,516,1532,352,11,6358,633,1244,861,632,1681,272,10,5328,317,546,369,279,1147,217,0,2868,80,119,45,46,519,69,0,879,9053,12597,5407,4037,12901,3453,55,47497
SED30047,1213,2156,911,552,1713,581,18,7154,638,1187,845,689,1636,448,16,5451,363,515,374,375,1185,365,4,3183,137,167,69,72,720,211,3,1371,8786,11805,4870,3646,12083,4157,80,45440
SED30048,1042,2005,876,402,584,152,39,5096,645,1436,846,422,693,180,41,4260,339,689,465,274,542,168,8,2478,132,157,80,50,326,118,5,866,14080,16420,5973,3362,11108,2044,261,53241
SED30049,961,1904,846,538,1030,193,33,5509,509,1095,734,481,988,122,37,3967,325,567,420,302,880,139,6,2639,132,162,96,59,568,102,0,1128,10054,13155,5691,3700,11546,1792,162,46094
SED30050,1554,2744,1077,508,1422,589,25,7916,1101,2243,1292,736,1798,638,41,7847,506,968,604,375,1490,513,29,4492,155,170,99,66,753,278,0,1523,9682,13286,5506,3161,10849,4072,338,46895
SED30051,1269,2473,1344,1066,1846,432,12,8439,845,1986,1672,1555,2516,485,7,9057,432,787,606,671,1557,334,7,4392,142,131,82,85,636,121,0,1193,7266,11127,6078,5279,11175,3418,47,44387
SED30052,1353,2082,677,295,1224,848,96,6578,664,1139,555,247,1000,461,41,4120,288,438,236,138,667,298,14,2076,72,92,47,13,393,140,5,760,16884,18941,4617,2397,17359,7676,763,68635
SED30053,1150,1959,835,398,1177,256,29,5808,716,1388,875,493,1461,234,18,5178,341,646,387,281,1054,261,8,2976,134,139,85,53,497,227,0,1146,10463,12552,4962,3053,11357,2619,161,45174
SED30054,973,2122,950,389,667,180,11,5292,562,1179,699,403,629,110,12,3592,282,519,339,238,537,100,4,2016,119,160,85,51,456,75,0,941,9943,13853,5500,2906,6946,1263,91,40503
SED30055,1057,1995,1121,863,1485,711,4,7241,639,1088,928,947,1474,562,14,5656,269,368,274,378,857,278,0,2433,72,60,46,52,266,77,0,579,6968,9955,4974,4500,8707,4778,47,39930
SED30056,925,2449,1209,632,633,97,18,5968,597,1532,1114,700,699,81,24,4743,341,752,557,422,709,121,3,2906,134,169,100,68,575,124,0,1169,8553,13140,6542,4001,6435,834,104,39610
SED30057,979,1960,946,621,1614,295,9,6427,609,1221,855,726,1784,324,14,5522,332,553,356,336,1330,257,9,3168,119,105,51,45,673,177,6,1184,8768,11443,5292,4262,13430,3284,160,46646
SED30058,977,2261,1026,520,976,113,15,5884,627,1529,996,561,1008,146,14,4877,345,597,412,316,827,105,13,2618,125,144,81,46,656,71,0,1128,9053,13403,5890,3464,8391,1144,77,41424
SED30059,1146,2285,1148,670,1366,306,26,6950,706,1476,962,700,1379,308,28,5552,385,637,433,340,1104,308,4,3216,109,118,60,46,491,340,0,1167,9777,13600,6114,4115,10543,2914,104,47168
SED30060,1120,1874,911,551,1355,458,20,6298,625,1156,777,612,1313,397,8,4889,279,409,267,273,764,245,5,2239,73,75,39,24,263,143,0,618,9113,11230,4882,3604,10493,3856,84,43258
SED30061,924,1870,847,475,1120,417,8,5660,469,1044,674,548,1113,382,13,4235,294,450,358,301,907,308,4,2624,94,111,68,35,502,228,0,1040,8537,10980,4427,3001,10700,5178,148,42973
SED30062,1070,1976,835,519,1316,194,35,5945,564,1187,781,544,1441,184,17,4708,325,512,346,279,965,214,5,2651,123,134,60,42,488,243,6,1099,10970,15041,6212,4536,12937,2580,98,52379
SED30063,1179,2180,1247,1029,1708,695,13,8046,847,1701,1294,1422,2268,714,7,8245,422,734,516,652,1451,488,3,4270,127,134,84,90,563,149,0,1139,7136,10493,5558,5363,10793,4268,59,43668
SED30064,1020,2267,1178,709,1227,333,10,6733,690,1531,1104,962,1305,281,5,5875,383,697,534,505,1054,237,8,3415,138,169,94,84,613,217,0,1315,7543,11695,5834,4398,8498,2511,63,40538
SED30065,1186,2584,1260,742,1200,289,12,7268,750,1992,1406,919,1491,266,16,6848,365,868,558,424,1126,222,11,3575,112,159,68,67,572,110,0,1093,8543,13844,6817,4566,9184,2053,83,45085
SED30066,1383,2887,1481,790,1274,403,40,8256,1085,2518,1708,1050,1663,432,48,8511,640,1105,747,611,1357,390,27,4874,164,199,129,99,645,220,6,1457,8186,12990,6635,4297,8853,2842,245,44050
SED30067,1104,1938,800,394,1185,180,15,5626,562,1155,651,380,1189,125,15,4083,309,469,299,203,799,99,6,2172,142,142,77,64,542,103,0,1068,10443,14364,5424,3178,10544,1961,98,46006
SED30068,1261,2441,1104,521,1064,205,8,6602,707,1692,1103,704,1303,250,8,5774,420,778,583,456,1082,312,3,3634,152,193,108,74,525,406,3,1467,8060,11293,5282,3146,8012,1823,52,37664
SED30069,1080,2398,1174,710,1018,173,4,6562,585,1367,998,798,1077,158,11,4993,293,490,398,322,712,100,0,2318,81,85,46,28,287,33,0,560,9279,13361,6320,4324,8552,1580,38,43462
SED30070,1170,2363,1174,830,1558,290,9,7390,1009,2459,1906,1379,2387,407,17,9575,605,1240,908,785,1843,392,10,5775,171,237,109,112,638,202,4,1468,7404,11763,6355,4884,11049,2409,273,44130
SED30071,1465,2594,1138,612,1705,391,14,7919,996,2089,1300,846,2069,363,15,7672,510,931,565,414,1600,314,11,4342,193,210,112,76,850,181,0,1625,8845,12798,5625,3740,11310,2809,64,45183
SED30072,1268,2514,1175,749,1380,246,10,7349,776,1746,1334,923,1707,273,20,6773,450,825,672,455,1277,206,4,3891,141,195,106,75,701,109,0,1333,8880,12611,6247,4185,10020,1895,67,43904
