SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED10001,200,329,530,95,129,224,109,403,513,106,761,870,426,2066,2490,524,1425,1947,1599,912,2514,1301,1078,2383,1564,1111,2681,1868,756,2620,1398,577,1976,1479,385,1857,3040,615,3659,2103,99,2201,1574,124,1702,912,39,954,1821,220,2047,1436,117,1553,362,605,966,21911,11755,33669
SED10002,580,621,1195,113,121,235,185,327,517,235,742,975,565,1021,1590,596,580,1183,1452,544,1995,1390,701,2088,1861,942,2809,2118,807,2929,1639,773,2411,1643,622,2264,3532,1209,4737,2453,302,2754,1938,351,2290,1339,147,1486,3402,545,3944,1490,365,1852,334,360,696,26857,11094,37951
SED10003,173,323,496,91,154,247,75,296,375,103,623,727,332,1749,2080,392,1395,1786,1266,854,2119,1206,1020,2227,1520,918,2441,1753,690,2444,1249,510,1759,1363,391,1753,2689,674,3363,1889,209,2097,1443,215,1650,891,86,971,2601,457,3053,1460,305,1769,248,511,760,20745,11375,32122
SED10004,186,570,751,80,149,225,67,390,456,69,756,831,198,1162,1365,218,762,983,417,751,1167,467,844,1313,633,1075,1707,719,980,1698,598,950,1553,727,827,1557,1810,1815,3627,1511,218,1725,1604,685,2292,1283,151,1431,9312,1575,10888,909,354,1264,121,297,418,20933,14313,35243
SED10005,463,397,857,116,84,195,181,389,567,214,812,1023,595,1288,1887,663,554,1215,1621,452,2068,1409,527,1940,1692,552,2245,1866,380,2247,1367,313,1683,1341,234,1571,2508,307,2816,1744,70,1810,1240,70,1306,814,33,846,1854,106,1957,1218,99,1317,363,308,673,21264,6963,28229
SED10006,307,390,700,106,144,256,94,407,503,129,824,944,462,2202,2665,488,980,1468,1485,664,2148,1168,979,2143,1323,870,2193,1393,651,2047,931,516,1446,1046,446,1489,2036,723,2758,1417,86,1508,1088,203,1299,657,50,707,1407,323,1727,1553,98,1649,475,832,1303,17566,11384,28949
SED10007,177,355,530,96,155,251,95,360,459,121,746,869,417,1984,2405,408,1119,1527,1435,696,2131,1233,925,2161,1474,875,2347,1650,624,2282,1162,574,1735,1233,396,1627,2598,641,3234,2026,85,2114,1447,129,1577,983,23,1010,2105,238,2346,1478,94,1574,297,491,789,20447,10516,30962
SED10008,264,191,454,135,67,201,84,120,195,67,181,242,251,528,780,259,381,642,684,286,969,709,328,1037,927,349,1276,1190,294,1488,948,321,1268,1084,230,1315,2479,446,2921,2169,55,2219,2138,111,2253,1704,25,1723,7823,204,8027,1153,53,1210,167,122,293,24227,4293,28520
SED10009,239,342,576,148,169,316,105,398,506,137,798,935,502,2268,2771,520,1441,1963,2055,958,3011,1656,1026,2680,1915,982,2896,2214,659,2870,1294,486,1777,1372,356,1727,2464,524,2987,1562,119,1675,1074,154,1229,596,39,636,1245,311,1558,1390,101,1491,317,614,932,20793,11741,32532
SED10010,317,342,657,82,93,176,120,257,381,131,580,708,374,1148,1525,444,505,949,1168,418,1585,1036,604,1637,1300,621,1916,1723,489,2214,1460,379,1835,1465,298,1762,3368,514,3885,2502,116,2619,1984,116,2094,1270,58,1331,2581,159,2737,1197,134,1329,268,283,550,22787,7112,29897
SED10011,136,285,421,70,128,195,76,275,352,76,505,581,275,1532,1808,309,1040,1344,970,703,1672,996,753,1750,1344,767,2113,1561,556,2121,1116,414,1533,1175,369,1544,2563,661,3220,2052,68,2114,1797,134,1928,1168,28,1191,3176,263,3441,994,77,1068,131,264,391,19973,8822,28793
SED10012,470,352,823,107,61,166,171,222,391,220,521,736,515,969,1481,561,391,947,1565,302,1874,1362,408,1762,1555,386,1946,1615,242,1860,1282,157,1439,1223,120,1353,2217,179,2394,1633,39,1675,1281,40,1327,799,9,805,1903,49,1953,1089,57,1138,258,198,455,19827,4699,24525
SED10013,299,292,589,87,71,161,86,152,243,103,311,407,287,840,1127,401,520,920,1151,385,1529,1070,550,1617,1519,641,2163,1816,499,2315,1734,462,2190,1910,382,2294,4882,629,5509,4398,65,4467,3720,132,3848,2622,28,2656,6339,171,6513,1592,75,1666,336,202,537,34337,6408,40746
SED10014,255,293,550,80,72,151,105,253,361,153,569,725,407,1216,1627,522,704,1226,1331,463,1790,1229,657,1883,1486,682,2163,1723,536,2253,1379,391,1768,1452,291,1742,2977,398,3372,2094,58,2147,1546,65,1610,1010,23,1031,1932,91,2023,1177,96,1273,254,310,562,21105,7156,28269
SED10015,449,532,982,105,105,218,126,284,414,159,669,835,452,1272,1721,428,695,1127,1424,540,1958,1104,663,1770,1484,753,2231,1762,657,2422,1320,553,1873,1426,480,1905,2873,757,3632,2309,165,2480,1795,203,1999,1320,52,1366,3588,265,3856,1168,207,1370,291,311,595,23589,9156,32745
SED10016,290,171,470,108,74,182,81,112,193,78,153,233,254,466,718,251,316,565,649,262,910,682,282,966,914,353,1269,1150,290,1442,941,259,1204,1135,223,1352,2849,475,3322,2547,47,2593,2756,115,2877,2187,24,2212,9390,205,9597,1405,54,1457,203,114,321,27864,4010,31870
SED10017,211,272,487,74,105,176,86,237,327,125,540,667,364,1609,1970,505,893,1397,1583,520,2105,1378,715,2100,1485,763,2244,1752,504,2261,1392,397,1786,1445,286,1737,3209,514,3718,2477,64,2540,1913,96,2013,1109,28,1136,2185,157,2342,1492,97,1590,291,376,663,23069,8182,31253
SED10018,167,209,376,67,96,166,71,234,310,80,512,595,290,1628,1910,295,897,1193,1087,503,1589,1040,690,1727,1230,697,1921,1349,525,1876,1027,402,1428,1031,346,1378,2503,601,3103,2120,103,2223,2017,159,2176,1342,54,1393,3459,201,3659,1154,137,1284,193,295,487,20517,8288,28806
SED10019,236,315,552,127,130,263,92,379,468,174,779,950,496,2287,2783,550,1425,1974,2170,843,3014,1733,1040,2770,1967,899,2869,1948,545,2489,1297,406,1701,1332,290,1615,2336,372,2712,1451,76,1526,971,74,1046,509,25,533,1030,156,1191,1433,105,1533,329,608,934,20179,10755,30936
SED10020,171,260,433,104,113,213,101,332,437,113,685,803,399,1776,2185,458,1426,1886,1591,781,2372,1332,875,2209,1637,884,2522,1979,608,2589,1318,433,1749,1364,339,1705,2619,475,3090,1837,95,1931,1319,100,1421,796,37,836,1770,210,1981,1339,148,1481,284,478,760,20524,10073,30603
SED10021,172,360,534,52,137,191,56,266,318,49,495,543,148,842,991,163,646,808,386,580,973,406,660,1061,580,869,1448,714,803,1516,539,838,1381,721,795,1517,1793,1850,3648,1606,323,1930,1734,728,2463,1311,216,1533,8851,1756,10609,1056,453,1515,181,353,534,20526,12978,33508
SED10022,242,332,571,107,145,254,101,362,467,107,801,910,462,2209,2669,481,1095,1576,1775,748,2532,1372,880,2250,1515,866,2378,1692,478,2169,1129,372,1503,1188,250,1438,2228,386,2614,1479,59,1537,1043,104,1152,556,10,572,1242,181,1418,1464,83,1548,409,652,1059,18601,10019,28621
SED10023,186,262,442,91,106,198,63,177,237,64,349,401,197,946,1142,197,627,820,623,497,1124,647,636,1280,852,746,1592,1036,647,1684,800,564,1362,936,428,1365,2181,822,3004,1955,79,2034,1986,233,2216,1511,53,1568,6764,353,7121,1121,89,1210,159,185,339,21371,7779,29146
SED10024,286,185,472,98,84,186,71,142,213,74,202,278,211,451,668,220,395,619,518,356,871,478,373,848,760,402,1164,907,309,1215,703,339,1040,789,231,1023,1826,466,2288,1487,40,1533,1615,146,1758,1206,17,1224,9492,354,9847,1229,43,1279,147,172,323,22138,4710,26846
SED10025,300,439,737,98,128,224,86,226,316,81,454,536,245,900,1147,283,525,809,738,488,1225,658,612,1273,872,721,1598,1115,623,1737,858,605,1464,935,567,1503,2339,1228,3563,1975,132,2110,1992,437,2429,1474,68,1543,7509,823,8330,984,130,1118,193,245,434,22743,9357,32106
SED10026,201,311,512,75,103,184,82,292,370,95,592,695,343,1618,1958,369,870,1243,1280,626,1904,1113,816,1931,1309,814,2119,1533,621,2150,1188,498,1685,1224,423,1641,2830,663,3497,2026,114,2140,1548,139,1687,951,44,997,2245,306,2550,1650,126,1777,352,531,887,20424,9500,29922
SED10027,306,314,616,87,84,172,105,219,330,121,541,660,366,1159,1529,373,505,881,1055,360,1417,927,418,1343,1169,425,1598,1408,330,1745,1069,260,1324,1090,209,1293,2497,329,2828,2119,55,2173,1821,74,1899,1275,25,1303,3690,109,3800,1066,62,1129,251,237,492,20803,5718,26528
SED10028,307,234,538,122,98,222,99,138,238,93,269,361,283,642,928,307,554,861,735,381,1112,758,423,1181,1015,490,1505,1242,361,1606,1006,354,1361,1000,283,1283,2484,537,3022,1954,73,2022,2066,158,2228,1544,31,1574,7528,247,7778,1152,78,1229,184,167,353,23882,5528,29412
SED10029,577,417,998,98,85,181,183,287,471,240,787,1020,586,1237,1827,620,614,1234,1874,375,2251,1654,483,2137,1757,462,2219,1892,348,2236,1381,204,1588,1304,167,1466,2333,204,2531,1654,43,1700,1156,33,1189,779,20,796,1652,65,1717,1127,71,1202,364,274,639,21228,6181,27401
SED10030,204,377,575,103,164,263,87,395,484,110,814,921,362,2060,2423,418,1423,1841,1342,867,2210,1202,981,2183,1429,935,2365,1695,724,2417,1240,627,1866,1265,468,1735,2744,679,3419,1972,107,2085,1637,170,1805,938,30,970,2560,288,2847,1074,128,1205,218,497,716,20586,11739,32329
SED10031,207,321,526,115,141,257,97,309,401,92,602,693,339,1654,1996,376,991,1364,1218,666,1879,1072,845,1919,1287,872,2157,1667,544,2203,1219,480,1698,1313,345,1652,2638,598,3237,2062,80,2144,1700,142,1839,1130,28,1157,3275,385,3662,1448,91,1534,258,451,716,21517,9530,31044
SED10032,460,421,885,97,86,190,173,336,510,170,739,914,513,1258,1771,559,638,1193,1344,564,1907,1240,683,1925,1578,774,2350,1793,657,2447,1490,476,1966,1448,399,1847,3289,722,4012,2231,211,2447,1806,210,2011,1156,91,1245,2837,277,3119,1255,251,1498,371,368,734,23806,9153,32961
SED10033,209,230,450,76,88,166,81,183,259,87,346,433,261,982,1250,275,578,849,870,408,1279,770,528,1296,972,570,1538,1256,487,1737,986,361,1351,1198,299,1501,2663,433,3095,2198,60,2255,1823,101,1930,1303,23,1328,3844,160,4008,1190,67,1261,232,231,461,20300,6141,26439
SED10034,156,217,370,77,91,166,60,163,227,63,313,379,242,857,1095,235,512,747,690,416,1107,745,456,1198,956,536,1486,1220,421,1645,872,386,1257,1014,345,1360,2558,631,3186,2360,53,2419,2211,120,2330,1733,27,1758,5107,217,5323,1074,57,1133,169,160,329,21545,5969,27516
SED10035,479,1237,1716,106,223,326,134,459,590,111,786,903,309,1295,1603,331,832,1159,833,758,1591,797,1053,1850,1012,1458,2474,1342,1511,2851,1097,1491,2586,1306,1410,2718,3516,3291,6803,2878,626,3506,2822,1132,3954,2266,383,2651,8129,1874,10001,1180,762,1940,216,456,667,28867,21036,49900
SED10036,273,239,515,83,64,140,94,163,254,120,368,489,343,793,1138,386,363,745,1108,281,1388,979,372,1352,1223,408,1631,1451,309,1759,1248,272,1523,1290,202,1492,2756,362,3111,2405,40,2444,2013,72,2080,1384,9,1391,3663,82,3746,1175,41,1222,281,190,474,22273,4628,26902
SED10037,188,238,426,74,88,168,85,200,282,89,304,392,244,721,966,269,569,838,685,475,1159,758,541,1300,1004,544,1542,1231,486,1717,1019,419,1439,1077,366,1443,2592,588,3176,2103,65,2174,2182,145,2331,1652,26,1680,6443,203,6650,1096,61,1165,156,137,291,22953,6180,29131
SED10038,169,262,434,90,117,208,76,284,365,117,685,801,308,1560,1869,362,892,1254,1063,583,1652,1027,647,1673,1241,613,1861,1374,514,1886,974,457,1428,1073,342,1409,2402,601,2998,2145,93,2241,1958,146,2103,1428,52,1476,4462,243,4703,1134,182,1319,163,331,496,21571,8610,30177
SED10039,198,222,427,85,95,182,82,233,317,99,420,522,344,1393,1737,393,913,1307,1375,554,1927,1228,670,1901,1400,684,2085,1758,467,2223,1173,403,1578,1363,296,1660,2856,442,3296,2212,57,2271,1749,116,1872,1115,34,1157,2715,316,3028,1281,71,1352,259,297,551,21701,7688,29387
SED10040,422,465,885,130,133,265,129,255,379,148,574,729,414,1142,1554,487,633,1115,1212,421,1631,1058,638,1694,1402,754,2161,1684,663,2342,1245,520,1770,1404,443,1850,3172,792,3961,2336,196,2534,1926,243,2169,1376,83,1456,3717,276,3994,1173,184,1350,241,248,495,23658,8663,32323
SED10041,367,241,610,114,107,223,101,184,284,91,286,377,237,586,822,232,488,717,566,405,976,579,462,1040,912,570,1480,1035,470,1507,816,464,1281,947,384,1334,2287,747,3036,1725,72,1794,1873,267,2140,1317,30,1349,9227,437,9667,1226,48,1280,180,177,356,23836,6420,30255
SED10042,190,304,497,80,108,190,86,268,356,99,631,728,372,1644,2018,418,1148,1567,1543,662,2210,1324,716,2038,1656,701,2356,1778,496,2273,1235,409,1644,1300,277,1575,2848,494,3340,2198,62,2259,1645,98,1743,1023,17,1045,2388,135,2523,1342,84,1425,273,349,621,21794,8612,30399
SED10043,543,416,958,103,93,198,178,378,552,212,911,1123,555,1343,1898,695,582,1276,1720,463,2179,1556,510,2066,1799,566,2362,1911,423,2331,1298,335,1634,1317,223,1542,2458,370,2825,1595,125,1722,1149,109,1263,747,45,786,1866,166,2033,1202,146,1350,336,346,679,21236,7547,28784
SED10044,216,375,591,71,121,198,88,244,333,67,477,545,226,826,1058,212,651,862,535,537,1073,534,631,1166,723,840,1571,911,833,1746,814,817,1633,898,737,1639,2274,1584,3859,1919,149,2066,1928,449,2370,1537,95,1631,9548,831,10378,1131,141,1274,163,229,387,23806,10562,34368
SED10045,175,274,444,102,141,246,108,423,537,146,938,1081,465,2343,2807,561,1439,2002,1631,853,2488,1455,967,2423,1672,917,2592,1896,574,2471,1270,401,1669,1299,311,1607,2514,433,2943,1604,79,1683,1046,81,1119,616,27,645,1249,157,1408,1281,155,1433,299,462,761,19377,10976,30352
SED10046,425,357,779,89,98,192,155,357,509,220,806,1033,559,1194,1758,620,587,1207,1520,448,1970,1487,651,2136,1709,673,2386,1923,474,2401,1466,327,1786,1429,246,1673,2956,351,3311,1980,36,2015,1452,72,1530,982,18,1000,2157,75,2231,1278,85,1356,350,382,725,22764,7234,29995
SED10047,318,344,663,67,101,165,123,294,418,187,653,839,459,1310,1773,598,725,1321,1506,537,2041,1368,789,2153,1626,915,2547,2157,692,2843,1790,512,2304,1895,366,2267,4356,549,4908,3311,94,3406,2695,101,2792,1682,24,1707,3399,116,3509,1574,102,1674,385,412,796,29478,8650,38135
SED10048,289,270,559,74,65,135,133,243,375,169,487,657,400,1069,1466,578,514,1087,1297,411,1701,1323,614,1938,1650,608,2261,2022,529,2558,1823,430,2245,1758,334,2093,4153,447,4602,3174,83,3249,2488,75,2559,1608,22,1626,3672,104,3774,1461,54,1514,298,233,539,28355,6588,34943
SED10049,172,247,417,68,107,170,71,245,319,101,498,598,358,1490,1843,402,905,1305,1467,519,1989,1333,723,2053,1509,745,2250,1763,572,2335,1387,510,1892,1527,370,1897,3519,559,4079,2685,69,2755,2125,118,2238,1319,26,1347,2931,133,3066,1607,99,1700,241,314,558,24585,8229,32817
SED10050,171,250,417,48,117,160,42,190,228,56,296,353,123,598,724,166,569,735,370,471,842,437,583,1021,609,680,1292,767,619,1389,660,582,1246,791,567,1357,1966,1265,3236,1683,160,1845,1711,497,2205,1291,107,1398,9999,1179,11174,1228,208,1441,156,233,389,22277,9178,31457
SED10051,266,452,724,89,151,233,92,378,472,115,834,951,324,1492,1816,289,639,931,857,514,1373,808,643,1452,945,784,1726,1107,645,1756,885,589,1472,995,515,1506,2465,992,3456,2071,163,2231,1973,277,2250,1492,77,1565,6185,465,6648,1172,219,1389,244,420,661,22372,10249,32618
SED10052,221,268,490,77,125,203,74,243,317,50,470,518,273,1092,1366,291,668,951,788,492,1278,744,542,1290,1018,601,1622,1176,492,1673,903,493,1397,1056,402,1456,2492,663,3158,2055,67,2119,2046,195,2241,1559,35,1595,5616,219,5838,1079,82,1160,189,234,422,21712,7389,29102
SED10053,140,262,398,60,86,142,69,243,309,75,484,557,238,1169,1405,268,743,1011,765,604,1366,778,781,1561,898,976,1874,1191,785,1979,965,780,1742,1121,671,1789,2672,1083,3763,2221,141,2356,2171,298,2470,1581,60,1637,5238,627,5874,1418,128,1545,217,355,569,22076,10271,32350
SED10054,237,254,493,65,68,134,109,164,274,146,419,565,400,858,1253,514,431,949,1245,283,1521,1135,442,1574,1379,543,1925,1745,342,2088,1397,308,1705,1402,179,1582,3195,288,3483,2417,46,2460,1847,61,1913,1169,16,1190,2412,71,2478,1350,56,1403,295,216,506,22451,5059,27502
SED10055,279,183,459,64,36,98,71,83,154,78,170,247,234,483,719,268,268,538,833,208,1041,783,312,1093,1023,378,1403,1252,321,1570,1159,256,1410,1190,217,1405,3002,340,3335,2681,38,2725,2305,60,2371,1679,14,1687,4388,81,4471,1200,28,1233,242,119,354,22719,3597,26314
SED10056,262,332,599,113,110,224,88,357,445,136,688,823,419,1866,2286,463,1014,1475,1553,735,2281,1339,953,2290,1543,953,2494,1836,649,2486,1265,491,1758,1457,372,1830,2917,536,3450,1935,94,2026,1414,103,1517,908,32,937,1816,219,2036,1668,102,1764,447,627,1073,21566,10212,31783
SED10057,274,352,620,137,153,290,120,405,525,154,900,1051,535,2549,3080,503,1634,2140,2405,875,3277,1840,950,2783,1996,838,2827,2096,516,2612,1196,377,1572,1265,275,1539,2201,360,2557,1348,77,1423,899,90,987,522,32,553,1011,262,1275,1347,110,1459,447,693,1141,20269,11449,31718
SED10058,138,344,483,54,160,222,62,407,473,75,855,935,232,1759,1991,284,1208,1497,872,826,1702,841,1040,1879,1114,1102,2218,1276,1018,2295,932,882,1813,1075,758,1828,2405,1350,3753,1964,299,2267,1845,407,2257,1256,136,1401,3996,604,4597,1152,475,1632,159,390,546,19748,14031,33778
SED10059,184,704,887,65,174,237,50,524,578,69,1062,1139,197,1440,1637,170,872,1044,429,755,1185,423,980,1402,510,1208,1725,673,1171,1843,558,1155,1707,621,1085,1710,1658,2378,4035,1415,444,1860,1489,926,2410,1203,299,1511,6408,1935,8345,715,801,1516,90,447,531,16929,18359,35285
SED10060,243,461,707,70,131,202,51,249,299,45,402,446,139,703,842,152,708,861,289,666,960,350,795,1142,531,1100,1636,679,1090,1769,621,1174,1797,659,1089,1751,1807,2617,4420,1494,208,1697,1641,899,2544,1331,136,1466,9775,2194,11968,982,193,1183,142,335,478,21003,15157,36154
SED10061,261,294,554,100,162,262,114,416,527,115,782,897,480,2018,2499,476,1128,1600,1708,787,2494,1360,1008,2368,1448,872,2317,1705,628,2334,1170,498,1670,1302,374,1678,2392,558,2949,1522,91,1615,1095,127,1221,708,29,737,1503,234,1736,1379,138,1515,361,609,970,19190,10758,29948
SED10062,218,262,477,84,104,183,102,183,284,79,441,526,280,1007,1290,304,568,874,887,423,1311,779,497,1277,1030,578,1605,1228,488,1715,994,411,1403,1116,342,1454,2416,535,2954,1932,72,2006,1832,127,1960,1286,23,1311,4995,191,5186,1023,77,1105,192,235,426,20771,6564,27342
SED10063,180,304,486,88,139,220,88,317,404,139,660,799,381,1794,2172,432,978,1408,1357,700,2060,1135,873,2007,1364,873,2237,1527,639,2166,1151,490,1640,1253,394,1649,2577,683,3267,2060,82,2144,1618,156,1774,1046,33,1076,2482,310,2791,1450,129,1585,286,529,820,20610,10090,30700
SED10064,243,338,577,132,143,274,130,408,536,161,860,1025,531,2374,2913,588,1375,1962,2175,830,3005,1738,959,2694,1854,819,2667,2106,523,2626,1285,383,1666,1246,282,1522,2206,344,2554,1443,69,1511,972,79,1051,546,25,569,954,180,1132,1343,128,1470,376,678,1049,20010,10796,30811
SED10065,392,528,919,106,131,236,122,417,545,178,891,1068,457,1268,1729,479,701,1182,1091,577,1667,1157,856,2011,1524,1127,2655,1841,1039,2879,1583,910,2498,1672,715,2387,4077,1370,5448,2866,285,3146,2600,343,2938,1791,117,1904,4751,537,5286,1291,285,1577,242,356,598,28207,12450,40653
SED10066,162,308,473,69,100,173,81,275,355,101,646,752,345,1409,1753,386,901,1292,1080,623,1701,1024,848,1870,1277,989,2265,1572,859,2437,1258,704,1965,1382,552,1937,3079,774,3853,2351,83,2440,1935,145,2081,1312,30,1340,3008,161,3169,1090,105,1190,236,319,554,21758,9848,31604
SED10067,172,288,455,83,119,197,68,188,251,45,282,327,186,834,1023,169,649,818,583,547,1127,526,562,1089,829,639,1468,1041,449,1492,772,413,1187,891,343,1233,2013,558,2566,1696,70,1770,1743,193,1936,1280,32,1315,6813,526,7341,1220,66,1287,165,270,434,20297,7009,27309
SED10068,253,362,613,129,140,269,110,346,455,116,785,898,486,2203,2696,500,1708,2206,2185,880,3065,1736,1061,2803,1965,955,2925,2248,591,2839,1317,426,1740,1356,342,1700,2533,475,3012,1837,106,1944,1336,106,1440,786,36,822,1916,219,2138,1232,113,1345,278,568,843,22324,11422,33749
SED10069,260,316,575,127,102,227,97,263,360,115,585,709,426,1684,2107,446,1255,1701,1810,693,2507,1492,781,2267,1791,800,2589,1958,528,2492,1262,413,1672,1238,288,1523,2563,423,2984,1749,61,1811,1391,85,1481,815,19,833,1853,187,2039,1450,90,1546,302,411,711,21148,8989,30135
SED10070,400,325,723,96,77,171,96,215,316,99,458,557,415,978,1400,399,487,893,1384,308,1692,1078,425,1499,1380,446,1826,1556,343,1901,1182,265,1454,1279,230,1509,2838,330,3165,2233,66,2301,1929,70,2001,1305,23,1323,3241,120,3353,1072,74,1146,291,191,485,22260,5426,27691
SED10071,227,190,414,51,58,110,52,103,159,89,199,283,213,491,701,253,313,564,723,238,964,707,333,1045,1079,451,1528,1389,411,1803,1324,370,1693,1425,350,1775,4230,573,4804,3601,88,3689,3722,153,3880,2833,38,2869,8092,204,8301,1360,92,1451,268,126,395,31637,4785,36423
SED10072,382,555,944,84,154,234,123,259,383,112,558,666,361,1248,1610,356,781,1138,1117,633,1748,960,812,1774,1174,994,2169,1487,824,2309,1269,868,2142,1297,698,1994,3216,1340,4558,2383,254,2635,2152,373,2519,1498,108,1613,4437,469,4904,1109,252,1362,253,319,573,23771,11505,35274
SED10073,453,644,1104,140,173,316,144,339,485,143,634,775,379,1091,1470,361,835,1195,941,692,1631,971,886,1854,1253,1165,2419,1595,1012,2611,1233,889,2123,1322,730,2047,3416,1454,4862,2566,162,2730,2320,364,2683,1713,91,1804,5772,466,6240,1166,196,1364,218,297,515,26091,12126,38220
SED10074,277,324,597,74,101,179,91,238,329,106,517,619,309,1065,1373,334,592,930,937,428,1370,874,515,1389,1137,599,1734,1378,506,1882,1132,468,1597,1169,363,1532,2912,662,3570,2394,115,2515,2271,159,2432,1674,59,1733,4276,236,4508,1055,118,1172,222,239,459,22622,7305,29926
SED10075,257,273,529,71,76,149,96,310,406,112,631,745,452,1711,2166,500,976,1477,1799,548,2348,1481,697,2177,1662,680,2347,1900,475,2376,1409,375,1785,1426,325,1752,3141,444,3592,2503,49,2549,2060,65,2118,1268,19,1291,2623,106,2725,1309,73,1383,282,331,608,24351,8165,32511
SED10076,287,374,659,128,159,290,114,340,447,117,757,875,492,2229,2719,548,1405,1947,2178,810,2988,1609,892,2507,1983,802,2782,2100,572,2675,1337,405,1745,1346,334,1675,2459,457,2915,1580,86,1666,1120,116,1235,623,37,656,1307,359,1663,1257,102,1358,283,603,890,20857,10839,31698
SED10077,452,618,1075,112,135,242,137,268,409,159,611,775,357,1029,1391,404,751,1158,956,597,1555,903,827,1736,1253,970,2223,1510,941,2446,1282,742,2026,1275,644,1921,3116,1264,4386,2318,349,2675,2122,426,2544,1481,231,1709,5345,581,5928,1286,403,1694,220,271,490,24689,11682,36371
SED10078,237,372,610,80,122,203,59,280,341,94,589,678,232,1130,1361,222,775,999,720,648,1371,671,824,1488,859,1090,1947,1082,1100,2182,817,989,1806,928,876,1807,2283,1785,4064,1871,312,2178,1787,475,2267,1473,137,1610,5659,669,6328,885,319,1211,164,251,414,20125,12748,32874
SED10079,228,325,554,103,115,214,88,277,372,110,616,719,379,1846,2223,401,1404,1804,1753,613,2366,1353,762,2115,1502,745,2244,1790,465,2256,1235,371,1607,1172,253,1430,2582,387,2966,1866,51,1911,1533,74,1608,908,17,925,2119,146,2264,1206,61,1268,260,392,653,20587,8915,29501
SED10080,303,903,1205,67,171,231,60,353,422,63,693,761,143,1061,1206,166,1046,1207,343,1021,1368,405,1404,1815,606,1825,2430,787,1709,2497,664,1643,2317,762,1634,2393,1946,3823,5773,1578,443,2019,1610,1437,3046,1222,293,1516,7989,3839,11830,919,692,1611,157,625,786,19788,24632,44417
SED10081,225,287,510,97,117,216,98,363,459,122,692,816,428,1788,2218,440,1058,1502,1521,727,2249,1260,925,2181,1550,894,2443,1759,603,2362,1205,464,1669,1369,373,1739,2800,558,3357,1935,90,2027,1481,127,1610,829,33,863,1906,231,2135,1344,116,1464,337,589,922,20715,10037,30749
SED10082,204,287,494,74,98,174,64,198,263,73,416,490,266,1328,1589,281,1127,1408,1169,615,1787,1011,649,1658,1279,598,1876,1488,431,1919,977,322,1304,1126,296,1427,2332,418,2751,1973,71,2043,1842,142,1989,1287,40,1329,4258,390,4651,1202,76,1276,217,333,553,21134,7846,28988
SED10083,193,292,488,74,107,184,81,292,376,99,645,746,308,1770,2076,387,1058,1450,1294,657,1948,1168,760,1932,1414,723,2134,1612,510,2124,1198,374,1574,1257,299,1561,2715,424,3142,2142,55,2193,1660,90,1754,1025,21,1043,2225,149,2374,1140,80,1217,193,435,627,20194,8740,28932
SED10084,211,366,578,109,140,251,92,351,438,101,717,816,392,2029,2417,416,1676,2095,1749,910,2658,1485,1007,2488,1727,931,2660,1981,605,2590,1269,460,1725,1277,329,1609,2621,467,3089,1882,101,1978,1465,127,1593,842,37,882,1994,219,2213,1429,178,1604,335,691,1024,21378,11333,32707
SED10085,251,311,563,105,100,206,120,289,411,116,613,731,420,1554,1980,459,894,1352,1388,554,1940,1090,705,1791,1323,820,2148,1571,507,2076,1078,433,1517,1167,360,1532,2494,712,3204,1855,60,1918,1622,180,1802,1044,36,1075,2533,321,2857,1634,89,1726,298,480,780,20583,9013,29601
SED10086,227,402,632,45,109,156,58,210,269,47,304,355,135,609,740,131,556,685,328,473,802,320,662,979,523,754,1275,603,795,1401,532,791,1324,666,808,1474,1582,1765,3347,1259,258,1515,1433,770,2200,1136,231,1373,9474,2243,11714,1222,427,1646,253,342,599,19972,12514,32480
