SED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED23602,34,16,70,94,133,291,608,741,448,2434,3,13,13,17,30,44,27,41,18,193,192,160,482,563,487,598,646,483,264,3883,1336,2573,6121,6572,7622,9034,8615,4384,1558,47822
SED23702,35,35,98,110,174,267,543,607,310,2171,6,11,24,19,30,27,37,42,30,239,185,158,338,418,398,380,387,379,204,2857,2028,4330,9175,8936,9400,9268,7238,3978,1299,55647
SED23806,8,3,20,22,27,31,134,233,198,677,0,10,20,15,32,25,26,38,47,210,106,146,398,284,239,193,231,218,179,1987,1361,5111,10584,8376,8218,6948,5647,3485,1543,51258
SED23901,7,16,47,55,84,173,376,711,627,2092,8,12,49,56,51,92,90,90,92,549,115,169,419,390,315,321,361,317,218,2619,1232,4053,9485,9763,8902,8016,6290,3944,2127,53819
SED24006,12,11,17,31,66,98,224,426,338,1216,0,16,28,35,52,79,81,78,78,436,83,102,217,198,262,224,196,231,199,1709,1460,4438,6711,7258,9279,8374,6044,3805,2014,49382
SED24105,33,37,176,389,543,830,810,812,411,4049,18,83,237,352,460,721,493,295,155,2810,126,190,512,437,313,324,299,284,146,2641,1729,5251,11138,10859,9643,8389,6671,3794,1457,58928
SED24207,35,43,249,450,581,814,1375,878,250,4666,14,36,218,292,436,523,478,257,107,2354,331,443,1248,995,697,506,425,278,109,5029,2356,6465,16079,17471,12922,9145,6746,2791,733,74711
SED24308,48,60,187,253,305,458,952,1011,595,3873,8,22,110,157,168,136,123,142,81,948,252,286,713,623,565,445,443,434,277,4038,1753,4451,10669,8869,8905,8076,6715,3812,1624,54878
SED24408,34,37,108,109,153,291,575,908,691,2905,5,6,32,31,56,43,30,29,9,241,208,196,396,356,469,557,654,603,410,3852,1286,2739,6353,5978,7075,8711,7603,4626,2058,46421
SED24504,14,20,35,44,93,162,389,509,268,1531,3,8,7,16,20,10,25,24,15,124,208,143,323,381,494,520,502,389,223,3192,1381,2545,5456,8130,9888,9302,7912,3918,1185,49720
SED24606,7,6,19,17,27,32,161,363,234,868,0,7,27,13,21,33,27,73,48,248,75,135,376,283,260,219,293,326,264,2226,1112,4277,9097,7528,7968,6682,5799,3995,1907,48372
SED24703,9,39,153,118,132,173,219,244,190,1289,5,74,292,119,109,114,87,77,47,927,460,1705,3774,1915,1117,836,588,337,187,10919,4571,22637,43436,18929,10175,7952,5515,2603,961,116777
SED24808,52,84,258,303,337,462,883,730,296,3403,6,26,130,177,186,158,122,90,29,923,359,384,1052,934,689,524,489,356,110,4896,2342,5698,15292,14951,11097,8938,7473,3261,1010,70057
SED24904,51,58,199,220,275,506,872,985,621,3785,5,46,142,125,113,126,90,99,54,801,312,288,819,755,706,815,787,600,370,5454,1639,3580,8873,7869,8207,9000,7389,4117,1812,52488
SED25003,17,20,97,149,202,440,894,758,355,2931,3,18,73,81,93,135,194,179,112,890,155,184,445,434,312,305,329,391,388,2946,1702,4752,10405,10410,9542,8607,5484,2538,1123,54556
SED25102,17,11,64,61,74,113,217,313,144,1017,0,7,20,24,33,14,21,21,15,163,98,72,234,213,247,231,214,222,180,1712,1295,3046,6168,7746,8510,7747,6001,2769,898,44180
SED25205,18,11,30,43,71,151,296,533,379,1531,4,7,27,30,38,42,54,57,51,310,89,73,273,307,272,232,254,272,206,1978,1279,3281,7051,9506,10049,8063,5740,3544,1685,50204
SED25302,20,4,31,40,60,93,234,511,358,1352,0,3,13,20,27,13,15,22,26,133,122,72,157,241,329,244,370,478,468,2479,1411,2825,4222,7092,9627,8082,7990,5911,2514,49672
SED25402,56,35,154,151,204,401,726,858,521,3108,5,13,35,47,49,38,55,45,38,321,277,347,712,710,612,688,740,657,533,5266,1768,3909,8786,8031,8204,9166,7780,4316,1781,53742
SED25501,8,13,42,51,99,144,341,545,390,1639,7,12,53,50,63,93,110,82,93,566,116,209,408,338,296,266,206,252,244,2337,1423,4644,7870,9101,8784,7578,5713,4405,2216,51738
SED25605,11,22,79,131,211,364,781,1020,560,3170,10,15,119,137,142,214,253,253,156,1284,117,182,473,343,322,322,353,500,484,3106,1196,3880,8734,8529,7958,6978,6591,4858,2261,50977
SED25704,37,34,128,134,187,396,784,998,639,3324,0,15,36,42,53,55,42,38,24,314,237,231,547,554,626,696,752,648,499,4783,1436,3226,6985,6791,7865,9260,8155,5042,2194,50958
SED25802,49,31,125,149,192,348,701,938,557,3092,3,14,43,23,45,47,40,41,25,276,249,213,603,583,610,651,604,522,245,4282,1788,3884,9390,8686,9371,10096,9015,5029,1755,59017
SED25905,25,36,148,207,234,404,617,608,346,2617,8,47,178,216,251,223,187,160,85,1357,208,259,589,466,412,372,291,270,180,3046,1645,4745,9688,8872,8691,8769,5785,2835,1241,52268
SED26005,37,40,255,386,365,429,546,453,153,2659,13,69,312,463,453,335,203,99,46,1996,225,291,597,558,466,361,257,144,51,2955,2391,6344,11241,13024,12363,9000,4990,2165,583,62108
SED26102,32,20,69,60,124,161,514,785,499,2272,3,8,12,26,18,55,48,58,37,255,203,209,426,523,668,688,782,743,468,4708,1260,2638,5692,6609,8634,10052,11012,6980,2649,55528
SED26207,6,4,34,60,88,216,856,1529,819,3610,3,6,23,27,48,63,156,278,174,774,78,99,289,255,295,225,291,366,246,2139,1170,3343,7005,8200,8587,7231,6203,4733,2075,48552
SED26303,7,9,28,37,72,171,558,1029,606,2516,4,12,22,39,36,76,157,277,208,837,75,129,451,391,303,251,216,217,182,2218,958,3583,13086,11123,9694,6936,4432,2792,1407,54012
SED26406,7,9,35,47,76,179,502,979,621,2448,0,20,71,45,38,70,132,211,105,690,114,447,822,415,297,212,269,205,210,2986,1836,7588,14631,10484,8717,6947,4993,3418,1794,60411
SED26504,27,20,65,103,140,268,618,882,557,2685,3,3,23,23,28,34,39,52,25,223,209,238,454,458,506,567,640,635,381,4079,1364,2753,6220,6572,7733,8569,8077,5011,1973,48268
SED26603,12,19,55,116,174,350,796,1292,1056,3879,3,18,60,58,97,157,210,299,196,1099,142,287,831,565,469,358,363,358,405,3784,1365,5250,15072,13118,9879,7553,4917,3568,2534,63250
SED26708,23,23,100,101,137,262,544,789,519,2497,0,7,38,35,42,38,34,33,12,235,242,173,469,466,536,599,657,468,290,3898,1484,2912,7107,7368,8438,9603,8331,4343,1680,51257
SED26806,9,5,38,39,52,88,160,315,214,919,0,6,44,35,31,40,34,83,63,329,167,443,1451,845,591,519,465,456,401,5341,947,5822,22932,12597,7858,6495,5120,3259,1452,66490
SED26903,16,28,88,132,193,394,903,1446,878,4082,5,25,65,62,101,165,240,350,225,1238,125,228,744,568,454,406,379,363,358,3611,1089,4304,13388,11277,8945,6954,4955,3554,2041,56519
SED27003,3,8,71,85,157,241,338,459,288,1642,5,9,45,65,96,144,130,144,135,775,122,340,1176,779,560,547,441,328,154,4458,838,5281,23000,12953,8483,6910,4941,2587,1050,66040
SED27101,7,34,126,139,120,200,316,479,360,1791,0,13,105,89,95,156,118,64,35,678,76,115,341,368,277,234,220,267,180,2062,1137,3729,9521,10470,8804,6922,5409,3525,1521,51034
SED27208,41,46,119,142,213,397,836,1050,551,3396,0,13,30,21,52,56,45,24,16,258,228,206,504,572,714,812,880,751,382,5049,1439,3015,7050,7031,8657,10020,9676,5329,1987,54207
SED27305,7,3,33,40,82,191,350,434,175,1318,3,5,22,27,43,69,78,79,35,362,70,88,182,192,142,187,179,151,59,1255,1346,3853,6177,7062,8313,8082,4935,2650,772,43189
SED27406,13,3,18,20,44,73,189,324,277,969,0,3,8,12,18,13,42,47,29,180,81,58,216,262,256,203,265,278,249,1857,1239,3168,6244,7977,9924,8371,6678,4079,1895,49589
SED27504,36,42,220,289,286,452,838,947,531,3641,6,26,120,162,192,141,107,103,53,925,318,329,827,746,757,779,711,676,456,5592,1815,4188,9610,8755,9204,9300,7729,4638,1920,57159
SED27608,28,17,63,59,80,138,309,502,433,1628,3,14,31,33,30,35,32,16,20,207,186,311,500,374,355,286,357,389,360,3111,2206,6446,13009,13018,10993,9099,7840,4552,2056,69227
SED27708,38,27,92,116,138,259,650,824,522,2663,0,5,43,39,23,37,26,13,10,200,245,203,481,521,534,515,590,515,369,3969,1582,3180,7453,7572,8527,9193,8083,4209,1845,51637
SED27807,20,47,211,394,593,867,1498,1456,645,5732,8,34,264,288,405,564,549,421,282,2819,284,446,1218,934,721,654,633,548,388,5829,1605,5376,13115,10038,8752,8585,7325,4121,1790,60711
SED27907,26,10,93,95,146,237,657,675,343,2277,4,9,28,33,40,69,102,144,46,474,166,193,546,469,389,336,328,298,119,2841,1525,3822,9961,9172,8598,7931,6358,3326,1098,51791
SED28007,14,22,93,143,233,561,1049,801,298,3215,0,16,61,86,134,251,229,195,98,1072,179,186,463,471,381,322,267,182,71,2529,2230,5539,10603,11639,11890,9322,5574,2439,816,60047
SED28107,36,66,230,307,331,508,609,474,165,2722,4,47,195,209,228,268,192,108,45,1298,440,647,1950,1586,696,481,347,176,66,6382,2703,8788,25642,26932,12724,9193,5579,2137,520,94216
SED28203,18,24,145,314,424,728,1834,1908,783,6183,3,37,118,178,222,367,497,561,313,2297,199,310,872,710,546,447,441,346,147,4009,1608,5179,13769,13584,8943,7422,6582,4254,1571,62919
SED28301,9,4,20,30,68,164,430,621,433,1783,5,4,34,42,47,81,92,131,95,515,77,91,155,211,244,198,221,263,176,1637,1347,3815,5680,8020,9086,8317,6314,4238,1751,48556
SED28408,43,52,92,107,140,239,512,596,465,2255,7,15,32,24,35,19,34,20,11,201,165,216,454,405,406,391,420,409,312,3181,1525,3906,8422,7565,7719,7472,6607,3939,1820,48976
SED28507,50,72,250,246,298,417,664,669,335,2998,15,53,195,277,312,225,143,115,66,1385,281,383,1045,918,581,422,420,362,249,4668,2030,5735,15915,15154,10089,8344,5893,2881,1113,67147
SED28607,8,10,50,73,111,241,596,967,608,2650,0,13,26,58,63,103,187,277,199,928,124,136,528,446,386,282,290,280,239,2712,1203,3473,10558,12402,10876,8126,5266,3222,1652,56788
SED28704,21,25,101,147,165,287,571,557,263,2135,8,8,55,60,63,56,80,60,24,423,234,198,561,535,432,329,280,209,99,2868,2390,5761,14634,16802,13148,9591,6594,2906,836,72668
SED28803,67,123,504,817,839,908,1124,726,207,5307,18,76,274,395,468,684,484,342,136,2877,392,407,1212,1072,681,511,363,183,108,4921,3280,8943,22935,22125,14670,11504,6472,2462,673,93076
SED29797,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,38,98,129,108,13,0,0,389,0,4,52,140,182,158,16,0,0,565
SED30001,14,21,70,125,186,246,365,378,209,1598,0,25,122,116,131,122,114,38,24,691,166,202,556,436,328,240,203,184,129,2449,1590,3863,9984,10124,7549,6294,4356,1878,679,46326
SED30002,12,4,16,26,53,103,275,584,404,1474,0,9,10,26,23,36,37,26,33,197,59,75,186,180,160,139,166,238,284,1486,1318,3125,6427,7738,7103,6091,4972,3364,1755,41889
SED30003,18,18,55,78,122,187,465,574,231,1736,0,9,36,33,27,36,29,14,7,194,126,172,377,366,289,210,250,307,248,2342,1751,3604,7282,8189,7825,5787,4862,3029,1080,43409
SED30004,11,5,28,47,53,134,243,254,144,917,3,3,14,30,12,25,27,16,5,131,186,171,403,452,467,507,424,285,95,3000,1437,2503,5989,7811,8511,8051,6427,2910,737,44376
SED30005,25,19,57,73,97,188,362,477,220,1509,0,9,42,45,33,39,38,33,20,272,189,360,685,479,518,481,589,641,449,4395,1497,4564,8562,7080,7262,7139,6273,3933,1459,47766
SED30006,13,6,8,28,53,117,306,429,242,1201,0,3,9,14,21,15,38,32,21,151,130,124,296,284,387,378,488,445,225,2753,1106,2202,4024,5201,6957,7316,7649,4905,1531,40895
SED30007,11,5,16,18,48,58,180,363,230,931,3,3,14,6,16,7,6,7,13,81,184,210,344,255,206,169,199,275,315,2155,1924,3536,6371,6903,7269,5812,5140,3627,1646,42233
SED30008,3,4,21,26,45,86,206,325,294,1000,0,0,22,18,12,19,21,21,15,130,97,144,359,277,229,159,160,130,95,1640,1289,3925,9409,9593,8162,5740,3644,1767,891,44418
SED30009,33,27,63,104,179,281,748,1234,716,3364,0,22,56,35,48,57,29,62,23,330,161,179,454,343,367,375,421,521,300,3131,1470,3013,6167,5384,5712,6142,6118,4588,1830,40419
SED30010,31,29,101,228,252,330,494,451,201,2108,7,28,76,86,123,129,107,40,19,610,324,364,901,718,486,367,255,146,67,3640,2212,5291,12169,9965,7580,6123,4129,1900,533,49904
SED30011,12,18,49,87,167,284,636,774,360,2382,0,6,43,22,37,28,31,32,24,224,395,1118,3204,2903,3006,2396,925,435,140,14514,1481,3816,10443,9965,10418,9870,6688,3090,916,56693
SED30012,10,5,19,42,64,111,201,323,193,963,0,3,12,13,15,3,17,20,20,100,88,178,520,397,336,320,352,314,259,2760,1055,2748,7234,7135,6712,5830,5454,3079,1226,40472
SED30013,10,9,60,73,128,283,869,906,295,2640,0,5,14,19,24,26,29,28,15,155,152,144,361,367,514,668,772,412,112,3493,1112,1784,4185,4986,6752,9025,9712,4519,900,42977
SED30014,16,32,85,165,157,243,377,435,286,1791,11,18,55,91,127,85,78,50,20,523,389,780,1912,1228,1248,1211,1133,654,261,8814,1572,3965,9746,8439,8864,8147,6365,3271,1242,51619
SED30015,16,11,57,86,152,338,838,1046,391,2942,4,9,13,9,12,31,38,27,14,157,331,401,1121,976,1066,1037,797,517,192,6426,1392,2630,6817,6626,7117,7615,6253,3310,959,42722
SED30016,19,10,32,40,87,151,378,637,350,1715,3,4,10,19,13,18,24,19,12,109,119,122,325,332,341,352,399,383,192,2577,1348,2818,6303,6675,7267,7474,7348,4385,1449,45074
SED30017,14,7,50,55,81,127,428,521,219,1493,0,0,16,15,17,25,29,27,6,127,79,95,254,217,203,173,197,235,315,1754,1344,2723,6342,6932,6610,6468,5477,2569,966,39437
SED30018,4,7,13,26,34,89,248,404,226,1045,0,3,12,18,16,30,38,39,23,176,55,83,180,206,158,146,124,124,64,1148,1271,3057,6076,7793,7382,5931,4415,2288,778,38997
SED30019,7,3,26,36,47,79,149,233,164,743,0,3,23,20,18,20,11,19,27,150,85,289,654,464,405,325,250,168,131,2763,1209,4932,11489,8835,8041,6316,4144,2247,967,48192
SED30020,21,16,33,67,108,244,574,821,258,2133,0,4,15,21,21,18,26,11,13,137,207,189,360,337,379,410,391,338,230,2848,1591,2954,6212,6385,6961,7088,5619,2923,882,40605
SED30021,63,35,72,98,165,372,689,648,249,2393,8,3,43,20,32,35,68,54,33,294,294,445,1298,935,1061,1201,1052,441,126,6861,1725,3295,8312,6894,7679,8621,7114,2962,673,47270
SED30022,33,23,79,117,119,201,359,270,106,1316,11,10,37,45,44,36,33,18,6,247,303,374,1021,758,539,303,206,141,34,3673,2515,5836,14387,13012,10291,6975,4723,1967,393,60106
SED30023,13,0,5,17,18,19,87,186,132,480,0,0,15,3,16,12,15,16,13,94,49,74,225,169,179,121,91,78,26,1006,1438,4074,7142,7310,7968,5349,3781,2020,640,39727
SED30024,6,4,28,25,48,109,212,315,235,988,0,5,10,8,7,11,18,18,18,91,103,123,363,347,355,343,358,404,329,2720,1107,2400,5608,6270,6508,6569,5895,3255,1448,39052
SED30025,6,10,18,16,37,56,183,384,207,909,0,3,10,24,20,10,19,13,10,106,48,79,150,123,116,99,93,95,45,846,1342,3317,6833,7544,7748,5866,4110,2238,726,39730
SED30026,18,3,25,29,44,56,173,341,261,955,0,0,17,22,21,17,19,16,12,131,93,159,206,184,125,102,120,109,103,1202,1381,3199,6821,7947,7429,4742,3923,2236,1024,38704
SED30027,14,12,27,56,83,147,289,354,158,1136,0,4,12,18,20,20,29,23,11,129,121,118,291,304,281,202,254,223,154,1943,1312,2749,6273,6854,6823,5930,4662,2818,915,38330
SED30028,18,16,42,72,114,202,416,443,204,1526,4,4,9,13,26,18,17,15,4,115,156,165,508,520,516,463,364,203,103,2996,1364,2730,6608,6809,7193,6605,4300,1818,574,38006
SED30029,14,20,46,54,68,125,384,491,196,1399,0,6,12,10,24,17,13,20,5,102,156,140,363,434,405,376,374,243,102,2600,1272,2225,5235,5914,6893,7249,6555,3121,859,39320
SED30030,7,4,18,28,41,76,170,276,233,848,0,5,26,17,28,24,27,23,23,170,63,150,376,266,223,208,219,211,182,1899,1158,4256,9929,8576,7153,5091,3469,2003,1081,42711
SED30031,15,13,40,67,116,262,490,464,134,1604,0,7,17,14,15,16,24,21,6,114,241,386,972,1083,1081,1076,731,307,130,6011,1170,2596,6215,6224,6175,6546,4950,1868,453,36190
SED30032,16,15,44,75,153,286,793,953,392,2731,0,5,8,13,16,25,37,31,8,148,220,139,410,454,534,592,578,431,161,3528,1473,2188,4929,5529,6952,8774,8492,4237,1178,43749
SED30033,21,24,60,81,139,269,821,1030,484,2931,4,0,9,14,25,34,35,30,13,164,147,138,303,326,401,523,769,814,372,3793,1275,2182,4733,5201,6283,8373,10474,6560,2011,47100
SED30034,15,32,108,112,141,327,750,955,477,2916,0,5,38,30,38,51,64,38,34,304,354,270,818,693,815,853,923,562,281,5571,1427,2384,6319,6317,7534,9566,9307,4507,1457,48823
SED30035,10,9,44,46,102,212,508,640,292,1862,3,8,12,10,14,18,23,22,21,135,160,159,378,389,409,383,452,265,105,2694,1254,2719,6804,6498,6118,6640,5934,2635,774,39381
SED30036,71,51,205,356,390,492,490,497,231,2782,9,31,171,205,334,365,232,113,69,1528,234,269,780,657,456,411,269,222,116,3420,2103,4802,10581,9326,8174,6740,4357,2454,930,49470
SED30037,26,24,52,75,107,237,483,685,319,2007,7,7,30,22,45,62,29,19,14,230,158,185,440,414,352,295,312,331,313,2796,1426,3233,7451,6641,6189,5717,4141,2473,1117,38385
SED30038,35,24,71,99,136,210,510,747,320,2146,0,7,16,12,37,31,37,23,16,180,228,320,492,395,336,267,243,233,115,2637,1746,3663,7332,6841,6821,6208,4551,2503,744,40420
SED30039,18,12,47,76,108,152,275,264,68,1027,7,11,33,30,51,64,50,31,22,289,153,185,416,398,311,187,135,76,11,1874,2077,4183,10179,11653,9095,5782,3334,1265,247,47814
SED30040,15,5,23,31,57,98,304,548,355,1434,3,4,12,11,17,13,14,16,5,99,125,137,332,297,262,255,314,405,368,2502,1373,2685,5694,6393,6814,6260,5724,4208,1831,40976
SED30041,14,6,44,89,101,181,538,809,303,2085,0,4,20,18,21,36,13,15,15,146,183,187,398,368,379,427,466,354,168,2929,1486,2655,6011,6353,6411,7359,6536,3408,984,41206
SED30042,9,11,50,50,102,138,373,458,190,1379,6,7,26,31,27,26,20,22,3,168,156,141,331,287,269,190,175,153,61,1762,1803,3740,7704,7750,7706,5946,4367,2123,593,41732
SED30043,19,21,70,96,173,288,776,881,321,2650,3,10,70,57,43,42,36,22,4,286,240,202,435,409,416,385,346,291,128,2854,1632,2952,6362,6302,6823,6926,5474,2799,770,40043
SED30044,26,18,69,98,152,208,471,486,181,1703,5,10,48,61,85,85,71,53,12,428,225,278,676,512,436,331,302,270,93,3129,1943,4404,9908,8344,7720,6955,5243,2590,686,47789
SED30045,13,4,33,36,87,130,378,539,319,1542,0,6,13,19,29,16,11,27,17,145,86,84,219,241,265,203,209,284,261,1853,1251,2754,6056,7624,8013,6584,4944,2959,1293,41466
SED30046,27,14,84,123,190,221,496,474,235,1868,4,14,51,64,62,49,47,33,13,334,275,325,744,587,497,348,303,258,93,3428,1794,4016,9005,7886,7346,6343,5314,2861,879,45445
SED30047,17,15,47,77,99,244,567,838,431,2332,0,3,15,19,25,24,29,23,10,163,216,315,665,630,564,564,468,454,322,4199,1481,3476,7237,7081,7169,7130,5434,3177,1373,43556
SED30048,3,5,18,14,27,33,73,95,79,342,0,7,24,25,9,22,7,8,4,112,140,297,478,247,199,163,226,206,129,2089,3474,8716,10617,8411,7048,5056,4220,2470,868,50878
SED30049,11,13,22,48,80,116,274,504,289,1345,5,12,47,36,50,47,59,45,33,339,118,166,309,272,227,205,154,199,169,1823,1651,4019,8028,8990,7632,5468,3924,2628,1127,43462
SED30050,10,13,18,28,42,109,259,403,247,1138,0,0,25,17,19,18,9,13,5,104,137,253,565,475,493,576,686,621,366,4180,1091,2988,6827,6124,6596,7889,7805,4462,1523,45304
SED30051,31,27,67,84,153,316,887,931,426,2929,4,5,13,12,27,21,45,29,18,171,157,148,312,334,370,451,568,418,196,2951,1284,2280,4595,5169,6416,8427,9050,4377,1196,42799
SED30052,3,27,55,46,57,64,128,173,107,659,0,19,66,39,45,25,25,23,9,257,210,789,2248,1452,1016,857,492,343,189,7601,1951,9069,22376,12144,8081,6478,4075,2063,759,66990
SED30053,9,3,23,25,49,100,208,264,164,833,0,3,23,22,23,25,29,22,33,174,110,193,551,349,281,265,265,301,266,2590,1440,3829,8527,7530,6999,5776,5153,2970,1142,43367
SED30054,5,8,15,37,58,64,126,238,197,747,3,9,23,38,23,30,21,14,11,168,38,92,219,195,176,172,122,113,82,1214,1165,3806,7217,7616,6959,5279,3586,2015,941,38585
SED30055,12,17,42,51,94,279,720,797,230,2243,4,9,9,13,13,20,15,24,19,132,273,233,585,638,646,693,618,337,104,4134,1393,2517,5749,6252,6521,7229,5638,2425,578,38301
SED30056,0,0,12,25,23,28,83,160,113,451,0,6,4,3,10,7,20,10,8,77,40,40,65,98,96,88,125,233,302,1096,1352,2473,3634,6890,7984,5950,4723,2904,1170,37073
SED30057,34,30,96,142,202,257,586,701,321,2373,6,10,64,48,44,39,40,32,17,293,216,322,647,506,411,344,423,389,309,3563,1889,4012,8361,7075,6973,6414,5499,3165,1179,44564
SED30058,6,7,18,33,75,134,208,292,194,963,0,7,29,36,49,75,59,32,23,309,56,65,157,179,150,131,176,204,188,1312,1205,2748,6253,7647,6993,5872,4858,2604,1123,39305
SED30059,8,12,24,43,48,106,247,321,159,972,0,7,11,22,18,17,21,10,10,122,147,167,318,411,353,290,331,381,346,2746,1497,3191,6297,8295,8536,6919,5522,3207,1165,44624
SED30060,32,7,66,93,121,207,398,448,167,1535,7,4,41,47,69,80,52,41,14,357,317,278,678,643,546,458,412,288,146,3763,1750,3204,7381,7391,7288,6272,4872,2238,615,41020
SED30061,17,28,65,116,115,177,315,502,263,1594,8,12,43,44,38,50,31,19,10,254,322,799,713,440,393,375,381,390,298,4103,2301,5407,7234,6202,6292,5643,4222,2612,1040,40958
SED30062,17,16,69,70,121,188,416,477,251,1625,4,3,26,24,54,54,47,24,8,251,126,173,497,442,295,200,223,254,295,2510,1792,4362,11081,10407,7946,5907,4691,2639,1091,49923
SED30063,20,19,49,99,165,400,999,1160,478,3388,4,5,18,12,19,32,37,28,23,182,245,218,475,517,628,754,771,590,167,4373,1388,2265,4907,5221,6603,8028,8240,4261,1139,42049
SED30064,15,13,24,53,84,146,306,524,354,1521,8,3,11,14,37,30,30,17,9,161,123,125,303,402,366,340,321,309,273,2561,1286,2382,5271,5961,6669,6728,5864,3403,1315,38871
SED30065,9,4,16,33,42,93,262,402,222,1093,7,8,10,11,13,14,11,11,5,82,118,95,220,315,259,269,251,249,123,1900,1290,2208,5356,7628,7796,7259,6820,3562,1091,43015
SED30066,13,11,12,20,50,97,211,324,203,936,0,8,5,11,9,10,12,19,10,82,109,103,319,357,383,405,467,459,320,2919,996,1732,3811,5367,7213,8215,8460,4845,1447,42086
SED30067,5,10,45,51,106,155,308,469,306,1449,0,7,32,45,44,39,33,31,30,269,112,174,464,321,239,174,174,144,100,1903,1173,3714,10211,9056,7119,5604,4068,2167,1064,44166
SED30068,6,3,12,21,41,77,264,476,247,1143,0,3,5,12,20,18,16,16,5,94,65,74,130,143,166,204,254,291,293,1627,1309,2252,3320,4926,6539,6589,5758,3633,1466,35776
SED30069,9,9,32,56,75,97,290,442,161,1170,5,3,23,28,19,39,28,16,6,176,107,105,242,252,273,174,174,142,60,1528,1521,3044,6406,7738,8114,6547,4982,2311,560,41232
SED30070,22,7,50,59,118,230,673,947,317,2423,0,0,18,22,23,21,21,22,21,145,131,110,238,229,289,297,496,434,226,2455,1109,2050,4459,4889,5769,7373,9547,5767,1462,42425
SED30071,19,12,39,63,124,200,484,724,370,2040,4,6,12,14,27,39,31,28,26,182,136,168,326,388,431,425,426,403,306,3013,1333,2343,4542,6144,7737,7903,7656,4331,1627,43612
SED30072,18,6,33,66,92,158,416,591,329,1709,7,0,11,18,24,15,18,16,11,115,97,77,200,241,284,262,351,289,158,1947,1445,2729,5322,6106,7066,7343,6754,3882,1333,41973
SED30073,24,20,68,108,177,274,594,922,520,2710,3,9,36,36,32,33,38,31,19,234,239,259,556,523,465,408,452,432,329,3663,1672,3544,7522,6619,6220,6167,4912,3011,1408,41075
SED30074,15,16,31,50,76,148,440,668,330,1776,0,11,21,37,32,59,30,31,8,239,63,94,225,200,194,181,236,285,272,1739,1211,2693,6658,7992,7418,6208,5017,3089,1291,41586
SED30075,17,11,39,75,123,232,662,719,325,2210,0,0,14,12,14,25,30,23,11,133,218,153,420,467,519,503,499,382,205,3369,1553,2333,5172,6539,7927,7978,6850,3431,1066,42856
SED30076,3,16,47,57,68,101,199,296,153,943,6,19,52,39,26,39,49,60,59,340,298,657,1431,835,657,507,484,343,208,5424,2151,8866,17730,10060,7727,5782,3980,2109,874,59294
SED30077,14,13,52,73,167,279,754,949,458,2755,3,3,22,15,25,38,42,41,24,212,199,199,477,435,531,630,608,507,200,3791,1265,2255,5066,5091,6242,7311,6982,3949,1310,39474
SED30078,8,17,44,48,92,164,261,390,226,1250,3,0,30,28,30,39,37,26,23,215,191,302,657,546,480,457,459,535,519,4133,1549,4353,8398,7180,7288,6412,5738,4035,1761,46709
SED30079,9,5,37,41,57,116,271,356,145,1042,0,0,21,21,40,33,29,32,6,185,110,79,184,229,196,180,181,133,64,1349,1363,2718,6434,8175,7118,5824,4953,2294,615,39489
SED30080,11,7,39,44,68,110,226,468,323,1292,0,4,31,44,39,32,31,28,19,220,107,186,512,356,302,256,275,328,357,2690,1331,4336,9948,8607,7496,5538,3871,2602,1436,45163
SED30081,8,7,76,103,177,243,405,455,212,1679,3,19,97,141,108,143,135,86,79,802,113,164,435,409,264,223,210,155,95,2063,1443,3947,8921,9426,6889,6328,4977,2417,888,45241
SED30082,9,14,42,60,58,109,259,364,200,1115,3,7,33,24,34,30,38,34,22,216,230,500,1371,891,840,1040,956,640,201,6665,1173,3955,9548,7272,7722,8404,8005,4691,1361,52138
SED30083,14,10,37,70,84,125,259,287,99,987,8,3,12,32,27,29,33,20,16,176,172,143,333,361,303,204,171,147,82,1926,1798,3550,7390,8951,8399,5981,4295,2207,714,43280
