SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20036,252,160,190,183,188,170,119,67,71,1396,3003,1854,2563,2636,2459,2545,1967,912,401,18339
SAL20037,277,105,194,157,120,78,67,61,37,1092,2623,1156,2029,2080,1510,1047,946,984,560,12936
SAL20038,5,4,4,0,3,0,0,0,0,20,22,17,14,12,9,30,12,4,6,127
SAL20039,3,0,0,0,4,4,3,3,0,13,7,9,5,8,5,14,12,3,0,59
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SAL20041,0,0,0,0,0,3,5,3,0,18,18,24,17,27,26,45,49,18,4,224
SAL20042,15,13,14,11,10,9,4,0,0,79,150,69,67,88,106,126,86,26,11,736
SAL20043,5,0,0,3,0,3,0,0,0,5,18,9,8,11,13,19,19,9,0,97
SAL20044,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,4,5,3,0,23
SAL20045,0,0,0,0,6,0,4,3,0,11,0,0,0,0,5,6,11,0,0,25
SAL20046,49,16,21,20,39,33,39,13,7,234,492,248,280,342,401,566,590,294,103,3312
SAL20047,0,0,0,0,0,4,0,0,0,7,10,4,3,6,3,5,6,3,0,46
SAL20048,0,0,0,0,0,0,0,0,0,0,13,5,9,7,3,5,3,7,0,51
SAL20049,42,6,28,19,32,37,35,14,11,227,254,127,211,185,253,346,309,139,46,1885
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12
SAL20051,0,0,0,0,0,0,3,0,0,4,5,0,8,7,5,9,7,0,0,30
SAL20052,3,8,5,3,13,15,4,5,0,49,47,20,24,23,40,77,56,24,10,325
SAL20053,105,111,260,247,221,174,139,71,33,1362,1233,882,1193,944,1055,1183,1061,648,295,8495
SAL20054,0,4,0,0,8,0,7,0,0,17,6,9,3,8,19,20,20,4,0,95
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,0,0,3,0,0,0,4,31,35,14,18,36,27,21,12,0,210
SAL20057,0,0,0,0,0,0,0,0,0,3,13,9,10,10,13,21,7,6,3,97
SAL20058,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,3,0,23
SAL20059,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12
SAL20060,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,0,4,0,16
SAL20061,0,0,4,0,0,0,0,0,0,10,4,6,0,4,6,13,7,0,0,35
SAL20062,81,37,80,74,51,42,23,12,5,398,560,292,613,561,409,284,256,149,103,3220
SAL20063,13,7,16,9,11,9,8,5,0,71,76,55,60,59,72,88,60,27,0,498
SAL20064,0,3,0,0,0,0,0,0,0,3,0,5,0,0,6,3,0,3,0,18
SAL20065,11,3,4,8,4,8,6,8,0,46,39,12,20,22,31,39,55,38,8,262
SAL20066,62,69,78,64,79,40,41,47,23,506,1163,970,1898,1358,1167,854,867,617,203,9100
SAL20067,0,0,0,0,5,0,3,0,0,9,6,7,4,10,10,25,14,6,0,89
SAL20068,177,92,109,86,60,32,14,11,0,582,2898,1331,2668,1937,912,621,441,175,102,11090
SAL20069,0,0,0,0,0,0,0,0,0,0,5,3,0,9,5,11,7,0,9,56
SAL20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,16
SAL20071,5,0,0,10,4,8,3,3,0,35,65,58,31,33,62,94,77,41,5,472
SAL20072,0,3,6,0,3,6,0,0,0,16,65,38,25,53,64,78,47,33,13,411
SAL20073,6,0,0,3,0,0,0,0,0,8,15,16,0,10,11,11,6,8,3,91
SAL20074,49,27,21,27,20,12,16,3,0,181,623,264,356,366,265,286,236,119,19,2542
SAL20075,202,118,233,162,181,133,68,32,10,1132,2643,1605,2594,2475,2137,1661,1077,546,222,14957
SAL20076,0,5,0,0,6,4,6,4,0,23,47,22,6,24,38,47,32,7,0,232
SAL20077,66,33,45,50,61,39,34,20,10,365,1558,1004,700,1031,1221,997,679,410,228,7831
SAL20078,77,45,72,44,38,56,41,24,12,409,1173,831,1033,1007,947,793,596,409,255,7054
SAL20079,95,47,39,59,67,56,32,19,0,414,1504,838,643,1059,1118,910,597,372,145,7186
SAL20080,45,46,29,31,47,33,22,24,11,280,1147,914,496,774,1046,922,561,372,135,6361
SAL20081,4,5,5,0,0,5,0,0,0,18,46,16,24,11,19,20,8,4,0,146
SAL20082,37,29,16,13,41,32,9,8,0,198,550,513,323,375,577,576,300,103,28,3346
SAL20083,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAL20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL20085,8,6,0,5,0,0,0,0,0,23,49,39,21,32,35,30,31,14,0,246
SAL20086,8,7,5,7,9,7,10,0,0,46,185,100,87,132,151,171,161,83,27,1096
SAL20087,32,8,9,18,13,13,24,13,5,134,217,113,118,124,170,162,261,127,54,1348
SAL20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20089,126,65,104,107,101,85,71,72,26,751,1968,1177,1380,1646,1498,1370,1409,1248,595,12292
SAL20090,0,0,0,0,0,0,0,0,0,4,3,12,3,0,3,11,6,6,0,45
SAL20091,14,14,3,9,12,8,4,0,0,65,155,108,84,130,112,126,78,30,7,838
SAL20092,3,6,0,3,8,3,5,3,0,30,88,77,22,53,72,61,48,21,3,445
SAL20093,23,8,16,12,12,18,9,0,0,94,241,77,139,114,121,120,103,42,7,973
SAL20094,4,0,0,0,0,0,0,3,0,10,10,9,6,6,6,4,3,4,0,39
SAL20095,130,59,82,75,68,54,56,48,15,578,1453,761,1165,964,875,812,886,582,178,7687
SAL20096,3,0,0,0,10,4,11,0,0,23,50,30,38,31,45,65,62,15,3,342
SAL20097,14,9,17,7,17,18,6,6,0,102,279,154,218,186,193,248,209,76,29,1582
SAL20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SAL20099,9,5,6,5,6,3,0,0,0,31,72,29,45,43,48,57,40,8,0,350
SAL20100,0,0,0,5,0,0,0,0,0,3,4,0,4,7,6,8,5,8,0,36
SAL20101,0,0,0,0,0,0,0,4,0,3,11,3,3,6,4,9,5,9,0,56
SAL20102,0,0,0,0,0,6,0,0,0,15,20,3,0,12,18,35,20,3,5,116
SAL20103,140,94,100,81,92,98,97,78,95,874,1355,866,1019,842,894,1034,966,711,325,8010
SAL20104,6,4,10,16,11,7,7,0,0,59,28,27,46,35,40,29,18,9,0,236
SAL20105,47,59,130,76,50,37,36,18,6,463,680,547,1393,958,645,469,353,166,57,5266
SAL20106,0,0,0,0,3,0,0,0,0,7,21,12,12,6,18,14,9,5,0,117
SAL20107,3,0,7,0,0,0,0,0,0,7,15,0,9,10,3,8,11,3,3,56
SAL20108,40,12,24,25,22,31,36,14,8,212,636,287,389,446,422,480,378,214,89,3346
SAL20109,0,4,0,0,4,0,0,0,0,8,16,14,5,10,12,9,3,3,0,68
SAL20110,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,16
SAL20111,54,65,62,66,105,69,76,42,35,577,767,685,838,715,768,756,658,315,153,5657
SAL20112,95,66,52,60,60,40,40,21,20,462,880,633,873,687,636,696,685,450,329,5869
SAL20113,70,32,45,25,20,41,24,19,7,287,721,401,490,482,490,490,408,322,184,3983
SAL20114,4,3,0,4,0,3,3,0,0,17,12,13,5,6,16,19,23,11,0,112
SAL20115,14,3,0,12,10,0,6,0,0,44,48,21,19,44,39,35,35,8,4,254
SAL20116,4,6,3,8,8,9,9,3,0,47,41,25,11,29,25,22,38,7,6,198
SAL20117,0,0,0,0,0,0,0,0,0,0,19,3,6,14,10,9,10,0,3,79
SAL20118,4,0,0,3,6,4,3,0,0,15,26,7,8,13,21,20,12,18,0,131
SAL20119,12,0,0,7,0,0,0,5,0,24,45,28,15,25,51,51,45,23,5,286
SAL20120,46,18,19,17,23,16,16,10,0,166,461,188,144,305,309,327,308,173,55,2288
SAL20121,0,3,0,5,3,4,8,6,3,30,68,44,19,40,63,71,85,71,18,476
SAL20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13
SAL20123,89,86,56,71,94,69,60,41,40,622,2170,1839,1348,1668,1884,1653,1371,908,492,13339
SAL20124,149,152,87,80,169,117,81,48,29,910,3779,3308,1830,2286,3349,2876,1880,1198,613,21115
SAL20125,12,6,3,4,4,11,4,4,0,37,105,46,48,66,63,71,53,19,5,480
SAL20126,13,12,0,9,11,9,5,3,0,57,51,43,23,33,44,30,29,21,0,272
SAL20127,0,0,0,0,0,3,0,0,0,9,20,9,5,19,22,26,15,3,0,119
SAL20128,0,0,0,0,0,0,0,0,0,0,9,3,3,5,6,5,3,3,0,36
SAL20129,8,6,9,5,5,6,0,0,0,40,189,257,164,109,56,37,25,18,7,856
SAL20130,0,0,0,0,0,0,0,0,0,6,12,10,0,8,8,10,3,11,0,57
SAL20131,0,6,0,3,8,5,17,14,10,58,29,36,25,28,58,80,203,207,68,736
SAL20132,7,0,5,3,0,0,0,0,0,19,20,6,17,17,3,8,4,6,0,77
SAL20133,135,49,51,74,57,29,20,12,8,433,1618,703,824,959,830,540,511,268,122,6377
SAL20134,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,10,9,0,0,38
SAL20135,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,9,5,0,0,21
SAL20136,50,29,21,22,13,17,9,10,19,173,709,295,394,375,356,290,230,190,158,3001
SAL20137,0,0,0,4,0,0,0,0,0,5,6,8,7,12,10,24,15,8,0,86
SAL20138,0,0,0,0,0,0,0,0,0,7,27,8,12,13,21,28,33,18,3,171
SAL20139,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,11
SAL20140,0,0,3,0,6,0,3,0,0,4,25,3,7,19,11,24,35,7,0,136
SAL20141,3,0,0,5,4,0,4,0,0,33,89,29,42,50,65,95,66,25,14,475
SAL20142,0,6,0,0,0,0,0,0,0,13,5,0,0,4,8,10,6,6,0,50
SAL20143,0,0,0,0,0,0,0,0,0,0,4,4,11,5,4,18,0,0,0,36
SAL20144,9,0,0,3,0,0,0,0,0,20,29,20,14,15,42,44,56,26,6,245
SAL20145,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,12
SAL20146,26,8,13,11,11,13,9,3,0,95,193,93,127,128,136,152,95,36,3,966
SAL20147,0,0,3,4,3,0,3,0,0,15,36,22,20,13,14,41,28,9,3,181
SAL20148,3,0,0,0,0,4,0,0,3,23,39,12,12,29,21,25,8,4,0,147
SAL20149,8,3,0,5,7,3,4,0,0,22,82,50,36,53,63,72,57,17,4,448
SAL20150,4,0,0,0,0,5,4,4,4,18,61,31,25,33,29,41,25,22,10,277
SAL20151,4,5,5,5,0,0,0,0,0,21,36,33,24,32,30,41,31,9,3,240
SAL20152,0,0,0,0,0,0,0,0,0,9,6,0,0,0,3,3,4,0,0,22
SAL20153,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,11
SAL20154,0,0,0,0,0,6,0,0,0,7,16,6,5,3,3,7,8,3,0,43
SAL20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20156,0,0,0,0,0,0,0,0,0,4,10,0,3,7,0,11,7,3,0,43
SAL20157,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,9,4,0,32
SAL20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10
SAL20159,0,0,0,0,0,3,0,6,0,6,13,16,4,4,23,17,20,8,0,100
SAL20160,6,0,0,0,0,3,0,0,0,14,57,14,18,27,36,56,52,13,0,276
SAL20161,0,5,0,0,7,4,4,0,0,17,18,14,11,18,28,16,29,4,6,142
SAL20162,66,32,18,41,52,61,50,33,10,364,882,411,249,535,650,608,604,275,92,4304
SAL20163,0,0,0,0,0,0,0,0,0,0,7,0,3,9,4,0,6,3,0,24
SAL20164,9,7,9,7,8,7,9,3,0,50,51,48,31,42,53,71,66,19,0,388
SAL20165,16,13,5,6,15,10,4,0,4,74,269,165,63,162,191,141,81,34,7,1120
SAL20166,3,0,0,6,0,0,0,0,0,10,8,7,5,7,16,3,11,3,0,72
SAL20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20168,4,0,4,5,0,0,0,0,0,17,10,23,37,8,0,3,3,0,0,82
SAL20169,27,23,13,26,20,29,23,9,0,158,319,231,358,258,253,313,235,138,34,2138
SAL20170,0,0,0,0,0,0,0,0,0,0,7,0,0,4,5,3,0,5,0,25
SAL20171,8,0,0,0,0,4,0,5,0,23,87,51,45,57,64,62,48,32,0,445
SAL20172,5,0,0,0,0,3,3,0,0,19,10,7,8,11,14,25,20,7,4,106
SAL20173,150,81,120,119,100,81,43,44,43,767,2016,1282,2004,1937,1482,1317,1061,757,343,12191
SAL20174,119,60,75,98,67,59,35,33,73,622,1693,897,1340,1464,1111,1040,791,368,250,8946
SAL20175,91,61,46,48,71,51,31,19,12,418,1413,1124,706,937,1224,893,519,289,83,7185
SAL20176,42,32,11,23,38,36,20,14,3,216,602,411,194,379,447,428,285,127,36,2920
SAL20177,0,0,0,5,3,7,5,0,0,25,17,8,10,17,30,42,53,19,8,206
SAL20178,0,0,0,3,6,8,0,9,0,21,8,7,11,11,25,31,36,29,6,171
SAL20179,0,0,0,0,0,0,0,0,0,9,12,7,5,7,10,8,3,6,0,51
SAL20180,0,0,0,0,0,0,0,0,0,0,15,0,12,7,5,5,0,0,0,46
SAL20181,33,16,10,17,20,19,20,9,12,158,245,156,133,157,224,235,290,160,62,1673
SAL20182,117,92,33,51,133,108,76,61,20,698,2476,1773,730,1300,2346,2016,1635,965,403,13632
SAL20183,0,0,0,0,0,5,0,0,0,3,3,0,0,0,4,8,0,0,0,20
SAL20184,13,0,9,5,0,4,11,0,0,43,61,28,38,51,45,68,72,17,13,397
SAL20185,10,4,0,3,5,13,0,0,0,37,17,9,9,18,20,30,12,3,0,122
SAL20186,47,43,52,81,59,56,44,27,11,416,678,331,309,512,606,640,664,331,123,4192
SAL20187,0,0,0,0,0,0,3,0,0,4,0,3,3,0,6,0,3,0,0,17
SAL20188,48,29,38,28,33,27,19,6,4,227,770,411,486,630,590,456,344,119,31,3833
SAL20189,11,24,4,6,10,13,5,0,0,80,256,195,123,208,211,185,149,50,12,1389
SAL20190,12,23,9,10,5,14,5,4,0,93,290,222,126,216,234,255,194,91,15,1643
SAL20191,74,44,52,41,45,27,25,25,12,347,863,610,850,655,641,621,642,463,181,5523
SAL20192,63,68,47,45,51,37,34,23,13,385,776,574,731,570,622,572,615,435,126,5012
SAL20193,0,4,3,3,0,0,3,0,0,17,14,18,8,9,29,30,27,11,3,153
SAL20194,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,3,0,0,10
SAL20195,25,6,7,22,12,14,20,26,47,174,223,106,67,151,130,166,161,194,91,1284
SAL20196,5,6,0,0,5,4,6,0,0,25,72,35,23,52,41,72,64,26,0,380
SAL20197,5,5,0,0,5,0,0,0,0,17,8,6,5,0,9,13,10,4,0,61
SAL20198,25,13,25,30,23,3,8,7,0,144,338,218,379,324,223,221,160,67,38,1964
SAL20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20200,0,0,3,4,0,7,0,0,0,17,23,21,8,15,28,16,24,6,0,139
SAL20201,202,126,152,129,123,121,64,66,39,1029,2585,1804,2626,1961,1726,1530,1351,889,512,14978
SAL20202,0,0,0,4,0,8,5,3,0,15,0,9,0,4,4,23,29,18,4,90
SAL20203,3,7,4,0,7,6,3,0,3,31,46,21,41,24,38,67,49,13,8,307
SAL20204,211,124,126,126,131,150,112,120,59,1161,1499,1045,1118,1010,1210,1601,1611,1122,512,10721
SAL20205,4,0,6,3,7,3,9,5,0,39,17,6,11,18,21,33,46,21,7,170
SAL20206,7,0,0,6,3,0,0,0,0,18,13,0,5,9,15,12,0,5,0,67
SAL20207,0,0,0,0,0,0,0,0,0,7,43,24,21,27,41,40,45,8,0,253
SAL20208,95,63,100,80,105,97,70,85,87,777,740,776,947,653,842,872,747,393,214,6197
SAL20209,0,0,0,0,0,0,10,0,0,14,8,5,4,7,15,26,33,7,0,112
SAL20210,3,0,0,6,0,9,0,0,0,13,18,10,8,10,10,17,14,4,0,92
SAL20211,0,0,0,0,0,0,0,0,0,0,15,4,4,6,7,3,8,0,0,55
SAL20212,8,0,0,3,0,0,4,7,0,19,31,16,24,20,15,26,12,11,0,144
SAL20213,3,0,4,0,0,0,0,0,0,7,11,0,5,0,0,4,12,0,0,34
SAL20214,177,109,136,135,138,105,80,45,16,936,3190,2197,2264,2631,2722,2113,1450,816,366,17746
SAL20215,285,196,134,213,238,178,127,65,35,1465,6106,3468,3076,4674,4703,3330,2347,1409,805,29929
SAL20216,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,18
SAL20217,0,3,0,0,3,3,0,0,0,8,25,17,6,14,33,29,14,5,0,156
SAL20218,0,0,0,0,0,0,4,0,0,4,0,10,0,0,9,11,8,0,0,42
SAL20219,0,9,8,0,13,4,0,0,0,29,24,22,23,21,29,32,30,15,5,194
SAL20220,0,0,0,0,0,0,3,0,0,5,0,0,0,3,4,9,5,3,5,38
SAL20221,0,0,0,0,10,0,0,0,0,16,35,22,17,11,32,31,19,8,8,179
SAL20222,0,0,0,0,0,0,0,0,0,8,0,6,4,0,0,9,4,0,0,37
SAL20223,8,0,4,6,3,0,4,3,0,22,27,19,10,17,31,32,32,11,0,171
SAL20224,683,440,370,436,454,316,209,180,106,3201,10458,6726,5469,7642,7430,5466,3671,2396,999,50267
SAL20225,3,0,7,0,0,0,3,0,0,15,24,7,12,12,11,10,25,3,0,109
SAL20226,3,5,0,0,4,0,0,5,0,23,20,10,11,12,10,22,23,10,0,125
SAL20227,0,0,0,0,0,0,0,7,0,6,14,11,5,6,11,14,11,9,3,72
SAL20228,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,13
SAL20229,0,0,0,0,4,4,0,3,0,19,78,31,32,52,80,104,56,20,8,465
SAL20230,4,0,0,0,0,0,0,0,0,4,18,3,6,10,13,15,18,11,0,103
SAL20231,3,0,0,5,0,7,0,0,0,20,54,14,34,25,29,64,43,27,13,304
SAL20232,18,10,9,6,10,6,4,0,0,55,66,37,37,44,36,66,35,12,0,340
SAL20233,93,40,49,56,54,35,13,10,0,350,1249,478,890,806,538,352,215,64,11,4597
SAL20234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SAL20235,9,0,0,6,9,9,0,0,0,30,75,27,28,47,39,38,12,9,3,276
SAL20236,0,0,5,0,0,5,0,0,0,11,3,0,5,6,6,6,5,3,0,37
SAL20237,0,0,0,0,0,0,0,0,0,0,8,9,8,4,3,18,5,4,4,65
SAL20238,0,0,0,0,0,0,0,0,0,3,15,4,5,5,3,13,8,8,0,60
SAL20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,11
SAL20241,0,0,0,0,0,0,3,0,0,5,7,3,4,3,9,6,14,3,0,49
SAL20242,4,0,0,0,0,0,0,0,0,5,24,13,3,13,26,14,22,5,4,129
SAL20243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
SAL20244,8,4,0,3,14,9,9,11,4,63,117,52,83,65,89,84,110,60,29,687
SAL20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL20246,34,13,14,20,14,14,3,7,0,126,172,85,85,88,105,103,56,38,11,735
SAL20247,12,10,3,4,4,10,5,0,0,48,184,75,107,114,118,130,134,54,5,922
SAL20248,62,41,37,33,48,36,36,13,3,298,723,437,410,447,574,609,574,319,53,4156
SAL20249,32,36,27,22,17,21,16,0,5,180,359,221,286,318,267,262,241,90,54,2109
SAL20250,6,8,26,8,8,19,9,5,0,83,40,28,36,20,30,56,35,9,0,262
SAL20251,70,42,13,35,53,52,47,12,11,334,996,758,401,634,981,965,844,500,211,6287
SAL20252,95,90,83,85,98,73,63,56,79,719,2296,1912,1758,1945,2052,1763,1261,823,526,14352
SAL20253,56,45,37,26,36,39,12,14,10,274,1498,921,834,1171,1099,840,527,443,219,7546
SAL20254,101,78,69,63,79,57,52,29,19,552,1896,1306,1136,1433,1555,1237,1036,791,475,10870
SAL20255,0,0,0,5,0,0,0,0,0,3,9,0,7,4,0,9,0,0,0,34
SAL20256,9,0,0,4,11,10,3,0,0,38,63,24,29,58,88,64,39,15,0,389
SAL20257,38,36,16,32,28,50,51,45,20,307,357,238,201,247,356,497,650,349,79,2970
SAL20258,0,0,0,0,0,0,0,0,0,0,9,5,3,6,10,8,4,0,3,42
SAL20259,4,0,3,4,7,4,9,0,0,33,32,16,22,28,33,34,54,3,3,221
SAL20260,21,16,9,11,11,11,7,0,0,88,255,149,183,138,180,162,116,55,12,1252
SAL20261,0,0,0,0,0,0,0,0,0,3,12,7,9,0,12,12,10,4,4,63
SAL20262,0,0,0,0,0,0,0,0,0,0,5,8,6,4,4,3,5,0,0,22
SAL20263,0,0,0,0,0,3,0,0,0,7,20,6,7,6,15,23,9,8,0,95
SAL20264,5,0,0,0,3,4,0,0,0,9,18,11,0,0,14,12,4,4,0,77
SAL20265,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,12
SAL20266,3,0,0,0,4,0,4,0,0,14,16,0,12,8,3,20,24,13,0,84
SAL20267,5,0,3,0,3,0,0,0,0,12,11,3,8,4,10,17,13,12,3,90
SAL20268,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,0,0,19
SAL20269,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,4,0,0,0,12
SAL20270,8,3,0,4,9,0,8,3,0,38,57,43,34,32,43,30,39,20,0,303
SAL20271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20272,0,0,0,0,0,6,3,0,0,20,27,21,4,13,41,37,33,8,0,183
SAL20273,7,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,0,0,0,15
SAL20274,5,5,3,12,5,5,5,5,0,50,103,52,57,75,84,119,88,47,17,641
SAL20275,3,4,0,0,4,0,0,0,0,5,10,10,5,9,7,4,5,0,0,52
SAL20276,3,5,0,3,3,4,0,0,0,21,15,12,10,9,13,20,10,12,0,106
SAL20277,0,7,0,0,4,0,0,0,0,11,3,7,0,6,3,21,7,0,0,50
SAL20278,83,49,71,78,60,70,52,34,5,512,1151,561,931,1066,941,827,704,370,168,6723
SAL20279,0,3,4,0,3,0,0,0,0,11,56,243,89,58,42,69,68,6,4,645
SAL20280,3,3,6,0,6,3,0,3,0,24,43,35,35,27,55,62,46,18,13,342
SAL20281,0,0,0,0,0,0,0,0,0,5,19,0,0,8,6,4,3,0,0,48
SAL20282,0,4,10,3,0,0,4,0,0,29,46,31,65,45,21,54,50,17,3,332
SAL20283,9,9,5,3,15,6,10,9,0,56,74,55,66,40,113,135,145,44,5,677
SAL20284,28,6,4,10,5,3,4,0,0,58,223,137,245,121,88,81,29,17,4,943
SAL20285,0,0,0,0,6,0,4,0,5,13,28,17,16,11,24,34,16,4,5,151
SAL20286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,3,0,11
SAL20288,25,9,14,10,5,20,15,11,0,111,152,90,106,97,120,216,136,59,13,990
SAL20289,0,0,4,0,0,4,0,0,0,17,24,13,7,17,15,31,26,10,0,147
SAL20290,0,0,0,0,0,3,0,0,0,5,3,4,5,0,0,9,0,0,0,20
SAL20291,0,0,0,0,0,0,0,0,0,5,5,0,0,4,3,4,4,0,0,29
SAL20292,0,0,0,0,0,0,0,0,0,0,6,3,0,5,4,0,0,0,0,14
SAL20293,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,18
SAL20294,0,0,0,0,0,0,0,0,0,6,35,16,17,16,16,27,12,3,0,145
SAL20295,5,0,0,0,0,0,0,0,0,7,29,7,8,16,20,16,13,15,0,133
SAL20296,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,5,0,0,0,11
SAL20297,0,0,0,6,0,0,0,0,0,4,16,3,3,9,4,6,8,6,0,55
SAL20298,0,3,3,0,4,9,3,0,0,25,34,16,10,14,24,35,21,11,5,164
SAL20299,0,0,0,0,0,0,0,0,0,0,3,4,7,5,5,9,8,3,0,50
SAL20300,18,14,8,10,14,36,23,26,35,188,145,78,62,89,86,147,142,108,91,946
SAL20301,3,0,0,0,0,0,0,0,0,7,21,13,7,20,15,9,15,5,0,108
SAL20302,0,0,0,4,0,0,0,0,0,11,11,3,9,10,14,11,6,0,0,72
SAL20303,0,0,0,0,0,3,0,0,0,3,9,0,6,5,0,9,3,3,0,32
SAL20304,320,172,250,218,201,156,133,53,29,1530,4041,2374,3711,3599,2971,2622,2277,1360,523,23484
SAL20305,0,0,0,0,4,0,6,0,0,10,4,3,5,4,11,7,12,9,0,58
SAL20306,0,0,0,0,0,0,0,0,0,3,6,8,6,0,13,23,12,6,3,78
SAL20307,103,37,63,62,37,32,13,3,0,356,1903,694,1221,1154,781,575,303,86,14,6721
SAL20308,4,0,0,4,0,10,13,0,0,31,25,11,17,14,19,33,33,5,6,147
SAL20309,7,0,0,4,5,3,3,0,0,22,43,8,24,21,27,29,36,13,6,208
SAL20310,0,0,0,0,4,0,0,0,0,3,9,3,9,6,12,3,6,0,0,46
SAL20311,5,0,0,0,0,0,0,0,0,4,7,3,4,7,5,9,5,0,0,48
SAL20312,0,0,0,0,0,0,0,0,0,3,18,8,15,6,14,25,16,6,0,101
SAL20313,0,0,0,0,0,0,0,0,0,0,18,6,0,4,7,0,7,0,0,36
SAL20314,113,275,334,157,142,109,115,122,127,1477,1419,2592,3751,1946,1600,1208,1010,734,526,14780
SAL20315,128,95,113,92,85,73,40,13,8,647,2043,1611,1991,1747,1683,1388,970,565,263,12259
SAL20316,67,54,62,66,50,49,40,20,12,430,1445,1197,1127,1154,1206,1005,705,372,198,8415
SAL20317,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,9,6,0,0,16
SAL20318,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,11
SAL20319,0,0,0,0,0,0,0,0,0,0,14,4,6,5,4,11,0,0,0,49
SAL20320,0,0,0,0,4,5,0,0,0,3,0,0,9,3,9,14,7,0,3,35
SAL20321,0,0,0,0,0,0,0,0,0,10,19,7,15,14,19,9,8,5,0,97
SAL20322,8,0,0,9,0,4,4,0,0,19,37,29,35,39,49,52,44,25,0,305
SAL20323,0,0,0,0,0,0,0,0,0,0,7,0,3,3,4,4,0,0,0,16
SAL20324,145,125,203,137,95,88,67,16,12,880,1512,1256,2210,1427,1106,1002,783,289,113,9698
SAL20325,0,0,0,0,0,0,0,0,0,0,10,0,11,6,4,0,0,6,0,37
SAL20326,23,15,18,27,12,16,12,9,6,129,149,125,174,141,121,135,101,67,20,1037
SAL20327,0,0,0,0,0,0,0,0,0,3,22,7,15,20,14,20,32,12,0,151
SAL20328,4,0,0,0,0,0,0,0,0,6,6,0,4,0,6,6,3,4,0,35
SAL20329,0,0,0,0,0,0,0,0,0,0,10,11,0,4,3,10,8,4,0,48
