SAL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SAL14496,0,15,28,8,10,65,9,80
SAL14497,0,0,0,0,0,0,0,0
SAL14498,0,0,0,0,4,3,0,3
SAL14499,0,5,9,4,6,22,4,21
SAL14500,0,0,0,0,0,0,0,0
SAL14501,3,90,174,79,63,415,21,437
SAL14502,0,7,12,10,6,39,4,38
SAL14503,16,201,432,159,108,911,10,927
SAL14504,4,32,49,32,26,139,24,162
SAL14505,6,60,69,23,6,162,5,164
SAL14506,0,6,13,8,0,20,8,31
SAL14507,0,0,0,0,0,0,0,3
SAL14508,0,8,21,5,5,40,3,43
SAL14509,0,16,26,16,11,66,13,83
SAL14510,0,14,14,13,12,50,14,68
SAL14511,120,869,947,384,223,2542,131,2675
SAL14512,0,27,49,38,31,141,20,155
SAL14513,0,3,26,14,16,55,6,56
SAL14514,0,57,99,22,20,202,4,209
SAL14515,0,10,30,18,18,71,6,76
SAL14516,0,3,4,0,8,20,0,21
SAL14517,0,8,11,4,5,29,3,38
SAL14518,0,0,0,0,0,8,0,8
SAL14519,0,3,12,0,5,25,0,25
SAL14520,7,48,153,74,75,363,7,377
SAL14521,0,0,26,16,29,68,5,69
SAL14522,16,160,218,107,78,572,34,603
SAL14523,0,0,0,0,0,3,0,3
SAL14524,148,176,119,48,31,515,59,571
SAL14525,4,50,44,14,10,124,4,132
SAL14526,5,22,37,16,23,109,22,127
SAL14527,0,4,0,0,0,4,0,3
SAL14528,3,91,167,77,61,399,11,413
SAL14529,0,0,6,0,4,8,0,8
SAL14530,0,10,16,11,6,42,3,40
SAL14531,0,12,31,21,21,83,9,92
SAL14532,0,22,25,9,6,66,11,76
SAL14533,0,89,121,46,20,270,6,284
SAL14534,7,88,182,67,88,431,34,465
SAL14535,3,32,57,25,10,122,11,134
SAL14536,299,1528,1395,525,289,4031,285,4323
SAL14537,27,233,477,177,122,1035,12,1054
SAL14538,0,15,23,10,8,57,0,55
SAL14539,0,0,8,0,0,8,0,9
SAL14540,0,5,0,0,0,4,0,6
SAL14541,4,3,6,5,9,29,4,32
SAL14542,1825,3293,819,81,24,6038,329,6367
SAL19797,0,0,0,0,0,0,0,0
SAL20001,0,0,0,0,0,0,0,0
SAL20002,939,2497,800,127,36,4401,270,4669
SAL20003,49,421,575,194,129,1363,40,1402
SAL20004,0,5,5,0,0,3,0,3
SAL20005,0,12,31,15,5,61,3,68
SAL20006,0,0,0,0,0,0,0,0
SAL20007,0,0,13,12,0,27,4,30
SAL20008,0,6,11,6,4,27,6,29
SAL20009,0,9,15,9,6,34,0,33
SAL20010,0,11,8,3,6,24,3,30
SAL20011,28,547,1145,285,136,2149,98,2245
SAL20012,0,0,0,0,0,0,0,0
SAL20013,12,213,169,47,25,456,37,492
SAL20014,0,3,18,15,15,49,4,54
SAL20015,236,1416,1297,342,137,3424,116,3541
SAL20016,0,0,0,0,0,0,0,0
SAL20017,105,605,718,250,103,1785,108,1895
SAL20018,316,1217,810,144,46,2523,96,2628
SAL20019,3,34,54,18,12,123,10,129
SAL20020,0,11,12,5,7,30,0,33
SAL20021,315,837,419,115,60,1742,165,1905
SAL20022,63,491,428,167,97,1241,57,1298
SAL20023,130,1360,1840,527,269,4121,134,4252
SAL20024,0,0,0,0,3,10,0,10
SAL20025,0,8,11,3,3,26,3,33
SAL20026,0,4,15,8,3,28,3,26
SAL20027,0,13,42,21,18,96,18,109
SAL20028,14,127,208,92,83,517,38,564
SAL20029,0,19,34,6,12,76,4,77
SAL20030,0,13,22,14,15,60,6,68
SAL20031,0,15,26,19,12,69,16,83
SAL20032,0,0,3,3,3,12,0,12
SAL20033,0,3,9,4,5,25,4,26
SAL20034,160,971,822,199,87,2247,92,2335
SAL20035,430,2098,1681,394,183,4781,216,5000
SAL20036,417,2782,2701,770,405,7069,336,7402
SAL20037,477,1789,1721,449,217,4650,315,4961
SAL20038,0,9,19,6,14,50,6,56
SAL20039,0,7,14,5,3,24,4,30
SAL20040,0,0,0,0,0,0,0,6
SAL20041,0,35,38,13,20,107,3,108
SAL20042,0,34,87,66,56,246,23,266
SAL20043,0,10,16,10,5,43,4,39
SAL20044,0,3,0,5,3,12,0,10
SAL20045,0,0,0,4,0,10,4,18
SAL20046,36,494,622,159,63,1375,78,1453
SAL20047,0,4,0,4,4,16,5,16
SAL20048,0,7,0,9,3,16,0,18
SAL20049,40,399,249,79,20,793,89,880
SAL20050,0,0,5,0,0,10,0,10
SAL20051,0,4,3,4,4,18,0,22
SAL20052,3,38,44,30,21,132,31,163
SAL20053,249,1254,1100,370,235,3211,214,3426
SAL20054,0,7,18,5,3,42,3,47
SAL20055,0,0,0,0,0,0,0,0
SAL20056,0,4,26,29,16,77,6,81
SAL20057,0,9,15,11,4,32,3,34
SAL20058,0,6,7,0,0,9,0,9
SAL20059,0,0,0,0,3,0,0,8
SAL20060,0,0,0,0,3,10,0,10
SAL20061,0,7,7,0,0,13,0,16
SAL20062,101,497,359,114,57,1127,121,1249
SAL20063,0,37,56,30,37,153,33,190
SAL20064,0,0,0,0,3,3,0,10
SAL20065,3,42,39,18,11,106,22,124
SAL20066,586,2231,1233,205,99,4354,151,4510
SAL20067,0,9,15,9,9,40,7,39
SAL20068,40,1013,1985,468,200,3705,109,3815
SAL20069,0,3,9,3,3,24,0,27
SAL20070,0,3,3,8,0,9,0,9
SAL20071,0,17,38,43,57,156,16,164
SAL20072,0,27,76,35,18,158,3,166
SAL20073,0,10,3,8,12,27,3,36
SAL20074,9,212,403,147,98,873,33,909
SAL20075,725,2753,1908,400,143,5928,400,6324
SAL20076,0,17,36,21,8,82,7,89
SAL20077,178,957,1147,279,129,2686,76,2770
SAL20078,250,1073,974,257,117,2665,120,2786
SAL20079,112,828,1213,299,135,2581,84,2663
SAL20080,60,573,943,357,222,2155,39,2192
SAL20081,0,8,13,14,8,39,4,50
SAL20082,27,230,470,232,151,1102,35,1138
SAL20083,0,0,0,0,0,4,0,6
SAL20084,0,0,0,0,0,0,0,7
SAL20085,0,17,28,17,15,75,7,77
SAL20086,10,138,178,76,53,454,15,470
SAL20087,22,195,193,95,57,550,56,609
SAL20088,0,0,3,0,0,3,0,3
SAL20089,298,1600,1749,527,274,4450,185,4634
SAL20090,0,0,7,3,5,16,0,17
SAL20091,8,59,122,57,44,293,13,307
SAL20092,0,13,46,37,34,136,5,148
SAL20093,0,64,135,74,54,318,23,346
SAL20094,0,3,3,6,3,12,0,17
SAL20095,194,1227,1137,369,195,3124,159,3287
SAL20096,0,29,46,39,23,142,11,151
SAL20097,12,197,232,106,57,609,25,632
SAL20098,0,0,0,0,5,3,0,5
SAL20099,0,11,42,28,30,115,7,127
SAL20100,0,3,7,9,0,16,0,15
SAL20101,0,0,13,9,6,21,0,27
SAL20102,0,13,15,10,8,47,11,55
SAL20103,272,1381,1112,345,158,3270,222,3492
SAL20104,4,39,25,3,3,81,3,80
SAL20105,513,1299,492,78,18,2404,178,2586
SAL20106,0,7,12,10,13,40,0,40
SAL20107,0,10,7,4,3,25,4,30
SAL20108,49,454,475,196,135,1310,63,1370
SAL20109,0,0,11,0,3,18,6,24
SAL20110,0,0,0,3,0,3,0,3
SAL20111,224,1133,778,166,60,2355,135,2494
SAL20112,209,1233,763,226,112,2545,130,2676
SAL20113,163,667,641,192,70,1736,67,1801
SAL20114,0,3,21,10,3,43,3,48
SAL20115,0,6,19,23,24,76,12,95
SAL20116,0,8,17,11,12,49,14,60
SAL20117,0,5,15,4,10,29,0,27
SAL20118,0,6,21,18,4,50,11,58
SAL20119,0,35,38,27,27,126,11,135
SAL20120,8,221,389,139,95,849,44,893
SAL20121,0,54,105,25,11,204,11,211
SAL20122,0,0,4,0,0,8,0,8
SAL20123,368,2053,1951,501,222,5089,162,5257
SAL20124,295,2173,3092,1005,501,7065,187,7248
SAL20125,0,35,71,36,24,165,14,177
SAL20126,0,6,47,15,11,85,14,99
SAL20127,0,7,24,7,7,42,3,49
SAL20128,0,0,8,3,9,16,4,17
SAL20129,0,51,94,19,9,172,6,183
SAL20130,0,4,7,6,5,22,0,19
SAL20131,68,244,68,20,24,420,26,453
SAL20132,0,5,6,4,4,16,8,28
SAL20133,20,403,930,375,312,2038,70,2110
SAL20134,0,3,6,3,0,17,0,17
SAL20135,0,0,7,3,0,7,0,7
SAL20136,11,242,482,160,111,999,21,1025
SAL20137,0,5,13,4,7,31,0,33
SAL20138,0,18,27,16,16,78,6,80
SAL20139,0,3,0,0,0,5,0,5
SAL20140,0,10,22,17,7,54,3,58
SAL20141,0,46,88,36,14,186,9,191
SAL20142,0,7,3,7,0,17,7,26
SAL20143,0,0,4,4,3,18,0,18
SAL20144,0,40,48,21,11,110,7,118
SAL20145,0,3,0,3,0,8,0,8
SAL20146,7,57,168,72,52,349,31,379
SAL20147,0,7,20,13,25,60,6,65
SAL20148,0,22,20,5,7,54,5,59
SAL20149,0,27,70,28,36,165,5,168
SAL20150,0,17,41,20,13,95,8,98
SAL20151,0,10,32,22,20,82,5,84
SAL20152,0,0,0,5,5,8,0,7
SAL20153,0,0,3,0,0,5,0,5
SAL20154,0,0,5,8,0,7,3,16
SAL20155,0,0,0,0,0,0,0,0
SAL20156,0,8,6,5,0,22,3,21
SAL20157,0,0,3,3,3,12,0,12
SAL20158,0,0,0,0,0,3,0,3
SAL20159,5,6,9,14,9,42,4,42
SAL20160,0,16,44,21,21,101,3,103
SAL20161,0,22,19,14,6,61,10,67
SAL20162,38,493,775,220,82,1608,132,1738
SAL20163,0,0,4,0,7,12,0,10
SAL20164,9,33,53,28,21,144,20,169
SAL20165,0,24,146,78,81,335,11,349
SAL20166,0,5,5,8,0,21,3,25
SAL20167,0,0,0,0,0,0,0,0
SAL20168,0,0,0,0,0,5,6,10
SAL20169,38,326,330,120,85,897,41,939
SAL20170,0,0,7,0,4,5,0,5
SAL20171,3,24,47,39,34,143,13,154
SAL20172,0,14,6,10,6,37,6,43
SAL20173,281,1937,1815,535,230,4800,224,5023
SAL20174,151,1206,1400,412,198,3370,143,3514
SAL20175,74,561,986,462,314,2393,82,2473
SAL20176,0,80,377,190,214,871,52,928
SAL20177,3,36,39,16,5,96,7,103
SAL20178,3,19,41,9,9,83,6,85
SAL20179,0,5,8,3,5,21,0,18
SAL20180,0,0,4,3,0,12,0,13
SAL20181,36,238,276,104,72,722,39,767
SAL20182,146,1426,2356,700,365,4994,130,5121
SAL20183,0,0,3,0,0,9,0,8
SAL20184,4,45,71,26,27,174,14,183
SAL20185,0,17,22,7,3,46,11,57
SAL20186,79,617,676,213,114,1695,85,1783
SAL20187,0,4,3,0,0,7,0,6
SAL20188,36,434,632,212,101,1414,46,1461
SAL20189,17,95,205,89,70,472,14,487
SAL20190,8,92,217,109,120,542,11,554
SAL20191,202,1044,757,239,114,2360,118,2480
SAL20192,99,711,823,263,119,2015,99,2114
SAL20193,0,14,14,18,14,60,5,68
SAL20194,0,0,0,3,0,3,0,3
SAL20195,14,132,172,67,61,445,39,482
SAL20196,0,45,62,18,21,145,14,158
SAL20197,0,3,3,6,4,21,8,23
SAL20198,74,270,273,71,18,719,39,758
SAL20199,0,0,0,0,0,0,0,0
SAL20200,0,11,16,3,16,46,4,51
SAL20201,425,2641,2312,575,248,6200,276,6480
SAL20202,0,22,16,0,6,43,4,45
SAL20203,0,31,51,25,14,121,7,131
SAL20204,305,1750,1606,557,309,4524,370,4896
SAL20205,5,23,18,19,13,76,20,91
SAL20206,0,3,10,4,7,23,6,28
SAL20207,0,17,44,18,7,90,0,94
SAL20208,253,1150,791,233,98,2525,113,2635
SAL20209,3,18,14,14,5,55,10,65
SAL20210,0,4,17,8,10,27,4,37
SAL20211,0,0,7,5,0,20,0,20
SAL20212,0,12,19,5,12,45,3,57
SAL20213,0,4,6,0,3,15,0,16
SAL20214,448,2766,2618,617,254,6705,242,6946
SAL20215,511,3783,4772,1164,535,10769,307,11074
SAL20216,0,0,0,0,0,4,0,4
SAL20217,0,3,25,15,14,58,0,57
SAL20218,0,0,6,0,7,17,4,17
SAL20219,3,17,32,4,11,74,15,91
SAL20220,0,3,7,5,0,15,5,17
SAL20221,0,18,28,13,17,72,8,77
SAL20222,0,0,4,0,8,9,4,14
SAL20223,0,14,22,19,8,66,8,72
SAL20224,489,4767,7390,2472,1421,16540,631,17173
SAL20225,0,13,11,5,13,46,4,43
SAL20226,0,19,16,10,6,48,7,55
SAL20227,0,6,11,6,5,31,0,31
SAL20228,0,0,5,0,0,6,0,6
SAL20229,0,36,78,39,27,188,5,194
SAL20230,0,3,13,10,12,41,6,45
SAL20231,6,32,51,26,25,140,3,141
SAL20232,4,18,43,21,20,113,18,133
SAL20233,13,257,691,268,149,1382,72,1458
SAL20234,0,0,0,0,0,0,0,0
SAL20235,0,17,45,19,8,94,13,102
SAL20236,0,6,9,0,0,11,3,18
SAL20237,0,8,7,9,3,30,0,30
SAL20238,0,0,6,6,10,17,0,17
SAL20239,0,0,0,0,0,0,0,0
SAL20240,0,0,0,3,0,0,0,3
SAL20241,0,5,9,10,0,22,5,18
SAL20242,0,18,22,17,9,57,0,57
SAL20243,0,0,0,0,0,0,0,0
SAL20244,19,93,109,38,31,287,27,317
SAL20245,0,0,0,0,0,4,0,4
SAL20246,3,36,94,46,42,219,29,251
SAL20247,4,110,168,39,48,375,13,385
SAL20248,33,482,615,284,201,1609,54,1661
SAL20249,55,380,316,70,40,862,51,911
SAL20250,7,11,29,18,14,75,48,119
SAL20251,83,870,1098,285,152,2492,72,2560
SAL20252,359,2429,2037,463,258,5542,158,5700
SAL20253,139,941,1175,270,154,2679,65,2744
SAL20254,363,1398,1597,407,222,3989,128,4120
SAL20255,0,7,6,0,0,14,0,16
SAL20256,6,70,62,22,5,175,15,185
SAL20257,26,452,604,152,53,1284,103,1387
SAL20258,0,3,6,3,3,13,0,16
SAL20259,0,18,32,22,10,82,12,96
SAL20260,4,78,209,98,58,448,18,467
SAL20261,0,4,15,7,0,33,0,33
SAL20262,0,0,5,0,5,4,0,4
SAL20263,0,5,21,9,5,41,0,42
SAL20264,0,5,8,0,7,22,0,25
SAL20265,0,3,0,0,0,5,0,5
SAL20266,0,5,14,3,8,33,4,37
SAL20267,0,6,19,15,0,35,4,44
SAL20268,0,0,0,8,0,9,0,6
SAL20269,0,0,0,0,0,3,3,3
SAL20270,0,22,50,19,15,109,9,118
SAL20271,0,0,0,0,0,0,0,0
SAL20272,0,10,20,21,20,70,3,73
SAL20273,0,0,0,0,0,4,0,3
SAL20274,3,50,99,49,47,251,16,265
SAL20275,0,6,4,7,4,14,0,14
SAL20276,0,6,10,10,15,37,7,43
SAL20277,0,8,8,0,3,25,3,25
SAL20278,167,1263,1112,223,67,2841,174,3009
SAL20279,0,15,44,36,26,121,3,121
SAL20280,0,15,32,25,34,111,12,118
SAL20281,0,0,5,6,5,18,0,16
SAL20282,0,36,51,14,16,120,12,131
SAL20283,5,88,125,59,22,293,14,311
SAL20284,5,101,157,38,40,339,9,350
SAL20285,0,11,22,8,17,58,7,60
SAL20286,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,3,0,5
SAL20288,14,112,165,78,36,397,48,444
SAL20289,0,11,15,13,14,57,5,59
SAL20290,3,0,0,0,0,6,0,6
SAL20291,0,5,0,3,3,12,0,12
SAL20292,0,0,6,0,0,7,0,7
SAL20293,0,5,9,0,0,10,0,10
SAL20294,0,10,29,7,10,55,0,57
SAL20295,0,7,18,11,11,49,0,51
SAL20296,0,0,0,0,0,7,0,7
SAL20297,0,7,7,3,3,24,0,25
SAL20298,0,10,23,18,4,61,9,66
SAL20299,0,0,13,3,3,20,0,23
SAL20300,19,104,133,61,25,338,64,412
SAL20301,0,6,15,15,3,38,0,42
SAL20302,0,0,9,11,3,27,0,27
SAL20303,0,0,3,3,0,11,0,10
SAL20304,464,3621,3674,1039,465,9265,404,9664
SAL20305,0,4,10,7,4,26,5,24
SAL20306,0,0,12,6,7,34,0,34
SAL20307,13,329,1185,353,194,2070,51,2119
SAL20308,0,14,13,7,8,51,9,58
SAL20309,0,21,27,13,6,73,13,84
SAL20310,0,7,8,3,0,21,0,19
SAL20311,0,5,8,0,3,19,0,21
SAL20312,0,0,21,8,7,40,0,40
SAL20313,0,5,0,0,0,9,0,9
SAL20314,1429,3082,1112,254,92,5967,468,6433
SAL20315,369,1849,1683,418,181,4497,172,4668
SAL20316,226,1225,1175,322,157,3098,119,3222
SAL20317,0,0,0,0,0,11,0,11
SAL20318,0,0,0,0,0,4,0,4
SAL20319,0,0,4,6,3,10,0,14
SAL20320,0,6,13,4,0,24,0,23
SAL20321,0,3,12,10,6,34,0,38
SAL20322,3,26,48,30,18,128,5,138
SAL20323,0,0,0,0,0,7,0,7
SAL20324,435,1431,1057,314,137,3382,279,3661
SAL20325,0,0,7,5,3,13,0,13
SAL20326,33,205,147,46,20,453,59,512
SAL20327,0,21,35,8,0,72,0,72
SAL20328,0,0,7,0,0,8,0,12
SAL20329,0,7,4,3,3,21,0,21
SAL20330,5,97,184,81,55,429,30,456
SAL20331,29,507,533,153,65,1284,34,1319
SAL20332,0,13,17,6,12,43,3,50
SAL20333,3,7,13,17,14,55,4,54
SAL20334,0,3,6,3,7,17,3,20
SAL20335,5,46,51,25,10,136,14,146
SAL20336,47,465,399,122,67,1101,86,1190
SAL20337,454,3535,3543,959,492,8985,315,9306
SAL20338,320,2076,2582,689,323,5989,223,6207
SAL20339,0,8,22,12,17,59,9,69
SAL20340,0,0,0,0,0,4,0,6
SAL20341,0,7,9,4,6,21,5,24
SAL20342,0,8,7,4,10,28,0,26
SAL20343,0,3,0,0,3,9,0,6
SAL20344,0,3,3,3,0,13,0,13
SAL20345,82,539,641,282,220,1759,91,1844
SAL20346,522,1552,1077,355,210,3718,454,4167
SAL20347,0,8,5,4,12,26,0,36
SAL20348,0,0,10,0,3,11,0,11
SAL20349,0,9,7,4,3,20,5,24
SAL20350,0,0,7,10,4,19,5,20
SAL20351,154,986,1345,523,263,3275,200,3472
SAL20352,53,357,324,71,33,839,67,905
SAL20353,0,3,4,0,5,10,0,10
SAL20354,0,16,29,20,15,74,8,82
SAL20355,0,5,0,6,5,15,3,16
SAL20356,64,554,763,216,126,1722,69,1785
SAL20357,0,4,15,10,10,38,4,46
SAL20358,0,3,19,11,7,36,0,40
SAL20359,0,19,20,11,8,49,0,49
SAL20360,0,0,0,0,0,0,0,0
SAL20361,2355,5742,2208,510,187,11007,444,11448
SAL20362,1197,3665,1144,246,88,6347,258,6613
SAL20363,1010,3482,1590,348,156,6583,271,6854
SAL20364,11,85,131,66,34,331,23,351
SAL20365,3,9,14,6,7,47,3,46
SAL20366,0,24,31,8,16,83,10,94
SAL20367,0,3,24,7,7,44,0,45
SAL20368,0,12,19,21,6,59,3,63
SAL20369,0,8,23,18,24,71,6,80
SAL20370,0,0,3,3,3,12,0,8
SAL20371,0,4,10,0,10,22,5,21
SAL20372,0,0,0,0,0,0,0,0
SAL20373,0,10,19,12,11,50,3,59
SAL20374,0,0,0,0,0,3,0,3
SAL20375,0,25,35,21,22,99,10,116
SAL20376,0,18,48,25,19,114,8,121
SAL20377,0,8,7,9,3,33,5,39
SAL20378,0,0,0,0,0,4,0,4
SAL20379,0,0,0,0,0,0,0,0
SAL20380,0,0,3,3,5,6,0,9
SAL20381,3,33,84,53,52,223,14,231
SAL20382,0,0,0,0,0,10,0,9
SAL20383,0,5,9,4,8,34,0,34
SAL20384,0,9,17,10,4,38,7,41
SAL20385,0,6,5,5,0,20,6,20
SAL20386,259,1388,1769,519,282,4226,105,4335
SAL20387,0,29,94,55,44,226,19,249
SAL20388,0,6,8,15,7,28,3,32
SAL20389,0,0,8,0,0,13,9,17
SAL20390,0,20,74,36,39,175,4,181
SAL20391,0,7,22,22,12,61,6,73
SAL20392,0,3,16,7,4,31,6,38
SAL20393,0,8,31,31,21,94,6,108
SAL20394,0,9,34,7,13,64,8,72
SAL20395,0,58,75,37,27,198,17,220
SAL20396,0,0,14,4,0,19,4,21
SAL20397,0,0,0,0,0,0,0,0
SAL20398,0,4,10,8,6,25,0,26
SAL20399,662,3574,3737,1267,700,9937,422,10356
SAL20400,0,6,7,6,6,21,6,30
SAL20401,0,3,4,8,3,24,3,27
SAL20402,0,0,10,3,6,18,0,18
SAL20403,0,0,15,8,12,36,0,32
SAL20404,0,19,46,13,20,103,11,117
SAL20405,0,0,3,0,5,12,0,13
SAL20406,0,5,5,3,3,14,0,19
SAL20407,0,0,0,0,0,0,0,0
SAL20408,0,6,0,0,4,5,0,8
SAL20409,32,348,596,249,140,1363,48,1409
SAL20410,0,14,34,18,29,94,0,97
SAL20411,28,229,406,188,158,1008,62,1073
SAL20412,0,8,11,6,8,32,5,35
SAL20413,0,0,0,0,0,0,0,0
SAL20414,0,0,0,3,0,4,0,4
SAL20415,0,0,0,0,3,6,4,6
SAL20416,0,0,4,0,4,15,3,20
SAL20417,0,4,5,4,9,19,0,22
SAL20418,46,174,93,20,7,346,14,360
SAL20419,93,496,685,289,156,1721,71,1796
SAL20420,25,363,867,307,145,1704,53,1762
SAL20421,0,0,10,0,3,14,0,14
SAL20422,0,5,32,16,17,69,8,76
SAL20423,0,4,4,0,0,11,0,13
SAL20424,0,0,5,0,4,12,0,10
SAL20425,4,49,43,15,9,110,21,128
SAL20426,597,2168,1951,511,200,5435,246,5679
SAL20427,275,1571,1561,388,196,3989,126,4119
SAL20428,0,12,80,52,44,192,6,197
SAL20429,0,4,8,4,0,20,5,22
SAL20430,0,0,0,0,0,7,0,7
SAL20431,3,54,100,47,35,241,33,273
SAL20432,3,13,18,13,14,58,3,59
SAL20433,0,4,20,14,3,40,7,50
SAL20434,0,5,28,19,12,57,4,61
SAL20435,0,11,10,12,13,37,4,45
SAL20436,0,10,20,18,8,58,9,58
SAL20437,3,24,64,34,30,151,14,163
SAL20438,0,4,4,4,0,11,0,11
SAL20439,0,11,9,0,0,26,6,25
SAL20440,0,0,0,5,0,3,0,9
SAL20441,81,621,1188,561,332,2781,127,2908
SAL20442,0,0,0,0,0,0,0,0
SAL20443,0,7,19,13,15,57,6,61
SAL20444,122,721,594,193,108,1745,143,1892
SAL20445,0,18,14,10,17,60,0,65
SAL20446,0,4,3,0,11,18,0,18
SAL20447,0,24,59,23,20,129,14,140
SAL20448,0,4,5,0,3,11,3,14
SAL20449,0,0,4,0,0,4,0,4
SAL20450,0,9,3,0,5,12,0,12
SAL20451,0,7,20,20,8,58,4,58
SAL20452,0,0,0,0,0,0,0,0
SAL20453,486,3122,3042,842,410,7895,214,8115
SAL20454,0,9,31,33,15,89,0,92
SAL20455,137,601,506,199,124,1572,159,1729
SAL20456,0,0,3,3,0,10,0,13
SAL20457,20,256,344,105,87,803,33,843
SAL20458,0,8,8,0,7,19,0,21
SAL20459,0,5,12,0,0,20,0,24
SAL20460,100,509,513,183,93,1405,100,1508
SAL20461,79,647,586,164,102,1578,64,1637
SAL20462,0,0,6,0,0,6,0,3
SAL20463,0,0,10,8,6,17,9,25
SAL20464,9,33,26,19,7,92,9,105
SAL20465,0,0,0,3,4,6,0,6
SAL20466,6,44,97,51,39,231,25,253
SAL20467,0,0,4,7,4,19,0,14
SAL20468,144,989,1139,352,169,2789,77,2861
SAL20469,0,17,14,16,10,65,5,69
SAL20470,0,15,27,10,16,63,4,63
SAL20471,0,3,3,0,0,4,0,4
SAL20472,0,10,8,0,0,18,3,23
SAL20473,10,201,203,60,17,495,21,513
SAL20474,0,55,107,34,17,216,16,231
SAL20475,13,306,359,123,43,845,114,955
SAL20476,194,1210,686,166,66,2321,164,2489
SAL20477,0,0,11,3,0,11,3,20
SAL20478,0,9,11,3,5,25,0,30
SAL20479,0,0,0,0,0,4,0,4
SAL20480,3,22,31,26,16,100,7,106
SAL20481,0,5,3,11,4,24,4,29
SAL20482,0,0,8,0,5,13,0,13
SAL20483,0,5,0,6,8,23,0,23
SAL20484,0,8,5,11,10,34,0,37
SAL20485,4,28,109,90,79,309,8,311
SAL20486,0,38,126,67,45,276,11,282
SAL20487,7,13,34,28,29,111,12,122
SAL20488,8,46,117,59,57,277,15,296
SAL20489,0,0,6,3,3,12,6,17
SAL20490,0,3,0,7,3,11,0,11
SAL20491,0,0,3,0,0,4,0,5
SAL20492,14,117,169,76,64,443,28,471
SAL20493,3,15,23,8,7,64,5,66
SAL20494,0,23,50,24,33,126,19,144
SAL20495,3363,2760,629,106,49,6897,527,7430
SAL20496,423,1363,639,137,46,2609,92,2702
SAL20497,0,0,11,9,6,28,9,39
SAL20498,992,3959,2195,405,199,7749,277,8025
SAL20499,0,11,21,9,12,61,4,66
SAL20500,201,2099,3382,1153,627,7467,328,7789
SAL20501,0,10,15,3,8,35,5,42
SAL20502,0,9,13,11,7,42,0,48
SAL20503,3,8,18,14,6,48,6,47
SAL20504,0,0,4,4,6,14,3,14
SAL20505,0,0,0,3,6,14,0,17
SAL20506,0,0,0,0,4,3,0,7
SAL20507,148,739,696,162,48,1787,72,1862
SAL20508,381,3026,3295,1033,501,8230,390,8625
SAL20509,0,3,8,5,6,21,3,21
SAL20510,0,18,31,27,7,75,7,87
SAL20511,0,4,3,0,0,8,0,13
SAL20512,0,20,39,15,18,91,10,99
SAL20513,47,289,247,102,72,753,50,802
SAL20514,0,0,10,6,10,17,8,30
SAL20515,0,9,24,15,5,52,0,53
SAL20516,276,1528,951,270,132,3164,175,3339
SAL20517,0,18,40,25,20,100,10,106
SAL20518,0,5,12,13,8,35,7,43
SAL20519,0,0,7,0,3,16,0,13
SAL20520,0,0,7,0,0,7,0,7
SAL20521,159,900,820,160,98,2130,89,2224
SAL20522,115,242,149,41,15,564,23,583
SAL20523,669,3035,2288,490,249,6725,302,7029
SAL20524,260,1685,2004,432,204,4590,151,4739
SAL20525,0,4,8,3,3,32,4,31
SAL20526,0,35,55,36,17,143,13,161
SAL20527,4,14,43,16,16,88,0,88
SAL20528,248,1438,1394,357,149,3587,188,3773
SAL20529,0,0,0,0,0,0,0,0
SAL20530,0,0,0,0,0,0,0,0
SAL20531,0,4,4,4,3,17,0,20
SAL20532,0,0,7,3,5,16,0,17
SAL20533,10,296,460,117,67,948,37,987
SAL20534,0,4,11,3,9,26,0,26
SAL20535,37,173,158,75,35,472,63,536
SAL20536,0,3,7,3,0,20,0,17
SAL20537,305,1622,1324,230,91,3574,167,3740
SAL20538,75,660,879,245,115,1981,60,2036
SAL20539,656,3967,3633,788,368,9408,351,9759
SAL20540,0,6,8,6,3,25,0,24
SAL20541,0,0,9,4,0,22,3,23
SAL20542,0,0,0,0,0,0,0,0
SAL20543,0,25,39,8,14,82,8,84
SAL20544,0,0,0,0,0,0,0,0
SAL20545,0,12,32,19,9,73,6,77
SAL20546,0,7,8,7,0,29,9,31
SAL20547,6,151,114,38,31,335,36,369
SAL20548,0,11,8,0,5,29,5,29
SAL20549,0,9,16,10,5,42,5,43
SAL20550,0,6,5,0,0,5,0,5
SAL20551,13,210,247,95,89,648,63,714
SAL20552,0,0,22,5,5,29,5,33
SAL20553,0,0,0,0,0,3,0,3
SAL20554,0,6,3,0,0,8,0,8
SAL20555,0,0,12,11,3,28,4,37
SAL20556,92,1055,1868,631,409,4057,131,4191
SAL20557,0,0,0,0,4,5,0,5
SAL20558,0,8,16,5,5,29,3,31
SAL20559,0,14,46,38,32,123,8,129
SAL20560,4,85,133,76,66,354,8,370
SAL20561,94,736,724,229,115,1904,139,2040
SAL20562,0,0,0,0,0,0,0,0
